web-scraper-order;web-scraper-start-url;Title;Date;URL;URL-href;
1685371269-1;https://fazarchiv.faz.net/faz-portal/faz-archiv?q=B%C3%BCrgergeld&source=&max=30&sort=&offset=360&_ts=1685371207396&DT_from=01.08.2022&DT_to=31.01.2023&timeFilterType=0#hitlist;"Wir brauchen wohl schon bald wieder mehr Kurzarbeit";26.08.2022;;https://fazarchiv.faz.net/faz-portal/faz-archiv?q=B%C3%BCrgergeld&source=&max=30&sort=&offset=360&_ts=1685371207396&DT_from=01.08.2022&DT_to=31.01.2023&timeFilterType=0#;
1685371269-2;https://fazarchiv.faz.net/faz-portal/faz-archiv?q=B%C3%BCrgergeld&source=&max=30&sort=&offset=360&_ts=1685371207396&DT_from=01.08.2022&DT_to=31.01.2023&timeFilterType=0#hitlist;Gegen autoritäre Bevormundung;15.08.2022;;https://fazarchiv.faz.net/faz-portal/faz-archiv?q=B%C3%BCrgergeld&source=&max=30&sort=&offset=360&_ts=1685371207396&DT_from=01.08.2022&DT_to=31.01.2023&timeFilterType=0#;
1685371269-3;https://fazarchiv.faz.net/faz-portal/faz-archiv?q=B%C3%BCrgergeld&source=&max=30&sort=&offset=360&_ts=1685371207396&DT_from=01.08.2022&DT_to=31.01.2023&timeFilterType=0#hitlist;Leserbriefe vom 15. August 2022;15.08.2022;;https://fazarchiv.faz.net/faz-portal/faz-archiv?q=B%C3%BCrgergeld&source=&max=30&sort=&offset=360&_ts=1685371207396&DT_from=01.08.2022&DT_to=31.01.2023&timeFilterType=0#;
1685371269-4;https://fazarchiv.faz.net/faz-portal/faz-archiv?q=B%C3%BCrgergeld&source=&max=30&sort=&offset=360&_ts=1685371207396&DT_from=01.08.2022&DT_to=31.01.2023&timeFilterType=0#hitlist;"Auch Finanzminister Scholz hat die kalte Progression abgebaut";12.08.2022;;https://fazarchiv.faz.net/faz-portal/faz-archiv?q=B%C3%BCrgergeld&source=&max=30&sort=&offset=360&_ts=1685371207396&DT_from=01.08.2022&DT_to=31.01.2023&timeFilterType=0#;
1685371269-5;https://fazarchiv.faz.net/faz-portal/faz-archiv?q=B%C3%BCrgergeld&source=&max=30&sort=&offset=360&_ts=1685371207396&DT_from=01.08.2022&DT_to=31.01.2023&timeFilterType=0#hitlist;Scholz stellt drittes Entlastungspaket in Aussicht;12.08.2022;;https://fazarchiv.faz.net/faz-portal/faz-archiv?q=B%C3%BCrgergeld&source=&max=30&sort=&offset=360&_ts=1685371207396&DT_from=01.08.2022&DT_to=31.01.2023&timeFilterType=0#;
1685371269-6;https://fazarchiv.faz.net/faz-portal/faz-archiv?q=B%C3%BCrgergeld&source=&max=30&sort=&offset=360&_ts=1685371207396&DT_from=01.08.2022&DT_to=31.01.2023&timeFilterType=0#hitlist;Ist der Rhein bald unpassierbar? • Scholz will Deutsche "sehr effizient" entlasten • Sternschnuppen am Nachthimmel;12.08.2022;;https://fazarchiv.faz.net/faz-portal/faz-archiv?q=B%C3%BCrgergeld&source=&max=30&sort=&offset=360&_ts=1685371207396&DT_from=01.08.2022&DT_to=31.01.2023&timeFilterType=0#;
1685371269-7;https://fazarchiv.faz.net/faz-portal/faz-archiv?q=B%C3%BCrgergeld&source=&max=30&sort=&offset=360&_ts=1685371207396&DT_from=01.08.2022&DT_to=31.01.2023&timeFilterType=0#hitlist;Wie dramatisch trifft das Niedrigwasser die Wirtschaft?;12.08.2022;;https://fazarchiv.faz.net/faz-portal/faz-archiv?q=B%C3%BCrgergeld&source=&max=30&sort=&offset=360&_ts=1685371207396&DT_from=01.08.2022&DT_to=31.01.2023&timeFilterType=0#;
1685371269-8;https://fazarchiv.faz.net/faz-portal/faz-archiv?q=B%C3%BCrgergeld&source=&max=30&sort=&offset=360&_ts=1685371207396&DT_from=01.08.2022&DT_to=31.01.2023&timeFilterType=0#hitlist;Steuerpoker mit zwei Trümpfen;11.08.2022;;https://fazarchiv.faz.net/faz-portal/faz-archiv?q=B%C3%BCrgergeld&source=&max=30&sort=&offset=360&_ts=1685371207396&DT_from=01.08.2022&DT_to=31.01.2023&timeFilterType=0#;
1685371269-9;https://fazarchiv.faz.net/faz-portal/faz-archiv?q=B%C3%BCrgergeld&source=&max=30&sort=&offset=360&_ts=1685371207396&DT_from=01.08.2022&DT_to=31.01.2023&timeFilterType=0#hitlist;Wirtschaftsweise: Lindners Entlastungspläne kommen zur falschen Zeit;11.08.2022;;https://fazarchiv.faz.net/faz-portal/faz-archiv?q=B%C3%BCrgergeld&source=&max=30&sort=&offset=360&_ts=1685371207396&DT_from=01.08.2022&DT_to=31.01.2023&timeFilterType=0#;
1685371269-10;https://fazarchiv.faz.net/faz-portal/faz-archiv?q=B%C3%BCrgergeld&source=&max=30&sort=&offset=360&_ts=1685371207396&DT_from=01.08.2022&DT_to=31.01.2023&timeFilterType=0#hitlist;Scholz stellt drittes Entlastungspaket in Aussicht;11.08.2022;;https://fazarchiv.faz.net/faz-portal/faz-archiv?q=B%C3%BCrgergeld&source=&max=30&sort=&offset=360&_ts=1685371207396&DT_from=01.08.2022&DT_to=31.01.2023&timeFilterType=0#;
