web-scraper-order;web-scraper-start-url;Title;Date;URL;URL-href;
1685371145-1;https://fazarchiv.faz.net/faz-portal/faz-archiv?q=Homo+Ehe&source=&max=30&sort=&offset=90&_ts=1685371107619&DT_from=01.06.2017&DT_to=31.07.2017&timeFilterType=0#hitlist;Versuch einer Aufrichtung;26.06.2017;;https://fazarchiv.faz.net/faz-portal/faz-archiv?q=Homo+Ehe&source=&max=30&sort=&offset=90&_ts=1685371107619&DT_from=01.06.2017&DT_to=31.07.2017&timeFilterType=0#;
1685371145-2;https://fazarchiv.faz.net/faz-portal/faz-archiv?q=Homo+Ehe&source=&max=30&sort=&offset=90&_ts=1685371107619&DT_from=01.06.2017&DT_to=31.07.2017&timeFilterType=0#hitlist;Sexualerziehung: Streit auf der Straße geht weiter;26.06.2017;;https://fazarchiv.faz.net/faz-portal/faz-archiv?q=Homo+Ehe&source=&max=30&sort=&offset=90&_ts=1685371107619&DT_from=01.06.2017&DT_to=31.07.2017&timeFilterType=0#;
1685371145-3;https://fazarchiv.faz.net/faz-portal/faz-archiv?q=Homo+Ehe&source=&max=30&sort=&offset=90&_ts=1685371107619&DT_from=01.06.2017&DT_to=31.07.2017&timeFilterType=0#hitlist;Wenn der Bäcker nicht backen will;26.06.2017;;https://fazarchiv.faz.net/faz-portal/faz-archiv?q=Homo+Ehe&source=&max=30&sort=&offset=90&_ts=1685371107619&DT_from=01.06.2017&DT_to=31.07.2017&timeFilterType=0#;
1685371145-4;https://fazarchiv.faz.net/faz-portal/faz-archiv?q=Homo+Ehe&source=&max=30&sort=&offset=90&_ts=1685371107619&DT_from=01.06.2017&DT_to=31.07.2017&timeFilterType=0#hitlist;Zwischen Aristokratie und Aufbruch;25.06.2017;;https://fazarchiv.faz.net/faz-portal/faz-archiv?q=Homo+Ehe&source=&max=30&sort=&offset=90&_ts=1685371107619&DT_from=01.06.2017&DT_to=31.07.2017&timeFilterType=0#;
1685371145-5;https://fazarchiv.faz.net/faz-portal/faz-archiv?q=Homo+Ehe&source=&max=30&sort=&offset=90&_ts=1685371107619&DT_from=01.06.2017&DT_to=31.07.2017&timeFilterType=0#hitlist;FDP soll "Ehe für alle" zur Koalitionsbedingung machen;24.06.2017;;https://fazarchiv.faz.net/faz-portal/faz-archiv?q=Homo+Ehe&source=&max=30&sort=&offset=90&_ts=1685371107619&DT_from=01.06.2017&DT_to=31.07.2017&timeFilterType=0#;
1685371145-6;https://fazarchiv.faz.net/faz-portal/faz-archiv?q=Homo+Ehe&source=&max=30&sort=&offset=90&_ts=1685371107619&DT_from=01.06.2017&DT_to=31.07.2017&timeFilterType=0#hitlist;Zwischen Aristokratie und Aufbruch;24.06.2017;;https://fazarchiv.faz.net/faz-portal/faz-archiv?q=Homo+Ehe&source=&max=30&sort=&offset=90&_ts=1685371107619&DT_from=01.06.2017&DT_to=31.07.2017&timeFilterType=0#;
1685371145-7;https://fazarchiv.faz.net/faz-portal/faz-archiv?q=Homo+Ehe&source=&max=30&sort=&offset=90&_ts=1685371107619&DT_from=01.06.2017&DT_to=31.07.2017&timeFilterType=0#hitlist;Vertraute Gegnerschaft;24.06.2017;;https://fazarchiv.faz.net/faz-portal/faz-archiv?q=Homo+Ehe&source=&max=30&sort=&offset=90&_ts=1685371107619&DT_from=01.06.2017&DT_to=31.07.2017&timeFilterType=0#;
1685371145-8;https://fazarchiv.faz.net/faz-portal/faz-archiv?q=Homo+Ehe&source=&max=30&sort=&offset=90&_ts=1685371107619&DT_from=01.06.2017&DT_to=31.07.2017&timeFilterType=0#hitlist;Vertraute Gegnerschaft;23.06.2017;;https://fazarchiv.faz.net/faz-portal/faz-archiv?q=Homo+Ehe&source=&max=30&sort=&offset=90&_ts=1685371107619&DT_from=01.06.2017&DT_to=31.07.2017&timeFilterType=0#;
1685371145-9;https://fazarchiv.faz.net/faz-portal/faz-archiv?q=Homo+Ehe&source=&max=30&sort=&offset=90&_ts=1685371107619&DT_from=01.06.2017&DT_to=31.07.2017&timeFilterType=0#hitlist;Dem Beispiel der Pinguine und Flamingos folgen;22.06.2017;;https://fazarchiv.faz.net/faz-portal/faz-archiv?q=Homo+Ehe&source=&max=30&sort=&offset=90&_ts=1685371107619&DT_from=01.06.2017&DT_to=31.07.2017&timeFilterType=0#;
1685371145-10;https://fazarchiv.faz.net/faz-portal/faz-archiv?q=Homo+Ehe&source=&max=30&sort=&offset=90&_ts=1685371107619&DT_from=01.06.2017&DT_to=31.07.2017&timeFilterType=0#hitlist;Mehrheit für Toleranz;22.06.2017;;https://fazarchiv.faz.net/faz-portal/faz-archiv?q=Homo+Ehe&source=&max=30&sort=&offset=90&_ts=1685371107619&DT_from=01.06.2017&DT_to=31.07.2017&timeFilterType=0#;
1685371145-11;https://fazarchiv.faz.net/faz-portal/faz-archiv?q=Homo+Ehe&source=&max=30&sort=&offset=90&_ts=1685371107619&DT_from=01.06.2017&DT_to=31.07.2017&timeFilterType=0#hitlist;Grüne verlieren in Karlsruhe;21.06.2017;;https://fazarchiv.faz.net/faz-portal/faz-archiv?q=Homo+Ehe&source=&max=30&sort=&offset=90&_ts=1685371107619&DT_from=01.06.2017&DT_to=31.07.2017&timeFilterType=0#;
1685371145-12;https://fazarchiv.faz.net/faz-portal/faz-archiv?q=Homo+Ehe&source=&max=30&sort=&offset=90&_ts=1685371107619&DT_from=01.06.2017&DT_to=31.07.2017&timeFilterType=0#hitlist;Grüne scheitern mit Antrag zur Homo-Ehe;20.06.2017;;https://fazarchiv.faz.net/faz-portal/faz-archiv?q=Homo+Ehe&source=&max=30&sort=&offset=90&_ts=1685371107619&DT_from=01.06.2017&DT_to=31.07.2017&timeFilterType=0#;
1685371145-13;https://fazarchiv.faz.net/faz-portal/faz-archiv?q=Homo+Ehe&source=&max=30&sort=&offset=90&_ts=1685371107619&DT_from=01.06.2017&DT_to=31.07.2017&timeFilterType=0#hitlist;Europas Werte verteidigen;17.06.2017;;https://fazarchiv.faz.net/faz-portal/faz-archiv?q=Homo+Ehe&source=&max=30&sort=&offset=90&_ts=1685371107619&DT_from=01.06.2017&DT_to=31.07.2017&timeFilterType=0#;
1685371145-14;https://fazarchiv.faz.net/faz-portal/faz-archiv?q=Homo+Ehe&source=&max=30&sort=&offset=90&_ts=1685371107619&DT_from=01.06.2017&DT_to=31.07.2017&timeFilterType=0#hitlist;Plötzlich Prinzessin;16.06.2017;;https://fazarchiv.faz.net/faz-portal/faz-archiv?q=Homo+Ehe&source=&max=30&sort=&offset=90&_ts=1685371107619&DT_from=01.06.2017&DT_to=31.07.2017&timeFilterType=0#;
1685371145-15;https://fazarchiv.faz.net/faz-portal/faz-archiv?q=Homo+Ehe&source=&max=30&sort=&offset=90&_ts=1685371107619&DT_from=01.06.2017&DT_to=31.07.2017&timeFilterType=0#hitlist;"Das ist das Ende des alten Systems";16.06.2017;;https://fazarchiv.faz.net/faz-portal/faz-archiv?q=Homo+Ehe&source=&max=30&sort=&offset=90&_ts=1685371107619&DT_from=01.06.2017&DT_to=31.07.2017&timeFilterType=0#;
1685371145-16;https://fazarchiv.faz.net/faz-portal/faz-archiv?q=Homo+Ehe&source=&max=30&sort=&offset=90&_ts=1685371107619&DT_from=01.06.2017&DT_to=31.07.2017&timeFilterType=0#hitlist;Kämpft für die sexuelle Freiheit!;14.06.2017;;https://fazarchiv.faz.net/faz-portal/faz-archiv?q=Homo+Ehe&source=&max=30&sort=&offset=90&_ts=1685371107619&DT_from=01.06.2017&DT_to=31.07.2017&timeFilterType=0#;
