web-scraper-order;web-scraper-start-url;Headline;Date;URL;URL-href;
1685288804-1;https://www.handelsblatt.com/suche/?p3616352=322&sw=Bildung&search-ressort=-1&search-doctype=article&search-authorids=-1&search-fromdate=01.01.2013&search-todate=20.05.2023&search-sort=date;„Deutsche zeigen weniger Initiative“;16.01.2013;;https://www.handelsblatt.com/karriere/interview-haniel-personalchef-deutsche-absolventen-zeigen-weniger-initiative/7638976.html
1685288804-2;https://www.handelsblatt.com/suche/?p3616352=322&sw=Bildung&search-ressort=-1&search-doctype=article&search-authorids=-1&search-fromdate=01.01.2013&search-todate=20.05.2023&search-sort=date;US-Lehrer belegen zu Hunderten Waffenkurse;08.01.2013;;https://www.handelsblatt.com/politik/international/ohio-und-texas-us-lehrer-belegen-zu-hunderten-waffenkurse/7604080.html
1685288812-6;https://www.handelsblatt.com/suche/?p3616352=321&sw=Bildung&search-ressort=-1&search-doctype=article&search-authorids=-1&search-fromdate=01.01.2013&search-todate=20.05.2023&search-sort=date;Die Tricks der Anlagebetrüger;04.03.2013;;https://www.handelsblatt.com/finanzen/steuern-recht/recht/geschlossene-fonds-die-tricks-der-anlagebetrueger/7858228.html
1685288812-7;https://www.handelsblatt.com/suche/?p3616352=321&sw=Bildung&search-ressort=-1&search-doctype=article&search-authorids=-1&search-fromdate=01.01.2013&search-todate=20.05.2023&search-sort=date;Grüne starten Angriff auf Deutschlands Elite;04.03.2013;;https://www.handelsblatt.com/politik/deutschland/dr-nicht-mehr-im-pass-gruene-starten-angriff-auf-deutschlands-elite/7863758.html
1685288812-8;https://www.handelsblatt.com/suche/?p3616352=321&sw=Bildung&search-ressort=-1&search-doctype=article&search-authorids=-1&search-fromdate=01.01.2013&search-todate=20.05.2023&search-sort=date;Schuldruck für Eltern;25.02.2013;;https://www.handelsblatt.com/politik/deutschland/leistungsanforderungen-schuldruck-fuer-eltern/7838836.html
1685288812-9;https://www.handelsblatt.com/suche/?p3616352=321&sw=Bildung&search-ressort=-1&search-doctype=article&search-authorids=-1&search-fromdate=01.01.2013&search-todate=20.05.2023&search-sort=date;„Die ist so schön, die kann doch nur blöd sein“;24.02.2013;;https://www.handelsblatt.com/karriere/attraktivitaetsforschung-die-ist-so-schoen-die-kann-doch-nur-bloed-sein/7819454.html
1685288812-10;https://www.handelsblatt.com/suche/?p3616352=321&sw=Bildung&search-ressort=-1&search-doctype=article&search-authorids=-1&search-fromdate=01.01.2013&search-todate=20.05.2023&search-sort=date;„Wir mögen Menschen nicht, die sich in den Vordergrund spielen“;19.02.2013;;https://www.handelsblatt.com/unternehmen/handel-konsumgueter/whu-otto-beisheim-school-wir-moegen-menschen-nicht-die-sich-in-den-vordergrund-spielen/7806508.html
1685288812-11;https://www.handelsblatt.com/suche/?p3616352=321&sw=Bildung&search-ressort=-1&search-doctype=article&search-authorids=-1&search-fromdate=01.01.2013&search-todate=20.05.2023&search-sort=date;Frankreich im Dickicht der Vorstädte;19.02.2013;;https://www.handelsblatt.com/politik/international/frankreich-verloren-im-dickicht-der-vorstaedte/7806232.html
1685288812-12;https://www.handelsblatt.com/suche/?p3616352=321&sw=Bildung&search-ressort=-1&search-doctype=article&search-authorids=-1&search-fromdate=01.01.2013&search-todate=20.05.2023&search-sort=date;Gott braucht einen neuen Stellvertreter auf Erden;12.02.2013;;https://www.handelsblatt.com/politik/international/geruechtekueche-brodelt-gott-braucht-einen-neuen-stellvertreter-auf-erden/7769912.html
1685288812-13;https://www.handelsblatt.com/suche/?p3616352=321&sw=Bildung&search-ressort=-1&search-doctype=article&search-authorids=-1&search-fromdate=01.01.2013&search-todate=20.05.2023&search-sort=date;Ex-Präsident der EBS muss vor Gericht;30.01.2013;;https://www.handelsblatt.com/unternehmen/management/european-business-school-ex-praesident-der-ebs-muss-vor-gericht/7710362.html
