web-scraper-order;web-scraper-start-url;Headline;Date;URL;URL-href;
1685292251-1;https://www.handelsblatt.com/suche/?p3616352=768&sw=Coronavirus&search-ressort=-1&search-doctype=article&search-authorids=-1&search-fromdate=01.01.2013&search-todate=20.05.2023&search-sort=date;China bestätigt Mutation des Coronavirus – erster Fall in den USA;22.01.2020;;https://www.handelsblatt.com/politik/international/virus-china-bestaetigt-mutation-des-coronavirus-erster-fall-in-den-usa/25458592.html
1685292251-2;https://www.handelsblatt.com/suche/?p3616352=768&sw=Coronavirus&search-ressort=-1&search-doctype=article&search-authorids=-1&search-fromdate=01.01.2013&search-todate=20.05.2023&search-sort=date;Dax macht Verluste wett und schließt im Plus – Luxus-Aktien verlieren 15 Milliarden Euro an Wert;21.01.2020;;https://www.handelsblatt.com/finanzen/maerkte/marktberichte/dax-aktuell-dax-macht-verluste-wett-und-schliesst-im-plus-luxus-aktien-verlieren-15-milliarden-euro-an-wert/25454810.html
1685292251-3;https://www.handelsblatt.com/suche/?p3616352=768&sw=Coronavirus&search-ressort=-1&search-doctype=article&search-authorids=-1&search-fromdate=01.01.2013&search-todate=20.05.2023&search-sort=date;Sieben Dinge, die für Anleger heute wichtig sind;21.01.2020;;https://www.handelsblatt.com/finanzen/maerkte/marktberichte/boerse-am-21-januar-sieben-dinge-die-fuer-anleger-heute-wichtig-sind/25453838.html
1685292251-4;https://www.handelsblatt.com/suche/?p3616352=768&sw=Coronavirus&search-ressort=-1&search-doctype=article&search-authorids=-1&search-fromdate=01.01.2013&search-todate=20.05.2023&search-sort=date;Sorgen vor steigendem Virus-Risiko belasten asiatische Börsen;21.01.2020;;https://www.handelsblatt.com/finanzen/maerkte/marktberichte/nikkei-topix-und-co-sorgen-vor-steigendem-virus-risiko-belasten-asiatische-boersen/25454462.html
1685292251-5;https://www.handelsblatt.com/suche/?p3616352=768&sw=Coronavirus&search-ressort=-1&search-doctype=article&search-authorids=-1&search-fromdate=01.01.2013&search-todate=20.05.2023&search-sort=date;Mysteriöse Lungenkrankheit: China fürchtet Ausbreitung des Coronavirus;22.01.2020;;https://www.handelsblatt.com/politik/international/krankheitserreger-mysterioese-lungenkrankheit-china-fuerchtet-ausbreitung-des-coronavirus/25451878.html
1685292251-6;https://www.handelsblatt.com/suche/?p3616352=768&sw=Coronavirus&search-ressort=-1&search-doctype=article&search-authorids=-1&search-fromdate=01.01.2013&search-todate=20.05.2023&search-sort=date;Mysteriöse Lungenkrankheit breitet sich aus – Erste Erkrankungen außerhalb Chinas;20.01.2020;;https://www.handelsblatt.com/technik/medizin/coronavirus-mysterioese-lungenkrankheit-breitet-sich-aus-erste-erkrankungen-ausserhalb-chinas/25451130.html
1685292251-7;https://www.handelsblatt.com/suche/?p3616352=768&sw=Coronavirus&search-ressort=-1&search-doctype=article&search-authorids=-1&search-fromdate=01.01.2013&search-todate=20.05.2023&search-sort=date;Mysteriöse Lungenkrankheit in China: Ausmaß wohl deutlich größer als bisher angenommen;19.01.2020;;https://www.handelsblatt.com/technik/medizin/coronavirus-mysterioese-lungenkrankheit-in-china-ausmass-wohl-deutlich-groesser-als-bisher-angenommen/25448782.html
1685292251-8;https://www.handelsblatt.com/suche/?p3616352=768&sw=Coronavirus&search-ressort=-1&search-doctype=article&search-authorids=-1&search-fromdate=01.01.2013&search-todate=20.05.2023&search-sort=date;Aktiengewinne abgesichert;14.01.2020;;https://www.handelsblatt.com/finanzen/anlagestrategie/musterdepots/privatbank-musterdepot-aktiengewinne-abgesichert/25508060.html
1685292251-9;https://www.handelsblatt.com/suche/?p3616352=768&sw=Coronavirus&search-ressort=-1&search-doctype=article&search-authorids=-1&search-fromdate=01.01.2013&search-todate=20.05.2023&search-sort=date;Wird das Mersvirus plötzlich ansteckender?;05.05.2014;;https://www.handelsblatt.com/technik/medizin/gefaehrlicher-krankheitserreger-wird-das-mersvirus-ploetzlich-ansteckender/9844628.html
1685292257-27;https://www.handelsblatt.com/suche/?p3616352=767&sw=Coronavirus&search-ressort=-1&search-doctype=article&search-authorids=-1&search-fromdate=01.01.2013&search-todate=20.05.2023&search-sort=date;Morning Briefing für die Ohren;23.01.2020;;https://www.handelsblatt.com/audio/podcast-morning-briefing/audio-23-januar-morning-briefing-fuer-die-ohren/25463592.html
