web-scraper-order;web-scraper-start-url;Headline;Date;URL;URL-href;
1685295394-1;https://www.handelsblatt.com/suche/?p3616352=7&sw=Homo+Ehe&search-ressort=-1&search-doctype=article&search-authorids=-1&search-sort=date;Homo-Ehe: Schätzungsweise 6000 Paare sagten Ja;24.07.2004;;https://www.handelsblatt.com/archiv/homo-ehe-schaetzungsweise-6000-paare-sagten-ja/2370028.html
1685295394-2;https://www.handelsblatt.com/suche/?p3616352=7&sw=Homo+Ehe&search-ressort=-1&search-doctype=article&search-authorids=-1&search-sort=date;Erste Scheidung einer lesbischen Ehe in KanadaDPA-Datum: 2004-07-21 18:48:00;17.07.2004;;https://www.handelsblatt.com/archiv/erste-scheidung-einer-lesbischen-ehe-in-kanadadpa-datum-2004-07-21-18-48-00/2365240.html
1685295394-3;https://www.handelsblatt.com/suche/?p3616352=7&sw=Homo+Ehe&search-ressort=-1&search-doctype=article&search-authorids=-1&search-sort=date;Bush kritisiert Homo-Ehen - über 1000 Paare wollen heiraten;13.05.2004;;https://www.handelsblatt.com/archiv/bush-kritisiert-homo-ehen-ueber-1000-paare-wollen-heiraten/2329410.html
1685295394-4;https://www.handelsblatt.com/suche/?p3616352=7&sw=Homo+Ehe&search-ressort=-1&search-doctype=article&search-authorids=-1&search-sort=date;Massachusetts schreibt Geschichte - Lesben und Schwule heiraten;13.05.2004;;https://www.handelsblatt.com/archiv/massachusetts-schreibt-geschichte-lesben-und-schwule-heiraten/2329328.html
1685295394-5;https://www.handelsblatt.com/suche/?p3616352=7&sw=Homo+Ehe&search-ressort=-1&search-doctype=article&search-authorids=-1&search-sort=date;Massachusetts schreibt Geschichte - erste legale Homo-Ehen;12.05.2004;;https://www.handelsblatt.com/archiv/massachusetts-schreibt-geschichte-erste-legale-homo-ehen/2328798.html
1685295394-6;https://www.handelsblatt.com/suche/?p3616352=7&sw=Homo+Ehe&search-ressort=-1&search-doctype=article&search-authorids=-1&search-sort=date;Massachusetts schreibt Geschichte - Lesben und Schwule heiraten;12.05.2004;;https://www.handelsblatt.com/archiv/massachusetts-schreibt-geschichte-lesben-und-schwule-heiraten/2328740.html
1685295394-7;https://www.handelsblatt.com/suche/?p3616352=7&sw=Homo+Ehe&search-ressort=-1&search-doctype=article&search-authorids=-1&search-sort=date;In Massachusetts dürfen Lesben und Schwule jetzt legal heiraten;11.05.2004;;https://www.handelsblatt.com/archiv/in-massachusetts-duerfen-lesben-und-schwule-jetzt-legal-heiraten/2328336.html
1685295394-8;https://www.handelsblatt.com/suche/?p3616352=7&sw=Homo+Ehe&search-ressort=-1&search-doctype=article&search-authorids=-1&search-sort=date;Zu jung für die Seniorentour;03.09.2003;;https://www.handelsblatt.com/archiv/navratilovas-verhaeltnis-zum-new-yorker-publikum-war-nicht-immer-das-beste-zu-jung-fuer-die-seniorentour/2270414.html
1685295394-9;https://www.handelsblatt.com/suche/?p3616352=7&sw=Homo+Ehe&search-ressort=-1&search-doctype=article&search-authorids=-1&search-sort=date;Im Einsatz für Schröder;06.09.2002;;https://www.handelsblatt.com/archiv/tagebuch-der-handelsblatt-reporter-im-einsatz-fuer-schroeder/2195232.html
1685295399-27;https://www.handelsblatt.com/suche/?p3616352=6&sw=Homo+Ehe&search-ressort=-1&search-doctype=article&search-authorids=-1&search-sort=date;Spaniens Schwule flippen aus, Gläubige verzweifeln;30.06.2005;;https://www.handelsblatt.com/archiv/spaniens-schwule-flippen-aus-glaeubige-verzweifeln/2519750.html
1685295399-28;https://www.handelsblatt.com/suche/?p3616352=6&sw=Homo+Ehe&search-ressort=-1&search-doctype=article&search-authorids=-1&search-sort=date;Rot-Grün will steuerliche Gleichstellung der Homo-Ehe;25.01.2005;;https://www.handelsblatt.com/politik/deutschland/widerstand-von-cdu-und-csu-rot-gruen-will-steuerliche-gleichstellung-der-homo-ehe/2467704.html
1685295399-29;https://www.handelsblatt.com/suche/?p3616352=6&sw=Homo+Ehe&search-ressort=-1&search-doctype=article&search-authorids=-1&search-sort=date;Der moralische Feldzug;05.11.2004;;https://www.handelsblatt.com/archiv/bush-traf-mit-seiner-wertediskussion-den-grundton-der-amerikaner-der-moralische-feldzug/2430988.html
1685295399-30;https://www.handelsblatt.com/suche/?p3616352=6&sw=Homo+Ehe&search-ressort=-1&search-doctype=article&search-authorids=-1&search-sort=date;Bush will die Welt im Anti-Terrorkrieg vereinen;04.11.2004;;https://www.handelsblatt.com/archiv/bush-will-die-welt-im-anti-terrorkrieg-vereinen/2429782.html
