web-scraper-order;web-scraper-start-url;Headline;Date;URL;URL-href;
1685285769-1;https://www.handelsblatt.com/suche/?p3616352=324&sw=klimawandel&search-ressort=-1&search-doctype=article&search-authorids=-1&search-fromdate=01.01.2013&search-todate=14.05.2023&search-sort=date;Das Luftschiff-Labor;18.05.2013;;https://www.handelsblatt.com/technik/forschung-innovation/klimaforschung-das-luftschiff-labor/8224204.html
1685285769-2;https://www.handelsblatt.com/suche/?p3616352=324&sw=klimawandel&search-ressort=-1&search-doctype=article&search-authorids=-1&search-fromdate=01.01.2013&search-todate=14.05.2023&search-sort=date;Papst Prius, der Sparsame;14.03.2013;;https://www.handelsblatt.com/mobilitaet/motor/handelsblatt-autotest/toyota-im-handelsblatt-test-papst-prius-der-sparsame/7921212.html
1685285774-6;https://www.handelsblatt.com/suche/?p3616352=323&sw=klimawandel&search-ressort=-1&search-doctype=article&search-authorids=-1&search-fromdate=01.01.2013&search-todate=14.05.2023&search-sort=date;„Mein Licht brennt, bis es wieder hell wird“;18.04.2014;;https://www.handelsblatt.com/meinung/gastbeitraege/gastbeitrag-zum-klimawandel-mein-licht-brennt-bis-es-wieder-hell-wird/9778084.html
1685285774-7;https://www.handelsblatt.com/suche/?p3616352=323&sw=klimawandel&search-ressort=-1&search-doctype=article&search-authorids=-1&search-fromdate=01.01.2013&search-todate=14.05.2023&search-sort=date;Milliardär Branson plant Einstieg ins Kreuzfahrtgeschäft;25.03.2014;;https://www.handelsblatt.com/unternehmen/management/virgin-gruender-milliardaer-branson-plant-einstieg-ins-kreuzfahrtgeschaeft/9666598.html
1685285774-8;https://www.handelsblatt.com/suche/?p3616352=323&sw=klimawandel&search-ressort=-1&search-doctype=article&search-authorids=-1&search-fromdate=01.01.2013&search-todate=14.05.2023&search-sort=date;Tiere wandern ihrem gewohnten Klima hinterher;04.03.2014;;https://www.handelsblatt.com/technik/energie-umwelt/lebensraum-tiere-wandern-ihrem-gewohnten-klima-hinterher/9567412.html
1685285774-9;https://www.handelsblatt.com/suche/?p3616352=323&sw=klimawandel&search-ressort=-1&search-doctype=article&search-authorids=-1&search-fromdate=01.01.2013&search-todate=14.05.2023&search-sort=date;Klimaskeptiker verspotten Antarktis-Forscher;03.01.2014;;https://www.handelsblatt.com/technik/energie-umwelt/nach-rettungsmission-klimaskeptiker-verspotten-antarktis-forscher/9283278.html
1685285774-10;https://www.handelsblatt.com/suche/?p3616352=323&sw=klimawandel&search-ressort=-1&search-doctype=article&search-authorids=-1&search-fromdate=01.01.2013&search-todate=14.05.2023&search-sort=date;Bahnverkehr beeinträchtigt, drei Tote in Polen;06.12.2013;;https://www.handelsblatt.com/arts_und_style/aus-aller-welt/liveblog-orkan-xaver-bahnverkehr-beeintraechtigt-drei-tote-in-polen/9173204.html
1685285774-11;https://www.handelsblatt.com/suche/?p3616352=323&sw=klimawandel&search-ressort=-1&search-doctype=article&search-authorids=-1&search-fromdate=01.01.2013&search-todate=14.05.2023&search-sort=date;„Wir sehen uns öfter als unsere Ehefrauen“;04.12.2013;;https://www.handelsblatt.com/unternehmen/mittelstand/unternehmensportraet-falke-wir-sehen-uns-oefter-als-unsere-ehefrauen/9135022.html
1685285774-12;https://www.handelsblatt.com/suche/?p3616352=323&sw=klimawandel&search-ressort=-1&search-doctype=article&search-authorids=-1&search-fromdate=01.01.2013&search-todate=14.05.2023&search-sort=date;Offene Fragen und kleine Erfolge;22.11.2013;;https://www.handelsblatt.com/politik/international/warschauer-klimakonferenz-offene-fragen-und-kleine-erfolge/9117388.html
1685285774-13;https://www.handelsblatt.com/suche/?p3616352=323&sw=klimawandel&search-ressort=-1&search-doctype=article&search-authorids=-1&search-fromdate=01.01.2013&search-todate=14.05.2023&search-sort=date;Kampf gegen die Plastik-Plage;04.11.2013;;https://www.handelsblatt.com/politik/international/eu-will-tueten-verbieten-kampf-gegen-die-plastik-plage/9024478.html
1685285774-14;https://www.handelsblatt.com/suche/?p3616352=323&sw=klimawandel&search-ressort=-1&search-doctype=article&search-authorids=-1&search-fromdate=01.01.2013&search-todate=14.05.2023&search-sort=date;Was Ohrenschmalz über Wale verrät;17.09.2013;;https://www.handelsblatt.com/technik/forschung-innovation/meeressaeuger-was-ohrenschmalz-ueber-wale-verraet/8804806.html
1685285774-15;https://www.handelsblatt.com/suche/?p3616352=323&sw=klimawandel&search-ressort=-1&search-doctype=article&search-authorids=-1&search-fromdate=01.01.2013&search-todate=14.05.2023&search-sort=date;Freiheit mit Gerechtigkeit;19.06.2013;;https://www.handelsblatt.com/politik/international/obama-rede-in-berlin-freiheit-mit-gerechtigkeit/8378942.html
1685285796-35;https://www.handelsblatt.com/suche/?p3616352=322&sw=klimawandel&search-ressort=-1&search-doctype=article&search-authorids=-1&search-fromdate=01.01.2013&search-todate=14.05.2023&search-sort=date;„Desertec ist keineswegs gescheitert“;13.10.2014;;https://www.handelsblatt.com/technik/energie-umwelt/wuestenstromprojekt-desertec-ist-keineswegs-gescheitert/10829760.html
1685285796-36;https://www.handelsblatt.com/suche/?p3616352=322&sw=klimawandel&search-ressort=-1&search-doctype=article&search-authorids=-1&search-fromdate=01.01.2013&search-todate=14.05.2023&search-sort=date;Was Sie über den Klimawandel noch nicht wussten;23.09.2014;;https://www.handelsblatt.com/technik/energie-umwelt/sechs-szenarien-was-sie-ueber-den-klimawandel-noch-nicht-wussten/10738108.html
1685285796-37;https://www.handelsblatt.com/suche/?p3616352=322&sw=klimawandel&search-ressort=-1&search-doctype=article&search-authorids=-1&search-fromdate=01.01.2013&search-todate=14.05.2023&search-sort=date;Von Pumpen und Pionieren;16.09.2014;;https://www.handelsblatt.com/unternehmen/mittelstand/hidden_champions/hidden-champion-wilo-von-pumpen-und-pionieren/10703216.html
1685285796-38;https://www.handelsblatt.com/suche/?p3616352=322&sw=klimawandel&search-ressort=-1&search-doctype=article&search-authorids=-1&search-fromdate=01.01.2013&search-todate=14.05.2023&search-sort=date;Von Weltraum-Spiegeln und Schwefelwolken;14.08.2014;;https://www.handelsblatt.com/technik/das-technologie-update/nachgeforscht/g-wie-geo-engineering-von-weltraum-spiegeln-und-schwefelwolken/10168076.html
1685285796-39;https://www.handelsblatt.com/suche/?p3616352=322&sw=klimawandel&search-ressort=-1&search-doctype=article&search-authorids=-1&search-fromdate=01.01.2013&search-todate=14.05.2023&search-sort=date;Teuer, dreckig, ungerecht;04.08.2014;;https://www.handelsblatt.com/technik/das-technologie-update/energie/benzin-subventionen-teuer-dreckig-ungerecht/10287606.html
1685285796-40;https://www.handelsblatt.com/suche/?p3616352=322&sw=klimawandel&search-ressort=-1&search-doctype=article&search-authorids=-1&search-fromdate=01.01.2013&search-todate=14.05.2023&search-sort=date;Auf der Suche nach dem aromatischen Achtprozenter;27.07.2014;;https://www.handelsblatt.com/arts_und_style/lifestyle/juergens-weinlese/juergens-weinlese-auf-der-suche-nach-dem-aromatischen-achtprozenter/10238972.html
1685285796-41;https://www.handelsblatt.com/suche/?p3616352=322&sw=klimawandel&search-ressort=-1&search-doctype=article&search-authorids=-1&search-fromdate=01.01.2013&search-todate=14.05.2023&search-sort=date;Wissen, wo der Blitz einschlägt;08.07.2014;;https://www.handelsblatt.com/technik/forschung-innovation/blitzdienst-wissen-wo-der-blitz-einschlaegt-/10167042.html
1685285796-42;https://www.handelsblatt.com/suche/?p3616352=322&sw=klimawandel&search-ressort=-1&search-doctype=article&search-authorids=-1&search-fromdate=01.01.2013&search-todate=14.05.2023&search-sort=date;Australische Umweltschützer loben Deutsche Bank;26.05.2014;;https://www.handelsblatt.com/finanzen/banken-versicherungen/banken/great-barrier-reef-australische-umweltschuetzer-loben-deutsche-bank/9951446.html
1685285796-43;https://www.handelsblatt.com/suche/?p3616352=322&sw=klimawandel&search-ressort=-1&search-doctype=article&search-authorids=-1&search-fromdate=01.01.2013&search-todate=14.05.2023&search-sort=date;Studenten protestieren gegen ökonomische Lehre;04.05.2014;;https://www.handelsblatt.com/politik/konjunktur/oekonomie/nachrichten/einseitig-und-realitaetsfern-studenten-protestieren-gegen-oekonomische-lehre/9842976.html
1685285796-44;https://www.handelsblatt.com/suche/?p3616352=322&sw=klimawandel&search-ressort=-1&search-doctype=article&search-authorids=-1&search-fromdate=01.01.2013&search-todate=14.05.2023&search-sort=date;Was tun, wenn das ganze Land im Meer versinkt?;19.04.2014;;https://www.handelsblatt.com/technik/energie-umwelt/malediven-was-tun-wenn-das-ganze-land-im-meer-versinkt/9774826.html
1685285800-64;https://www.handelsblatt.com/suche/?p3616352=321&sw=klimawandel&search-ressort=-1&search-doctype=article&search-authorids=-1&search-fromdate=01.01.2013&search-todate=14.05.2023&search-sort=date;Mit Bakterien zum fast perfekten Beton;27.04.2015;;https://www.handelsblatt.com/technik/forschung-innovation/europaeischer-erfinderpreis-mit-bakterien-zum-fast-perfekten-beton/11694006.html
