web-scraper-order;web-scraper-start-url;Headline;Date;URL;URL-href;
1685292124-1;https://www.handelsblatt.com/suche/?p3616352=107&sw=Migration&search-ressort=-1&search-doctype=article&search-authorids=-1&search-fromdate=01.01.2013&search-todate=14.05.2023&search-sort=date;Flüchtlinge künftig auch im Gewerbegebiet;03.11.2014;;https://www.handelsblatt.com/politik/deutschland/asylbewerber-gesetz-fluechtlinge-kuenftig-auch-im-gewerbegebiet/10923358.html
1685292124-2;https://www.handelsblatt.com/suche/?p3616352=107&sw=Migration&search-ressort=-1&search-doctype=article&search-authorids=-1&search-fromdate=01.01.2013&search-todate=14.05.2023&search-sort=date;Herzlich willkommen – aber nicht bei uns;25.09.2014;;https://www.handelsblatt.com/politik/international/fluechtlinge-herzlich-willkommen-aber-nicht-bei-uns/10749422.html
1685292124-3;https://www.handelsblatt.com/suche/?p3616352=107&sw=Migration&search-ressort=-1&search-doctype=article&search-authorids=-1&search-fromdate=01.01.2013&search-todate=14.05.2023&search-sort=date;Die falsche Angst vor „Sozialtourismus“;08.10.2013;;https://www.handelsblatt.com/politik/deutschland/armutszuwanderung-die-falsche-angst-vor-sozialtourismus/8902544.html
1685292124-4;https://www.handelsblatt.com/suche/?p3616352=107&sw=Migration&search-ressort=-1&search-doctype=article&search-authorids=-1&search-fromdate=01.01.2013&search-todate=14.05.2023&search-sort=date;AfD-Unterstützer beraten Wirtschaftsminister Rösler;13.09.2013;;https://www.handelsblatt.com/politik/deutschland/bundestagswahl-2013/wissenschaftlicher-beirat-afd-unterstuetzer-beraten-wirtschaftsminister-roesler/8780820.html
1685292124-5;https://www.handelsblatt.com/suche/?p3616352=107&sw=Migration&search-ressort=-1&search-doctype=article&search-authorids=-1&search-fromdate=01.01.2013&search-todate=14.05.2023&search-sort=date;Brennende Autos in den Stockholmer Vorstädten;23.05.2013;;https://www.handelsblatt.com/politik/international/proteste-in-schweden-brennende-autos-in-den-stockholmer-vorstaedten/8245704.html
1685292129-15;https://www.handelsblatt.com/suche/?p3616352=106&sw=Migration&search-ressort=-1&search-doctype=article&search-authorids=-1&search-fromdate=01.01.2013&search-todate=14.05.2023&search-sort=date;Wohnort Flüchtlingslager;06.08.2015;;https://www.handelsblatt.com/arts_und_style/aus-aller-welt/ortsbesuch-wohnort-fluechtlingslager/12149884.html
1685292129-16;https://www.handelsblatt.com/suche/?p3616352=106&sw=Migration&search-ressort=-1&search-doctype=article&search-authorids=-1&search-fromdate=01.01.2013&search-todate=14.05.2023&search-sort=date;Task Force für Flüchtlinge gefordert;01.08.2015;;https://www.handelsblatt.com/politik/deutschland/asylpolitik-in-deutschland-task-force-fuer-fluechtlinge-gefordert/12133380.html
1685292129-17;https://www.handelsblatt.com/suche/?p3616352=106&sw=Migration&search-ressort=-1&search-doctype=article&search-authorids=-1&search-fromdate=01.01.2013&search-todate=14.05.2023&search-sort=date;Cameron baut an der Festung Großbritannien;31.07.2015;;https://www.handelsblatt.com/politik/international/fluechtlingspolitik-cameron-baut-an-der-festung-grossbritannien/12125266.html
1685292129-18;https://www.handelsblatt.com/suche/?p3616352=106&sw=Migration&search-ressort=-1&search-doctype=article&search-authorids=-1&search-fromdate=01.01.2013&search-todate=14.05.2023&search-sort=date;Kubaner riskieren alles für Leben in den USA;14.06.2015;;https://www.handelsblatt.com/politik/international/migration-in-die-usa-kubaner-riskieren-alles-fuer-leben-in-den-usa/11915948.html
1685292129-19;https://www.handelsblatt.com/suche/?p3616352=106&sw=Migration&search-ressort=-1&search-doctype=article&search-authorids=-1&search-fromdate=01.01.2013&search-todate=14.05.2023&search-sort=date;Export-Hits aus Deutschland;16.05.2015;;https://www.handelsblatt.com/arts_und_style/aus-aller-welt/erfolgreiche-auswanderer-export-hits-aus-deutschland/11781076.html
1685292129-20;https://www.handelsblatt.com/suche/?p3616352=106&sw=Migration&search-ressort=-1&search-doctype=article&search-authorids=-1&search-fromdate=01.01.2013&search-todate=14.05.2023&search-sort=date;Wutbürgerlich;07.05.2015;;https://www.handelsblatt.com/politik/deutschland/asylbewerber-wutbuergerlich/11740984.html
1685292129-21;https://www.handelsblatt.com/suche/?p3616352=106&sw=Migration&search-ressort=-1&search-doctype=article&search-authorids=-1&search-fromdate=01.01.2013&search-todate=14.05.2023&search-sort=date;Deutschland verliert massenhaft Erwerbstätige;28.04.2015;;https://www.handelsblatt.com/politik/deutschland/statistisches-bundesamt-deutschland-verliert-massenhaft-erwerbstaetige/11700192.html
1685292129-22;https://www.handelsblatt.com/suche/?p3616352=106&sw=Migration&search-ressort=-1&search-doctype=article&search-authorids=-1&search-fromdate=01.01.2013&search-todate=14.05.2023&search-sort=date;Die Abschottung bleibt;23.04.2015;;https://www.handelsblatt.com/politik/international/kommentar-zur-eu-fluechtlingspolitik-die-abschottung-bleibt/11681838.html
1685292129-23;https://www.handelsblatt.com/suche/?p3616352=106&sw=Migration&search-ressort=-1&search-doctype=article&search-authorids=-1&search-fromdate=01.01.2013&search-todate=14.05.2023&search-sort=date;Eine Million Flüchtlinge warten in Libyen;20.04.2015;;https://www.handelsblatt.com/arts_und_style/aus-aller-welt/schiffsungluecke-im-mittelmeer-eine-million-fluechtlinge-warten-in-libyen/11661308.html
1685292129-24;https://www.handelsblatt.com/suche/?p3616352=106&sw=Migration&search-ressort=-1&search-doctype=article&search-authorids=-1&search-fromdate=01.01.2013&search-todate=14.05.2023&search-sort=date;Teure Technik aus der Vergangenheit;15.12.2014;;https://www.handelsblatt.com/unternehmen/it-medien/windows-xp-im-bundestag-teure-technik-aus-der-vergangenheit/11120296.html
1685292135-44;https://www.handelsblatt.com/suche/?p3616352=105&sw=Migration&search-ressort=-1&search-doctype=article&search-authorids=-1&search-fromdate=01.01.2013&search-todate=14.05.2023&search-sort=date;Söder bringt die CSU auf AfD-Kurs;10.09.2015;;https://www.handelsblatt.com/politik/deutschland/asylrecht-soeder-bringt-die-csu-auf-afd-kurs/12302564.html
1685292135-45;https://www.handelsblatt.com/suche/?p3616352=105&sw=Migration&search-ressort=-1&search-doctype=article&search-authorids=-1&search-fromdate=01.01.2013&search-todate=14.05.2023&search-sort=date;AfD-„Hetze“ gegen Flüchtlinge schreckt Koalition auf;09.09.2015;;https://www.handelsblatt.com/politik/deutschland/alternative-fuer-deutschland-afd-hetze-gegen-fluechtlinge-schreckt-koalition-auf/12297504.html
1685292135-46;https://www.handelsblatt.com/suche/?p3616352=105&sw=Migration&search-ressort=-1&search-doctype=article&search-authorids=-1&search-fromdate=01.01.2013&search-todate=14.05.2023&search-sort=date;4000 Flüchtlinge in München eingetroffen;10.09.2015;;https://www.handelsblatt.com/politik/deutschland/liveblog-zur-fluechtlingskrise-4000-fluechtlinge-in-muenchen-eingetroffen/12295534.html
1685292135-47;https://www.handelsblatt.com/suche/?p3616352=105&sw=Migration&search-ressort=-1&search-doctype=article&search-authorids=-1&search-fromdate=01.01.2013&search-todate=14.05.2023&search-sort=date;Hauptstadt-AfD will nicht gegen Flüchtlinge demonstrieren;28.08.2015;;https://www.handelsblatt.com/politik/deutschland/alternative-fuer-deutschland-hauptstadt-afd-will-nicht-gegen-fluechtlinge-demonstrieren/12246292.html
1685292135-48;https://www.handelsblatt.com/suche/?p3616352=105&sw=Migration&search-ressort=-1&search-doctype=article&search-authorids=-1&search-fromdate=01.01.2013&search-todate=14.05.2023&search-sort=date;De Maizière sucht unkonventionell Mitarbeiter für Flüchtlingsbehörde;27.08.2015;;https://www.handelsblatt.com/politik/deutschland/pensionaere-zoll-bundeswehr-de-maiziere-sucht-unkonventionell-mitarbeiter-fuer-fluechtlingsbehoerde/12245680.html
1685292135-49;https://www.handelsblatt.com/suche/?p3616352=105&sw=Migration&search-ressort=-1&search-doctype=article&search-authorids=-1&search-fromdate=01.01.2013&search-todate=14.05.2023&search-sort=date;„Es ist ein Lastwagen voller Leichen“;27.08.2015;;https://www.handelsblatt.com/politik/international/fluechtlings-drama-in-oesterreich-es-ist-ein-lastwagen-voller-leichen/12242322.html
1685292135-50;https://www.handelsblatt.com/suche/?p3616352=105&sw=Migration&search-ressort=-1&search-doctype=article&search-authorids=-1&search-fromdate=01.01.2013&search-todate=14.05.2023&search-sort=date;„Die Mutti kommt zu Multi-Kulti“;25.08.2015;;https://www.handelsblatt.com/politik/deutschland/angela-merkel-in-duisburg-marxloh-die-mutti-kommt-zu-multi-kulti/12231716.html
1685292135-51;https://www.handelsblatt.com/suche/?p3616352=105&sw=Migration&search-ressort=-1&search-doctype=article&search-authorids=-1&search-fromdate=01.01.2013&search-todate=14.05.2023&search-sort=date;„Montenegro ist ein sicheres Herkunftsland“;23.08.2015;;https://www.handelsblatt.com/politik/international/premierminister-milo-dukanovic-montenegro-ist-ein-sicheres-herkunftsland/12224060.html
1685292135-52;https://www.handelsblatt.com/suche/?p3616352=105&sw=Migration&search-ressort=-1&search-doctype=article&search-authorids=-1&search-fromdate=01.01.2013&search-todate=14.05.2023&search-sort=date;Christen willkommen, Muslime nicht?;20.08.2015;;https://www.handelsblatt.com/politik/international/fluechtlinge-in-europa-christen-willkommen-muslime-nicht/12207622.html
1685292135-53;https://www.handelsblatt.com/suche/?p3616352=105&sw=Migration&search-ressort=-1&search-doctype=article&search-authorids=-1&search-fromdate=01.01.2013&search-todate=14.05.2023&search-sort=date;So läuft es in den anderen Ländern;07.08.2015;;https://www.handelsblatt.com/politik/international/fluechtlinge-in-europa-so-laeuft-es-in-den-anderen-laendern/12159548.html
1685292142-73;https://www.handelsblatt.com/suche/?p3616352=104&sw=Migration&search-ressort=-1&search-doctype=article&search-authorids=-1&search-fromdate=01.01.2013&search-todate=14.05.2023&search-sort=date;Asselborn sieht die EU als Ganzes in Gefahr;09.11.2015;;https://www.handelsblatt.com/politik/international/fluechtlingskrise-asselborn-sieht-die-eu-als-ganzes-in-gefahr/12559610.html
