web-scraper-order;web-scraper-start-url;Headline;Date;URL;URL-href;
1685291051-1;https://www.handelsblatt.com/suche/?p3616352=64&sw=Rassismus&search-ressort=-1&search-doctype=article&search-authorids=-1&search-fromdate=01.01.2013&search-todate=20.05.2023&search-sort=date;Haribo nimmt Lakritz-Mix aus dem Handel;18.01.2014;;https://www.handelsblatt.com/unternehmen/handel-konsumgueter/rassismus-vorwuerfe-haribo-nimmt-lakritz-mix-aus-dem-handel/9351822.html
1685291051-2;https://www.handelsblatt.com/suche/?p3616352=64&sw=Rassismus&search-ressort=-1&search-doctype=article&search-authorids=-1&search-fromdate=01.01.2013&search-todate=20.05.2023&search-sort=date;How I Met Your Racism;15.01.2014;;https://www.handelsblatt.com/arts_und_style/aus-aller-welt/rassismus-bei-how-i-met-your-mother-how-i-met-your-racism/9334694.html
1685291051-3;https://www.handelsblatt.com/suche/?p3616352=64&sw=Rassismus&search-ressort=-1&search-doctype=article&search-authorids=-1&search-fromdate=01.01.2013&search-todate=20.05.2023&search-sort=date;„Der ist nichts, ist ein Neger“;27.11.2013;;https://www.handelsblatt.com/arts_und_style/aus-aller-welt/diskriminierung-bei-bewerbung-der-ist-nichts-ist-ein-neger/9138118.html
1685291051-4;https://www.handelsblatt.com/suche/?p3616352=64&sw=Rassismus&search-ressort=-1&search-doctype=article&search-authorids=-1&search-fromdate=01.01.2013&search-todate=20.05.2023&search-sort=date;Angola verbietet Islam;26.11.2013;;https://www.handelsblatt.com/politik/international/islamische-welt-empoert-angola-verbietet-islam/9131902.html
1685291051-5;https://www.handelsblatt.com/suche/?p3616352=64&sw=Rassismus&search-ressort=-1&search-doctype=article&search-authorids=-1&search-fromdate=01.01.2013&search-todate=20.05.2023&search-sort=date;Manifest fordert „Hände weg von meiner Nutte“;31.10.2013;;https://www.handelsblatt.com/politik/international/prostitution-in-frankreich-manifest-fordert-haende-weg-von-meiner-nutte/9015610.html
1685291051-6;https://www.handelsblatt.com/suche/?p3616352=64&sw=Rassismus&search-ressort=-1&search-doctype=article&search-authorids=-1&search-fromdate=01.01.2013&search-todate=20.05.2023&search-sort=date;Die Generation von morgen;23.07.2013;;https://www.handelsblatt.com/politik/international/jugendliche-aus-aller-welt-berichten-die-generation-von-morgen/8536808.html
1685291051-7;https://www.handelsblatt.com/suche/?p3616352=64&sw=Rassismus&search-ressort=-1&search-doctype=article&search-authorids=-1&search-fromdate=01.01.2013&search-todate=20.05.2023&search-sort=date;Wie Pizza und Döner unser Land bereichern;17.02.2013;;https://www.handelsblatt.com/arts_und_style/aus-aller-welt/fremdes-essen-wie-pizza-und-doener-unser-land-bereichern/7722922.html
1685291059-21;https://www.handelsblatt.com/suche/?p3616352=63&sw=Rassismus&search-ressort=-1&search-doctype=article&search-authorids=-1&search-fromdate=01.01.2013&search-todate=20.05.2023&search-sort=date;„Die rechtsextreme Prominenz ist kein Geheimnis“;31.01.2015;;https://www.handelsblatt.com/politik/international/wiener-akademikerball-die-rechtsextreme-prominenz-ist-kein-geheimnis/11306206.html
1685291059-22;https://www.handelsblatt.com/suche/?p3616352=63&sw=Rassismus&search-ressort=-1&search-doctype=article&search-authorids=-1&search-fromdate=01.01.2013&search-todate=20.05.2023&search-sort=date;Türkei erbost über angeblichen Schulbuch-Rassismus;04.11.2014;;https://www.handelsblatt.com/politik/deutschland/erdogan-karikatur-tuerkei-erbost-ueber-angeblichen-schulbuch-rassismus/10932564.html
1685291059-23;https://www.handelsblatt.com/suche/?p3616352=63&sw=Rassismus&search-ressort=-1&search-doctype=article&search-authorids=-1&search-fromdate=01.01.2013&search-todate=20.05.2023&search-sort=date;Australien – der Folterstaat;17.10.2014;;https://www.handelsblatt.com/politik/international/fluechtlinge-australien-der-folterstaat/10849852.html
