"","outlet","category","title","date","month","year","url"
"1","bild.de","Arbeitsmarkt","Union und SPD einig: Wir wollen Koalitionsverhandlungen",2013-10-17,10,2013,"http://www.bild.de/politik/inland/grosse-koalition/sondierung-von-spd-und-union-zurren-sie-heute-die-grosse-koalition-fest-33010818.bild.html"
"2","bild.de","Arbeitsmarkt","Heute 1. Fraktionssitzung - Das sind die Köpfe der AfD in ’Schreck-Pomm’",2016-09-08,9,2016,"http://www.bild.de/politik/inland/politik-inland/afd-erste-fraktionssitzung-abgeordnete-47720534.bild.html"
"3","bild.de","Arbeitsmarkt","EU-Freihandelspläne - Ist mein Job in Gefahr?",2015-09-18,9,2015,"http://www.bild.de/geld/wirtschaft/wirtschaft/eu-freihandelsplaene-wie-viel-jobs-kosten-uns-chinesen-42630850.bild.html"
"4","bild.de","Arbeitsmarkt","Erstaunlicher Job-Boom - Melden sich Flüchtlinge  oft nicht arbeitslos?",2016-07-03,7,2016,"http://www.bild.de/bild-plus/geld/wirtschaft/wirtschaft/job-boom-trotz-fluechtlinskrise-46572670.bild.html"
"5","bild.de","Arbeitsmarkt","BILD im gespaltenen London - The day after",2016-06-24,6,2016,"http://www.bild.de/politik/ausland/brexit/brexit-am-tag-danach-46474882.bild.html"
"6","bild.de","Arbeitsmarkt","*** BILDplus Inhalt *** 25 Jahre nach Mauerfall - Wächst jetzt zusammen, was zusammen gehört?",2014-11-01,11,2014,"http://www.bild.de/bild-plus/politik/inland/spd/waechst-jetzt-zusammen-was-zusammen-gehoert-38390158.bild.html"
"7","bild.de","Arbeitsmarkt","Arbeitslosenzahl sinkt um 49 000 auf 2,8 Millionen",2014-07-01,7,2014,"http://www.bild.de/geld/wirtschaft/arbeitslosenzahlen/zahl-der-arbeitslosen-im-juni-36618462.bild.html"
"8","bild.de","Arbeitsmarkt","*** BILDplus Inhalt *** Nahles im BAMS-Interview - ’Mama ist in Berlin wegen der Arbeit’",2014-03-15,3,2014,"http://www.bild.de/bild-plus/politik/inland/andrea-nahles/im-bild-interview-ueber-mindestlohn-rente-ab-63-macht-und-toechterchen-ella-35087236.bild.html"
"9","bild.de","Arbeitsmarkt","*** BILDplus Inhalt *** Flüchtlingsminister - Schaffen Sie das, Herr Altmaier?",2015-10-10,10,2015,"http://www.bild.de/bild-plus/politik/inland/peter-altmaier/schaffen-sie-das-42966860.bild.html"
"10","bild.de","Arbeitsmarkt","Konsumklima-Index steigt - Deutsche lassen sich beim Shoppen nicht stoppen",2015-12-22,12,2015,"http://www.bild.de/geld/wirtschaft/verbraucher/deutsche-lassen-sich-beim-shoppen-nicht-stoppen-43895548.bild.html"
