"","outlet","category","title","date","month","year","url"
"1","SZ","Arbeitsmarkt","Mit Papyrologie Karriere machen",2013-01-09,1,2013,"https://www.sueddeutsche.de/bildung/seltene-studiengaenge-mit-papyrologie-karriere-machen-1.1567706"
"2","SZ","Arbeitsmarkt","Zahl der Arbeitslosen in der Euro-Zone auf Rekordhoch",2013-01-08,1,2013,"https://www.sueddeutsche.de/wirtschaft/eu-arbeitsmarkt-zahl-der-arbeitslosen-in-der-euro-zone-auf-rekordhoch-1.1567650"
"3","SZ","Arbeitsmarkt","Ein Instrument, das greift",2013-01-04,1,2013,"https://www.sueddeutsche.de/muenchen/freising/das-baugewerbe-im-winter-ein-instrument-das-greift-1.1564750"
"4","SZ","Arbeitsmarkt","Weniger Arbeitslose, mehr Zuwanderer",2013-01-03,1,2013,"https://www.sueddeutsche.de/wirtschaft/arbeitsmarkt-2012-weniger-arbeitslose-mehr-zuwanderer-1.1563825"
"5","SZ","Arbeitsmarkt","Vollbeschäftigung für alle",2013-01-03,1,2013,"https://www.sueddeutsche.de/wirtschaft/cdu-im-wahlkampf-vollbeschaeftigung-fuer-alle-1.1563481"
"6","SZ","Arbeitsmarkt","Verführbare Soldaten",2013-01-03,1,2013,"https://www.sueddeutsche.de/politik/rechtsextremismus-in-der-bundeswehr-verfuehrbare-soldaten-1.1563756"
"7","SZ","Arbeitsmarkt","Arbeitslosigkeit im Dezember gestiegen",2013-01-03,1,2013,"https://www.sueddeutsche.de/wirtschaft/beschaeftigung-in-deutschland-arbeitslosigkeit-im-dezember-gestiegen-1.1563784"
"8","SZ","Arbeitsmarkt","Bilanz paradox",2013-01-03,1,2013,"https://www.sueddeutsche.de/politik/gute-arbeitsmarktzahlen-mein-aufschwung-dein-aufschwung-1.1563704"
"9","SZ","Arbeitsmarkt","Es war noch nie so leicht, Vollbeschäftigung zu versprechen",2013-01-02,1,2013,"https://www.sueddeutsche.de/wirtschaft/cdu-wahlkampf-es-war-noch-nie-so-leicht-vollbeschaeftigung-zu-versprechen-1.1563232"
"10","SZ","Arbeitsmarkt","So viele Deutsche wie nie sind erwerbstätig",2013-01-02,1,2013,"https://www.sueddeutsche.de/wirtschaft/erwerbstaetigenzahlen-auf-rekordhoch-so-viele-deutsche-wie-nie-arbeiten-1.1562993"
