"","outlet","category","title","date","month","year","url"
"1","Spiegel","Arbeitsmarkt","Halbzeit für den EZB-Chef: Mario Draghi setzt zum nächsten Schlag an",2015-11-29,11,2015,"http://www.spiegel.de/wirtschaft/unternehmen/mario-draghi-geraet-mit-seiner-ezb-geldpolitik-an-die-grenzen-a-1065036.html#ref=rss"
"2","Spiegel","Arbeitsmarkt","Berufseinsteiger: Die Legende von der anspruchsvollen Generation Y",2015-11-30,11,2015,"http://www.spiegel.de/karriere/berufsstart/die-generation-y-ist-in-wahrheit-eine-generation-prekaer-a-1064394.html#ref=rss"
"3","Spiegel","Arbeitsmarkt","Rekordtief: Arbeitslosigkeit sinkt auf niedrigsten Stand seit 1991",2015-12-01,12,2015,"http://www.spiegel.de/wirtschaft/soziales/arbeitslose-arbeitslosigkeit-im-november-2015-auf-rekordtief-a-1065384.html#ref=rss"
"4","Spiegel","Arbeitsmarkt","Mindestlohn und Arbeitslosigkeit: Erfreulicher Irrtum, doch kein Grund zur Übertreibung",2015-12-01,12,2015,"http://www.spiegel.de/politik/deutschland/arbeitslosen-rekordtief-mindestlohn-kostet-keine-jobs-a-1065437.html#ref=rss"
"5","Spiegel","Arbeitsmarkt","Architekten zur Flüchtlingsunterbringung: Drei Wege aus der Wohnkrise",2015-12-06,12,2015,"http://www.spiegel.de/panorama/gesellschaft/architekten-zur-fluechtlingsunterbringung-drei-wege-aus-der-wohnkrise-a-1065749.html#ref=rss"
"6","Spiegel","Arbeitsmarkt","Linken-Fraktionschefin Wagenknecht: ""Militärische Interventionen des Westens helfen dem IS"" ",2015-12-07,12,2015,"http://www.spiegel.de/politik/deutschland/sahra-wagenknecht-militaerische-interventionen-des-westens-helfen-dem-is-a-1066246.html#ref=rss"
"7","Spiegel","Arbeitsmarkt","Hans-Werner Sinn: Käpt'n Ifo sagt Tschüs ",2015-12-14,12,2015,"http://www.spiegel.de/wirtschaft/hans-werner-sinn-abschied-eines-predigers-a-1067812.html#ref=rss"
"8","Spiegel","Arbeitsmarkt","Jobmarkt: Immer mehr Ältere sind auf Hartz IV angewiesen",2015-12-20,12,2015,"http://www.spiegel.de/wirtschaft/soziales/jobmarkt-immer-mehr-aeltere-brauchen-hartz-iv-a-1068775.html#ref=rss"
"9","Spiegel","Arbeitsmarkt","DGB-Chef Hoffmann: Flüchtlinge sollen soziale Tätigkeiten erledigen",2015-12-21,12,2015,"http://www.spiegel.de/wirtschaft/soziales/dgb-chef-will-fluechtlinge-fuer-soziale-taetigkeiten-einsetzen-a-1068853.html#ref=rss"
"10","Spiegel","Arbeitsmarkt","Studie: Zuwanderer bekommen deutlich niedrigere Löhne",2015-12-21,12,2015,"http://www.spiegel.de/wirtschaft/soziales/deutschland-zuwanderer-bekommen-deutlich-niedrigere-loehne-a-1068992.html#ref=rss"
"11","Spiegel","Arbeitsmarkt","Zuwanderung: Das zweite deutsche Wirtschaftswunder",2015-12-27,12,2015,"http://www.spiegel.de/wirtschaft/zuwanderung-fluechtlinge-koennen-fuer-wirtschaftswunder-sorgen-a-1069395.html#ref=rss"
"12","Spiegel","Arbeitsmarkt","Arbeitsmarkt: DGB fordert Ausbildungsprogramm für Flüchtlinge in Ostdeutschland",2015-12-28,12,2015,"http://www.spiegel.de/wirtschaft/soziales/dgb-will-ausbildungsprogramm-fuer-fluechtlinge-in-ostdeutschland-a-1069638.html#ref=rss"
"13","Spiegel","Arbeitsmarkt","Faktencheck zum Uni-Abschluss: Der Bachelor ist nichts wert - oder? ",2015-12-30,12,2015,"http://www.spiegel.de/unispiegel/studium/bachelor-so-viel-ist-der-abschluss-wert-a-1069969.html#ref=rss"
"14","Spiegel","Arbeitsmarkt","Integration von Flüchtlingen: So schafft Deutschland das",2015-12-30,12,2015,"http://www.spiegel.de/politik/deutschland/fluechtlinge-in-deutschland-die-grosse-aufgabe-der-integration-a-1069830.html#ref=rss"
"15","Spiegel","Arbeitsmarkt","Grundeinkommen aus Öl-Einnahmen: Schwarzes Gold für die Armen",2015-12-31,12,2015,"http://www.spiegel.de/wirtschaft/soziales/italien-basilikata-oelfoerderung-soll-grundeinkommen-sichern-a-1069895.html#ref=rss"
"16","Spiegel","Arbeitsmarkt","Konjunktur: Arbeitslosenzahl steigt auf knapp 2,7 Millionen",2016-01-05,1,2016,"http://www.spiegel.de/wirtschaft/soziales/arbeitslosenzahl-steigt-auf-2-681-millionen-a-1070486.html#ref=rss"
"17","Spiegel","Arbeitsmarkt","Ungleichheit, Reformstau, marode Infrastruktur: Die Illusion vom deutschen Wirtschaftsboom",2016-01-06,1,2016,"http://www.spiegel.de/wirtschaft/soziales/wirtschaft-in-deutschland-die-illusion-vom-wirtschaftsboom-a-1068970.html#ref=rss"
"18","Spiegel","Arbeitsmarkt","Sonderbare Studienfächer: ""Bachelor of Bodylotion""",2016-01-08,1,2016,"http://www.spiegel.de/unispiegel/studium/seltene-studienfaecher-bergbau-brauwesen-koerperpflege-a-1068178.html#ref=rss"
"19","Spiegel","Arbeitsmarkt","Enttäuscht vom Traumberuf: Erster Job, erste Krise",2016-01-10,1,2016,"http://www.spiegel.de/spiegelwissen/berufsanfaenger-in-der-krise-wie-man-sinn-im-job-findet-a-1067994.html#ref=rss"
"20","Spiegel","Arbeitsmarkt","Ökonomen-Diskussion in Berlin: Die Illusion von der Flüchtlingsformel",2016-01-14,1,2016,"http://www.spiegel.de/wirtschaft/soziales/fluechtlinge-oekonomen-diskutieren-in-berlin-ueber-die-fluechtlingsformel-a-1071916.html#ref=rss"
