"","outlet","category","title","date","month","year","url"
"1","Welt","Arbeitsmarkt","Das ändert sich im Jahr 2013 für die Deutschen",2013-01-01,1,2013,"https://www.welt.de/finanzen/verbraucher/article112315652/Das-aendert-sich-im-Jahr-2013-fuer-die-Deutschen.html"
"2","Welt","Arbeitsmarkt","Typischer Minijobber lebt in westdeutscher Provinz",2013-01-03,1,2013,"https://www.welt.de/wirtschaft/article112362945/Typischer-Minijobber-lebt-in-westdeutscher-Provinz.html"
"3","Welt","Arbeitsmarkt","Der Jobmotor Arbeitsmarkt gerät ins Stottern",2013-01-03,1,2013,"https://www.welt.de/wirtschaft/article112390574/Der-Jobmotor-Arbeitsmarkt-geraet-ins-Stottern.html"
"4","Welt","Arbeitsmarkt","Bildungsblase – US-Akademiker rutschen in die Pleite",2013-01-05,1,2013,"https://www.welt.de/wirtschaft/article112414650/Bildungsblase-US-Akademiker-rutschen-in-die-Pleite.html"
"5","Welt","Arbeitsmarkt","Frankreich verhandelt über seine wichtigste Reform",2013-01-06,1,2013,"https://www.welt.de/wirtschaft/article112433196/Frankreich-verhandelt-ueber-seine-wichtigste-Reform.html"
"6","Welt","Arbeitsmarkt","So ticken Sportler, wenn ihre Laufbahn endet",2013-01-08,1,2013,"https://www.welt.de/sport/article112417879/So-ticken-Sportler-wenn-ihre-Laufbahn-endet.html"
"7","Welt","Arbeitsmarkt","Bloß keine Angst vor dem Fachkräftemangel!",2013-01-09,1,2013,"https://www.welt.de/wirtschaft/article112655066/Bloss-keine-Angst-vor-dem-Fachkraeftemangel.html"
"8","Welt","Arbeitsmarkt","Deutschland fehlen Lokführer und Klempner",2013-01-10,1,2013,"https://www.welt.de/wirtschaft/article112654091/Deutschland-fehlen-Lokfuehrer-und-Klempner.html"
"9","Welt","Arbeitsmarkt","Erfolgreich den Job wechseln – mit Kalkül",2013-01-10,1,2013,"https://www.welt.de/wirtschaft/karriere/article112687238/Erfolgreich-den-Job-wechseln-mit-Kalkuel.html"
"10","Welt","Arbeitsmarkt","Job-Vermittler drängen Arbeitslose in Zeitarbeit",2013-01-11,1,2013,"https://www.welt.de/wirtschaft/article112707988/Job-Vermittler-draengen-Arbeitslose-in-Zeitarbeit.html"
"11","Welt","Arbeitsmarkt","Arbeitsmarkt schlecht auf neue Krise vorbereitet",2013-01-12,1,2013,"https://www.welt.de/wirtschaft/article112720057/Arbeitsmarkt-schlecht-auf-neue-Krise-vorbereitet.html"
"12","Welt","Arbeitsmarkt","Viele Schlecker-Beschäftigte haben einen neuen Job",2013-01-15,1,2013,"https://www.welt.de/regionales/stuttgart/article112789470/Viele-Schlecker-Beschaeftigte-haben-einen-neuen-Job.html"
"13","Welt","Arbeitsmarkt","Studienabbrecher sollen Meister werden",2013-01-16,1,2013,"https://www.welt.de/regionales/duesseldorf/article112806786/Studienabbrecher-sollen-Meister-werden.html"
"14","Welt","Arbeitsmarkt","Jobwechsel im neuen Jahr kann teuer werden",2013-01-20,1,2013,"https://www.welt.de/finanzen/steuern-recht/article112920126/Jobwechsel-im-neuen-Jahr-kann-teuer-werden.html"
"15","Welt","Arbeitsmarkt","„Deutschland ist ein beliebtes Land in Spanien“",2013-01-23,1,2013,"https://www.welt.de/wirtschaft/article113057947/Deutschland-ist-ein-beliebtes-Land-in-Spanien.html"
"16","Welt","Arbeitsmarkt","Jede zweite ausländische Mutter ist ohne Job",2013-01-23,1,2013,"https://www.welt.de/wirtschaft/article113066416/Jede-zweite-auslaendische-Mutter-ist-ohne-Job.html"
"17","Welt","Arbeitsmarkt","Ursula von der Leyens schöne Fachkräftewelt",2013-01-23,1,2013,"https://www.welt.de/politik/deutschland/article113095040/Ursula-von-der-Leyens-schoene-Fachkraeftewelt.html"
"18","Welt","Arbeitsmarkt","Bürgermeister von Jobcenter-Besuch schockiert",2013-01-29,1,2013,"https://www.welt.de/regionales/duesseldorf/article113209479/Buergermeister-von-Jobcenter-Besuch-schockiert.html"
"19","Welt","Arbeitsmarkt","In diesen Seminaren lernen Frauen Arroganz im Job",2013-01-30,1,2013,"https://www.welt.de/wirtschaft/article113252243/In-diesen-Seminaren-lernen-Frauen-Arroganz-im-Job.html"
"20","Welt","Arbeitsmarkt","Gute Bilder in Netzwerken helfen der Karriere",2013-02-01,2,2013,"https://www.welt.de/wirtschaft/karriere/article113287874/Gute-Bilder-in-Netzwerken-helfen-der-Karriere.html"
"21","Welt","Arbeitsmarkt","Wir versagen bei der Arbeitskräfte-Integration",2013-02-04,2,2013,"https://www.welt.de/debatte/kommentare/article113365588/Wir-versagen-bei-der-Arbeitskraefte-Integration.html"
"22","Welt","Arbeitsmarkt","Das falsche Deutschland-Bild vieler Ausländer",2013-02-04,2,2013,"https://www.welt.de/wirtschaft/article113376321/Das-falsche-Deutschland-Bild-vieler-Auslaender.html"
"23","Welt","Arbeitsmarkt","Als der Tod über Frankreichs Industrie kam",2013-02-05,2,2013,"https://www.welt.de/wirtschaft/article113398546/Als-der-Tod-ueber-Frankreichs-Industrie-kam.html"
"24","Welt","Arbeitsmarkt","Vom Profikicker zum erfolgreichen Fußball-Manager",2013-02-07,2,2013,"https://www.welt.de/wirtschaft/karriere/article113453969/Vom-Profikicker-zum-erfolgreichen-Fussball-Manager.html"
"25","Welt","Arbeitsmarkt","Wie das Praktikum zum Karriere-Sprungbrett wird",2013-02-15,2,2013,"https://www.welt.de/wirtschaft/karriere/article113648648/Wie-das-Praktikum-zum-Karriere-Sprungbrett-wird.html"
"26","Welt","Arbeitsmarkt","Deutschland wiederholt Fehler der Vergangenheit",2013-02-15,2,2013,"https://www.welt.de/wirtschaft/article113672293/Deutschland-wiederholt-Fehler-der-Vergangenheit.html"
"27","Welt","Arbeitsmarkt","Spaniens Bildungswesen muss sich neu erfinden",2013-02-16,2,2013,"https://www.welt.de/wirtschaft/karriere/article113675185/Spaniens-Bildungswesen-muss-sich-neu-erfinden.html"
"28","Welt","Arbeitsmarkt","Jedem Dritten geht ein sinnvoller Job vor Karriere",2013-02-17,2,2013,"https://www.welt.de/wirtschaft/article113696658/Jedem-Dritten-geht-ein-sinnvoller-Job-vor-Karriere.html"
