"","outlet","category","title","date","month","year","url"
"1","Handelsblatt","Bildung","„Deutsche zeigen weniger Initiative“",2013-01-16,1,2013,"https://www.handelsblatt.com/karriere/interview-haniel-personalchef-deutsche-absolventen-zeigen-weniger-initiative/7638976.html"
"2","Handelsblatt","Bildung","US-Lehrer belegen zu Hunderten Waffenkurse",2013-01-08,1,2013,"https://www.handelsblatt.com/politik/international/ohio-und-texas-us-lehrer-belegen-zu-hunderten-waffenkurse/7604080.html"
"3","Handelsblatt","Bildung","Die Tricks der Anlagebetrüger",2013-03-04,3,2013,"https://www.handelsblatt.com/finanzen/steuern-recht/recht/geschlossene-fonds-die-tricks-der-anlagebetrueger/7858228.html"
"4","Handelsblatt","Bildung","Grüne starten Angriff auf Deutschlands Elite",2013-03-04,3,2013,"https://www.handelsblatt.com/politik/deutschland/dr-nicht-mehr-im-pass-gruene-starten-angriff-auf-deutschlands-elite/7863758.html"
"5","Handelsblatt","Bildung","Schuldruck für Eltern",2013-02-25,2,2013,"https://www.handelsblatt.com/politik/deutschland/leistungsanforderungen-schuldruck-fuer-eltern/7838836.html"
"6","Handelsblatt","Bildung","„Die ist so schön, die kann doch nur blöd sein“",2013-02-24,2,2013,"https://www.handelsblatt.com/karriere/attraktivitaetsforschung-die-ist-so-schoen-die-kann-doch-nur-bloed-sein/7819454.html"
"7","Handelsblatt","Bildung","„Wir mögen Menschen nicht, die sich in den Vordergrund spielen“",2013-02-19,2,2013,"https://www.handelsblatt.com/unternehmen/handel-konsumgueter/whu-otto-beisheim-school-wir-moegen-menschen-nicht-die-sich-in-den-vordergrund-spielen/7806508.html"
"8","Handelsblatt","Bildung","Frankreich im Dickicht der Vorstädte",2013-02-19,2,2013,"https://www.handelsblatt.com/politik/international/frankreich-verloren-im-dickicht-der-vorstaedte/7806232.html"
"9","Handelsblatt","Bildung","Gott braucht einen neuen Stellvertreter auf Erden",2013-02-12,2,2013,"https://www.handelsblatt.com/politik/international/geruechtekueche-brodelt-gott-braucht-einen-neuen-stellvertreter-auf-erden/7769912.html"
"10","Handelsblatt","Bildung","Ex-Präsident der EBS muss vor Gericht",2013-01-30,1,2013,"https://www.handelsblatt.com/unternehmen/management/european-business-school-ex-praesident-der-ebs-muss-vor-gericht/7710362.html"
"11","Handelsblatt","Bildung","Im Armenhaus Europas blüht nur der Nationalismus",2013-01-27,1,2013,"https://www.handelsblatt.com/politik/international/suedserbien-im-armenhaus-europas-blueht-nur-der-nationalismus/7687014.html"
"12","Handelsblatt","Bildung","David McAllisters bittere Stunden",2013-01-20,1,2013,"https://www.handelsblatt.com/politik/deutschland/liveblog-zum-nachlesen-david-mcallisters-bittere-stunden/7659296.html"
"13","Handelsblatt","Bildung","Euro-Populismus übertrumpft soziale Gerechtigkeit",2013-04-14,4,2013,"https://www.handelsblatt.com/politik/deutschland/analyse-zu-spd-afd-euro-populismus-uebertrumpft-soziale-gerechtigkeit/8064384.html"
"14","Handelsblatt","Bildung","Mensch steuert Rattenschwanz mit Hirnwellen",2013-04-08,4,2013,"https://www.handelsblatt.com/technik/forschung-innovation/gedankenlesen-mensch-steuert-rattenschwanz-mit-hirnwellen/8031996.html"
"15","Handelsblatt","Bildung","Der Boom der Experimentalökonomie",2013-04-07,4,2013,"https://www.handelsblatt.com/politik/deutschland/volkswirtschaftslehre-der-boom-der-experimentaloekonomie/8026516.html"
"16","Handelsblatt","Bildung","Harvard für alle",2013-04-06,4,2013,"https://www.handelsblatt.com/unternehmen/dienstleister/digitale-vorlesungen-harvard-fuer-alle-/7970472.html"
"17","Handelsblatt","Bildung","Kramp-Karrenbauer will höheren Spitzensteuersatz",2013-03-24,3,2013,"https://www.handelsblatt.com/politik/deutschland/oppositionsforderung-kramp-karrenbauer-ebenfalls-fuer-hoeheren-spitzensteuersatz/7978516.html"
"18","Handelsblatt","Bildung","„Provokation ist gut, aber man muss liefern“",2013-03-22,3,2013,"https://www.handelsblatt.com/politik/stefan-raab-ueber-unterhaltung-und-politik-provokation-ist-gut-aber-dann-muss-man-leistung-liefern/8351952.html"
"19","Handelsblatt","Bildung","„Provokation ist gut, aber man muss liefern“",2013-03-22,3,2013,"https://www.handelsblatt.com/politik/deutschland/stefan-raab-ueber-unterhaltung-und-politik-provokation-ist-gut-aber-dann-muss-man-leistung-liefern/7959860.html"
"20","Handelsblatt","Bildung","Betriebe flüchten aus der Ausbildung",2013-03-12,3,2013,"https://www.handelsblatt.com/politik/deutschland/nachlassende-bereitschaft-betriebe-fluechten-aus-der-ausbildung/7912882.html"
"21","Handelsblatt","Bildung","Deutsche haben von Wirtschaft keine Ahnung",2013-03-11,3,2013,"https://www.handelsblatt.com/politik/konjunktur/oekonomie/nachrichten/oekonomische-bildung-deutsche-haben-von-wirtschaft-keine-ahnung/7911402.html"
"22","Handelsblatt","Bildung","Nahles übernimmt das Kommando",2013-03-04,3,2013,"https://www.handelsblatt.com/politik/deutschland/steinbruecks-wahlkampfteam-entmachtet-nahles-uebernimmt-das-kommando-/7876216.html"
"23","Handelsblatt","Bildung","Freiheit mit Gerechtigkeit",2013-06-19,6,2013,"https://www.handelsblatt.com/politik/international/obama-rede-in-berlin-freiheit-mit-gerechtigkeit/8378942.html"
