"","outlet","category","title","date","month","year","url"
"1","SZ","Bildung","Gemeinsam gegen Corona",2021-01-03,1,2021,"https://www.sueddeutsche.de/wirtschaft/corona-g20-1.5163797"
"2","SZ","Bildung","Dinge, die härter sein werden",2021-01-03,1,2021,"https://www.sueddeutsche.de/politik/grossbritannien-dinge-die-haerter-sein-werden-1.5164303"
"3","SZ","Bildung","Johnson: Lockdown wird möglicherweise verschärft",2021-01-03,1,2021,"https://www.sueddeutsche.de/gesundheit/coronavirus-weltweit-grossbritannien-lockdown-johnson-1.5158985"
"4","SZ","Bildung","Die Schere geht auseinander",2021-01-01,1,2021,"https://www.sueddeutsche.de/muenchen/ebersberg/landrat-robert-niedergesaess-die-schere-geht-auseinander-1.5162769"
"5","SZ","Bildung","Bildung ist Heimat",2021-01-01,1,2021,"https://www.sueddeutsche.de/muenchen/salon-zukunft-bildung-ist-heimat-1.5162680"
"6","SZ","Bildung","Corona hat dem Staatsverdruss neues Futter gegeben",2021-01-01,1,2021,"https://www.sueddeutsche.de/meinung/2021-bundestagswahl-liberalismus-merkel-1.5162880"
"7","SZ","Bildung","Skepsis gegenüber Stahlfusion",2021-01-01,1,2021,"https://www.sueddeutsche.de/wirtschaft/niedersachsen-skepsis-gegenueber-stahlfusion-1.5163092"
"8","SZ","Bildung","Wer hat, dem wird gegeben",2021-01-01,1,2021,"https://www.sueddeutsche.de/wirtschaft/immobilien-erben-vermoegen-ungleichheit-1.5163078"
"9","SZ","Bildung","Trockener Weinbauer",2021-01-01,1,2021,"https://www.sueddeutsche.de/politik/schweiz-trockener-weinbauer-1.5163298"
"10","SZ","Bildung","Noch lange keine Normalität",2021-01-01,1,2021,"https://www.sueddeutsche.de/politik/lockdown-verlaengerung-coronavirus-januar-1.5163337"
"11","SZ","Bildung","Es ist Zeit, für die Freiheit der Kunst einzustehen",2021-01-01,1,2021,"https://www.sueddeutsche.de/meinung/corona-kulturpolitik-theater-museen-konzerthaeuser-markus-soeder-1.5160850"
"12","SZ","Bildung","Die EU hat falsch eingekauft",2021-01-01,1,2021,"https://www.sueddeutsche.de/politik/impfstoff-eu-zulassung-1.5163294"
"13","SZ","Bildung","Wer will Gitarre lernen?",2021-01-01,1,2021,"https://www.sueddeutsche.de/kultur/ractliffe-martinu-favoriten-homeschoolin-gsella-1.5162968"
"14","SZ","Bildung","Die Kinder müssen es ausbaden",2021-01-14,1,2021,"https://www.sueddeutsche.de/politik/corona-die-kinder-muessen-es-ausbaden-1.5174651"
"15","SZ","Bildung","Renzis toxische, aber zentrale Rolle",2021-01-14,1,2021,"https://www.sueddeutsche.de/politik/italien-matteo-renzi-guiseppe-conte-1.5174195"
"16","SZ","Bildung","Notebooks zum Ausleihen",2021-01-13,1,2021,"https://www.sueddeutsche.de/muenchen/ebersberg/bildung-im-landkreis-ebersberg-notebooks-zum-ausleihen-1.5172884"
"17","SZ","Bildung","Kurs in Erster Hilfe",2021-01-13,1,2021,"https://www.sueddeutsche.de/muenchen/wolfratshausen/brk-angebot-in-geretsried-kurs-in-erster-hilfe-1.5173569"
"18","SZ","Bildung","Sehenswürdigkeiten",2021-01-13,1,2021,"https://www.sueddeutsche.de/muenchen/freiham-aubing-sehenswuerdigkeiten-1.5173003"
"19","SZ","Bildung","Notbetreuung soll kein Nachteil sein",2021-01-13,1,2021,"https://www.sueddeutsche.de/muenchen/bildung-notbetreuung-soll-kein-nachteil-sein-1.5173079"
"20","SZ","Bildung","Der finale Eklat",2021-01-13,1,2021,"https://www.sueddeutsche.de/politik/estland-der-finale-eklat-1.5173482"
"21","SZ","Bildung","Volksvertreter aus dem Lostopf",2021-01-13,1,2021,"https://www.sueddeutsche.de/politik/buergerbeteiligung-volksvertreter-aus-dem-lostopf-1.5173472"
"22","SZ","Bildung","Italiens Regierungskoalition bricht auseinander",2021-01-13,1,2021,"https://www.sueddeutsche.de/politik/italien-regierung-renzi-1.5173782"
"23","SZ","Bildung","Absolute Umfrage-Mehrheit für die CSU",2021-01-13,1,2021,"https://www.sueddeutsche.de/bayern/bayern-trend-umfrage-csu-corona-piazolo-1.5172698"
"24","SZ","Bildung","Kinder philosophieren",2021-01-12,1,2021,"https://www.sueddeutsche.de/muenchen/freising/zoom-veranstaltung-kinder-philosophieren-1.5172216"
"25","SZ","Bildung","Derzeit keine Deutschkurse",2021-01-12,1,2021,"https://www.sueddeutsche.de/muenchen/freising/grosse-luecke-derzeit-keine-deutschkurse-1.5172198"
"26","SZ","Bildung","Berufsschule sagt Elternsprechtag ab",2021-01-12,1,2021,"https://www.sueddeutsche.de/muenchen/erding/bildung-in-erding-berufsschule-sagt-elternsprechtag-ab-1.5172196"
"27","SZ","Bildung","Das Rad des Wandels",2021-01-12,1,2021,"https://www.sueddeutsche.de/kultur/small-axe-filmreihe-steve-mcqueen-england-rassismus-1.5171761"
"28","SZ","Bildung","Online-Angebote der Volkshochschulen",2021-01-11,1,2021,"https://www.sueddeutsche.de/muenchen/fuerstenfeldbruck/bildung-online-angebote-der-volkshochschulen-1.5170886"
"29","SZ","Bildung","Spurensuche im Maximilianeum",2021-01-11,1,2021,"https://www.sueddeutsche.de/muenchen/literatur-spurensuche-im-maximilianeum-1.5170761"
"30","SZ","Bildung","Vorsichtig verwegen",2021-01-11,1,2021,"https://www.sueddeutsche.de/politik/gruenen-vorsichtig-verwegen-1.5171221"
"31","SZ","Bildung","Das kann bleiben",2021-01-11,1,2021,"https://www.sueddeutsche.de/politik/schulreformen-das-kann-bleiben-1.5171293"
"32","SZ","Bildung","Das sind die neuen Corona-Regeln",2021-01-11,1,2021,"https://www.sueddeutsche.de/politik/corona-regeln-deutschland-1.5165923"
