"","outlet","category","title","date","month","year","url"
"1","Spiegel","Bildung","Kampf um die Lufthoheit: Wenn Russland und die Türkei streiten, freut sich der IS",2015-11-25,11,2015,"http://www.spiegel.de/politik/ausland/islamischer-staat-profitiert-vom-streit-zwischen-tuerkei-und-russland-a-1064536.html#ref=rss"
"2","Spiegel","Bildung","Haushalt: Dafür gibt der Bund Ihr Geld aus",2015-11-27,11,2015,"http://www.spiegel.de/wirtschaft/soziales/haushalt-dafuer-gibt-die-bundesregierung-ihr-geld-aus-a-1064853.html#ref=rss"
"3","Spiegel","Bildung","Flüchtlinge: CDU will Integrationspflicht für Migranten beschließen ",2015-11-28,11,2015,"http://www.spiegel.de/politik/deutschland/cdu-will-integrationspflicht-fuer-migranten-beschliessen-a-1064918.html#ref=rss"
"4","Spiegel","Bildung","Reformgesetze: Griechische Opposition verweigert Tsipras Unterstützung",2015-11-29,11,2015,"http://www.spiegel.de/wirtschaft/soziales/griechenland-opposition-verweigert-tsipras-unterstuetzung-bei-sparkurs-a-1065104.html#ref=rss"
"5","Spiegel","Bildung","Hilfe in der Flüchtlingskrise: Jetzt können wir alles in Frage stellen",2015-11-29,11,2015,"http://www.spiegel.de/kultur/gesellschaft/fluechtlingskrise-jetzt-koennen-wir-alles-in-frage-stellen-kolumne-a-1065027.html#ref=rss"
"6","Spiegel","Bildung","Mythos und Wahrheit: Geisteswissenschaftler arbeiten als Taxifahrer, oder?",2015-12-03,12,2015,"http://www.spiegel.de/unispiegel/studium/geisteswissenschaften-berufschancen-nach-dem-studium-a-1063880.html#ref=rss"
"7","Spiegel","Bildung","Zuckerberg reagiert auf Kritik: ""Wie jeder andere auch, werden wir Steuern zahlen""",2015-12-04,12,2015,"http://www.spiegel.de/wirtschaft/mark-zuckerberg-aeussert-sich-auf-facebook-zu-milliardenspende-a-1066025.html#ref=rss"
"8","Spiegel","Bildung","Megakanal vom Roten Meer: Das Tote Meer wird wiederbelebt",2015-12-05,12,2015,"http://www.spiegel.de/wirtschaft/soziales/totes-meer-und-rotes-meer-jordanien-startet-megakanal-a-1066213.html#ref=rss"
"9","Spiegel","Bildung","Treffen in Brüssel: EU treibt Beitrittsverhandlungen mit der Türkei voran",2015-12-14,12,2015,"http://www.spiegel.de/politik/ausland/tuerkei-eu-treibt-verhandlungen-ueber-beitritt-voran-a-1067767.html#ref=rss"
"10","Spiegel","Bildung","Ende eines Jagdausflugs: Dutzende Katarer im Irak entführt",2015-12-16,12,2015,"http://www.spiegel.de/politik/ausland/irak-dutzende-katarer-waehrend-jagdpartie-entfuehrt-a-1068156.html#ref=rss"
"11","Spiegel","Bildung","Unicef-Bericht: Boko Haram hindert eine Million Kinder am Schulbesuch",2015-12-21,12,2015,"http://www.spiegel.de/politik/ausland/boko-haram-hindert-laut-unicef-eine-million-kinder-am-schulbesuch-a-1069038.html#ref=rss"
"12","Spiegel","Bildung","Türkei: Erdogan droht prokurdischer HDP",2015-12-29,12,2015,"http://www.spiegel.de/politik/ausland/tuerkei-recep-tayyip-erdogan-droht-der-hdp-von-selahettin-demirtas-a-1069817.html#ref=rss"
"13","Spiegel","Bildung","Reaktionen auf Anklage: ""Wenn ich an die Hölle glaubte, käme Bill Cosby dorthin""",2015-12-31,12,2015,"http://www.spiegel.de/panorama/justiz/bill-cosby-reaktionen-auf-anklage-wegen-sexueller-noetigung-a-1070084.html#ref=rss"
"14","Spiegel","Bildung","Bürgerkrieg in der Osttürkei: Erdogan droht der PKK mit ""Säuberung""",2015-12-31,12,2015,"http://www.spiegel.de/politik/ausland/recep-tayyip-erdogan-ueber-kampf-gegen-pkk-in-der-tuerkei-bis-zum-ende-a-1070097.html#ref=rss"
"15","Spiegel","Bildung","Reaktion auf Proteste: Rousseff verspricht ""großen Pakt"" für ein besseres Brasilien - SPIEGEL ONLINE - Politik",2013-06-22,6,2013,"http://www.spiegel.de/politik/ausland/brasilien-rousseff-verspricht-dialog-mit-protestierenden-a-907269.html"
"16","Spiegel","Bildung","Sir Bob Geldof gegen Ebola: Müssen also wieder die Popstars ran - SPIEGEL ONLINE - Kultur",2014-11-13,11,2014,"http://www.spiegel.de/kultur/musik/sir-bob-geldof-band-aid-projekt-gegen-ebola-in-berlin-vorgestellt-a-1002846.html"
"17","Spiegel","Bildung","Syrischer Bürgerkrieg: USA liefern Waffen an Rebellen - SPIEGEL ONLINE - Politik",2014-01-28,1,2014,"http://www.spiegel.de/politik/ausland/syrien-usa-liefern-waffen-an-rebellen-a-945886.html"
"18","Spiegel","Bildung","Massenproteste in Brasilien: Die behüteten Kinder haben genug - SPIEGEL ONLINE - Politik",2013-06-18,6,2013,"http://www.spiegel.de/politik/ausland/massenproteste-in-brasilien-sind-aufstand-der-jungen-mittelschicht-a-906457.html"
"19","Spiegel","Bildung","Terror-Allianz: Boko Haram leistet IS den Treueschwur - SPIEGEL ONLINE - Politik",2015-03-07,3,2015,"http://www.spiegel.de/politik/ausland/terror-gruppen-boko-haram-unterwirft-sich-is-a-1022370.html"
"20","Spiegel","Bildung","Italien: Enrico Letta soll neue Regierung bilden - SPIEGEL ONLINE - Politik",2013-04-24,4,2013,"http://www.spiegel.de/politik/ausland/italien-enrico-letta-soll-neue-regierung-bilden-a-896235.html"
"21","Spiegel","Bildung","Zentralafrika: Rebellen nehmen Hauptstadt Bangui ein - SPIEGEL ONLINE - Politik",2013-03-24,3,2013,"http://www.spiegel.de/politik/ausland/zentralafrika-rebellen-nehmen-hauptstadt-bangui-ein-a-890646.html"
"22","Spiegel","Bildung","CSU-Generalsekretär: Scheuer droht Ärger wegen Doktorarbeit - SPIEGEL ONLINE - Politik",2014-01-17,1,2014,"http://www.spiegel.de/politik/deutschland/doktorarbeit-csu-generalsekretaer-scheuer-droht-aerger-a-943998.html"
