"","outlet","category","title","date","month","year","url"
"1","Welt","Bildung","Neubau für ""türkische"" Privatschule eröffnet",2013-01-06,1,2013,"https://www.welt.de/regionales/stuttgart/article112430359/Neubau-fuer-tuerkische-Privatschule-eroeffnet.html"
"2","Welt","Bildung","Aufnahmetests setzen Berlins Grundschüler unter Druck",2013-01-08,1,2013,"https://www.welt.de/regionales/berlin/article112565847/Aufnahmetests-setzen-Berlins-Grundschueler-unter-Druck.html"
"3","Welt","Bildung","Verein für Missbrauchsopfer erhält 50.000 Euro",2013-01-10,1,2013,"https://www.welt.de/regionales/frankfurt/article112684834/Verein-fuer-Missbrauchsopfer-erhaelt-50-000-Euro.html"
"4","Welt","Bildung","Geben Sie Ihrer Karriere den Kick – auf Mandarin",2013-01-11,1,2013,"https://www.welt.de/wirtschaft/article112714551/Geben-Sie-Ihrer-Karriere-den-Kick-auf-Mandarin.html"
"5","Welt","Bildung","Wenn die Schulwahl für Eltern zum Stresstest wird",2013-01-21,1,2013,"https://www.welt.de/wirtschaft/karriere/article112939410/Wenn-die-Schulwahl-fuer-Eltern-zum-Stresstest-wird.html"
"6","Welt","Bildung","Türkische Gemeinde wirft Lego Volksverhetzung vor",2013-01-22,1,2013,"https://www.welt.de/vermischtes/kurioses/article113050721/Tuerkische-Gemeinde-wirft-Lego-Volksverhetzung-vor.html"
"7","Welt","Bildung","Immer weniger Schüler in Baden-Württemberg",2013-01-22,1,2013,"https://www.welt.de/regionales/stuttgart/article113053739/Immer-weniger-Schueler-in-Baden-Wuerttemberg.html"
"8","Welt","Bildung","Hochschulen verlangen von Rot-Grün Vertragstreue",2013-01-23,1,2013,"https://www.welt.de/politik/deutschland/article113073213/Hochschulen-verlangen-von-Rot-Gruen-Vertragstreue.html"
"9","Welt","Bildung","""Der Staat gibt zu viel Geld für Studenten aus""",2013-01-26,1,2013,"https://www.welt.de/wirtschaft/karriere/article113138869/Der-Staat-gibt-zu-viel-Geld-fuer-Studenten-aus.html"
"10","Welt","Bildung","Wenn fast jedes Kind zum ADHS-Fall wird",2013-01-29,1,2013,"https://www.welt.de/debatte/article113225088/Wenn-fast-jedes-Kind-zum-ADHS-Fall-wird.html"
"11","Welt","Bildung","Lehrer bekommen Ausgaben für Klassenfahrt erstattet",2013-01-30,1,2013,"https://www.welt.de/regionales/duesseldorf/article113240703/Lehrer-bekommen-Ausgaben-fuer-Klassenfahrt-erstattet.html"
"12","Welt","Bildung","Bolzplatz und Sport statt Ritalin und Konsole",2013-01-30,1,2013,"https://www.welt.de/debatte/kolumnen/ueber-ideen/article113245743/Bolzplatz-und-Sport-statt-Ritalin-und-Konsole.html"
"13","Welt","Bildung","Kinder brauchen von uns mehr Zeit für ihre Sinne",2013-01-31,1,2013,"https://www.welt.de/debatte/kommentare/article113282363/Kinder-brauchen-von-uns-mehr-Zeit-fuer-ihre-Sinne.html"
"14","Welt","Bildung","87 neue Gemeinschaftsschulen genehmigt",2013-02-04,2,2013,"https://www.welt.de/regionales/stuttgart/article113371032/87-neue-Gemeinschaftsschulen-genehmigt.html"
"15","Welt","Bildung","Honorarprofessorin Schavan enttäuscht Studenten",2013-02-06,2,2013,"https://www.welt.de/regionales/berlin/article113433294/Honorarprofessorin-Schavan-enttaeuscht-Studenten.html"
"16","Welt","Bildung","Der Doktortitel gehört hinter, nicht vor den Namen",2013-02-11,2,2013,"https://www.welt.de/wirtschaft/article113536378/Der-Doktortitel-gehoert-hinter-nicht-vor-den-Namen.html"
"17","Welt","Bildung","Spaniens Bildungswesen muss sich neu erfinden",2013-02-16,2,2013,"https://www.welt.de/wirtschaft/karriere/article113675185/Spaniens-Bildungswesen-muss-sich-neu-erfinden.html"
"18","Welt","Bildung","Was ist eigentlich „sozial gerecht“?",2013-02-16,2,2013,"https://www.welt.de/wirtschaft/article113682999/Was-ist-eigentlich-sozial-gerecht.html"
"19","Welt","Bildung","Hermann-Nohl-Schule für Preis nominiert",2013-02-17,2,2013,"https://www.welt.de/regionales/berlin/article113696291/Hermann-Nohl-Schule-fuer-Preis-nominiert.html"
"20","Welt","Bildung","Immer mehr Förderschüler an Stadtteilschulen",2013-02-18,2,2013,"https://www.welt.de/regionales/hamburg/article113725081/Immer-mehr-Foerderschueler-an-Stadtteilschulen.html"
"21","Welt","Bildung","CDU startet Kampagne für Realschulen",2013-02-18,2,2013,"https://www.welt.de/regionales/stuttgart/article113727861/CDU-startet-Kampagne-fuer-Realschulen.html"
"22","Welt","Bildung","Raus aus dem Einheitsbrei der deutschen Schulen!",2013-02-19,2,2013,"https://www.welt.de/debatte/kommentare/article113721821/Raus-aus-dem-Einheitsbrei-der-deutschen-Schulen.html"
"23","Welt","Bildung","Lust aufs Lernen kann zum Karriereturbo werden",2013-02-22,2,2013,"https://www.welt.de/wirtschaft/karriere/bildung/article113839396/Lust-aufs-Lernen-kann-zum-Karriereturbo-werden.html"
"24","Welt","Bildung","Warum Aufsteiger in Deutschland es so schwer haben",2013-02-23,2,2013,"https://www.welt.de/wirtschaft/article113853609/Warum-Aufsteiger-in-Deutschland-es-so-schwer-haben.html"
"25","Welt","Bildung","Mittelschicht-Eltern leiden unter Bildungsstress",2013-02-24,2,2013,"https://www.welt.de/politik/deutschland/article113860837/Mittelschicht-Eltern-leiden-unter-Bildungsstress.html"
"26","Welt","Bildung","Das Sitzenbleiben abzuschaffen ist Gleichmacherei",2013-02-24,2,2013,"https://www.welt.de/debatte/kommentare/article113862708/Das-Sitzenbleiben-abzuschaffen-ist-Gleichmacherei.html"
"27","Welt","Bildung","Rot-grüne Intensivmassage der Volksseele",2013-02-24,2,2013,"https://www.welt.de/debatte/kommentare/article113871090/Rot-gruene-Intensivmassage-der-Volksseele.html"
"28","Welt","Bildung","Zahl der Deutschland-Stipendiaten wächst",2013-02-24,2,2013,"https://www.welt.de/regionales/berlin/article113820565/Zahl-der-Deutschland-Stipendiaten-waechst.html"
"29","Welt","Bildung","Löhrmann – „Es gibt keinen Grund zur Panik“",2013-02-25,2,2013,"https://www.welt.de/politik/deutschland/article113870655/Loehrmann-Es-gibt-keinen-Grund-zur-Panik.html"
"30","Welt","Bildung","Schulung der Islam-Lehrer beginnt",2013-03-04,3,2013,"https://www.welt.de/regionales/frankfurt/article114125999/Schulung-der-Islam-Lehrer-beginnt.html"
"31","Welt","Bildung","Der Irrglaube, dass Bildung ""gerecht"" sein kann",2013-03-05,3,2013,"https://www.welt.de/debatte/kommentare/article114120661/Der-Irrglaube-dass-Bildung-gerecht-sein-kann.html"
