"","outlet","category","title","date","month","year","url"
"1","ZeitOnline","Bildung","Sieben Impfhelfer in Pakistan getötet",2013-01-01,1,2013,"https://www.zeit.de/politik/ausland/2013-01/pakistan-attentat-impfprogramm"
"2","ZeitOnline","Bildung","Das digitale Einmaleins",2013-01-03,1,2013,"https://www.zeit.de/2013/02/Schule-Estland-Programmieren"
"3","ZeitOnline","Bildung","Journalismus ist keine Einbahnstraße mehr",2013-01-03,1,2013,"https://www.zeit.de/2013/02/Datenjournalismus-Simon-Rogers"
"4","ZeitOnline","Bildung","Mutmaßliche Vergewaltiger ab heute vor Gericht",2013-01-03,1,2013,"https://www.zeit.de/gesellschaft/zeitgeschehen/2013-01/indien-prozess-vergewaltigung"
"5","ZeitOnline","Bildung","Nächte ohne Morphium",2013-01-03,1,2013,"https://www.zeit.de/2013/02/Dichter-Walter-Buchebner"
"6","ZeitOnline","Bildung","Pakistanisches Mädchen Malala fast wieder gesund",2013-01-04,1,2013,"https://www.zeit.de/gesellschaft/zeitgeschehen/2013-01/malala-krankenhaus-birmingham"
"7","ZeitOnline","Bildung","Steinbrück läuft den Gehaltsfragen davon",2013-01-05,1,2013,"https://www.zeit.de/politik/deutschland/2013-01/spd-wahlkampf-niedersachsen-steinbrueck"
"8","ZeitOnline","Bildung","""Steinbrück will """"Gemeinsinn und Gemeinwohl wiederbeleben""""""",2013-01-06,1,2013,"https://www.zeit.de/politik/deutschland/2013-01/steinbrueck-steuerpolitik-mindestlohn"
"9","ZeitOnline","Bildung","Assad ruft zur vollständigen nationalen Mobilisierung auf",2013-01-06,1,2013,"https://www.zeit.de/politik/ausland/2013-01/syrien-assad-waffenstillstand"
"10","ZeitOnline","Bildung","Zschäpes Anwälte entschärfen Kritik an Anklageschrift",2013-01-09,1,2013,"https://www.zeit.de/gesellschaft/zeitgeschehen/2013-01/nsu-zschaepe-haftbedingungen"
"11","ZeitOnline","Bildung","Als die Puppen zappeln lernten",2013-01-03,1,2013,"https://www.zeit.de/2013/02/Sesamstrasse-40-Jahre-Jubilaeum"
"12","ZeitOnline","Bildung","Wie die SPD Merkel doch noch schlagen will",2013-01-10,1,2013,"https://www.zeit.de/politik/deutschland/2013-01/spd-mieten-zypern-kindergeld"
"13","ZeitOnline","Bildung","IWF hilft Portugal beim Sparen",2013-01-10,1,2013,"https://www.zeit.de/wirtschaft/2013-01/iwf-portugal-einsparung"
"14","ZeitOnline","Bildung","Deutschland muss das durchziehen",2013-01-10,1,2013,"https://www.zeit.de/2013/03/Wirtschaftskrise-Oekonom-Jeffrey-Sachs"
"15","ZeitOnline","Bildung","Sie sollten uns dankbar sein",2013-01-10,1,2013,"https://www.zeit.de/2013/03/Interview-Muslimbrueder-Nur-al-Din"
"16","ZeitOnline","Bildung","Geistlicher plant Marsch der Millionen in Pakistan",2013-01-11,1,2013,"https://www.zeit.de/politik/ausland/2013-01/pakistan-millionenmarsch"
"17","ZeitOnline","Bildung","Israel räumt Protestcamp der Palästinenser",2013-01-13,1,2013,"https://www.zeit.de/politik/ausland/2013-01/raeumung-zeltlager-e1"
"18","ZeitOnline","Bildung","US-Regierungsstudie drängt Obama zu mehr Klimapolitik",2013-01-13,1,2013,"https://www.zeit.de/wissen/umwelt/2013-01/klimabericht-usa-erwaermung"
"19","ZeitOnline","Bildung","""USA verwarnen Filesharer bald mit """"Six Strikes""""""",2013-01-14,1,2013,"https://www.zeit.de/digital/internet/2013-01/six-strikes-filesharing"
"20","ZeitOnline","Bildung","Diese jungen Menschen haben ein Recht auf Bildung",2013-01-16,1,2013,"https://www.zeit.de/studium/hochschule/2013-01/freedom-university-usa-illegale-einwanderer"
"21","ZeitOnline","Bildung","Der Kandidat von nebenan strengt sich an",2013-01-17,1,2013,"https://www.zeit.de/politik/deutschland/2013-01/weil-niedersachsen-wahlkampf-spd"
"22","ZeitOnline","Bildung","In Israel werden Parteien immer unwichtiger",2013-01-17,1,2013,"https://www.zeit.de/politik/ausland/2013-01/israel-parlamentswahl-2013-knesset-netanjahu"
"23","ZeitOnline","Bildung","Am Ziel",2013-01-17,1,2013,"https://www.zeit.de/2013/04/Hitler-Machtuebernahme-Reichskanzler-1933"
"24","ZeitOnline","Bildung","Schneller wachsen ohne Demokratie",2013-01-17,1,2013,"https://www.zeit.de/2013/04/Ostafrika-Aethiopien-Ruanda-Uganda"
"25","ZeitOnline","Bildung","Klientelpolitik",2013-01-17,1,2013,"https://www.zeit.de/2013/04/Sozialpolitik-Rente-Altersarmut-Wahlkampf"
"26","ZeitOnline","Bildung","Deutschland spendet",2013-01-17,1,2013,"https://www.zeit.de/2013/04/Infografik-Spenden"
"27","ZeitOnline","Bildung","Gutes Leben, neu berechnet",2013-01-17,1,2013,"https://www.zeit.de/2013/04/Finanzkrise-Umwelt-Gruenes-Wachstum"
"28","ZeitOnline","Bildung","Wir müssen unser Israel neu aufbauen",2013-01-17,1,2013,"https://www.zeit.de/2013/04/Israel-Protestbewegung-Parlament"
"29","ZeitOnline","Bildung","Pakistans Protestler erkämpfen Reform des Wahlrechts",2013-01-17,1,2013,"https://www.zeit.de/politik/ausland/2013-01/pakistan-qadri-protest"
