"","outlet","category","title","date","month","year","url"
"1","bild.de","Bürgergeld","Handwerker-Kritik an Heils Plänen - Hartz-Hammer!",2022-09-12,9,2022,"https://www.bild.de/geld/wirtschaft/wirtschaft/handwerker-kritik-an-heils-buergergeld-plaenen-hartz-hammer-81297570.bild.html"
"2","bild.de","Bürgergeld","Hartz-IV-Zoff: SPD attackiert Arbeitgeber - Dann zahlt doch mehr Lohn!",2022-09-13,9,2022,"https://www.bild.de/politik/inland/politik-ausland/spd-attackiert-arbeitgeber-dann-zahlt-doch-mehr-lohn-81310480.bild.html"
"3","bild.de","Bürgergeld","Der große Sozial-Streit - Ist Hartz-IV zu hoch oder unsere Löhne zu niedrig?",2022-09-14,9,2022,"https://www.bild.de/politik/inland/politik-inland/der-grosse-sozial-streit-ist-hartz-iv-zu-hoch-oder-unsere-loehne-zu-niedrig-81327374.bild.html"
"4","bild.de","Bürgergeld","Kommentar zum Hartz-IV-Zoff - Kein Respekt vor Arbeit!",2022-09-14,9,2022,"https://www.bild.de/politik/kolumnen/kolumne/kommentar-zum-hartz-iv-zoff-kein-respekt-vor-arbeit-81326482.bild.html"
"5","bild.de","Bürgergeld","CDU-Expertin warnt - Das neue Hartz IV macht Clans noch reicher",2022-09-16,9,2022,"https://www.bild.de/politik/inland/politik-inland/cdu-expertin-warnt-das-neue-hartz-iv-macht-clans-noch-reicher-81346822.bild.html"
"6","bild.de","Bürgergeld","Kommentar - Keine staatliche Clan-Finanzierung!",2022-09-16,9,2022,"https://www.bild.de/politik/kolumnen/kolumne/kommentar-keine-staatliche-clan-finanzierung-81347002.bild.html"
"7","bild.de","Bürgergeld","Kampfansage von Friedrich Merz - Wir sind bereit, zu regieren!",2022-09-26,9,2022,"https://www.bild.de/politik/inland/politik-inland/friedrich-merz-im-bild-interview-wir-sind-bereit-zu-regieren-81443654.bild.html"
"8","bild.de","Bürgergeld","Viele Asylbewerber - CDU-Wirtschaftsrat warnt vor Kollaps der Kommunen",2022-10-10,10,2022,"https://www.bild.de/politik/inland/politik-inland/wirtschaftsrat-klagt-asylbewerber-zustrom-zu-hoch-81579356.bild.html"
"9","bild.de","Bürgergeld","Bayerns Ministerpräsident im Interview - Söder fordert Anti-Putin-Schutzschirm für Deutschland",2022-10-15,10,2022,"https://www.bild.de/politik/inland/politik-inland/markus-soeder-im-interview-der-staat-verdient-an-dieser-krise-81631162.bild.html"
"10","bild.de","Bürgergeld","Rechnungshof schlägt Alarm - Bürgergeld zu lasch, zu teuer, zu ungerecht!",2022-10-16,10,2022,"https://www.bild.de/politik/inland/politik-inland/rechnungshof-schlaegt-alarm-buergergeld-zu-lasch-zu-teuer-zu-ungerecht-81641772.bild.html"
