"","outlet","category","title","date","month","year","url"
"1","FAZ","Bürgergeld","Ein Sammelsurium namens Bürgergeld",2022-09-14,9,2022,"https://fazarchiv.faz.net/faz-portal/faz-archiv?q=B%C3%BCrgergeld&source=&max=30&sort=&offset=330&_ts=1685371207396&DT_from=01.08.2022&DT_to=31.01.2023&timeFilterType=0#"
"2","FAZ","Bürgergeld","Ein Sammelsurium namens Bürgergeld",2022-09-14,9,2022,"https://fazarchiv.faz.net/faz-portal/faz-archiv?q=B%C3%BCrgergeld&source=&max=30&sort=&offset=330&_ts=1685371207396&DT_from=01.08.2022&DT_to=31.01.2023&timeFilterType=0#"
"3","FAZ","Bürgergeld","Das steckt im neuen Bürgergeld",2022-09-14,9,2022,"https://fazarchiv.faz.net/faz-portal/faz-archiv?q=B%C3%BCrgergeld&source=&max=30&sort=&offset=330&_ts=1685371207396&DT_from=01.08.2022&DT_to=31.01.2023&timeFilterType=0#"
"4","FAZ","Bürgergeld","Entflammt der nächste Krieg in Osteuropa?",2022-09-14,9,2022,"https://fazarchiv.faz.net/faz-portal/faz-archiv?q=B%C3%BCrgergeld&source=&max=30&sort=&offset=330&_ts=1685371207396&DT_from=01.08.2022&DT_to=31.01.2023&timeFilterType=0#"
"5","FAZ","Bürgergeld","Diplomatische Lösung im Ukrainekrieg? • EU Pläne gegen hohe Strompreise • Letzter Besuch bei der Queen",2022-09-14,9,2022,"https://fazarchiv.faz.net/faz-portal/faz-archiv?q=B%C3%BCrgergeld&source=&max=30&sort=&offset=330&_ts=1685371207396&DT_from=01.08.2022&DT_to=31.01.2023&timeFilterType=0#"
"6","FAZ","Bürgergeld","Sozialverband Deutschland hält Bürgergeld-Regelsatz für zu niedrig",2022-09-13,9,2022,"https://fazarchiv.faz.net/faz-portal/faz-archiv?q=B%C3%BCrgergeld&source=&max=30&sort=&offset=330&_ts=1685371207396&DT_from=01.08.2022&DT_to=31.01.2023&timeFilterType=0#"
"7","FAZ","Bürgergeld","Sozialverband Deutschland hält Bürgergeld-Regelsatz für zu niedrig",2022-09-13,9,2022,"https://fazarchiv.faz.net/faz-portal/faz-archiv?q=B%C3%BCrgergeld&source=&max=30&sort=&offset=330&_ts=1685371207396&DT_from=01.08.2022&DT_to=31.01.2023&timeFilterType=0#"
"8","FAZ","Bürgergeld","Für mehr Menschen lohnt sich Nicht-Arbeiten mehr als Arbeiten",2022-09-12,9,2022,"https://fazarchiv.faz.net/faz-portal/faz-archiv?q=B%C3%BCrgergeld&source=&max=30&sort=&offset=330&_ts=1685371207396&DT_from=01.08.2022&DT_to=31.01.2023&timeFilterType=0#"
"9","FAZ","Bürgergeld","Zum Start 502 Euro",2022-09-12,9,2022,"https://fazarchiv.faz.net/faz-portal/faz-archiv?q=B%C3%BCrgergeld&source=&max=30&sort=&offset=330&_ts=1685371207396&DT_from=01.08.2022&DT_to=31.01.2023&timeFilterType=0#"
"10","FAZ","Bürgergeld","Zum Start 502 Euro",2022-09-11,9,2022,"https://fazarchiv.faz.net/faz-portal/faz-archiv?q=B%C3%BCrgergeld&source=&max=30&sort=&offset=330&_ts=1685371207396&DT_from=01.08.2022&DT_to=31.01.2023&timeFilterType=0#"
"11","FAZ","Bürgergeld","Zum Start 502 Euro",2022-09-11,9,2022,"https://fazarchiv.faz.net/faz-portal/faz-archiv?q=B%C3%BCrgergeld&source=&max=30&sort=&offset=330&_ts=1685371207396&DT_from=01.08.2022&DT_to=31.01.2023&timeFilterType=0#"
"12","FAZ","Bürgergeld","Abschied vom Grundeinkommen",2022-09-11,9,2022,"https://fazarchiv.faz.net/faz-portal/faz-archiv?q=B%C3%BCrgergeld&source=&max=30&sort=&offset=330&_ts=1685371207396&DT_from=01.08.2022&DT_to=31.01.2023&timeFilterType=0#"
"13","FAZ","Bürgergeld","Das Päckchen",2022-09-11,9,2022,"https://fazarchiv.faz.net/faz-portal/faz-archiv?q=B%C3%BCrgergeld&source=&max=30&sort=&offset=330&_ts=1685371207396&DT_from=01.08.2022&DT_to=31.01.2023&timeFilterType=0#"
"14","FAZ","Bürgergeld","Kein Volksentscheid",2022-09-07,9,2022,"https://fazarchiv.faz.net/faz-portal/faz-archiv?q=B%C3%BCrgergeld&source=&max=30&sort=&offset=330&_ts=1685371207396&DT_from=01.08.2022&DT_to=31.01.2023&timeFilterType=0#"
"15","FAZ","Bürgergeld","Rückschlag für Grundeinkommen",2022-09-07,9,2022,"https://fazarchiv.faz.net/faz-portal/faz-archiv?q=B%C3%BCrgergeld&source=&max=30&sort=&offset=330&_ts=1685371207396&DT_from=01.08.2022&DT_to=31.01.2023&timeFilterType=0#"
"16","FAZ","Bürgergeld","Wer bekommt wie viel Geld?",2022-09-07,9,2022,"https://fazarchiv.faz.net/faz-portal/faz-archiv?q=B%C3%BCrgergeld&source=&max=30&sort=&offset=330&_ts=1685371207396&DT_from=01.08.2022&DT_to=31.01.2023&timeFilterType=0#"
"17","FAZ","Bürgergeld","Kein Volksentscheid zu Grundeinkommen in Berlin",2022-09-06,9,2022,"https://fazarchiv.faz.net/faz-portal/faz-archiv?q=B%C3%BCrgergeld&source=&max=30&sort=&offset=330&_ts=1685371207396&DT_from=01.08.2022&DT_to=31.01.2023&timeFilterType=0#"
"18","FAZ","Bürgergeld","Wer bekommt wie viel?",2022-09-06,9,2022,"https://fazarchiv.faz.net/faz-portal/faz-archiv?q=B%C3%BCrgergeld&source=&max=30&sort=&offset=330&_ts=1685371207396&DT_from=01.08.2022&DT_to=31.01.2023&timeFilterType=0#"
"19","FAZ","Bürgergeld","Alle Wege führen in die Abruzzen",2022-09-05,9,2022,"https://fazarchiv.faz.net/faz-portal/faz-archiv?q=B%C3%BCrgergeld&source=&max=30&sort=&offset=330&_ts=1685371207396&DT_from=01.08.2022&DT_to=31.01.2023&timeFilterType=0#"
"20","FAZ","Bürgergeld","Die Menschen haben etwas Besseres verdient",2022-09-05,9,2022,"https://fazarchiv.faz.net/faz-portal/faz-archiv?q=B%C3%BCrgergeld&source=&max=30&sort=&offset=330&_ts=1685371207396&DT_from=01.08.2022&DT_to=31.01.2023&timeFilterType=0#"
"21","FAZ","Bürgergeld","Nach 22 Stunden ist für alle was dabei",2022-09-05,9,2022,"https://fazarchiv.faz.net/faz-portal/faz-archiv?q=B%C3%BCrgergeld&source=&max=30&sort=&offset=330&_ts=1685371207396&DT_from=01.08.2022&DT_to=31.01.2023&timeFilterType=0#"
"22","FAZ","Bürgergeld","Neues Entlastungspaket der Ampel: Zu wenig, zu spät, zu schwammig",2022-09-05,9,2022,"https://fazarchiv.faz.net/faz-portal/faz-archiv?q=B%C3%BCrgergeld&source=&max=30&sort=&offset=330&_ts=1685371207396&DT_from=01.08.2022&DT_to=31.01.2023&timeFilterType=0#"
"23","FAZ","Bürgergeld","Bazooka Nummer zwei",2022-09-04,9,2022,"https://fazarchiv.faz.net/faz-portal/faz-archiv?q=B%C3%BCrgergeld&source=&max=30&sort=&offset=330&_ts=1685371207396&DT_from=01.08.2022&DT_to=31.01.2023&timeFilterType=0#"
"24","FAZ","Bürgergeld","Man hätte mehr tun müssen",2022-09-04,9,2022,"https://fazarchiv.faz.net/faz-portal/faz-archiv?q=B%C3%BCrgergeld&source=&max=30&sort=&offset=330&_ts=1685371207396&DT_from=01.08.2022&DT_to=31.01.2023&timeFilterType=0#"
"25","FAZ","Bürgergeld","Bazooka Nummer zwei",2022-09-04,9,2022,"https://fazarchiv.faz.net/faz-portal/faz-archiv?q=B%C3%BCrgergeld&source=&max=30&sort=&offset=330&_ts=1685371207396&DT_from=01.08.2022&DT_to=31.01.2023&timeFilterType=0#"
"26","FAZ","Bürgergeld","Das dritte Entlastungspaket im Überblick",2022-09-04,9,2022,"https://fazarchiv.faz.net/faz-portal/faz-archiv?q=B%C3%BCrgergeld&source=&max=30&sort=&offset=330&_ts=1685371207396&DT_from=01.08.2022&DT_to=31.01.2023&timeFilterType=0#"
"27","FAZ","Bürgergeld","Das dritte Entlastungspaket im Überblick",2022-09-04,9,2022,"https://fazarchiv.faz.net/faz-portal/faz-archiv?q=B%C3%BCrgergeld&source=&max=30&sort=&offset=330&_ts=1685371207396&DT_from=01.08.2022&DT_to=31.01.2023&timeFilterType=0#"
"28","FAZ","Bürgergeld","Nahles startet mit guten Arbeitsmarktzahlen",2022-09-01,9,2022,"https://fazarchiv.faz.net/faz-portal/faz-archiv?q=B%C3%BCrgergeld&source=&max=30&sort=&offset=330&_ts=1685371207396&DT_from=01.08.2022&DT_to=31.01.2023&timeFilterType=0#"
"29","FAZ","Bürgergeld","Der Teufel fährt Prada",2022-10-09,10,2022,"https://fazarchiv.faz.net/faz-portal/faz-archiv?q=B%C3%BCrgergeld&source=&max=30&sort=&offset=300&_ts=1685371207396&DT_from=01.08.2022&DT_to=31.01.2023&timeFilterType=0#"
"30","FAZ","Bürgergeld","Das Bürgergeld führt nicht zum Ziel",2022-10-07,10,2022,"https://fazarchiv.faz.net/faz-portal/faz-archiv?q=B%C3%BCrgergeld&source=&max=30&sort=&offset=300&_ts=1685371207396&DT_from=01.08.2022&DT_to=31.01.2023&timeFilterType=0#"
"31","FAZ","Bürgergeld","Der Teufel fährt Prada",2022-10-07,10,2022,"https://fazarchiv.faz.net/faz-portal/faz-archiv?q=B%C3%BCrgergeld&source=&max=30&sort=&offset=300&_ts=1685371207396&DT_from=01.08.2022&DT_to=31.01.2023&timeFilterType=0#"
"32","FAZ","Bürgergeld","Ein Schlag ins Gesicht",2022-10-01,10,2022,"https://fazarchiv.faz.net/faz-portal/faz-archiv?q=B%C3%BCrgergeld&source=&max=30&sort=&offset=300&_ts=1685371207396&DT_from=01.08.2022&DT_to=31.01.2023&timeFilterType=0#"
"33","FAZ","Bürgergeld","Leserbriefe vom 1. Oktober 2022",2022-10-01,10,2022,"https://fazarchiv.faz.net/faz-portal/faz-archiv?q=B%C3%BCrgergeld&source=&max=30&sort=&offset=300&_ts=1685371207396&DT_from=01.08.2022&DT_to=31.01.2023&timeFilterType=0#"
"34","FAZ","Bürgergeld","Ampel baut Wohngeld kräftig aus",2022-09-29,9,2022,"https://fazarchiv.faz.net/faz-portal/faz-archiv?q=B%C3%BCrgergeld&source=&max=30&sort=&offset=300&_ts=1685371207396&DT_from=01.08.2022&DT_to=31.01.2023&timeFilterType=0#"
"35","FAZ","Bürgergeld","Die andere Zeitenwende",2022-09-28,9,2022,"https://fazarchiv.faz.net/faz-portal/faz-archiv?q=B%C3%BCrgergeld&source=&max=30&sort=&offset=300&_ts=1685371207396&DT_from=01.08.2022&DT_to=31.01.2023&timeFilterType=0#"
"36","FAZ","Bürgergeld","Zwischenfazit zur Krisen-Ampel: Chaotische Niederlagen und kleine Siege",2022-09-28,9,2022,"https://fazarchiv.faz.net/faz-portal/faz-archiv?q=B%C3%BCrgergeld&source=&max=30&sort=&offset=300&_ts=1685371207396&DT_from=01.08.2022&DT_to=31.01.2023&timeFilterType=0#"
"37","FAZ","Bürgergeld","Die andere Zeitenwende",2022-09-27,9,2022,"https://fazarchiv.faz.net/faz-portal/faz-archiv?q=B%C3%BCrgergeld&source=&max=30&sort=&offset=300&_ts=1685371207396&DT_from=01.08.2022&DT_to=31.01.2023&timeFilterType=0#"
"38","FAZ","Bürgergeld","Verschleierung",2022-09-27,9,2022,"https://fazarchiv.faz.net/faz-portal/faz-archiv?q=B%C3%BCrgergeld&source=&max=30&sort=&offset=300&_ts=1685371207396&DT_from=01.08.2022&DT_to=31.01.2023&timeFilterType=0#"
"39","FAZ","Bürgergeld","Die andere Zeitenwende",2022-09-27,9,2022,"https://fazarchiv.faz.net/faz-portal/faz-archiv?q=B%C3%BCrgergeld&source=&max=30&sort=&offset=300&_ts=1685371207396&DT_from=01.08.2022&DT_to=31.01.2023&timeFilterType=0#"
"40","FAZ","Bürgergeld","Wir brauchen nicht nur Fachkräfte",2022-09-25,9,2022,"https://fazarchiv.faz.net/faz-portal/faz-archiv?q=B%C3%BCrgergeld&source=&max=30&sort=&offset=300&_ts=1685371207396&DT_from=01.08.2022&DT_to=31.01.2023&timeFilterType=0#"
