"","outlet","category","title","date","month","year","url"
"1","SZ","Bürgergeld","Koalitionsausschuss berät am Samstag über Entlastungspaket",2022-09-02,9,2022,"https://www.sueddeutsche.de/politik/entlastungspaket-energiepreise-koalition-milliarden-1.5649946"
"2","SZ","Bürgergeld","Wenn sich Energiesparen nicht lohnt",2022-09-02,9,2022,"https://www.sueddeutsche.de/muenchen/hilfe-zum-lebensunterhalt-hartz-iv-sozialhilfe-energiekosten-muenchen-1.5649332"
"3","SZ","Bürgergeld","Sozialstaat auf Sparflamme",2022-09-02,9,2022,"https://www.sueddeutsche.de/muenchen/muenchen-hartz-iv-buergergeld-sozialhilfe-energiekrise-1.5649443"
"4","SZ","Bürgergeld","Skepsis gegen Hafen-Entscheidung",2022-10-27,10,2022,"https://www.sueddeutsche.de/muenchen/fuerstenfeldbruck/hamburger-hafen-cosco-china-politik-ampelkoalition-olaf-scholz-spd-bundestagsfraktion-olching-eichenau-1.5682599"
"5","SZ","Bürgergeld","Der Staat darf nicht übergriffig werden",2022-10-25,10,2022,"https://www.sueddeutsche.de/bayern/bayern-martin-huber-csu-generalsekretaer-interview-1.5681322"
"6","SZ","Bürgergeld","Nachrichten des Tages - die Übersicht für Eilige",2022-10-25,10,2022,"https://www.sueddeutsche.de/politik/news-ukraine-steinmeier-charles-iii-premier-hafen-deal-1.5681068"
"7","SZ","Bürgergeld","Mehr Geld für alle",2022-10-24,10,2022,"https://www.sueddeutsche.de/wirtschaft/einkommensteuer-grundfreibetrag-kalte-progression-1.5680958"
"8","SZ","Bürgergeld","Das Wochenende kompakt - die Übersicht für Eilige",2022-10-23,10,2022,"https://www.sueddeutsche.de/politik/news-nachrichten-xi-china-ampel-heizkosten-buergergeld-iran-demo-berlin-ukraine-1.5680358"
"9","SZ","Bürgergeld","Das sind die Streitpunkte beim Bürgergeld",2022-10-23,10,2022,"https://www.sueddeutsche.de/wirtschaft/buergergeld-ampelkoalition-arbeitslose-1.5680090"
"10","SZ","Bürgergeld","Nicht mehr mit uns",2022-10-23,10,2022,"https://www.sueddeutsche.de/meinung/buergergeld-nicht-mehr-mit-uns-1.5680176"
"11","SZ","Bürgergeld","FDP will Heizkosten-Zuschüsse für Ärmere begrenzen",2022-10-23,10,2022,"https://www.sueddeutsche.de/politik/fdp-heizkosten-energiesparen-ampelkoalition-1.5680029"
