"","outlet","category","title","date","month","year","url"
"1","Spiegel","Bürgergeld","Das dritte Entlastungspaket der Ampel: So sollen die Bürger konkret entlastet werden",2022-09-04,9,2022,"https://www.spiegel.de/politik/das-dritte-entlastungspaket-der-ampel-so-sollen-die-buerger-konkret-entlastet-werden-a-c7604ccd-7bf6-472f-98e7-a7c98ffb2ff3#ref=rss"
"2","Spiegel","Bürgergeld","Alleinstehende sollen monatlich 502 Euro Bürgergeld bekommen",2022-09-10,9,2022,"https://www.spiegel.de/wirtschaft/soziales/alleinstehende-sollen-monatlich-502-euro-buergergeld-bekommen-a-bbc1f67d-991f-44b0-92ee-7059cfb25164#ref=rss"
"3","Spiegel","Bürgergeld","Bürgergeld: Handwerk kritisiert Regelsatz als zu hoch",2022-09-12,9,2022,"https://www.spiegel.de/wirtschaft/soziales/buergergeld-handwerk-kritisiert-regelsatz-als-zu-hoch-a-e54c0f20-bc5c-4e0c-9cba-0dcd0b6caa5a#ref=rss"
"5","Spiegel","Bürgergeld","Hartz IV Sanktionen laut Studie wirkungslos",2022-09-12,9,2022,"https://www.spiegel.de/wirtschaft/hartz-iv-sanktionen-laut-studie-wirkungslos-a-e8427fea-3375-45a7-83e9-a438d1f000f1#ref=rss"
"6","Spiegel","Bürgergeld","News: Bürgergeld, Ukrainische Gegenoffensive, Tinder",2022-09-12,9,2022,"https://www.spiegel.de/politik/deutschland/news-buergergeld-ukrainische-gegenoffensive-tinder-a-434dc9d6-79c3-4305-9e4c-a44a29408eb3#ref=rss"
"7","Spiegel","Bürgergeld","Sozialverband hält geplante Bürgergeld-Regelsätze für zu niedrig",2022-09-13,9,2022,"https://www.spiegel.de/wirtschaft/sozialverband-haelt-geplante-buergergeld-regelsaetze-fuer-zu-niedrig-a-704c6e96-a9d4-4080-873c-0c65dec84ff6#ref=rss"
"8","Spiegel","Bürgergeld","News: Bürgergeld, Hartz IV, Die Linke, Sahra Wagenknecht, Winfried Kretschmann, Energie",2022-09-13,9,2022,"https://www.spiegel.de/politik/deutschland/news-buergergeld-hartz-iv-die-linke-sahra-wagenknecht-winfried-kretschmann-energie-a-82d8d7c6-106f-4aa1-bf7e-69cb4f4fe1c5#ref=rss"
"9","Spiegel","Bürgergeld","So funktioniert das neue Bürgergeld",2022-09-14,9,2022,"https://www.spiegel.de/wirtschaft/soziales/so-funktioniert-das-neue-buergergeld-a-a3601c84-18ac-4da9-ba49-52cec2f29607#ref=rss"
"10","Spiegel","Bürgergeld","Bürgergeld: Kabinett bringt Gesetz auf den Weg",2022-09-14,9,2022,"https://www.spiegel.de/politik/deutschland/buergergeld-kabinett-bringt-gesetz-auf-den-weg-a-4c698318-db07-46ac-bd5a-89b51c133103#ref=rss"
"11","Spiegel","Bürgergeld","Für Kinder erklärt: Wann ist man arm?",2022-10-08,10,2022,"https://www.spiegel.de/deinspiegel/fuer-kinder-erklaert-wann-ist-man-arm-a-001d99aa-a6ed-4015-8089-1c0e896402fb#ref=rss"
"12","Spiegel","Bürgergeld","Gutachten: Bundesrechnungshof warnt vor Missbrauch bei Bürgergeld",2022-10-17,10,2022,"https://www.spiegel.de/wirtschaft/gutachten-bundesrechnungshof-warnt-vor-missbrauch-bei-buergergeld-a-59a582eb-2e43-4805-b53a-2b2017aecbb8#ref=rss"
"14","Spiegel","Bürgergeld","Bürgergeld: Jobcenter-Personalräte fordern Verschiebung",2022-10-29,10,2022,"https://www.spiegel.de/wirtschaft/soziales/buergergeld-jobcenter-personalraete-fordern-verschiebung-a-211de9db-5527-4518-b10e-df85c665993e#ref=rss"
"15","Spiegel","Bürgergeld","Bürgergeld: Ampel-Parteien warnten Union vor Blockade im Bundesrat",2022-10-31,10,2022,"https://www.spiegel.de/politik/deutschland/buergergeld-ampel-parteien-warnten-union-vor-blockade-im-bundesrat-a-35bbc119-b6c0-4bae-b288-b75401159b7d#ref=rss"
"16","Spiegel","Bürgergeld","Bürgergeld: Ampelfraktionen legen Kompromiss vor",2022-11-04,11,2022,"https://www.spiegel.de/wirtschaft/soziales/buergergeld-ampelfraktionen-legen-kompromiss-vor-a-f14259c8-f444-41c3-a109-fc17eacb2094#ref=rss"
"17","Spiegel","Bürgergeld","Bürgergeld: Lindner warnt vor »Schäbigkeitswettbewerb«",2022-11-05,11,2022,"https://www.spiegel.de/politik/deutschland/buergergeld-lindner-warnt-vor-schaebigkeitswettbewerb-a-1e80c648-6a73-4704-b224-6fc63bb262e2#ref=rss"
"18","Spiegel","Bürgergeld","Bürgergeld: SPD-Chef Klingbeil wirft Söder und Merz »Fake News« vor",2022-11-05,11,2022,"https://www.spiegel.de/politik/buergergeld-spd-chef-klingbeil-wirft-soeder-und-merz-fake-news-vor-a-717e0b6b-4278-43a3-855d-0545b1347dd2#ref=rss"
