"","outlet","category","title","date","month","year","url"
"2","Welt","Bürgergeld","Neues Bürgergeld soll 502 Euro pro Monat betragen",2022-09-11,9,2022,"https://www.welt.de/politik/deutschland/article240984719/Gesetzentwurf-Neues-Buergergeld-soll-502-Euro-pro-Monat-betragen.html"
"12","Welt","Bürgergeld","Kabinett beschließt Bürgergeld – Regelsatz bei 502 Euro",2022-09-14,9,2022,"https://www.welt.de/politik/deutschland/article241047477/Hartz-IV-Nachfolger-Kabinett-beschliesst-Buergergeld-Regelsatz-bei-502-Euro.html"
"16","Welt","Bürgergeld","„Union hat den Schuss nicht gehört“ – So verteidigt Kühnert das geplante Bürgergeld",2022-09-15,9,2022,"https://www.welt.de/politik/deutschland/article241064195/Kevin-Kuehnert-Union-hat-den-Schuss-nicht-gehoert-SPD-General-verteidigt-Buergergeld.html"
"17","Welt","Bürgergeld","Das Bürgergeld ist eine Beleidigung",2022-09-16,9,2022,"https://www.welt.de/debatte/kommentare/article241056989/Ersatz-fuer-Hartz-IV-Das-Buergergeld-ist-eine-Beleidigung-fuer-die-Menschen.html"
"18","Welt","Bürgergeld","„Noch dieses Jahr müssen Hilfen fließen, die wirklich bei den Menschen ankommen“",2022-09-17,9,2022,"https://www.welt.de/politik/deutschland/article241090923/DGB-Chefin-Noch-dieses-Jahr-muessen-Hilfen-fliessen-die-wirklich-bei-den-Menschen-ankommen.html"
"21","Welt","Bürgergeld","Arbeitsagentur bitte Heil um Verschiebung der Bürgergeld-Einführung",2022-09-30,9,2022,"https://www.welt.de/politik/deutschland/article241348317/Buergergeld-Vorstaendin-der-Arbeitsagentur-will-Einfuehrung-verschieben.html"
"25","Welt","Bürgergeld","So will Heil mehr Langzeitarbeitslose auf den Arbeitsmarkt bringen",2022-10-13,10,2022,"https://www.welt.de/politik/deutschland/article241574763/Buergergeld-So-will-Heil-mehr-Langzeitarbeitslose-auf-den-Arbeitsmarkt-bringen.html"
"31","Welt","Bürgergeld","Bundesrechnungshof warnt vor Missbrauch bei Bürgergeld",2022-10-17,10,2022,"https://www.welt.de/politik/deutschland/article241629463/Buergergeld-Bundesrechnungshof-warnt-vor-Missbrauch.html"
"36","Welt","Bürgergeld","„Blockade ist keine Haltung für eine verantwortungsvolle Opposition“",2022-10-31,10,2022,"https://www.welt.de/politik/deutschland/article241875705/Esken-bei-Buergergeld-bereit-zu-Kompromissen-aber-nur-in-Detailfragen.html"
"39","Welt","Bürgergeld","Ampel-Fraktionen einigen sich auf Änderungen beim Bürgergeld",2022-11-04,11,2022,"https://www.welt.de/politik/deutschland/article241960173/Buergergeld-Ampel-einigt-sich-auf-Aenderungen-beim-Hartz-IV-Nachfolger.html"
"40","Welt","Bürgergeld","Finanzminister Lindner warnt Union vor „Schäbigkeitswettbewerb“",2022-11-05,11,2022,"https://www.welt.de/wirtschaft/article241962551/Christian-Lindner-warnt-Union-vor-Schaebigkeitswettbewerb.html"
"49","Welt","Bürgergeld","Merz sieht Bürgergeld als „Schritt“ zum bedingungslosen Grundeinkommen",2022-11-08,11,2022,"https://www.welt.de/politik/deutschland/article242020139/Friedrich-Merz-Buergergeld-als-Schritt-zum-bedingungslosen-Grundeinkommen.html"
"50","Welt","Bürgergeld","Kühnert wirft Union „Lügen“ im Bürgergeld-Streit vor",2022-11-09,11,2022,"https://www.welt.de/politik/deutschland/article242034293/Ton-wird-rauer-Kuehnert-wirft-Union-Luegen-im-Buergergeld-Streit-vor.html"
"54","Welt","Bürgergeld","Bundestag stimmt über Bürgergeld ab – Worum geht es?",2022-11-10,11,2022,"https://www.welt.de/politik/deutschland/article242054959/Hartz-IV-Nachfolger-Bundestag-stimmt-ueber-Buergergeld-ab-Worum-geht-es.html"
"58","Welt","Bürgergeld","Bundestag stimmt für Bürgergeld",2022-11-10,11,2022,"https://www.welt.de/politik/deutschland/article242058203/Buergergeld-Bundestag-stimmt-fuer-Nachfolge-von-Hartz-IV.html"
"64","Welt","Bürgergeld","„So nicht zustimmungsfähig“ – Söder will Bürgergeld im Bundesrat blockieren",2022-11-11,11,2022,"https://www.welt.de/politik/deutschland/article242071487/Soeder-will-Buergergeld-im-Bundesrat-blockieren.html"
"67","Welt","Bürgergeld","Mehrheit der Deutschen findet Bürgergeld „eher schlecht“",2022-11-11,11,2022,"https://www.welt.de/politik/deutschland/article242075165/Umfrage-Mehrheit-der-Deutschen-findet-Buergergeld-eher-schlecht.html"
"68","Welt","Bürgergeld","„Die Bundesregierung vollzieht mit diesem Gesetz einen vollständigen Systemwechsel“",2022-11-11,11,2022,"https://www.welt.de/politik/deutschland/article242089161/Merz-Buergergeld-als-Weg-in-ein-bedingungsloses-Grundeinkommen-aus-Steuermitteln.html"
"79","Welt","Bürgergeld","Bürgergeld scheitert im Bundesrat",2022-11-14,11,2022,"https://www.welt.de/politik/deutschland/article242121281/Buergergeld-vorerst-gestoppt-Bundesrat-blockiert-Reformprojekt-der-Ampel.html"
"82","Welt","Bürgergeld","FDP macht Union Kompromissangebot beim Bürgergeld",2022-11-15,11,2022,"https://www.welt.de/politik/deutschland/article242135817/Buergergeld-FDP-macht-Kompromissangebot-an-Union.html"
"83","Welt","Bürgergeld","Esken wirft Union „Fake News“ über Bürgergeld vor, ist aber zuversichtlich über Einigung",2022-11-16,11,2022,"https://www.welt.de/politik/deutschland/article242154305/Buergergeld-SPD-Chefin-Esken-wirft-Union-Fake-News-vor.html"
"84","Welt","Bürgergeld","SPD-Senatorin setzt auf Kompromiss mit Union",2022-11-16,11,2022,"https://www.welt.de/regionales/hamburg/article242157003/Buergergeld-SPD-Senatorin-setzt-auf-Kompromiss-mit-Union.html"
"85","Welt","Bürgergeld","Merz vergleicht Wortwahl der Ampel mit der „extremen amerikanischen Rechten“",2022-11-18,11,2022,"https://www.welt.de/politik/deutschland/article242200433/Merz-vergleicht-Wortwahl-der-Ampel-mit-der-extremen-amerikanischen-Rechten.html"
"87","Welt","Bürgergeld","Sanktionierungen „von Beginn an“ oder keine Bürgergeld-Zustimmung, sagt Gröhe",2022-11-18,11,2022,"https://www.welt.de/politik/deutschland/article242217477/Buergergeld-Sanktionierungen-von-Beginn-an-oder-keine-Unions-Zustimmung-sagt-Groehe.html"
"98","Welt","Bürgergeld","Baden-Württembergs Innenminister Strobl signalisiert Kompromissbereitschaft",2022-11-21,11,2022,"https://www.welt.de/politik/deutschland/article242247299/Buergergeld-Baden-Wuerttembergs-Innenminister-Strobl-signalisiert-Kompromissbereitschaft.html"
"102","Welt","Bürgergeld","Ampel und Union finden Kompromiss beim Bürgergeld",2022-11-22,11,2022,"https://www.welt.de/politik/deutschland/article242268571/Buergergeld-Ampel-und-Union-finden-Kompromiss-beim-Hartz-IV-Nachfolger.html"
"105","Welt","Bürgergeld","„Damit ist der Kern des Bürgergeldes komplett gestrichen“, sagt Merz",2022-11-22,11,2022,"https://www.welt.de/politik/deutschland/article242271439/Buergergeld-Damit-ist-der-Kern-der-Reform-komplett-gestrichen-sagt-Merz.html"
"114","Welt","Bürgergeld","Vermittlungsausschuss einigt sich auf Bürgergeld – SPD erwartet „System- und Kulturwandel“",2022-11-24,11,2022,"https://www.welt.de/politik/deutschland/article242303173/Buergergeld-Vermittlungsausschuss-einigt-sich-SPD-erwartet-System-und-Kulturwandel.html"
"115","Welt","Bürgergeld","Bürgergeld wird eingeführt – Ab 1. Januar fließen 502 Euro",2022-11-25,11,2022,"https://www.welt.de/politik/deutschland/article242326747/Buergergeld-Bundestag-und-Bundesrat-stimmen-Nachfolger-von-Hartz-IV-zu.html"
