"","outlet","category","title","date","month","year","url"
"1","Handelsblatt","Coronavirus","China bestätigt Mutation des Coronavirus – erster Fall in den USA",2020-01-22,1,2020,"https://www.handelsblatt.com/politik/international/virus-china-bestaetigt-mutation-des-coronavirus-erster-fall-in-den-usa/25458592.html"
"2","Handelsblatt","Coronavirus","Dax macht Verluste wett und schließt im Plus – Luxus-Aktien verlieren 15 Milliarden Euro an Wert",2020-01-21,1,2020,"https://www.handelsblatt.com/finanzen/maerkte/marktberichte/dax-aktuell-dax-macht-verluste-wett-und-schliesst-im-plus-luxus-aktien-verlieren-15-milliarden-euro-an-wert/25454810.html"
"3","Handelsblatt","Coronavirus","Sieben Dinge, die für Anleger heute wichtig sind",2020-01-21,1,2020,"https://www.handelsblatt.com/finanzen/maerkte/marktberichte/boerse-am-21-januar-sieben-dinge-die-fuer-anleger-heute-wichtig-sind/25453838.html"
"4","Handelsblatt","Coronavirus","Sorgen vor steigendem Virus-Risiko belasten asiatische Börsen",2020-01-21,1,2020,"https://www.handelsblatt.com/finanzen/maerkte/marktberichte/nikkei-topix-und-co-sorgen-vor-steigendem-virus-risiko-belasten-asiatische-boersen/25454462.html"
"5","Handelsblatt","Coronavirus","Mysteriöse Lungenkrankheit: China fürchtet Ausbreitung des Coronavirus",2020-01-22,1,2020,"https://www.handelsblatt.com/politik/international/krankheitserreger-mysterioese-lungenkrankheit-china-fuerchtet-ausbreitung-des-coronavirus/25451878.html"
"6","Handelsblatt","Coronavirus","Mysteriöse Lungenkrankheit breitet sich aus – Erste Erkrankungen außerhalb Chinas",2020-01-20,1,2020,"https://www.handelsblatt.com/technik/medizin/coronavirus-mysterioese-lungenkrankheit-breitet-sich-aus-erste-erkrankungen-ausserhalb-chinas/25451130.html"
"7","Handelsblatt","Coronavirus","Mysteriöse Lungenkrankheit in China: Ausmaß wohl deutlich größer als bisher angenommen",2020-01-19,1,2020,"https://www.handelsblatt.com/technik/medizin/coronavirus-mysterioese-lungenkrankheit-in-china-ausmass-wohl-deutlich-groesser-als-bisher-angenommen/25448782.html"
"8","Handelsblatt","Coronavirus","Aktiengewinne abgesichert",2020-01-14,1,2020,"https://www.handelsblatt.com/finanzen/anlagestrategie/musterdepots/privatbank-musterdepot-aktiengewinne-abgesichert/25508060.html"
"9","Handelsblatt","Coronavirus","Wird das Mersvirus plötzlich ansteckender?",2014-05-05,5,2014,"https://www.handelsblatt.com/technik/medizin/gefaehrlicher-krankheitserreger-wird-das-mersvirus-ploetzlich-ansteckender/9844628.html"
"10","Handelsblatt","Coronavirus","Morning Briefing für die Ohren",2020-01-23,1,2020,"https://www.handelsblatt.com/audio/podcast-morning-briefing/audio-23-januar-morning-briefing-fuer-die-ohren/25463592.html"
"11","Handelsblatt","Coronavirus","Metropole unter Quarantäne",2020-01-23,1,2020,"https://www.handelsblatt.com/meinung/morningbriefing/morning-briefing-metropole-unter-quarantaene/25463562.html"
