"","outlet","category","title","date","month","year","url"
"1","ZeitOnline","Coronavirus","Neue Studie belegt Gefährlichkeit des Coronavirus",2013-02-19,2,2013,"https://www.zeit.de/wissen/gesundheit/2013-02/coronavirus-studie"
"2","ZeitOnline","Coronavirus","Sars ist in Hongkong immer noch Thema",2013-03-01,3,2013,"https://www.zeit.de/wissen/gesundheit/2013-02/hongkong-sars"
"3","ZeitOnline","Coronavirus","Coronavirus springt erneut von Mensch zu Mensch",2013-05-13,5,2013,"https://www.zeit.de/wissen/gesundheit/2013-05/Coronavirus-Frankreich-Ansteckung"
"4","ZeitOnline","Coronavirus","Saudi-Arabien behindert Forschung an gefährlichem Coronavirus",2013-05-28,5,2013,"https://www.zeit.de/wissen/gesundheit/2013-05/corona-virus-forschung-saudi-arabien"
"5","ZeitOnline","Coronavirus","Neues Virus gefährdet Mekka-Pilger",2013-06-27,6,2013,"https://www.zeit.de/wissen/gesundheit/2013-06/mers-virus-uebertragung-pilger"
"6","ZeitOnline","Coronavirus","Mers-Virus ist tödlicher als Sars, aber weniger ansteckend",2013-07-28,7,2013,"https://www.zeit.de/wissen/2013-07/coronavirus-mers"
"7","ZeitOnline","Coronavirus","USA melden ersten Mers-Fall",2014-05-03,5,2014,"https://www.zeit.de/wissen/gesundheit/2014-05/Mers-Erkrankung-USA"
"8","ZeitOnline","Coronavirus","Wird das gefährliche Mers-Virus plötzlich ansteckender?",2014-05-02,5,2014,"https://www.zeit.de/wissen/2014-05/mers-coronavirus-virus-seuche-sars"
"9","ZeitOnline","Coronavirus","Aus der Wüste nach Südkorea",2015-06-11,6,2015,"https://www.zeit.de/2015/24/mers-virus-suedkorea-arabische-halbinsel"
"10","ZeitOnline","Coronavirus","Heilige Wüstenschiffe",2015-06-18,6,2015,"https://www.zeit.de/2015/25/mers-suedkorea-impfung-dromedare"
"11","ZeitOnline","Coronavirus","Der nette Idiot",2016-11-03,11,2016,"https://www.zeit.de/2016/46/rotlichtviertel-berlin-prostitution-akademiker-prozess"
"12","ZeitOnline","Coronavirus","Stop Publishing Fake News About Bats",2018-04-07,4,2018,"https://www.zeit.de/wissen/umwelt/2018-03/bats-fear-virus-disease-species-extinction"
"13","ZeitOnline","Coronavirus","Warten auf die große Seuche",2019-04-30,4,2019,"https://www.zeit.de/wissen/gesundheit/2019-03/epidemie-seuche-warnung-ebola-forschung-impfstoffdrucker"
"14","ZeitOnline","Coronavirus","Neues Virus führt wohl zur Ausbreitung von Lungenkrankheit",2020-01-09,1,2020,"https://www.zeit.de/wissen/2020-01/china-virus-lungenkrankheit-coronavirus-who-infektionskrankheit"
"15","ZeitOnline","Coronavirus","Zwei Menschen in China an neuem Virus gestorben",2020-01-17,1,2020,"https://www.zeit.de/wissen/gesundheit/2020-01/coronavirus-china-lungenkrankheit-patient-tod"
"16","ZeitOnline","Coronavirus","Vier weitere Fälle von neuer Lungenkrankheit in China bestätigt",2020-01-18,1,2020,"https://www.zeit.de/wissen/gesundheit/2020-01/china-coronavirus-lungenkrankheit-infektion-patienten"
"17","ZeitOnline","Coronavirus","China meldet siebzehn weitere Fälle neuer Lungenkrankheit",2020-01-19,1,2020,"https://www.zeit.de/wissen/gesundheit/2020-01/coronavirus-china-lungenkrankheit-infektion-wuhan"
"18","ZeitOnline","Coronavirus","Neuartiges chinesisches Virus breitet sich aus",2020-01-20,1,2020,"https://www.zeit.de/wissen/gesundheit/2020-01/cornoavirus-china-lungenerkankung-peking-suedkorea"
"19","ZeitOnline","Coronavirus","Neues Virus in China wird von Mensch zu Mensch übertragen",2020-01-20,1,2020,"https://www.zeit.de/wissen/gesundheit/2020-01/lungenkrankheit-china-coronavirus-infektion-infizierte"
"20","ZeitOnline","Coronavirus","Die Angst vor der nächsten Pandemie",2020-01-21,1,2020,"https://www.zeit.de/wissen/gesundheit/2020-01/coronavirus-china-lungenentzuendung-infektion-erkrankung"
