"","outlet","category","title","date","month","year","url"
"1","Handelsblatt","Digitalisierung","Shoppen im Vorbeifahren",2013-09-07,9,2013,"https://www.handelsblatt.com/unternehmen/handel-konsumgueter/drive-in-supermaerkte-shoppen-im-vorbeifahren/8744314.html"
"2","Handelsblatt","Digitalisierung","Bank of England half bei Verkauf von Nazi-Gold",2013-07-31,7,2013,"https://www.handelsblatt.com/politik/international/dokumente-bank-of-england-half-bei-verkauf-von-nazi-gold-/8574258.html"
"3","Handelsblatt","Digitalisierung","Wenn die Diamanten funkeln",2013-03-04,3,2013,"https://www.handelsblatt.com/meinung/kolumnen/kolumne-off-screen-wenn-die-diamanten-funkeln/7872432.html"
"4","Handelsblatt","Digitalisierung","Gewinne@Oase.com",2013-03-02,3,2013,"https://www.handelsblatt.com/unternehmen/handel-konsumgueter/steuerdruecker-gewinneoase-com/7856776.html"
"5","Handelsblatt","Digitalisierung","„Das Auto hat die Welt grundlegend verändert“",2014-03-26,3,2014,"https://www.handelsblatt.com/technik/das-technologie-update/fuenf-fragen-an/daimler-vorstand-thomas-weber-das-auto-hat-die-welt-grundlegend-veraendert/9665630.html"
"6","Handelsblatt","Digitalisierung","So funktioniert Personalführung im Digitalzeitalter",2014-03-17,3,2014,"https://www.handelsblatt.com/unternehmen/management/chef-2-0-so-funktioniert-personalfuehrung-im-digitalzeitalter/9611140.html"
"7","Handelsblatt","Digitalisierung","Schuften bis der Arzt kommt",2014-02-25,2,2014,"https://www.handelsblatt.com/finanzen/steuern-recht/recht/arbeitsrecht-schuften-bis-der-arzt-kommt/9532874.html"
"8","Handelsblatt","Digitalisierung","Neuer Chefredakteur für Handelsblatt Live",2014-01-17,1,2014,"https://www.handelsblatt.com/unternehmen/it-medien/in-eigener-sache-neuer-chefredakteur-fuer-handelsblatt-live/9347780.html"
"9","Handelsblatt","Digitalisierung","Der Möchtegern-Superminister",2013-12-20,12,2013,"https://www.handelsblatt.com/politik/deutschland/alexander-dobrindt-der-moechtegern-superminister/9247884.html"
"10","Handelsblatt","Digitalisierung","Wie Ärzte mit Patientendaten Kasse machen",2013-11-10,11,2013,"https://www.handelsblatt.com/unternehmen/industrie/behandelt-und-verkauft-wie-aerzte-mit-patientendaten-kasse-machen/9049474.html"
"11","Handelsblatt","Digitalisierung","Keine Chance für Blender",2013-10-31,10,2013,"https://www.handelsblatt.com/karriere/trends-in-der-beratung-keine-chance-fuer-blender/8659418.html"
"12","Handelsblatt","Digitalisierung","Trendscout in Asien",2013-10-20,10,2013,"https://www.handelsblatt.com/unternehmen/management/wachstumsmaerkte-trendscout-in-asien/8954238.html"
"13","Handelsblatt","Digitalisierung","Mit Technik zum hippen Klamottengeschäft",2013-10-14,10,2013,"https://www.handelsblatt.com/unternehmen/handel-konsumgueter/digitales-marketing-mit-technik-zum-hippen-klamottengeschaeft/8929194.html"
"14","Handelsblatt","Digitalisierung","Die nächste Revolution",2013-10-09,10,2013,"https://www.handelsblatt.com/unternehmen/it-medien/buchbranche-wird-digital-die-naechste-revolution/8901704.html"
"15","Handelsblatt","Digitalisierung","Wo Bauern den Autofirmen was vormachen",2014-09-26,9,2014,"https://www.handelsblatt.com/technik/vernetzt/smart-farming-smart-factoring-und-co-wo-bauern-den-autofirmen-was-vormachen/10708266.html"
"16","Handelsblatt","Digitalisierung","Sensoren zeigen Grad der Digitalisierung",2014-09-25,9,2014,"https://www.handelsblatt.com/technik/vernetzt/5-punkte-strategie-fuers-business-sensoren-zeigen-grad-der-digitalisierung/10704212.html"
"17","Handelsblatt","Digitalisierung","Die zentrale Herausforderung der Zukunft",2014-09-16,9,2014,"https://www.handelsblatt.com/technik/vernetzt/digitalen-arbeitswelt-die-zentrale-herausforderung-der-zukunft/10703836.html"
"18","Handelsblatt","Digitalisierung","„Wir haben eine Riesenchance bei der Digitalisierung“",2014-09-11,9,2014,"https://www.handelsblatt.com/technik/vernetzt/franz-fehrenbach-wir-haben-eine-riesenchance-bei-der-digitalisierung/10670506.html"
"19","Handelsblatt","Digitalisierung","Schnelles Internet, oder: Autobahnschild am Feldweg",2014-08-05,8,2014,"https://www.handelsblatt.com/meinung/kolumnen/kurz-und-schmerzhaft/der-transformer-schnelles-internet-oder-autobahnschild-am-feldweg/10292662.html"
"20","Handelsblatt","Digitalisierung","„Er war ein besessener Zeitungsmacher“",2014-06-12,6,2014,"https://www.handelsblatt.com/arts_und_style/aus-aller-welt/zum-tode-frank-schirrmachers-er-war-ein-besessener-zeitungsmacher/10034970.html"
"21","Handelsblatt","Digitalisierung","Hilfe, mein Chef ist ein Computer",2014-05-23,5,2014,"https://www.handelsblatt.com/technik/vernetzt/kuenstliche-intelligenz-hilfe-mein-chef-ist-ein-computer/9919316.html"
"22","Handelsblatt","Digitalisierung","App und Smartphone statt Handbuch",2014-05-08,5,2014,"https://www.handelsblatt.com/mobilitaet/motor/bedienungsanleitung-fuers-auto-wird-digital-app-und-smartphone-statt-handbuch/9849640.html"
"23","Handelsblatt","Digitalisierung","Kaeser löst Siemens' Konzernstruktur auf",2014-05-07,5,2014,"https://www.handelsblatt.com/unternehmen/industrie/neue-strategie-kaeser-loest-siemens-konzernstruktur-auf/9851732.html"
"24","Handelsblatt","Digitalisierung","Qualmender Kopf und hohe Drehzahl",2014-04-26,4,2014,"https://www.handelsblatt.com/karriere/arbeitsverdichtung-und-arbeitsdruck-qualmender-kopf-und-hohe-drehzahl/9792946.html"
"25","Handelsblatt","Digitalisierung","Wie wir unseren Feierabend verbringen werden",2015-01-23,1,2015,"https://www.handelsblatt.com/technik/projekt-zukunft/freizeit-der-zukunft-wie-wir-unseren-feierabend-verbringen-werden/11273976.html"
"26","Handelsblatt","Digitalisierung","Wird der Sozialstaat ausgenutzt? – „Ja, von Anwälten“",2015-01-21,1,2015,"https://www.handelsblatt.com/politik/deutschland/wolfgang-clement-im-interview-wird-der-sozialstaat-ausgenutzt-ja-von-anwaelten/11247434.html"
"27","Handelsblatt","Digitalisierung","Verizon könnte AOL schlucken",2015-01-06,1,2015,"https://www.handelsblatt.com/unternehmen/it-medien/ehemaliger-internetpionier-verizon-koennte-aol-schlucken/11190938.html"
"28","Handelsblatt","Digitalisierung","Wenn Kollege Computer einem den Job wegnimmt",2014-12-29,12,2014,"https://www.handelsblatt.com/unternehmen/it-medien/buch-the-second-machine-age-wenn-kollege-computer-einem-den-job-wegnimmt/11156362.html"
"29","Handelsblatt","Digitalisierung","Die Deutsche, die den Kreml überwacht",2014-11-15,11,2014,"https://www.handelsblatt.com/unternehmen/mittelstand/hidden_champions/hidden-champion-geutebrueck-die-deutsche-die-den-kreml-ueberwacht/10970162.html"
"30","Handelsblatt","Digitalisierung","Was steckt hinter dem Erfolg der Daimler-Aktie?",2014-11-11,11,2014,"https://www.handelsblatt.com/finanzen/maerkte/aktien/daimler-im-aufschwung-was-steckt-hinter-dem-erfolg-der-daimler-aktie/10960768.html"
"31","Handelsblatt","Digitalisierung","Das große Geschäft mit den Superreichen",2014-11-10,11,2014,"https://www.handelsblatt.com/finanzen/banken-versicherungen/privatebanking/banken-buhlen-um-milliardaere-das-grosse-geschaeft-mit-den-superreichen/10957378.html"
"32","Handelsblatt","Digitalisierung","„Entweder du profitierst oder du verlierst“",2014-11-03,11,2014,"https://www.handelsblatt.com/unternehmen/it-medien/pink-university-gruenderin-entweder-du-profitierst-oder-du-verlierst/10896578.html"
"33","Handelsblatt","Digitalisierung","Wenn die Ranunkeln funken",2014-10-10,10,2014,"https://www.handelsblatt.com/technik/das-technologie-update/healthcare/digitaler-garten-wenn-die-ranunkeln-funken/10804820.html"
"34","Handelsblatt","Digitalisierung","Der neue Herr Kaiser",2014-10-02,10,2014,"https://www.handelsblatt.com/finanzen/vorsorge/versicherung/versicherungsvertrieb-der-neue-herr-kaiser/10789012.html"
"35","Handelsblatt","Digitalisierung","„Wer nicht im Valley ist, verpasst den Fortschritt“",2015-03-20,3,2015,"https://www.handelsblatt.com/unternehmen/it-medien/interview-mit-andreas-von-bechtolsheim-wer-nicht-im-valley-ist-verpasst-den-fortschritt/11532786.html"
"36","Handelsblatt","Digitalisierung","„Das grenzt an Betrug“",2015-03-10,3,2015,"https://www.handelsblatt.com/finanzen/vorsorge/altersvorsorge-sparen/altersvorsorge-immobilien-baugeld-das-grenzt-an-betrug/11477514.html"
"37","Handelsblatt","Digitalisierung","Mit Bauklötzchen von einem Rekord zum nächsten",2015-02-25,2,2015,"https://www.handelsblatt.com/unternehmen/handel-konsumgueter/lego-der-star-aus-daenemark-mit-baukloetzchen-von-einem-rekord-zum-naechsten/11421970.html"
"38","Handelsblatt","Digitalisierung","Schneller, flexibler, günstiger",2015-02-22,2,2015,"https://www.handelsblatt.com/finanzen/geldpolitik/industrie-schneller-flexibler-guenstiger/11408436.html"
"39","Handelsblatt","Digitalisierung","Billiges Teilen",2015-02-22,2,2015,"https://www.handelsblatt.com/finanzen/geldpolitik/dienstleistungen-billiges-teilen/11408432.html"
"40","Handelsblatt","Digitalisierung","„Ich wehre mich gegen das Wort Verführung“",2015-02-10,2,2015,"https://www.handelsblatt.com/unternehmen/it-medien/hse24-chef-richard-reitzner-ich-wehre-mich-gegen-das-wort-verfuehrung/11352502.html"
"41","Handelsblatt","Digitalisierung","Die papierlose Bank",2015-02-04,2,2015,"https://www.handelsblatt.com/finanzen/banken-versicherungen/banken/innovationen-die-papierlose-bank/11324168.html"
"42","Handelsblatt","Digitalisierung","Wie Mitarbeiter motivierter werden",2015-02-03,2,2015,"https://www.handelsblatt.com/unternehmen/it-medien/tim-leberecht-wie-mitarbeiter-motivierter-werden/11319148.html"
"43","Handelsblatt","Digitalisierung","Digitale Wunderwaffe aus Kreuzberg",2015-02-02,2,2015,"https://www.handelsblatt.com/unternehmen/mittelstand/torben-lucie-und-die-gelbe-gefahr-die-digitale-wunderwaffe-aus-kreuzberg/11312838.html"
"44","Handelsblatt","Digitalisierung","13 Berufe mit Zukunft",2015-01-26,1,2015,"https://www.handelsblatt.com/karriere/zukunft-der-arbeit/jobs-in-der-digitalbranche-13-berufe-mit-zukunft/11072838.html"
"45","Handelsblatt","Digitalisierung","Wenn das Werkstück der Maschine Anweisungen gibt",2015-05-08,5,2015,"https://www.handelsblatt.com/technik/vernetzt/vernetzte-fabrik-wenn-das-werkstueck-der-maschine-anweisungen-gibt/11750552.html"
"46","Handelsblatt","Digitalisierung","Doppelsieg beim Medienpreis Mittelstand für Handelsblatt Online",2015-05-07,5,2015,"https://www.handelsblatt.com/unternehmen/it-medien/in-eigener-sache-doppelsieg-beim-medienpreis-mittelstand-fuer-handelsblatt-online/11745160.html"
"47","Handelsblatt","Digitalisierung","Zum Abschied eine gute Bilanz",2015-05-05,5,2015,"https://www.handelsblatt.com/finanzen/banken-versicherungen/versicherer/aktiencheck-allianz-zum-abschied-eine-gute-bilanz/11732822.html"
"48","Handelsblatt","Digitalisierung","„Wir brauchen mehr Vertrauen der Industrie“",2015-05-05,5,2015,"https://www.handelsblatt.com/politik/deutschland/nicola-leibinger-kammueller-im-interview-wir-brauchen-mehr-vertrauen-der-industrie/11731656.html"
"49","Handelsblatt","Digitalisierung","Ikea sagt dem Kabelsalat den Kampf an",2015-04-27,4,2015,"https://www.handelsblatt.com/unternehmen/handel-konsumgueter/deutschland-chef-peter-betzel-ikea-sagt-dem-kabelsalat-den-kampf-an/11696230.html"
"50","Handelsblatt","Digitalisierung","„Erhard dreht sich im Grab um“",2015-04-22,4,2015,"https://www.handelsblatt.com/politik/deutschland/interview-mit-kurt-lauk-erhard-dreht-sich-im-grab-um/11673024.html"
"51","Handelsblatt","Digitalisierung","„Die Medizin der EZB macht abhängig“",2015-04-15,4,2015,"https://www.handelsblatt.com/finanzen/banken-versicherungen/versicherer/munich-re-chef-von-bomhard-die-medizin-der-ezb-macht-abhaengig/11641428.html"
"52","Handelsblatt","Digitalisierung","Deutschland wehrt sich gegen das „Y“",2015-04-14,4,2015,"https://www.handelsblatt.com/technik/hannovermesse/plattform-industrie-4-0-deutschland-wehrt-sich-gegen-das-y/11636154.html"
"53","Handelsblatt","Digitalisierung","Ex-BNP-Banker in Abu Dhabi festgenommen",2015-04-06,4,2015,"https://www.handelsblatt.com/finanzen/banken-versicherungen/banken/geldwaescheverdacht-ex-bnp-banker-in-abu-dhabi-festgenommen/11601080.html"
