"","outlet","category","title","date","month","year","url"
"1","Spiegel","Digitalisierung","Berufseinsteiger: Die Legende von der anspruchsvollen Generation Y",2015-11-30,11,2015,"http://www.spiegel.de/karriere/berufsstart/die-generation-y-ist-in-wahrheit-eine-generation-prekaer-a-1064394.html#ref=rss"
"2","Spiegel","Digitalisierung","Kapitalismus-Kritik: ""Nur arme Staaten sollten wachsen""",2015-12-01,12,2015,"http://www.spiegel.de/wirtschaft/soziales/reinhard-loske-ueber-wachstum-nur-arme-staaten-sollten-wachsen-a-1063567.html#ref=rss"
"3","Spiegel","Digitalisierung","Tipps für Weihnachten: Das sind die besten Familienspiele 2015",2015-12-11,12,2015,"http://www.spiegel.de/netzwelt/games/videospiele-fuer-kinder-und-familien-die-highlights-aus-2015-a-1067129.html#ref=rss"
"4","Spiegel","Digitalisierung","Umfrage: Finnen verlieren die Lust am Euro",2015-12-22,12,2015,"http://www.spiegel.de/wirtschaft/soziales/finnen-verlieren-die-lust-am-euro-a-1069151.html#ref=rss"
"5","Spiegel","Digitalisierung","Weltwirtschaft: Fünf Gründe für ein gutes Jahr 2016",2016-01-03,1,2016,"http://www.spiegel.de/wirtschaft/soziales/weltwirtschaft-fuenf-gruende-fuer-ein-gutes-jahr-2016-a-1070240.html#ref=rss"
"6","Spiegel","Digitalisierung","Prepper-Bewegung in Deutschland: In Herrn Blums Bunker",2016-01-06,1,2016,"http://www.spiegel.de/panorama/gesellschaft/prepper-in-deutschland-haus-auto-milchpulvermuesli-a-1069256.html#ref=rss"
"7","Spiegel","Digitalisierung","Ökonom Straubhaar zur Globalisierung: ""Der klassische Güterhandel ist ein Auslaufmodell""",2016-01-09,1,2016,"http://www.spiegel.de/wirtschaft/unternehmen/thomas-straubhaar-klassischer-gueterhandel-ist-ein-auslaufmodell-a-1068787.html#ref=rss"
"8","Spiegel","Digitalisierung","Weltbank-Bericht: Wer vom Internet profitiert - und wer nicht",2016-01-14,1,2016,"http://www.spiegel.de/netzwelt/netzpolitik/weltbank-wer-vom-internet-profitiert-und-wer-nicht-a-1071952.html#ref=rss"
"9","Spiegel","Digitalisierung","Bis 2020: Roboter ersetzen in Industrieländern fünf Millionen Jobs",2016-01-17,1,2016,"http://www.spiegel.de/wirtschaft/unternehmen/roboter-kosten-industrielaender-fuenf-millionen-jobs-a-1072429.html#ref=rss"
"10","Spiegel","Digitalisierung","Kreative Bastelei: Zweites Leben für die Zelle",2016-01-20,1,2016,"http://www.spiegel.de/netzwelt/gadgets/telefonzellen-so-werden-alte-telefonzellen-heute-genutzt-a-1072722.html#ref=rss"
