"","outlet","category","title","date","month","year","url"
"1","Welt","Digitalisierung","Ein Knopfdruck genügt",2013-06-25,6,2013,"https://www.welt.de/motor/article160307906/Ein-Knopfdruck-genuegt.html"
"2","Welt","Digitalisierung","Scannen oder scannen lassen?",2015-01-01,1,2015,"https://www.welt.de/wirtschaft/webwelt/article160309296/Scannen-oder-scannen-lassen.html"
"3","Welt","Digitalisierung","Hamburg, die digitale Hauptstadt Deutschlands",2015-02-08,2,2015,"https://www.welt.de/regionales/hamburg/article137240248/Hamburg-die-digitale-Hauptstadt-Deutschlands.html"
"4","Welt","Digitalisierung","Droht mit Digitalisierung jedem zweiten Job das Aus?",2016-01-11,1,2016,"https://www.welt.de/wirtschaft/webwelt/article150856398/Droht-mit-Digitalisierung-jedem-zweiten-Job-das-Aus.html"
"5","Welt","Digitalisierung","Wie Sie die Digitalisierung am Arbeitsplatz meistern",2016-03-29,3,2016,"https://www.welt.de/wirtschaft/article153754398/Wie-Sie-die-Digitalisierung-am-Arbeitsplatz-meistern.html"
"6","Welt","Digitalisierung","Woran die Digitalisierung der Schulen scheitert",2016-03-29,3,2016,"https://www.welt.de/politik/deutschland/article153777823/Woran-die-Digitalisierung-der-Schulen-scheitert.html"
"7","Welt","Digitalisierung","Hamburg plant kostenloses W-Lan für alle",2016-03-29,3,2016,"https://www.welt.de/regionales/hamburg/article153785443/Hamburg-plant-kostenloses-W-Lan-fuer-alle.html"
"8","Welt","Digitalisierung","Hamburg startet kostenloses WLAN-Netz für alle",2016-04-14,4,2016,"https://www.welt.de/regionales/hamburg/article154306709/Hamburg-startet-kostenloses-WLAN-Netz-fuer-alle.html"
"9","Welt","Digitalisierung","Diese Dax-Konzerne verpassen die Digitalisierung",2016-04-15,4,2016,"https://www.welt.de/wirtschaft/article154396023/Diese-Dax-Konzerne-verpassen-die-Digitalisierung.html"
"10","Welt","Digitalisierung","Das große Märchen vom Roboter als Jobkiller",2016-04-25,4,2016,"https://www.welt.de/wirtschaft/article154694243/Das-grosse-Maerchen-vom-Roboter-als-Jobkiller.html"
"11","Welt","Digitalisierung","Amerikas Attacke auf die deutsche Industrie-Herrschaft",2016-05-01,5,2016,"https://www.welt.de/wirtschaft/article154931786/Amerikas-Attacke-auf-die-deutsche-Industrie-Herrschaft.html"
"12","Welt","Digitalisierung","Snapchat oder Wie mich die Digitalisierung abhängte",2016-05-07,5,2016,"https://www.welt.de/kultur/medien/article155121656/Snapchat-oder-Wie-mich-die-Digitalisierung-abhaengte.html"
"13","Welt","Digitalisierung","Warum Digitalisierung gut für den Mittelstand ist",2016-05-19,5,2016,"https://www.welt.de/regionales/hamburg/article155493348/Warum-Digitalisierung-gut-fuer-den-Mittelstand-ist.html"
"14","Welt","Digitalisierung","Andrea Nahles‘ Pläne gehen am Arbeitsmarkt vorbei",2016-06-07,6,2016,"https://www.welt.de/debatte/kommentare/article156035726/Andrea-Nahles-Plaene-gehen-am-Arbeitsmarkt-vorbei.html"
"15","Welt","Digitalisierung","Warum Daimler Uber auf einmal gut findet",2016-06-09,6,2016,"https://www.welt.de/wirtschaft/webwelt/article156085241/Warum-Daimler-Uber-auf-einmal-gut-findet.html"
"16","Welt","Digitalisierung","Personalprofis stellen Chefaufsehern Armutszeugnis aus",2016-06-10,6,2016,"https://www.welt.de/wirtschaft/article156130781/Personalprofis-stellen-Chefaufsehern-Armutszeugnis-aus.html"
"17","Welt","Digitalisierung","Das sind die lukrativsten Jobs der neuen Arbeitswelt",2016-06-12,6,2016,"https://www.welt.de/wirtschaft/article156157198/Das-sind-die-lukrativsten-Jobs-der-neuen-Arbeitswelt.html"
"18","Welt","Digitalisierung","Roboter-Berater drängen bei den Banken nach vorn",2016-06-15,6,2016,"https://www.welt.de/finanzen/article156236995/Roboter-Berater-draengen-bei-den-Banken-nach-vorn.html"
"19","Welt","Digitalisierung","„Jeder vierte Arbeitnehmer steckt im falschen Job“",2016-06-19,6,2016,"https://www.welt.de/wirtschaft/article156354535/Jeder-vierte-Arbeitnehmer-steckt-im-falschen-Job.html"
"20","Welt","Digitalisierung","So gefährlich ist unsere Abhängigkeit vom Mobilfunk",2016-06-20,6,2016,"https://www.welt.de/wirtschaft/webwelt/article156363729/So-gefaehrlich-ist-unsere-Abhaengigkeit-vom-Mobilfunk.html"
"21","Welt","Digitalisierung","„Die niedrigen Zinsen verursachen enormen Schaden“",2016-06-20,6,2016,"https://www.welt.de/wirtschaft/article156363717/Die-niedrigen-Zinsen-verursachen-enormen-Schaden.html"
"22","Welt","Digitalisierung","Fehlerhafte Implantate – Ausweis kann Leben retten",2016-06-20,6,2016,"https://www.welt.de/regionales/hamburg/article156365423/Fehlerhafte-Implantate-Ausweis-kann-Leben-retten.html"
"23","Welt","Digitalisierung","Wie Roboter unsere Welt verändern werden",2016-06-20,6,2016,"https://www.welt.de/regionales/hamburg/article156375634/Wie-Roboter-unsere-Welt-veraendern-werden.html"
"24","Welt","Digitalisierung","Erster! Wir sind schon den neuen Panamera gefahren",2016-06-22,6,2016,"https://www.welt.de/motor/article156407737/Erster-Wir-sind-schon-den-neuen-Panamera-gefahren.html"
"25","Welt","Digitalisierung","So will die EU jetzt Roboter per Gesetz bändigen",2016-06-22,6,2016,"https://www.welt.de/wirtschaft/article156463323/So-will-die-EU-jetzt-Roboter-per-Gesetz-baendigen.html"
"26","Welt","Digitalisierung","Wenn das Handy meldet, dass die Windel voll ist",2016-06-25,6,2016,"https://www.welt.de/wirtschaft/article156561469/Wenn-das-Handy-meldet-dass-die-Windel-voll-ist.html"
"27","Welt","Digitalisierung","„Wir brauchen Lust am Fortschritt“",2016-06-28,6,2016,"https://www.welt.de/regionales/nrw/article156617020/Wir-brauchen-Lust-am-Fortschritt.html"
"28","Welt","Digitalisierung","Jetzt will Angela Merkel die EU „optimieren“",2016-07-02,7,2016,"https://www.welt.de/politik/deutschland/article156757361/Jetzt-will-Angela-Merkel-die-EU-optimieren.html"
"29","Welt","Digitalisierung","Ab wann sollte man Kinder an den Computer lassen?",2016-07-03,7,2016,"https://www.welt.de/regionales/bayern/article156735966/Ab-wann-sollte-man-Kinder-an-den-Computer-lassen.html"
"30","Welt","Digitalisierung","Liebe Technikfeinde, der Fortschritt kommt sowieso",2016-07-07,7,2016,"https://www.welt.de/debatte/kommentare/article156878031/Liebe-Technikfeinde-der-Fortschritt-kommt-sowieso.html"
"31","Welt","Digitalisierung","Post-Chef will die Arbeit von Robotern besteuern",2016-07-10,7,2016,"https://www.welt.de/wirtschaft/article156922755/Post-Chef-will-die-Arbeit-von-Robotern-besteuern.html"
"32","Welt","Digitalisierung","Eine Waagenfabrik auf dem Weg in die Zukunft",2016-07-11,7,2016,"https://www.welt.de/regionales/hamburg/article156958168/Eine-Waagenfabrik-auf-dem-Weg-in-die-Zukunft.html"
"33","Welt","Digitalisierung","Diese Länder sind führend in der digitalen Wirtschaft",2016-07-12,7,2016,"https://www.welt.de/wirtschaft/bilanz/article161760154/Diese-Laender-sind-fuehrend-in-der-digitalen-Wirtschaft.html"
"34","Welt","Digitalisierung","Burger-Brater ist ein Beruf mit großer Zukunft",2016-07-14,7,2016,"https://www.welt.de/wirtschaft/article157031431/Burger-Brater-ist-ein-Beruf-mit-grosser-Zukunft.html"
"35","Welt","Digitalisierung","Siemens möchte zum Apple der Industrie werden",2016-07-19,7,2016,"https://www.welt.de/wirtschaft/article157171400/Siemens-moechte-zum-Apple-der-Industrie-werden.html"
"36","Welt","Digitalisierung","Dieser Mann leistet bei Porsche Entwicklungshilfe",2016-07-20,7,2016,"https://www.welt.de/motor/article157072054/Dieser-Mann-leistet-bei-Porsche-Entwicklungshilfe.html"
"37","Welt","Digitalisierung","Wem gehört die Erinnerung an ein totes Kind?",2016-07-21,7,2016,"https://www.welt.de/wirtschaft/plus157152039/Wem-gehoert-die-Erinnerung-an-ein-totes-Kind.html"
"38","Welt","Digitalisierung","Warum wir schon bald völlig anders arbeiten",2016-07-23,7,2016,"https://www.welt.de/wirtschaft/article157235743/Warum-wir-schon-bald-voellig-anders-arbeiten.html"
"39","Welt","Digitalisierung","Das passiert, wenn ich nur noch Überschriften lese",2016-07-24,7,2016,"https://www.welt.de/kultur/medien/article157258253/Das-passiert-wenn-ich-nur-noch-Ueberschriften-lese.html"
"40","Welt","Digitalisierung","Wie die Digitalisierung das Reederei-Geschäft wandelt",2016-07-26,7,2016,"https://www.welt.de/regionales/hamburg/article157312904/Wie-die-Digitalisierung-das-Reederei-Geschaeft-wandelt.html"
"41","Welt","Digitalisierung","Die unheimliche Macht der Tech-Giganten",2016-08-01,8,2016,"https://www.welt.de/wirtschaft/article157395712/Die-unheimliche-Macht-der-Tech-Giganten.html"
"42","Welt","Digitalisierung","Axel Springer profitiert von digitaler Ausrichtung",2016-08-03,8,2016,"https://www.welt.de/wirtschaft/article157479126/Axel-Springer-profitiert-von-digitaler-Ausrichtung.html"
"43","Welt","Digitalisierung","Die Digitalisierung hat das Handwerk erfasst",2016-08-06,8,2016,"https://www.welt.de/regionales/bayern/article157518419/Die-Digitalisierung-hat-das-Handwerk-erfasst.html"
"44","Welt","Digitalisierung","HVV-Tarife sollen 2017 erneut steigen",2016-08-09,8,2016,"https://www.welt.de/regionales/hamburg/article157572394/HVV-Tarife-sollen-2017-erneut-steigen.html"
"45","Welt","Digitalisierung","Wie man Schüler vor dem Amoklauf bewahrt",2016-08-15,8,2016,"https://www.welt.de/gesundheit/psychologie/article157627762/Wie-man-Schueler-vor-dem-Amoklauf-bewahrt.html"
