"","outlet","category","title","date","month","year","url"
"1","Wirtschaftswoche","Digitalisierung","Entscheidungsjahr Für diese Unternehmen heißt es 2014 Top oder Flop",2013-01-02,1,2013,"https://www.wiwo.de/unternehmen/industrie/entscheidungsjahr-fuer-diese-unternehmen-heisst-es-2014-top-oder-flop/9239886.html"
"2","Wirtschaftswoche","Digitalisierung","Geschäftsideen in Bits und Bytes Der digitale FC Bayern",2013-01-31,1,2013,"https://www.wiwo.de/unternehmen/it/geschaeftsideen-in-bits-und-bytes-der-digitale-fc-bayern-/7714400.html"
"3","Wirtschaftswoche","Digitalisierung","Big Data Aigner fordert hohen Datenschutz",2013-02-05,2,2013,"https://www.wiwo.de/technologie/digitale-welt/big-data-aigner-fordert-hohen-datenschutz/7737690.html"
"4","Wirtschaftswoche","Digitalisierung","Neues Patent Amazon will Gebrauchtmarkt für digitale Güter",2013-02-07,2,2013,"https://www.wiwo.de/technologie/digitale-welt/neues-patent-amazon-will-gebrauchtmarkt-fuer-digitale-gueter/7749158.html"
"5","Wirtschaftswoche","Digitalisierung","Auto Digital Autos entwickeln und bauen",2013-02-15,2,2013,"https://www.wiwo.de/technologie/mobilitaet/auto-digital-autos-entwickeln-und-bauen/7792892.html"
"6","Wirtschaftswoche","Digitalisierung","Bankenzukunft Banken - eine vom Aussterben bedrohte Spezies?",2013-02-17,2,2013,"https://www.wiwo.de/unternehmen/banken/bankenzukunft-banken-eine-vom-aussterben-bedrohte-spezies/7787342.html"
"7","Wirtschaftswoche","Digitalisierung","Digitale Bildung Warum das Tablet in den Kindergarten gehört",2013-02-20,2,2013,"https://www.wiwo.de/technologie/digitale-welt/digitale-bildung-warum-das-tablet-in-den-kindergarten-gehoert/7807178.html"
"8","Wirtschaftswoche","Digitalisierung","Innovationen Wenn das Auto direkt aus dem Computer kommt",2013-02-25,2,2013,"https://www.wiwo.de/unternehmen/it/innovationen-wenn-das-auto-direkt-aus-dem-computer-kommt/7801022.html"
"9","Wirtschaftswoche","Digitalisierung","Erste Anbieter starten Zweitmarkt Ein Flohmarkt für E-Books und Co.",2013-02-27,2,2013,"https://www.wiwo.de/unternehmen/it/erste-anbieter-starten-zweitmarkt-ein-flohmarkt-fuer-e-books-und-co-/7191154.html"
"10","Wirtschaftswoche","Digitalisierung","Zweistelliges Plus Online-Werbung legt kräftig zu",2013-02-27,2,2013,"https://www.wiwo.de/unternehmen/it/zweistelliges-plus-online-werbung-legt-kraeftig-zu/7849818.html"
"11","Wirtschaftswoche","Digitalisierung","Georg Serentschy im Interview ""Industriepolitik starten""",2013-03-05,3,2013,"https://www.wiwo.de/unternehmen/it/georg-serentschy-im-interview-industriepolitik-starten/7822784.html"
"12","Wirtschaftswoche","Digitalisierung","Produktneuheiten Google Glass - eine egoistische Technologie",2013-03-05,3,2013,"https://www.wiwo.de/technologie/gadgets/produktneuheiten-google-glass-eine-egoistische-technologie/7879080.html"
"13","Wirtschaftswoche","Digitalisierung","CeBIT 2013 Warum IBM sich mal wieder neu erfindet",2013-03-06,3,2013,"https://www.wiwo.de/unternehmen/it/cebit-2013-warum-ibm-sich-mal-wieder-neu-erfindet/7885442.html"
"14","Wirtschaftswoche","Digitalisierung","Project A Samwer-Konkurrenz will mit Einzelhändlern kooperieren",2013-03-16,3,2013,"https://www.wiwo.de/erfolg/gruender/project-a-samwer-konkurrenz-will-mit-einzelhaendlern-kooperieren/7937550.html"
"15","Wirtschaftswoche","Digitalisierung","Innovationen Der Kampf um den digitalen Kunden",2013-03-20,3,2013,"https://www.wiwo.de/unternehmen/it/innovationen-der-kampf-um-den-digitalen-kunden/7957572.html"
"16","Wirtschaftswoche","Digitalisierung","Wahlkampf transparent „Beim Breitbandausbau liegt Deutschland hinter Rumänien“",2013-04-17,4,2013,"https://www.wiwo.de/politik/deutschland/wahlkampf-transparent-beim-breitbandausbau-liegt-deutschland-hinter-rumaenien/8078310.html"
"17","Wirtschaftswoche","Digitalisierung","E-Government Die Verwaltung soll digital werden",2013-04-19,4,2013,"https://www.wiwo.de/technologie/digitale-welt/e-government-die-verwaltung-soll-digital-werden-/8092672.html"
"18","Wirtschaftswoche","Digitalisierung","Volumenbeschränkung bei der Telekom Sinnvoll oder eine Einschränkung der Netzfreiheit?",2013-04-23,4,2013,"https://www.wiwo.de/technologie/digitale-welt/volumenbeschraenkung-bei-der-telekom-sinnvoll-oder-eine-einschraenkung-der-netzfreiheit/8110896.html"
"19","Wirtschaftswoche","Digitalisierung","Wegen Cloud-Investitionen Software AG verdient deutlich weniger",2013-04-25,4,2013,"https://www.wiwo.de/unternehmen/it/wegen-cloud-investitionen-software-ag-verdient-deutlich-weniger/8120112.html"
"20","Wirtschaftswoche","Digitalisierung","Ex-Google-Chef Schmidt fürchtet „Balkanisierung” des Internets",2013-04-26,4,2013,"https://www.wiwo.de/unternehmen/it/ex-google-chef-schmidt-fuerchtet-balkanisierung-des-internets/8129134.html"
"21","Wirtschaftswoche","Digitalisierung","Ein Selbstversuch Der holprige Weg zum papierlosen Büro",2013-04-28,4,2013,"https://www.wiwo.de/technologie/gadgets/ein-selbstversuch-der-holprige-weg-zum-papierlosen-buero/8090636.html"
"22","Wirtschaftswoche","Digitalisierung","Globalisierung Wie die Digitalisierung die Arbeitswelt umkrempelt",2013-05-03,5,2013,"https://www.wiwo.de/technologie/digitale-welt/globalisierung-wie-die-digitalisierung-die-arbeitswelt-umkrempelt/8160402.html"
"23","Wirtschaftswoche","Digitalisierung","Vormarsch der digitalen Medien Medienkonzern Springer wächst im Netz",2013-05-07,5,2013,"https://www.wiwo.de/unternehmen/it/vormarsch-der-digitalen-medien-medienkonzern-springer-waechst-im-netz/8172874.html"
"24","Wirtschaftswoche","Digitalisierung","Medienbericht „Bild“ steht vor Stellenabbau",2013-05-12,5,2013,"https://www.wiwo.de/unternehmen/it/medienbericht-bild-steht-vor-stellenabbau/8192976.html"
"25","Wirtschaftswoche","Digitalisierung","Versicherungsbranche Axa senkt Kosten und gewinnt",2013-05-22,5,2013,"https://www.wiwo.de/unternehmen/versicherer/versicherungsbranche-axa-senkt-kosten-und-gewinnt/8239408.html"
"26","Wirtschaftswoche","Digitalisierung","Umfragen Wahlforscher in der Krise",2013-05-23,5,2013,"https://www.wiwo.de/politik/deutschland/umfragen-wahlforscher-in-der-krise/8213630.html"
"27","Wirtschaftswoche","Digitalisierung","Industrie 4.0 Bezahlbare Einzelstücke aus der digitalen Fabrik",2013-06-15,6,2013,"https://www.wiwo.de/technologie/forschung/industrie-4-0-bezahlbare-einzelstuecke-aus-der-digitalen-fabrik/8313154.html"
"28","Wirtschaftswoche","Digitalisierung","EU-Erweiterung Kroatiens Beitritt ohne Begeisterung",2013-07-01,7,2013,"https://www.wiwo.de/politik/europa/eu-erweiterung-kroatiens-beitritt-ohne-begeisterung/8418404.html"
"29","Wirtschaftswoche","Digitalisierung","Michael Diekmann im Interview Allianz-Chef hält Garantie-Zinsen für Auslaufmodell",2013-07-15,7,2013,"https://www.wiwo.de/unternehmen/versicherer/michael-diekmann-im-interview-allianz-chef-haelt-garantie-zinsen-fuer-auslaufmodell/8486986.html"
"30","Wirtschaftswoche","Digitalisierung","Demoskopie Wahlforscher in der Krise",2013-07-21,7,2013,"https://www.wiwo.de/politik/deutschland/demoskopie-wahlforscher-in-der-krise/8525912.html"
"31","Wirtschaftswoche","Digitalisierung","Verkauf von Abendblatt, Hörzu und Co. Springer wird radikal digital",2013-07-25,7,2013,"https://www.wiwo.de/unternehmen/dienstleister/verkauf-von-abendblatt-hoerzu-und-co-springer-wird-radikal-digital/8546412.html"
"32","Wirtschaftswoche","Digitalisierung","Analyse zum Springer-Funke-Deal Döpfners kalte, digitale Konsequenz",2013-07-25,7,2013,"https://www.wiwo.de/unternehmen/it/analyse-zum-springer-funke-deal-doepfners-kalte-digitale-konsequenz/8549810.html"
"33","Wirtschaftswoche","Digitalisierung","Veränderungen in der Kameratechnik Kamerabranche guckt bei Smartphones ab",2013-07-26,7,2013,"https://www.wiwo.de/technologie/gadgets/veraenderungen-in-der-kameratechnik-kamerabranche-guckt-bei-smartphones-ab/8518566.html"
"34","Wirtschaftswoche","Digitalisierung","Dokumente Bank of England half bei Verkauf von Nazi-Gold",2013-07-31,7,2013,"https://www.wiwo.de/politik/ausland/dokumente-bank-of-england-half-bei-verkauf-von-nazi-gold-/8574334.html"
"35","Wirtschaftswoche","Digitalisierung","IT-Sicherheit Die Gefahr sitzt vor dem Rechner",2013-08-02,8,2013,"https://www.wiwo.de/technologie/digitale-welt/it-sicherheit-die-gefahr-sitzt-vor-dem-rechner/8589208.html"
"36","Wirtschaftswoche","Digitalisierung","Amazonchef auf Shoppingtour Bezos als neuer Mäzen der Washington Post",2013-08-06,8,2013,"https://www.wiwo.de/unternehmen/dienstleister/amazonchef-auf-shoppingtour-bezos-als-neuer-maezen-der-washington-post/8599298.html"
"37","Wirtschaftswoche","Digitalisierung","Medienhaus  Axel Springer verdient etwas weniger",2013-08-07,8,2013,"https://www.wiwo.de/unternehmen/it/medienhaus-axel-springer-verdient-etwas-weniger/8605186.html"
"38","Wirtschaftswoche","Digitalisierung","Quartalszahlen Axel Springer verbucht Umsatzrückgang",2013-08-07,8,2013,"https://www.wiwo.de/unternehmen/dienstleister/quartalszahlen-axel-springer-verbucht-umsatzrueckgang/8605182.html"
"39","Wirtschaftswoche","Digitalisierung","Mehr Daten - mehr Geld ""Springer wird zur Vertriebsmaschine""",2013-08-07,8,2013,"https://www.wiwo.de/unternehmen/dienstleister/mehr-daten-mehr-geld-springer-wird-zur-vertriebsmaschine/8551216.html"
"40","Wirtschaftswoche","Digitalisierung","Marktforscher GfK nimmt Jahresprognose leicht zurück",2013-08-14,8,2013,"https://www.wiwo.de/unternehmen/handel/marktforscher-gfk-nimmt-jahresprognose-leicht-zurueck/8636740.html"
"41","Wirtschaftswoche","Digitalisierung","Rollladentechnik Somfy - nur so französisch wie nötig",2013-08-21,8,2013,"https://www.wiwo.de/unternehmen/mittelstand/rollladentechnik-somfy-nur-so-franzoesisch-wie-noetig/8518978.html"
"42","Wirtschaftswoche","Digitalisierung","Unternehmensberatung Der Aufstieg der Multispezialisten",2013-08-29,8,2013,"https://www.wiwo.de/unternehmen/dienstleister/unternehmensberatung-der-aufstieg-der-multispezialisten/8708078.html"
"43","Wirtschaftswoche","Digitalisierung","Vernetztes Haus wird Realität Handy wird zur Fernbedienung für Ihr Leben",2013-09-04,9,2013,"https://www.wiwo.de/technologie/gadgets/vernetztes-haus-wird-realitaet-handy-wird-zur-fernbedienung-fuer-ihr-leben/8716562.html"
"44","Wirtschaftswoche","Digitalisierung","WiWo Lunchtalk Herr Habbel, wie digital sind unsere Städte?",2013-09-05,9,2013,"https://www.wiwo.de/technologie/digitale-welt/wiwo-lunchtalk-herr-habbel-wie-digital-sind-unsere-staedte/8742074.html"
"45","Wirtschaftswoche","Digitalisierung","WiWo Lunchtalk Walter Hueber, kann man Bewerbungsgespräche wirklich digitalisieren?",2013-09-06,9,2013,"https://www.wiwo.de/technologie/digitale-welt/wiwo-lunchtalk-walter-hueber-kann-man-bewerbungsgespraeche-wirklich-digitalisieren/8748724.html"
"46","Wirtschaftswoche","Digitalisierung","Drive-in-Supermärkte Shoppen im Vorbeifahren",2013-09-07,9,2013,"https://www.wiwo.de/unternehmen/handel/drive-in-supermaerkte-shoppen-im-vorbeifahren/8756814.html"
"47","Wirtschaftswoche","Digitalisierung","Fachkräftemangel Software-Spezialisten dringend gesucht",2013-09-12,9,2013,"https://www.wiwo.de/erfolg/beruf/fachkraeftemangel-software-spezialisten-dringend-gesucht/8779862.html"
"48","Wirtschaftswoche","Digitalisierung","Firmenkundenbetreuer Gespür für die Sorgen des Mittelstands",2013-09-27,9,2013,"https://www.wiwo.de/erfolg/beruf/firmenkundenbetreuer-gespuer-fuer-die-sorgen-des-mittelstands/8856476.html"
"49","Wirtschaftswoche","Digitalisierung","Börsengang Bastei Lübbe senkt Erwartungen",2013-10-04,10,2013,"https://www.wiwo.de/finanzen/boerse/boersengang-bastei-luebbe-senkt-erwartungen/8887264.html"
