"","outlet","category","title","date","month","year","url"
"1","FAZ","Homo-Ehe","Versuch einer Aufrichtung",2017-06-26,6,2017,"https://fazarchiv.faz.net/faz-portal/faz-archiv?q=Homo+Ehe&source=&max=30&sort=&offset=90&_ts=1685371107619&DT_from=01.06.2017&DT_to=31.07.2017&timeFilterType=0#"
"2","FAZ","Homo-Ehe","Sexualerziehung: Streit auf der Straße geht weiter",2017-06-26,6,2017,"https://fazarchiv.faz.net/faz-portal/faz-archiv?q=Homo+Ehe&source=&max=30&sort=&offset=90&_ts=1685371107619&DT_from=01.06.2017&DT_to=31.07.2017&timeFilterType=0#"
"3","FAZ","Homo-Ehe","Wenn der Bäcker nicht backen will",2017-06-26,6,2017,"https://fazarchiv.faz.net/faz-portal/faz-archiv?q=Homo+Ehe&source=&max=30&sort=&offset=90&_ts=1685371107619&DT_from=01.06.2017&DT_to=31.07.2017&timeFilterType=0#"
"4","FAZ","Homo-Ehe","Ein hartnäckiger Kampf geht zu Ende",2017-07-01,7,2017,"https://fazarchiv.faz.net/faz-portal/faz-archiv?q=Homo+Ehe&source=&max=30&sort=&offset=60&_ts=1685371107619&DT_from=01.06.2017&DT_to=31.07.2017&timeFilterType=0#"
"5","FAZ","Homo-Ehe","Eine Frage des Respekts",2017-07-01,7,2017,"https://fazarchiv.faz.net/faz-portal/faz-archiv?q=Homo+Ehe&source=&max=30&sort=&offset=60&_ts=1685371107619&DT_from=01.06.2017&DT_to=31.07.2017&timeFilterType=0#"
"6","FAZ","Homo-Ehe","Erste Risse im Lager Theresa Mays",2017-07-01,7,2017,"https://fazarchiv.faz.net/faz-portal/faz-archiv?q=Homo+Ehe&source=&max=30&sort=&offset=60&_ts=1685371107619&DT_from=01.06.2017&DT_to=31.07.2017&timeFilterType=0#"
"7","FAZ","Homo-Ehe","Bundestag beschließt Öffnung der Ehe für Homosexuelle",2017-07-01,7,2017,"https://fazarchiv.faz.net/faz-portal/faz-archiv?q=Homo+Ehe&source=&max=30&sort=&offset=60&_ts=1685371107619&DT_from=01.06.2017&DT_to=31.07.2017&timeFilterType=0#"
"8","FAZ","Homo-Ehe","Man nennt das Freiheit",2017-07-01,7,2017,"https://fazarchiv.faz.net/faz-portal/faz-archiv?q=Homo+Ehe&source=&max=30&sort=&offset=60&_ts=1685371107619&DT_from=01.06.2017&DT_to=31.07.2017&timeFilterType=0#"
"9","FAZ","Homo-Ehe","Das Nein der Kanzlerin",2017-07-01,7,2017,"https://fazarchiv.faz.net/faz-portal/faz-archiv?q=Homo+Ehe&source=&max=30&sort=&offset=60&_ts=1685371107619&DT_from=01.06.2017&DT_to=31.07.2017&timeFilterType=0#"
"10","FAZ","Homo-Ehe","Kauder rechnet mit Verfassungsklage",2017-07-01,7,2017,"https://fazarchiv.faz.net/faz-portal/faz-archiv?q=Homo+Ehe&source=&max=30&sort=&offset=60&_ts=1685371107619&DT_from=01.06.2017&DT_to=31.07.2017&timeFilterType=0#"
