,"outlet","category","title","date","month","year","url"
5,"Welt","Homo-Ehe","Wenn jemand die Ehe geschwÃƒÂ¤cht hat, dann die Union",2017-06-27,6,2017,"https://www.welt.de/debatte/kommentare/article165991172/Wenn-jemand-die-Ehe-geschwaecht-hat-dann-die-Union.html"
13,"Welt","Homo-Ehe","Er startete die Ã¢â‚¬Å¾Ehe fÃƒÂ¼r alleÃ¢â‚¬Å“-Kettenreaktion",2017-06-28,6,2017,"https://www.welt.de/politik/deutschland/article166009363/Er-startete-die-Ehe-fuer-alle-Kettenreaktion.html"
14,"Welt","Homo-Ehe","Ist die Ehe fÃƒÂ¼r alle mit dem Grundgesetz vereinbar?",2017-06-28,6,2017,"https://www.welt.de/politik/deutschland/article166042974/Ist-die-Ehe-fuer-alle-mit-dem-Grundgesetz-vereinbar.html"
16,"Welt","Homo-Ehe","SchulzÃ¢â‚¬Ëœ Genugtuung, es Merkel einmal gezeigt zu haben",2017-06-29,6,2017,"https://www.welt.de/politik/deutschland/article166068865/Schulz-Genugtuung-es-Merkel-einmal-gezeigt-zu-haben.html"
22,"Welt","Homo-Ehe","Legal, illegal, scheiÃƒÅ¸egal ist das unausgesprochene Motto der Groko",2017-06-30,6,2017,"https://www.welt.de/debatte/kommentare/article166079900/Ehe-fuer-alle-Facebook-Legal-illegal-scheissegal-ist-das-Motto-der-Regierung.html"
23,"Welt","Homo-Ehe","Lammert reagiert auf Steinbachs Merkel-Verriss mit einer Klarstellung",2017-06-30,6,2017,"https://www.welt.de/politik/deutschland/article166095165/Lammert-reagiert-auf-Steinbachs-Merkel-Verriss-mit-einer-Klarstellung.html"
25,"Welt","Homo-Ehe","Rote Karte Ã¢â‚¬â€œ Merkel stimmt gegen die Ehe fÃƒÂ¼r alle",2017-06-30,6,2017,"https://www.welt.de/politik/deutschland/article166096813/Rote-Karte-Merkel-stimmt-gegen-die-Ehe-fuer-alle.html"
33,"Welt","Homo-Ehe","Der Showdown um die Ehe hinterlÃƒÂ¤sst tiefe Wunden",2017-06-30,6,2017,"https://www.welt.de/politik/deutschland/article166108845/Der-Showdown-um-die-Ehe-hinterlaesst-tiefe-Wunden.html"
42,"Welt","Homo-Ehe","Es geht um das Ende der Diskriminierung Homosexueller",2017-07-01,7,2017,"https://www.welt.de/politik/article166171483/Es-geht-um-das-Ende-der-Diskriminierung-Homosexueller.html"
43,"Welt","Homo-Ehe","AfD prÃƒÂ¼ft Verfassungsklage gegen Ehe fÃƒÂ¼r alle",2017-07-02,7,2017,"https://www.welt.de/politik/deutschland/article166172467/AfD-prueft-Verfassungsklage-gegen-Ehe-fuer-alle.html"
48,"Welt","Homo-Ehe","Warum sich die CSU im Bundesrat kampflos ergibt",2017-07-06,7,2017,"https://www.welt.de/politik/deutschland/article166360698/Warum-sich-die-CSU-im-Bundesrat-kampflos-ergibt.html"
