"","outlet","category","title","date","month","year","url"
"1","bild.de","Klimawandel","Schnee-Chaos auf Madeira, Jahrhundert-Flut in England, Kältetote in USAâ€¦ und fast 20 Grad in München: Deshalb spielt das Welt-Wetter verrückt",2016-12-31,12,2016,"http://www.bild.de/news/ausland/wetter/schnee-regen-chaos-weltwetter-spielt-verrueckt-34701280.bild.html"
"2","bild.de","Klimawandel","Breitseite gegen Trump - Lammert sorgt für Furore",2013-02-12,2,2013,"http://www.bild.de/politik/inland/prof-dr-norbert-lammert/lammert-rede-50307346.bild.html?utm_source=dlvr.it&utm_medium=twitter"
"3","bild.de","Klimawandel","Neues AfD-Programm - ’Der Islam gehört nicht zu Deutschland’",2016-03-22,3,2016,"http://www.bild.de/politik/inland/alternative-fuer-deutschland/was-alles-im-neuen-afd-programm-steht-45034926.bild.html"
"4","bild.de","Klimawandel","Heute 1. Fraktionssitzung - Das sind die Köpfe der AfD in ’Schreck-Pomm’",2016-09-08,9,2016,"http://www.bild.de/politik/inland/politik-inland/afd-erste-fraktionssitzung-abgeordnete-47720534.bild.html"
"5","bild.de","Klimawandel","Wetter zum Fest - Warum ist es so warm?",2015-12-20,12,2015,"http://www.bild.de/news/inland/wetter/warum-ist-es-eigentlich-so-warm-43876048.bild.html"
"6","bild.de","Klimawandel","Weltweite Demo-Welle - Leo kämpft an der Öko-Front",2014-09-22,9,2014,"http://www.bild.de/politik/ausland/klima/leonardo-di-caprio-fuehrt-klimaschutz-demo-an-37761172.bild.html"
"7","bild.de","Klimawandel","Extreme Dürre - Ist das noch Sommer oder schon Klimawandel?",2015-08-22,8,2015,"http://www.bild.de/news/inland/klimawandel/ist-das-noch-sommer-oder-schon-klimawandel-42277508.bild.html"
"8","bild.de","Klimawandel","Briten vor der Wahl - Sägt dieser Schönling Englands Cameron ab?",2015-05-02,5,2015,"http://www.bild.de/politik/ausland/grossbritanien/waehlen-briten-cameron-ab-40734786.bild.html"
"9","bild.de","Klimawandel","AfD - Parteitag verhindert Gaga-Programm",2016-05-01,5,2016,"http://www.bild.de/politik/inland/alternative-fuer-deutschland/rechtspopulisten-geben-sich-im-affentempo-ein-programm-45608712.bild.html"
"10","bild.de","Klimawandel","Grünen-Chef Özdemir - ’Erdogan sägt an dem Ast, auf dem er sitzt""",2016-07-23,7,2016,"http://www.bild.de/bild-plus/politik/inland/cem-oezdemir/erdogan-saegt-an-dem-ast-auf-dem-er-sitzt-46958936.bild.html"
"11","bild.de","Klimawandel","*** BILDplus Inhalt *** Quallen-Tod in Thailand - Gibt es Gift-Quallen auch in Nord- und Ostsee?",2015-10-08,10,2015,"http://www.bild.de/bild-plus/news/inland/quallen/expertin-ilka-soetje-ueber-gift-quallen-in-nord-und-ostsee-42937136.bild.html"
"12","bild.de","Klimawandel","BILD erklärt Obamas Rede - Der Zauderer präsentiert sich als Zupacker",2015-01-21,1,2015,"http://www.bild.de/politik/ausland/barack-obama/zauderer-praesentiert-sich-als-zupacker-39430790.bild.html"
"13","bild.de","Klimawandel","Richter Scalia gestorben - Warum sein Tod die US-Wahl entscheiden kann",2016-02-14,2,2016,"http://www.bild.de/politik/ausland/us-wahlen/warum-tod-eines-richters-us-wahl-entscheiden-44555872.bild.html"
"14","bild.de","Klimawandel","WWF warnt - Mit der Eisschmelze kommen die Killerwale",2015-09-17,9,2015,"http://www.bild.de/news/ausland/orca/wwf-warnt-vor-zerstoerung-der-arktis-mit-der-eisschmelze-kommen-die-kilerwale-42597174.bild.html"
"15","bild.de","Klimawandel","*** BILDplus Inhalt *** Paradiesische Aufnahmen - Bayern - ein Hochgenuss auch aus der Luft",2015-11-28,11,2015,"http://www.bild.de/bild-plus/reise/deutschland/bayern/bayerische-paradiese-buch-bayern-deutschland-43328242.bild.html"
"16","bild.de","Klimawandel","Rockefeller & Co. - Superreiche flüchten aus schmutziger Energie",2014-10-01,10,2014,"http://www.bild.de/geld/wirtschaft/klimawandel/gewissen-statt-gewinn-37971116.bild.html"
"17","bild.de","Klimawandel","Amber Heard verschenkt Scheidungsgeld - Das sind Mega-Spenden der Stars",2016-08-19,8,2016,"http://www.bild.de/byou/2016/amber-heard/taylor-swift-spendable-promis-47383630.bild.html"
"18","bild.de","Klimawandel","Klimaschutz - Obama versucht sich als Klima-Präsident",2015-08-03,8,2015,"http://www.bild.de/politik/ausland/barack-obama/will-die-klimaziele-verschaerfen-42051088.bild.html"
"19","bild.de","Klimawandel","*** BILDplus Inhalt *** EU-Parlamentspräsident Schulz - Kann Trump die EU noch weiter spalten?",2016-11-13,11,2016,"http://www.bild.de/bild-plus/politik/ausland/europaeische-parlament/kann-trump-die-eu-noch-weiter-spalten-48730728.bild.html"
"20","bild.de","Klimawandel","Ohne Kohle, Öl und Gas - Klima-Experten: Die Welt ist noch zu retten!",2014-04-13,4,2014,"http://www.bild.de/politik/inland/klima/weltklimabericht-die-welt-kann-gerettet-werden-35493168.bild.html"
"21","bild.de","Klimawandel","Rätselhaft! - Ein Flamingo im Tegernsee",2015-02-25,2,2015,"http://www.bild.de/regional/muenchen/flamingo/im-tegernsee-39925918.bild.html"
"22","bild.de","Klimawandel","Auch der November zu mild! - Wird 2016 das wärmste Jahr überhaupt?",2016-11-16,11,2016,"http://www.bild.de/news/inland/klimawandel/auch-der-november-viel-zu-mild-wird-2016-das-waermste-jahr-ueberhaupt-48779722.bild.html"
"23","bild.de","Klimawandel","Weltklimavertrag steht! - ’Wir haben zusammen Geschichte geschrieben’",2015-12-12,12,2015,"http://www.bild.de/politik/ausland/un-klimakonferenz/klimagipfel-papier-wird-vorgestellt-43773228.bild.html"
"24","bild.de","Klimawandel","Klima - Einigung in Marrakesch: Klimakonferenz beschließt Fahrplan",2016-11-18,11,2016,"http://www.bild.de/politik/ausland/klimaschutz/einigung-in-marrakesch-klimakonferenz-beschliesst-48832230.bild.html"
"25","bild.de","Klimawandel","*** BILDplus Inhalt *** Regierungsbericht - Kommt bald das Dengue-Fieber zu uns?",2015-12-22,12,2015,"http://www.bild.de/bild-plus/politik/inland/krankheiten/klimawandel-bringt-neue-gefahren-43905080.bild.html"
"26","bild.de","Klimawandel","Lehrerin bloggt bei BILD - Früher war in der Schule (nicht) alles besser",2015-08-21,8,2015,"http://www.bild.de/ratgeber/job-karriere/schule/lehrer-blog-frau-bachmayer-frueher-war-in-der-schule-nicht-alles-besser-42228986.bild.html"
"27","bild.de","Klimawandel","Bundeswaldinventur - So steht es um den deutschen Wald",2014-10-08,10,2014,"http://www.bild.de/politik/inland/deutsche-waelder/bundeswaldinventur-so-steht-es-um-den-deutschen-wald-38067386.bild.html"
"28","bild.de","Klimawandel","Flüchtlings-Talk - Fußballer nimmt sich CDU-Mann vor",2016-09-19,9,2016,"http://www.bild.de/politik/inland/hart-aber-fair/wir-haben-es-uns-zu-leicht-gemacht-47904450.bild.html"
"29","bild.de","Klimawandel","Ungarns Regierungschef - »Wer illegal einwandert, wird sofort verhaftet",2015-09-11,9,2015,"http://www.bild.de/politik/ausland/fluechtling/alle-meldungen-zur-fluechtlingskrise-im-live-ticker-42534352.bild.html"
