"","outlet","category","title","date","month","year","url"
"1","Handelsblatt","Klimawandel","Das Luftschiff-Labor",2013-05-18,5,2013,"https://www.handelsblatt.com/technik/forschung-innovation/klimaforschung-das-luftschiff-labor/8224204.html"
"2","Handelsblatt","Klimawandel","Papst Prius, der Sparsame",2013-03-14,3,2013,"https://www.handelsblatt.com/mobilitaet/motor/handelsblatt-autotest/toyota-im-handelsblatt-test-papst-prius-der-sparsame/7921212.html"
"3","Handelsblatt","Klimawandel","„Mein Licht brennt, bis es wieder hell wird“",2014-04-18,4,2014,"https://www.handelsblatt.com/meinung/gastbeitraege/gastbeitrag-zum-klimawandel-mein-licht-brennt-bis-es-wieder-hell-wird/9778084.html"
"4","Handelsblatt","Klimawandel","Milliardär Branson plant Einstieg ins Kreuzfahrtgeschäft",2014-03-25,3,2014,"https://www.handelsblatt.com/unternehmen/management/virgin-gruender-milliardaer-branson-plant-einstieg-ins-kreuzfahrtgeschaeft/9666598.html"
"5","Handelsblatt","Klimawandel","Tiere wandern ihrem gewohnten Klima hinterher",2014-03-04,3,2014,"https://www.handelsblatt.com/technik/energie-umwelt/lebensraum-tiere-wandern-ihrem-gewohnten-klima-hinterher/9567412.html"
"6","Handelsblatt","Klimawandel","Klimaskeptiker verspotten Antarktis-Forscher",2014-01-03,1,2014,"https://www.handelsblatt.com/technik/energie-umwelt/nach-rettungsmission-klimaskeptiker-verspotten-antarktis-forscher/9283278.html"
"7","Handelsblatt","Klimawandel","Bahnverkehr beeinträchtigt, drei Tote in Polen",2013-12-06,12,2013,"https://www.handelsblatt.com/arts_und_style/aus-aller-welt/liveblog-orkan-xaver-bahnverkehr-beeintraechtigt-drei-tote-in-polen/9173204.html"
"8","Handelsblatt","Klimawandel","„Wir sehen uns öfter als unsere Ehefrauen“",2013-12-04,12,2013,"https://www.handelsblatt.com/unternehmen/mittelstand/unternehmensportraet-falke-wir-sehen-uns-oefter-als-unsere-ehefrauen/9135022.html"
"9","Handelsblatt","Klimawandel","Offene Fragen und kleine Erfolge",2013-11-22,11,2013,"https://www.handelsblatt.com/politik/international/warschauer-klimakonferenz-offene-fragen-und-kleine-erfolge/9117388.html"
"10","Handelsblatt","Klimawandel","Kampf gegen die Plastik-Plage",2013-11-04,11,2013,"https://www.handelsblatt.com/politik/international/eu-will-tueten-verbieten-kampf-gegen-die-plastik-plage/9024478.html"
"11","Handelsblatt","Klimawandel","Was Ohrenschmalz über Wale verrät",2013-09-17,9,2013,"https://www.handelsblatt.com/technik/forschung-innovation/meeressaeuger-was-ohrenschmalz-ueber-wale-verraet/8804806.html"
"12","Handelsblatt","Klimawandel","Freiheit mit Gerechtigkeit",2013-06-19,6,2013,"https://www.handelsblatt.com/politik/international/obama-rede-in-berlin-freiheit-mit-gerechtigkeit/8378942.html"
"13","Handelsblatt","Klimawandel","„Desertec ist keineswegs gescheitert“",2014-10-13,10,2014,"https://www.handelsblatt.com/technik/energie-umwelt/wuestenstromprojekt-desertec-ist-keineswegs-gescheitert/10829760.html"
"14","Handelsblatt","Klimawandel","Was Sie über den Klimawandel noch nicht wussten",2014-09-23,9,2014,"https://www.handelsblatt.com/technik/energie-umwelt/sechs-szenarien-was-sie-ueber-den-klimawandel-noch-nicht-wussten/10738108.html"
"15","Handelsblatt","Klimawandel","Von Pumpen und Pionieren",2014-09-16,9,2014,"https://www.handelsblatt.com/unternehmen/mittelstand/hidden_champions/hidden-champion-wilo-von-pumpen-und-pionieren/10703216.html"
"16","Handelsblatt","Klimawandel","Von Weltraum-Spiegeln und Schwefelwolken",2014-08-14,8,2014,"https://www.handelsblatt.com/technik/das-technologie-update/nachgeforscht/g-wie-geo-engineering-von-weltraum-spiegeln-und-schwefelwolken/10168076.html"
"17","Handelsblatt","Klimawandel","Teuer, dreckig, ungerecht",2014-08-04,8,2014,"https://www.handelsblatt.com/technik/das-technologie-update/energie/benzin-subventionen-teuer-dreckig-ungerecht/10287606.html"
"18","Handelsblatt","Klimawandel","Auf der Suche nach dem aromatischen Achtprozenter",2014-07-27,7,2014,"https://www.handelsblatt.com/arts_und_style/lifestyle/juergens-weinlese/juergens-weinlese-auf-der-suche-nach-dem-aromatischen-achtprozenter/10238972.html"
"19","Handelsblatt","Klimawandel","Wissen, wo der Blitz einschlägt",2014-07-08,7,2014,"https://www.handelsblatt.com/technik/forschung-innovation/blitzdienst-wissen-wo-der-blitz-einschlaegt-/10167042.html"
"20","Handelsblatt","Klimawandel","Australische Umweltschützer loben Deutsche Bank",2014-05-26,5,2014,"https://www.handelsblatt.com/finanzen/banken-versicherungen/banken/great-barrier-reef-australische-umweltschuetzer-loben-deutsche-bank/9951446.html"
"21","Handelsblatt","Klimawandel","Studenten protestieren gegen ökonomische Lehre",2014-05-04,5,2014,"https://www.handelsblatt.com/politik/konjunktur/oekonomie/nachrichten/einseitig-und-realitaetsfern-studenten-protestieren-gegen-oekonomische-lehre/9842976.html"
"22","Handelsblatt","Klimawandel","Was tun, wenn das ganze Land im Meer versinkt?",2014-04-19,4,2014,"https://www.handelsblatt.com/technik/energie-umwelt/malediven-was-tun-wenn-das-ganze-land-im-meer-versinkt/9774826.html"
"23","Handelsblatt","Klimawandel","Mit Bakterien zum fast perfekten Beton",2015-04-27,4,2015,"https://www.handelsblatt.com/technik/forschung-innovation/europaeischer-erfinderpreis-mit-bakterien-zum-fast-perfekten-beton/11694006.html"
"24","Handelsblatt","Klimawandel","Ölschatz in Südengland viel größer als gedacht",2015-04-09,4,2015,"https://www.handelsblatt.com/unternehmen/energie/grossbritannien-oelschatz-in-suedengland-viel-groesser-als-gedacht/11613516.html"
"25","Handelsblatt","Klimawandel","Der Texaner mit dem falschen Geburtsort",2015-03-23,3,2015,"https://www.handelsblatt.com/politik/international/ted-cruz-will-us-praesident-werden-der-texaner-mit-dem-falschen-geburtsort/11542274.html"
"26","Handelsblatt","Klimawandel","„Ist der Klimawandel eine Tatsache?“ – „Nein“",2015-03-17,3,2015,"https://www.handelsblatt.com/politik/international/us-umweltpolitik-ist-der-klimawandel-eine-tatsache-nein/11509226.html"
"27","Handelsblatt","Klimawandel","„EU-Verbrauch zerstört den Regenwald“",2015-03-17,3,2015,"https://www.handelsblatt.com/politik/international/illegale-abholzung-eu-verbrauch-zerstoert-den-regenwald/11515080.html"
"28","Handelsblatt","Klimawandel","Klimawandel trocknet Kalifornien aus",2015-03-03,3,2015,"https://www.handelsblatt.com/technik/energie-umwelt/duerre-in-den-usa-klimawandel-trocknet-kalifornien-aus/11449196.html"
"29","Handelsblatt","Klimawandel","Hinter Schloss und Riegel",2015-03-01,3,2015,"https://www.handelsblatt.com/politik/international/g7-gipfel-in-bayern-hinter-schloss-und-riegel/11435100.html"
"30","Handelsblatt","Klimawandel","Warum die Erderwärmung Pause macht",2015-01-28,1,2015,"https://www.handelsblatt.com/technik/energie-umwelt/klimawandel-warum-die-erderwaermung-pause-macht/11295112.html"
"31","Handelsblatt","Klimawandel","Klimawandel lässt Flugzeuge schlechter starten",2014-11-26,11,2014,"https://www.handelsblatt.com/technik/forschung-innovation/erderwaermung-klimawandel-laesst-flugzeuge-schlechter-starten/11036056.html"
"32","Handelsblatt","Klimawandel","Mit Sand dem Klimawandel trotzen",2014-11-11,11,2014,"https://www.handelsblatt.com/technik/energie-umwelt/hochwasserschutz-mit-sand-dem-klimawandel-trotzen/10959336.html"
"33","Handelsblatt","Klimawandel","Invasion aus dem Garten",2015-08-20,8,2015,"https://www.handelsblatt.com/technik/energie-umwelt/exoten-auf-dem-vormarsch-invasion-aus-dem-garten/12212198.html"
"34","Handelsblatt","Klimawandel","Obama definiert Klimawandel als größte Gefahr der Welt",2015-08-03,8,2015,"https://www.handelsblatt.com/politik/international/clean-power-plan-obama-definiert-klimawandel-als-groesste-gefahr-der-welt/12141724.html"
"35","Handelsblatt","Klimawandel","Ist die bemannte Raumfahrt bald Geschichte?",2015-08-03,8,2015,"https://www.handelsblatt.com/technik/forschung-innovation/tuefteln-am-iss-nachfolger-ist-die-bemannte-raumfahrt-bald-geschichte/12138376.html"
"36","Handelsblatt","Klimawandel","„Kennen Sie den Witz: Wie wird man in Bordeaux Millionär?“",2015-07-12,7,2015,"https://www.handelsblatt.com/arts_und_style/lifestyle/juergens-weinlese/juergens-weinlese-kennen-sie-den-witz-wie-wird-man-in-bordeaux-millionaer/12022532.html"
"37","Handelsblatt","Klimawandel","„Wollen die Leute nur mehr Zeug oder dauerhaftes Glück?“",2015-07-06,7,2015,"https://www.handelsblatt.com/politik/international/dalai-lama-wird-80-wollen-die-leute-nur-mehr-zeug-oder-dauerhaftes-glueck/12007732.html"
"38","Handelsblatt","Klimawandel","Adieu Nutella – und salut!",2015-06-18,6,2015,"https://www.handelsblatt.com/unternehmen/handel-konsumgueter/boykott-aufruf-in-frankreich-adieu-nutella-und-salut/11931630.html"
"39","Handelsblatt","Klimawandel","Merkel nennt Gipfel „sehr produktiv“",2015-06-08,6,2015,"https://www.handelsblatt.com/politik/international/-liveblog-zum-g7-gipfel-merkel-nennt-gipfel-sehr-produktiv/11883188.html"
"40","Handelsblatt","Klimawandel","Krisenkanzlerin wider Willen",2015-06-03,6,2015,"https://www.handelsblatt.com/politik/deutschland/g7-gipfel-krisenkanzlerin-wider-willen/11862830.html"
"41","Handelsblatt","Klimawandel","Frankreichs Polit-Traumpaar ist zurück",2015-05-26,5,2015,"https://www.handelsblatt.com/politik/international/hollande-und-royal-frankreichs-polit-traumpaar-ist-zurueck/11826748.html"
"42","Handelsblatt","Klimawandel","Klimawandel beschäftigt auch die Militärstrategen",2015-05-18,5,2015,"https://www.handelsblatt.com/politik/international/kriege-durch-das-klima-klimawandel-beschaeftigt-auch-die-militaerstrategen/11791652.html"
"43","Handelsblatt","Klimawandel","Nur mit Putin gegen den Terrorismus",2015-11-16,11,2015,"https://www.handelsblatt.com/politik/international/g20-gipfel-nur-mit-putin-gegen-den-terrorismus/12593780.html"
"44","Handelsblatt","Klimawandel","Frau Holle streikt in Ischgl",2015-11-16,11,2015,"https://www.handelsblatt.com/unternehmen/dienstleister/alpen-ohne-schnee-frau-holle-streikt-in-ischgl/12586012.html"
"45","Handelsblatt","Klimawandel","Spart Volkswagen an der Kultur?",2015-11-16,11,2015,"https://www.handelsblatt.com/unternehmen/industrie/neue-nationalgalerie-moma-spart-volkswagen-an-der-kultur/12593374.html"
"46","Handelsblatt","Klimawandel","Kampf dem Terror in der Fünf-Sterne-Festung",2015-11-15,11,2015,"https://www.handelsblatt.com/politik/international/g20-gipfel-in-der-tuerkei-kampf-dem-terror-in-der-fuenf-sterne-festung/12590068.html"
"47","Handelsblatt","Klimawandel","Nasa zeigt CO2-Ausstoß aus dem All",2015-11-12,11,2015,"https://www.handelsblatt.com/technik/forschung-innovation/klimawandel-nasa-zeigt-co2-ausstoss-aus-dem-all/12582392.html"
"48","Handelsblatt","Klimawandel","„Wir haben unsere Seele verkauft“",2015-11-06,11,2015,"https://www.handelsblatt.com/arts_und_style/lifestyle/vivienne-westwood-und-andreas-kronthaler-wir-haben-unsere-seele-verkauft/12541392.html"
"49","Handelsblatt","Klimawandel","Verdacht auf Klimaschwindel",2015-11-06,11,2015,"https://www.handelsblatt.com/unternehmen/energie/exxonmobil-verdacht-auf-klimaschwindel/12551158.html"
"50","Handelsblatt","Klimawandel","Riesiger Halloween-Kürbis im Anflug",2015-10-30,10,2015,"https://www.handelsblatt.com/technik/forschung-innovation/asteroid-auf-erdkurs-riesiger-halloween-kuerbis-im-anflug/12520122.html"
"51","Handelsblatt","Klimawandel","Forscher sagen unerträgliche Hitze für Golfstaaten voraus",2015-10-27,10,2015,"https://www.handelsblatt.com/technik/energie-umwelt/klimawandel-forscher-sagen-unertraegliche-hitze-fuer-golfstaaten-voraus/12502520.html"
"52","Handelsblatt","Klimawandel","EU billigt Milliardendeal unter Auflagen",2015-09-08,9,2015,"https://www.handelsblatt.com/unternehmen/industrie/ge-uebernimmt-alstom-energiesparte-eu-billigt-milliardendeal-unter-auflagen/12293760.html"
"53","Handelsblatt","Klimawandel","Sehnsuchtsort Wald",2015-12-23,12,2015,"https://www.handelsblatt.com/technik/energie-umwelt/gastkommentar-zur-forstwirtschaft-sehnsuchtsort-wald/12759088.html"
"54","Handelsblatt","Klimawandel","Zehn Ideen, die die Welt verändern werden",2015-12-18,12,2015,"https://www.handelsblatt.com/technik/forschung-innovation/zukunftsprojekte-zehn-ideen-die-die-welt-veraendern-werden/12740500.html"
"55","Handelsblatt","Klimawandel","Riskante Waffen gegen den Klimawandel",2015-12-14,12,2015,"https://www.handelsblatt.com/technik/zukunftderenergie/geoengineering-nach-paris-riskante-waffen-gegen-den-klimawandel/12720544.html"
"56","Handelsblatt","Klimawandel","Die Schaumwein-Weltmeister",2015-12-13,12,2015,"https://www.handelsblatt.com/arts_und_style/lifestyle/juergens-weinlese/juergens-weinlese-die-schaumwein-weltmeister/12712852.html"
"57","Handelsblatt","Klimawandel","Vom Barrikadenkämpfer zum Windpark-Unternehmer",2015-12-11,12,2015,"https://www.handelsblatt.com/unternehmen/energie/klaus-meier-von-wpd-vom-barrikadenkaempfer-zum-windpark-unternehmer/12704956.html"
"58","Handelsblatt","Klimawandel","Exodus am Mekong",2015-12-10,12,2015,"https://www.handelsblatt.com/technik/zukunftderenergie/klimawandel-in-kambodscha-exodus-am-mekong/12692920.html"
"59","Handelsblatt","Klimawandel","DGB fordert „gerechten Strukturwandel“",2015-11-27,11,2015,"https://www.handelsblatt.com/politik/international/weltklimagipfel-dgb-fordert-gerechten-strukturwandel/12647582.html"
"60","Handelsblatt","Klimawandel","Klimasünder ohne Reue",2015-11-19,11,2015,"https://www.handelsblatt.com/technik/zukunftderenergie/australien-klimasuender-ohne-reue/12606058.html"
"61","Handelsblatt","Klimawandel","Vorreiter statt Klimakiller",2015-11-18,11,2015,"https://www.handelsblatt.com/technik/zukunftderenergie/china-kann-auch-anders-vorreiter-statt-klimakiller/12606052.html"
"62","Handelsblatt","Klimawandel","Vom Barrikadenkämpfer zum erfolgreichen Unternehmer",2015-11-16,11,2015,"https://www.handelsblatt.com/technik/energie-umwelt/klaus-meier-vom-barrikadenkaempfer-zum-erfolgreichen-unternehmer/12597232.html"
"63","Handelsblatt","Klimawandel","Kanarische Insel träumt von elektrischer Unabhängigkeit",2016-05-07,5,2016,"https://www.handelsblatt.com/technik/energie-umwelt/el-hierro-kanarische-insel-traeumt-von-elektrischer-unabhaengigkeit/13563264.html"
"64","Handelsblatt","Klimawandel","USA und China wollen noch dieses Jahr nachziehen",2016-04-22,4,2016,"https://www.handelsblatt.com/politik/international/pariser-klimaabkommen-unterzeichnet-usa-und-china-wollen-noch-dieses-jahr-nachziehen/13490620.html"
"65","Handelsblatt","Klimawandel","El Niño trocknet Asien aus",2016-03-28,3,2016,"https://www.handelsblatt.com/technik/energie-umwelt/extreme-duerre-el-nino-trocknet-asien-aus/13366276.html"
"66","Handelsblatt","Klimawandel","Eisgiganten auf Schrumpfkurs",2016-03-19,3,2016,"https://www.handelsblatt.com/technik/energie-umwelt/gletscherschmelze-in-neuseeland-eisgiganten-auf-schrumpfkurs/13340582.html"
"67","Handelsblatt","Klimawandel","„Wir müssen umsteuern“",2016-03-08,3,2016,"https://www.handelsblatt.com/politik/international/al-gore-und-david-blood-im-interview-wir-muessen-umsteuern/13065946.html"
"68","Handelsblatt","Klimawandel","Die ganze Welt in einem Sandkorn",2016-02-05,2,2016,"https://www.handelsblatt.com/technik/forschung-innovation/besuch-im-sandlabor-die-ganze-welt-in-einem-sandkorn/12926258.html"
"69","Handelsblatt","Klimawandel","Im Land der „Krauts“ wird das Kraut knapp",2016-01-26,1,2016,"https://www.handelsblatt.com/unternehmen/handel-konsumgueter/kohl-koenig-kuehne-im-land-der-krauts-wird-das-kraut-knapp/12875586.html"
"70","Handelsblatt","Klimawandel","Der See weicht der Wüste",2016-01-23,1,2016,"https://www.handelsblatt.com/technik/energie-umwelt/poop-see-in-bolivien-der-see-weicht-der-wueste/12867856.html"
"71","Handelsblatt","Klimawandel","Größtes Nordsee-Ölfeld vor dem Aus",2016-01-22,1,2016,"https://www.handelsblatt.com/technik/energie-umwelt/brent-geht-zur-neige-groesstes-nordsee-oelfeld-vor-dem-aus/12866610.html"
"72","Handelsblatt","Klimawandel","Den Ölmulti kostet der Preisrutsch Milliarden",2016-01-20,1,2016,"https://www.handelsblatt.com/unternehmen/energie/shell-gewinn-bricht-ein-den-oelmulti-kostet-der-preisrutsch-milliarden/12854598.html"
"73","Handelsblatt","Klimawandel","Dino-Tod unter ölverrußtem Himmel",2016-07-15,7,2016,"https://www.handelsblatt.com/technik/forschung-innovation/massensterben-der-riesenechsen-dino-tod-unter-oelverrusstem-himmel/13882102.html"
"74","Handelsblatt","Klimawandel","Vorbild Israel bei neuem Bewässerungssystem",2016-07-06,7,2016,"https://www.handelsblatt.com/technik/forschung-innovation/neue-wege-im-weinbau-vorbild-israel-bei-neuem-bewaesserungssystem/13833118.html"
"75","Handelsblatt","Klimawandel","Warum Polen sein jahrtausendaltes Naturerbe verscherbelt",2016-06-12,6,2016,"https://www.handelsblatt.com/politik/international/bialowieza-urwald-warum-polen-sein-jahrtausendaltes-naturerbe-verscherbelt/13633832.html"
"76","Handelsblatt","Klimawandel","Deutschland liegt auf Europas Tornado-Allee",2016-06-09,6,2016,"https://www.handelsblatt.com/technik/energie-umwelt/dutzende-wirbelstuerme-pro-jahr-deutschland-liegt-auf-europas-tornado-allee/13711488.html"
"77","Handelsblatt","Klimawandel","„Es ist erbärmlich, wie er sich da präsentiert“",2016-05-30,5,2016,"https://www.handelsblatt.com/politik/deutschland/wirbel-um-gauland-aeusserung-es-ist-erbaermlich-wie-er-sich-da-praesentiert/13660632.html"
"78","Handelsblatt","Klimawandel","Wenn der Grizzly mit dem Eisbär",2016-05-30,5,2016,"https://www.handelsblatt.com/technik/energie-umwelt/baeren-hybride-in-nordamerika-wenn-der-grizzly-mit-dem-eisbaer/13660204.html"
"79","Handelsblatt","Klimawandel","Kein Geld mehr für Kippen",2016-05-23,5,2016,"https://www.handelsblatt.com/finanzen/anlagestrategie/trends/axa-verbannt-tabakaktien-kein-geld-mehr-fuer-kippen/13628012.html"
"80","Handelsblatt","Klimawandel","Letzte Runde im Kampf um Glyphosat",2016-05-18,5,2016,"https://www.handelsblatt.com/technik/energie-umwelt/glyphosat-letzte-runde-im-kampf-um-das-unkrautgift/13607880.html"
"81","Handelsblatt","Klimawandel","Wie der Klimawandel Waldbrände befeuert",2016-05-14,5,2016,"https://www.handelsblatt.com/technik/energie-umwelt/grossfeuer-in-alberta-wie-der-klimawandel-waldbraende-befeuert/13593258.html"
"82","Handelsblatt","Klimawandel","Der Fluch der Vögel",2016-05-12,5,2016,"https://www.handelsblatt.com/unternehmen/it-medien/angry-birds-hersteller-rovio-der-fluch-der-voegel/13587754.html"
"83","Handelsblatt","Klimawandel","Strom aus der Nachbarschaft",2016-11-04,11,2016,"https://www.handelsblatt.com/technik/energie-umwelt/circular-economy/transactive-grid-strom-aus-der-nachbarschaft/14793648.html"
"84","Handelsblatt","Klimawandel","Ein Treffen am richtigen Ort",2016-11-04,11,2016,"https://www.handelsblatt.com/technik/energie-umwelt/circular-economy/klimagipfel-in-marrakesch-ein-treffen-am-richtigen-ort/14743956.html"
"85","Handelsblatt","Klimawandel","Russland erkundet Geheimnisse um NS-Arktisstation",2016-11-02,11,2016,"https://www.handelsblatt.com/technik/forschung-innovation/polarstation-schatzgraeber-russland-erkundet-geheimnisse-um-ns-arktisstation/14780356.html"
"86","Handelsblatt","Klimawandel","Inseln, die im Meer versinken",2016-10-30,10,2016,"https://www.handelsblatt.com/technik/energie-umwelt/klimawandel-auf-den-salomonen-inseln-die-im-meer-versinken/14753858.html"
"87","Handelsblatt","Klimawandel","Ein Land vertrocknet",2016-10-23,10,2016,"https://www.handelsblatt.com/politik/international/irans-wasserkrise-ein-land-vertrocknet/14704276.html"
"88","Handelsblatt","Klimawandel","Hawaii streitet über tödlichen Katzenkot",2016-10-21,10,2016,"https://www.handelsblatt.com/technik/energie-umwelt/artenschutz-hawaii-streitet-ueber-toedlichen-katzenkot/14721108.html"
"89","Handelsblatt","Klimawandel","Australiens reichste Frau und das liebe Vieh",2016-10-17,10,2016,"https://www.handelsblatt.com/unternehmen/handel-konsumgueter/groesste-rinder-ranch-der-welt-australiens-reichste-frau-und-das-liebe-vieh/14697432.html"
"90","Handelsblatt","Klimawandel","Wie Dinos sich die Erde warm rülpsten",2016-09-20,9,2016,"https://www.handelsblatt.com/technik/forschung-innovation/schneller-schlau/schneller-schlau-wie-dinos-sich-die-erde-warm-ruelpsten/14574912.html"
"91","Handelsblatt","Klimawandel","Ein zahnloser Tiger mit guten Absichten",2016-09-17,9,2016,"https://www.handelsblatt.com/technik/energie-umwelt/arktischer-rat-wird-20-jahre-alt-ein-zahnloser-tiger-mit-guten-absichten/14560286.html"
"92","Handelsblatt","Klimawandel","Mein Haus im See",2016-08-21,8,2016,"https://www.handelsblatt.com/finanzen/immobilien/schwimmende-wohnhaeuser-mein-haus-im-see/14426820.html"
"93","Handelsblatt","Klimawandel","Einer für alle",2016-12-28,12,2016,"https://www.handelsblatt.com/unternehmen/handel-konsumgueter/verdraenger-des-jahres-andre-schwaemmlein-einer-fuer-alle/14959832.html"
"94","Handelsblatt","Klimawandel","„Der Niedergang der Ölkonzerne kommt nicht plötzlich“",2016-12-14,12,2016,"https://www.handelsblatt.com/unternehmen/energie/oel-und-gas-experte-dieter-helm-der-niedergang-der-oelkonzerne-kommt-nicht-ploetzlich/14979428.html"
"95","Handelsblatt","Klimawandel","Rasch steigende Methan-Emissionen gefährden Klimaziele",2016-12-12,12,2016,"https://www.handelsblatt.com/technik/energie-umwelt/kampf-gegen-den-klimawandel-rasch-steigende-methan-emissionen-gefaehrden-klimaziele/14966292.html"
"96","Handelsblatt","Klimawandel","„Reiche und Arme müssen in einer Stadt zusammenleben können“",2016-12-02,12,2016,"https://www.handelsblatt.com/finanzen/immobilien/us-stararchitekt-daniel-libeskind-reiche-und-arme-muessen-in-einer-stadt-zusammenleben-koennen/14921342.html"
"97","Handelsblatt","Klimawandel","Hitzewelle am Nordpol",2016-11-25,11,2016,"https://www.handelsblatt.com/technik/energie-umwelt/klimawandel-hitzewelle-am-nordpol/14897224.html"
"98","Handelsblatt","Klimawandel","Hubraum statt Volt",2016-11-18,11,2016,"https://www.handelsblatt.com/mobilitaet/motor/la-auto-show-hubraum-statt-volt/14862136.html"
"99","Handelsblatt","Klimawandel","Wenn Wasser zum Kostenrisiko wird",2016-11-15,11,2016,"https://www.handelsblatt.com/technik/energie-umwelt/circular-economy/klimagipfel-in-marokko-wenn-wasser-zum-kostenrisiko-wird/14843800.html"
"100","Handelsblatt","Klimawandel","Klimawandel trifft vor allem arme Länder",2016-11-08,11,2016,"https://www.handelsblatt.com/technik/energie-umwelt/circular-economy/klima-risiko-index-klimawandel-trifft-vor-allem-arme-laender/14811542.html"
"101","Handelsblatt","Klimawandel","Bäume – eine Anlagenklasse von höchstem Nutzen",2016-11-04,11,2016,"https://www.handelsblatt.com/technik/energie-umwelt/circular-economy/oekologische-forstwirtschaft-baeume-eine-anlagenklasse-von-hoechstem-nutzen/14793826.html"
"102","Handelsblatt","Klimawandel","Solarstrom und Windkraft für Santiagos Metro",2016-11-04,11,2016,"https://www.handelsblatt.com/technik/energie-umwelt/circular-economy/klimaschutz-in-chile-solarstrom-und-windkraft-fuer-santiagos-metro/14793750.html"
"103","Handelsblatt","Klimawandel","Ausbau aus Klimaschutzgründen gestoppt",2017-02-14,2,2017,"https://www.handelsblatt.com/unternehmen/handel-konsumgueter/flughafen-wien-schwechat-ausbau-aus-klimaschutzgruenden-gestoppt/19387880.html"
"104","Handelsblatt","Klimawandel","Mega-Eisberg entsteht in der Antarktis",2017-02-01,2,2017,"https://www.handelsblatt.com/technik/energie-umwelt/larsen-c-schelfeis-mega-eisberg-entsteht-in-der-antarktis/19332338.html"
"105","Handelsblatt","Klimawandel","Schwefelsäure-Wolken gaben Dinos den Rest",2017-01-20,1,2017,"https://www.handelsblatt.com/technik/forschung-innovation/massensterben-schwefelsaeure-wolken-gaben-dinos-den-rest/19280446.html"
"106","Handelsblatt","Klimawandel","Das Lieblingsgetränk der Deutschen wird teurer",2017-01-16,1,2017,"https://www.handelsblatt.com/unternehmen/handel-konsumgueter/kaffee-das-lieblingsgetraenk-der-deutschen-wird-teurer/19245552.html"
"107","Handelsblatt","Klimawandel","Kein Klima für die Alaska-Zeder",2017-01-11,1,2017,"https://www.handelsblatt.com/technik/energie-umwelt/klimawandel-gefaehrdet-baumbestand-kein-klima-fuer-die-alaska-zeder/19238408.html"
"108","Handelsblatt","Klimawandel","Mehrwertsteuer-Aufschlag für Aufschnitt?",2017-01-05,1,2017,"https://www.handelsblatt.com/politik/deutschland/hoeherer-satz-fuer-milch-und-fleisch-gefordert-mehrwertsteuer-aufschlag-fuer-aufschnitt/19214352.html"
"109","Handelsblatt","Klimawandel","Wie sich Wintersportorte für den Klimawandel rüsten",2016-12-29,12,2016,"https://www.handelsblatt.com/unternehmen/dienstleister/wellness-und-kunstschnee-wie-sich-wintersportorte-fuer-den-klimawandel-ruesten/19187890.html"
