"","outlet","category","title","date","month","year","url"
"1","SZ","Klimawandel","Sozialdemokraten schlagen regierende Linkssozialisten",2013-03-13,3,2013,"https://www.sueddeutsche.de/politik/wahl-in-groenland-sozialdemokraten-schlagen-regierende-linkssozialisten-1.1622871"
"2","SZ","Klimawandel","Winter hat Europa fest im Griff",2013-03-13,3,2013,"https://www.sueddeutsche.de/panorama/kaelteeinbruch-durch-maerzwinter-wintereinbruch-haelt-deutschland-im-griff-1.1622833"
"3","SZ","Klimawandel","Weiterfliegen lohnt sich nicht",2013-03-11,3,2013,"https://www.sueddeutsche.de/wissen/vogelzug-und-klimawandel-weiterfliegen-lohnt-sich-nicht-1.1620921"
"4","SZ","Klimawandel","Politiker unter Nerds",2013-03-11,3,2013,"https://www.sueddeutsche.de/digital/al-gore-und-cory-booker-beim-sxsw-festival-politiker-unter-nerds-1.1620968"
"5","SZ","Klimawandel","Mekka der Nerds",2013-03-10,3,2013,"https://www.sueddeutsche.de/digital/sxsw-festival-2013-in-austin-mekka-der-nerds-1.1620265"
"6","SZ","Klimawandel","Der Felix, der mit dem Bäumepflanzen anfing",2013-03-09,3,2013,"https://www.sueddeutsche.de/bayern/umweltaktivist-felix-finkbeiner-der-felix-der-mit-dem-baeumepflanzen-anfing-1.1619689"
"7","SZ","Klimawandel","Eisbär zu verkaufen",2013-03-08,3,2013,"https://www.sueddeutsche.de/wissen/artenschutzkonferenz-eisbaer-zu-verkaufen-1.1619893"
"8","SZ","Klimawandel","Klimawandel öffnet neue Schiffsrouten in der Arktis",2013-03-06,3,2013,"https://www.sueddeutsche.de/wissen/quer-ueber-den-nordpol-klimawandel-oeffnet-neue-schiffsrouten-in-der-arktis-1.1616949"
"9","SZ","Klimawandel","Lachen als Lösung",2013-03-05,3,2013,"https://www.sueddeutsche.de/muenchen/starnberg/berg-lachen-als-loesung-1.1616627"
"10","SZ","Klimawandel","Ex-Banker schulen um",2013-03-02,3,2013,"https://www.sueddeutsche.de/wirtschaft/von-der-boerse-in-den-weinberg-ex-banker-schulen-um-1.1613713"
"11","SZ","Klimawandel","Die Republikaner kämpfen ums Überleben",2013-03-02,3,2013,"https://www.sueddeutsche.de/politik/essayist-john-jeremiah-sullivan-die-republikaner-kaempfen-ums-ueberleben-1.1614013"
"12","SZ","Klimawandel","Forscher als Comic-Helden",2013-03-01,3,2013,"https://www.sueddeutsche.de/wissen/gutachten-zum-klimawandel-forscher-als-comic-helden-1.1612921"
"13","SZ","Klimawandel","Riskantes Kalkül der Republikaner",2013-02-28,2,2013,"https://www.sueddeutsche.de/politik/countdown-im-us-haushaltsstreit-riskantes-kalkuel-der-republikaner-1.1611974"
"14","SZ","Klimawandel","Neue Depots für alternativen Strom",2013-02-25,2,2013,"https://www.sueddeutsche.de/muenchen/ebersberg/energiespeicher-in-der-alpenregion-neue-depots-fuer-alternativen-strom-1.1609758"
"15","SZ","Klimawandel","Deutschland steigert CO2-Ausstoß",2013-02-25,2,2013,"https://www.sueddeutsche.de/wirtschaft/klimawandel-deutschland-steigert-co2-ausstoss-1.1609316"
"16","SZ","Klimawandel","Das macht 500 Gramm CO2",2013-02-24,2,2013,"https://www.sueddeutsche.de/wissen/oeko-bilanz-des-internethandel-das-macht-500-gramm-co2-1.1607616"
"17","SZ","Klimawandel","Gegen Kapitalismus ist ein Kraut gewachsen",2013-02-23,2,2013,"https://www.sueddeutsche.de/wissen/bolivien-und-un-setzen-auf-quinoa-pflanze-gegen-kapitalismus-ist-ein-kraut-gewachsen-1.1607700"
"18","SZ","Klimawandel","Minister auf Irrfahrt",2013-02-22,2,2013,"https://www.sueddeutsche.de/politik/peter-altmaier-und-die-energiewende-minister-auf-irrfahrt-1.1606624"
"19","SZ","Klimawandel","Rettet den Emissionshandel!",2013-02-19,2,2013,"https://www.sueddeutsche.de/wirtschaft/klimaschutz-rettet-den-emissionshandel-1.1604485"
"20","SZ","Klimawandel","Jetzt haben wir den Salat",2013-02-15,2,2013,"https://www.sueddeutsche.de/leben/vegane-ernaehrung-vs-fleischkonsum-jetzt-haben-wir-den-salat-1.1601837"
"21","SZ","Klimawandel","Algorithmen als Schiedsrichter",2013-02-14,2,2013,"https://www.sueddeutsche.de/digital/computersoftware-truth-teller-algorithmen-als-schiedsrichter-1.1599717"
"22","SZ","Klimawandel","Obama umwirbt den gesunden Menschenverstand",2013-02-13,2,2013,"https://www.sueddeutsche.de/politik/rede-zur-lage-der-nation-des-us-praesidenten-obama-umwirbt-den-gesunden-menschenverstand-1.1598772"
"23","SZ","Klimawandel","Kampf gegen die Krise ist ""Aufgabe unserer Generation""",2013-02-13,2,2013,"https://www.sueddeutsche.de/politik/us-praesident-zur-lage-der-nation-kampf-gegen-die-krise-ist-aufgabe-unserer-generation-1.1598768"
"24","SZ","Klimawandel","Ein gigantischer Eingriff in die Natur",2013-02-09,2,2013,"https://www.sueddeutsche.de/bayern/plaene-fuer-kraftwerk-am-jochberg-ein-gigantischer-eingriff-in-die-natur-1.1595222"
"25","SZ","Klimawandel","Asteroid kommt Erde näher als Satelliten",2013-02-08,2,2013,"https://www.sueddeutsche.de/wissen/astronomie-asteroid-verpasst-die-erde-knapp-1.1595131"
"26","SZ","Klimawandel","Bestätigt: Himmelskörper löschte Dinosaurier aus",2013-02-08,2,2013,"https://www.sueddeutsche.de/wissen/palaeontologie-bestaetigt-himmelskoerper-loeschte-dinosaurier-aus-1.1594564"
"27","SZ","Klimawandel","Wie Chemikalien Himmel, Wind und Wellen verändern",2013-02-01,2,2013,"https://www.sueddeutsche.de/wissen/antarktis-wie-chemikalien-himmel-wind-und-wellen-veraendern-1.1588791"
"28","SZ","Klimawandel","Die Schulhofjournalisten",2013-01-31,1,2013,"https://www.sueddeutsche.de/bayern/schuelerzeitungswettbewerb-blattmacher-die-schulhofjournalisten-1.1587642"
"29","SZ","Klimawandel","Angst vor der Klugheit",2013-01-30,1,2013,"https://www.sueddeutsche.de/meinung/us-republikaner-angst-vor-der-klugheit-1.1587443"
"30","SZ","Klimawandel","Städte heizen in die Ferne",2013-01-29,1,2013,"https://www.sueddeutsche.de/wissen/klima-staedte-heizen-in-die-ferne-1.1585817"
"31","SZ","Klimawandel","Frotzeleien zwischen Gegnern",2013-01-25,1,2013,"https://www.sueddeutsche.de/politik/designierter-us-aussenminister-kerry-im-senat-frotzeleien-zwischen-gegnern-1.1582791"
"32","SZ","Klimawandel","Wir dürfen uns nicht ausruhen",2013-01-23,1,2013,"https://www.sueddeutsche.de/wirtschaft/iwf-chefin-lagarde-in-davos-wir-duerfen-uns-nicht-ausruhen-1.1581709"
"33","SZ","Klimawandel","Heizen mit der Kloake",2013-01-23,1,2013,"https://www.sueddeutsche.de/wissen/alternative-energien-heizen-mit-der-kloake-1.1581331"
"34","SZ","Klimawandel","Eine Politik des Rosinenpickens wird aber nicht funktionieren",2013-01-23,1,2013,"https://www.sueddeutsche.de/politik/reaktionen-auf-camerons-rede-eine-politik-des-rosinenpickens-wird-aber-nicht-funktionieren-1.1580810"
"35","SZ","Klimawandel","Erderwärmung mit Pause?",2013-01-23,1,2013,"https://www.sueddeutsche.de/wissen/klimawandel-erderwaermung-mit-pause-1.1580723"
"36","SZ","Klimawandel","Munich Re warnt vor Ernteausfällen",2013-01-23,1,2013,"https://www.sueddeutsche.de/wirtschaft/naturkatastrophen-munich-re-warnt-vor-ernteausfaellen-1.1580755"
"37","SZ","Klimawandel","Kampfansage ans konservative Amerika",2013-01-22,1,2013,"https://www.sueddeutsche.de/politik/rede-des-us-praesidenten-zur-zweiten-amtszeit-obamas-kampfansage-ans-konservative-amerika-1.1579581"
"38","SZ","Klimawandel","Obama entwirft sein Vermächtnis",2013-01-21,1,2013,"https://www.sueddeutsche.de/politik/rede-zur-inauguration-obama-entwirft-sein-vermaechtnis-1.1579538"
"39","SZ","Klimawandel","Obama beschwört gleiche Chancen für alle Amerikaner",2013-01-21,1,2013,"https://www.sueddeutsche.de/politik/inauguration-in-washington-obama-beschwoert-gleiche-chancen-fuer-alle-amerikaner-1.1579128"
