"","outlet","category","title","date","month","year","url"
"1","Spiegel","Klimawandel","Klima: 2014 war wärmstes Jahr seit Beginn der Messungen - SPIEGEL ONLINE",2015-01-07,1,2015,"http://www.spiegel.de/wissenschaft/natur/klima-2014-war-waermstes-jahr-seit-beginn-der-wetter-messungen-a-1011572.html"
"2","Spiegel","Klimawandel","Angebliche Panikmache: Führender Forscher verlässt Spitze des Welt-Klimarats - SPIEGEL ONLINE",2014-03-26,3,2014,"http://www.spiegel.de/wissenschaft/natur/streit-um-ipcc-klimabericht-der-uno-richard-tol-ruecktritt-a-960818.html"
"3","Spiegel","Klimawandel","Konzerne in der Kritik: Deutsche Banken investieren noch immer Milliarden in Braunkohle",2015-11-24,11,2015,"http://www.spiegel.de/wirtschaft/unternehmen/klimawandel-deutsche-banken-foerdern-weiter-braunkohle-a-1064198.html#ref=rss"
"4","Spiegel","Klimawandel","Uno-Chef Ban Ki Moon: ""Der Klimawandel bedroht unsere Existenz""",2015-11-24,11,2015,"http://www.spiegel.de/wissenschaft/natur/ban-ki-moon-bisherige-co2-ziele-sind-nicht-ausreichend-a-1064320.html#ref=rss"
"5","Spiegel","Klimawandel","Klimagipfel in Paris: Es geht ums Ganze",2015-11-27,11,2015,"http://www.spiegel.de/wissenschaft/natur/klimakonferenz-in-paris-es-geht-ums-ganze-kommentar-a-1061859.html#ref=rss"
"6","Spiegel","Klimawandel","Flutforschung in den Niederlanden: Weltgrößter Wellenkanal traktiert Hollands Deiche",2015-11-27,11,2015,"http://www.spiegel.de/wissenschaft/technik/delta-flume-monsterwellen-fuer-die-hochwasserforschung-a-1064538.html#ref=rss"
"7","Spiegel","Klimawandel","Smog-Alarm: Behörden warnen Pekinger vor dem Verlassen der Wohnungen",2015-11-28,11,2015,"http://www.spiegel.de/wissenschaft/mensch/smog-in-china-kohleheizungen-befeuern-klimawandel-a-1065034.html#ref=rss"
"8","Spiegel","Klimawandel","Klimagipfel: Aufstand der Eisbären",2015-11-29,11,2015,"http://www.spiegel.de/wissenschaft/natur/klimakonferenz-weltweite-demos-fuer-ein-klimaschutzabkommen-a-1065101.html#ref=rss"
"9","Spiegel","Klimawandel","Klimagipfel in Paris: Bill Gates und Co. investieren Milliarden in saubere Energie",2015-11-30,11,2015,"http://www.spiegel.de/wirtschaft/unternehmen/paris-klimagipfel-bill-gates-jeff-bezos-jack-ma-investieren-milliarden-in-saubere-energie-a-1065160.html#ref=rss"
"10","Spiegel","Klimawandel","Klimagipfel in Paris: Der Sinn des Irrsinns",2015-11-30,11,2015,"http://www.spiegel.de/wissenschaft/natur/klimakonferenz-in-paris-der-sinn-des-irrsinns-kommentar-a-1064550.html#ref=rss"
"11","Spiegel","Klimawandel","Gletscherfotos: Hier wird der Klimawandel sichtbar",2015-11-30,11,2015,"http://www.spiegel.de/wissenschaft/natur/gletscherschmelze-fotovergleich-zeigt-dramatischen-schwund-a-1065273.html#ref=rss"
