"","outlet","category","title","date","month","year","url"
"1","Wirtschaftswoche","Klimawandel","Technologie der Zukunft Welche Technik bis 2025 entwickelt wird",2013-01-02,1,2013,"https://www.wiwo.de/technologie/forschung/technologie-der-zukunft-welche-technik-bis-2025-entwickelt-wird/7546760.html"
"2","Wirtschaftswoche","Klimawandel","Weltwirtschaftsforum Experten warnen vor Armut und Überschuldung",2013-01-08,1,2013,"https://www.wiwo.de/politik/ausland/weltwirtschaftsforum-experten-warnen-vor-armut-und-ueberschuldung/7601308.html"
"3","Wirtschaftswoche","Klimawandel","Weltwirtschaftsforum „Finanzkrise lenkt Öffentlichkeit vom Klimawandel ab“",2013-01-08,1,2013,"https://www.wiwo.de/politik/ausland/weltwirtschaftsforum-finanzkrise-lenkt-oeffentlichkeit-vom-klimawandel-ab/7601540.html"
"4","Wirtschaftswoche","Klimawandel","IW-Studie Jede fünfte Firma leidet unter dem Klimawandel",2013-01-09,1,2013,"https://www.wiwo.de/unternehmen/industrie/iw-studie-jede-fuenfte-firma-leidet-unter-dem-klimawandel/7606948.html"
"5","Wirtschaftswoche","Klimawandel","Klimawandel Schmelzwasser beschleunigt arktiscehn Eisschwund",2013-01-16,1,2013,"https://www.wiwo.de/technologie/umwelt/klimawandel-schmelzwasser-beschleunigt-arktiscehn-eisschwund/7639388.html"
"6","Wirtschaftswoche","Klimawandel","Obamas zweite Amtszeit Von Mr. Change zu Mr. Basta",2013-01-21,1,2013,"https://www.wiwo.de/politik/ausland/obamas-zweite-amtszeit-von-mr-change-zu-mr-basta/7666786.html"
"7","Wirtschaftswoche","Klimawandel","+++Davos Diary+++ Was bleibt vom WEF 2013?",2013-01-25,1,2013,"https://www.wiwo.de/politik/ausland/davos-diary-was-bleibt-vom-wef-2013/7672864.html"
"8","Wirtschaftswoche","Klimawandel","Davos 2013 Britischer Charme und kontinentale Wut",2013-01-25,1,2013,"https://www.wiwo.de/politik/ausland/davos-2013-britischer-charme-und-kontinentale-wut/7689174.html"
"9","Wirtschaftswoche","Klimawandel","Davos Britischer Charme und kontinentale Wut",2013-01-25,1,2013,"https://www.wiwo.de/politik/ausland/davos-britischer-charme-und-kontinentale-wut/7689384.html"
"10","Wirtschaftswoche","Klimawandel","Neuer US-Außenminister John Kerry ist neuer Top-Diplomat der USA",2013-01-29,1,2013,"https://www.wiwo.de/politik/ausland/neuer-us-aussenminister-john-kerry-ist-neuer-top-diplomat-der-usa/7706858.html"
"11","Wirtschaftswoche","Klimawandel","Transatlantische Freihandelszone Die Vereinigten Staaten des Westens",2013-02-01,2,2013,"https://www.wiwo.de/politik/ausland/transatlantische-freihandelszone-die-vereinigten-staaten-des-westens/7719660.html"
"12","Wirtschaftswoche","Klimawandel","Moore als Klimaschützer Neue Hoffnung für die Schauerlandschaft",2013-02-02,2,2013,"https://www.wiwo.de/technologie/umwelt/moore-als-klimaschuetzer-neue-hoffnung-fuer-die-schauerlandschaft/7725854.html"
"13","Wirtschaftswoche","Klimawandel","Rede im Kongress Obama kämpft für die liberale Agenda",2013-02-12,2,2013,"https://www.wiwo.de/politik/ausland/rede-im-kongress-obama-kaempft-fuer-die-liberale-agenda/7774106.html"
"14","Wirtschaftswoche","Klimawandel","Rede zur Lage der Nation   Obamas Kraftakt im Kampf gegen die Krise",2013-02-13,2,2013,"https://www.wiwo.de/politik/ausland/rede-zur-lage-der-nation-obamas-kraftakt-im-kampf-gegen-die-krise/7775912.html"
"15","Wirtschaftswoche","Klimawandel","Porträt Wie sich George Soros als Euro-Retter inszeniert",2013-02-14,2,2013,"https://www.wiwo.de/politik/europa/portraet-wie-sich-george-soros-als-euro-retter-inszeniert/7751122.html"
"16","Wirtschaftswoche","Klimawandel","Hirnforschung Ohne Belohnung läuft gar nichts",2013-02-16,2,2013,"https://www.wiwo.de/erfolg/beruf/hirnforschung-ohne-belohnung-laeuft-gar-nichts/7789916.html"
"17","Wirtschaftswoche","Klimawandel","Marshall-Inseln fordern Klimawandel soll als Sicherheitsgefahr eingestuft werden",2013-02-16,2,2013,"https://www.wiwo.de/politik/ausland/marshall-inseln-fordern-klimawandel-soll-als-sicherheitsgefahr-eingestuft-werden/7794456.html"
"18","Wirtschaftswoche","Klimawandel","Buch zum „Kampf um Strom“ Eine Lanze für die Energiewende",2013-02-18,2,2013,"https://www.wiwo.de/unternehmen/industrie/buch-zum-kampf-um-strom-eine-lanze-fuer-die-energiewende/7802250.html"
"19","Wirtschaftswoche","Klimawandel","US-Außenminister Kerry Amerika soll die Welt weiterhin führen",2013-02-21,2,2013,"https://www.wiwo.de/politik/ausland/us-aussenminister-kerry-amerika-soll-die-welt-weiterhin-fuehren/7816526.html"
"20","Wirtschaftswoche","Klimawandel","Klima-Orakel Kann Fleischverzicht den Klimawandel bremsen?",2013-02-21,2,2013,"https://www.wiwo.de/technologie/umwelt/klima-orakel-kann-fleischverzicht-den-klimawandel-bremsen/7819210.html"
"21","Wirtschaftswoche","Klimawandel","Julia Gillard Australiens Frau an der Spitze droht der politische Tod",2013-02-23,2,2013,"https://www.wiwo.de/politik/ausland/julia-gillard-australiens-frau-an-der-spitze-droht-der-politische-tod/7828350.html"
"22","Wirtschaftswoche","Klimawandel","Baumsterben in der Stadt Klimabaum gesucht",2013-02-23,2,2013,"https://www.wiwo.de/technologie/umwelt/baumsterben-in-der-stadt-klimabaum-gesucht/7828366.html"
"23","Wirtschaftswoche","Klimawandel","Klimawandel Deutschland produziert wieder mehr CO2",2013-02-25,2,2013,"https://www.wiwo.de/technologie/umwelt/klimawandel-deutschland-produziert-wieder-mehr-co2/7836624.html"
"24","Wirtschaftswoche","Klimawandel","Extreme Wettersituationen Klimawandel stört die Muster der globalen Luftbewegungen",2013-02-25,2,2013,"https://www.wiwo.de/technologie/umwelt/extreme-wettersituationen-klimawandel-stoert-die-muster-der-globalen-luftbewegungen/7839234.html"
"25","Wirtschaftswoche","Klimawandel","Mobilfunk Afrikas mobiles Wirtschaftswunder",2013-03-11,3,2013,"https://www.wiwo.de/technologie/gadgets/mobilfunk-afrikas-mobiles-wirtschaftswunder/7908960.html"
"26","Wirtschaftswoche","Klimawandel","Dank Klimawandel Grönland wählt und träumt vom Wohlstand",2013-03-11,3,2013,"https://www.wiwo.de/politik/ausland/dank-klimawandel-groenland-waehlt-und-traeumt-vom-wohlstand/7909498.html"
"27","Wirtschaftswoche","Klimawandel","Veralteter Energieträger Düstere Zukunft für die australische Kohle",2013-03-12,3,2013,"https://www.wiwo.de/unternehmen/industrie/veralteter-energietraeger-duestere-zukunft-fuer-die-australische-kohle/7915196.html"
"28","Wirtschaftswoche","Klimawandel","Regierungswechsel Sozialdemokraten vor klarem Wahlsieg in Grönland",2013-03-13,3,2013,"https://www.wiwo.de/politik/ausland/regierungswechsel-sozialdemokraten-vor-klarem-wahlsieg-in-groenland/7918960.html"
"29","Wirtschaftswoche","Klimawandel","Grönlands neue Regierungschefin Vom Hundeschlitten an den Kabinettstisch",2013-03-13,3,2013,"https://www.wiwo.de/politik/deutschland/groenlands-neue-regierungschefin-vom-hundeschlitten-an-den-kabinettstisch/7922014.html"
"30","Wirtschaftswoche","Klimawandel","Toyota im Handelsblatt-Test Papst Prius, der Sparsame",2013-03-14,3,2013,"https://www.wiwo.de/technologie/mobilitaet/toyota-im-handelsblatt-test-papst-prius-der-sparsame/7926576.html"
"31","Wirtschaftswoche","Klimawandel","CO2-Zertifikate Das einträgliche Geschäft mit dem Klima",2013-03-14,3,2013,"https://www.wiwo.de/finanzen/boerse/co2-zertifikate-das-eintraegliche-geschaeft-mit-dem-klima/7896790.html"
"32","Wirtschaftswoche","Klimawandel","Tiefseeforschung Keine Wüste unter Wasser",2013-03-18,3,2013,"https://www.wiwo.de/technologie/forschung/tiefseeforschung-keine-wueste-unter-wasser/7944324.html"
"33","Wirtschaftswoche","Klimawandel","BMW Autos für die Generation Apple",2013-03-20,3,2013,"https://www.wiwo.de/unternehmen/auto/bmw-autos-fuer-die-generation-apple/7959146.html"
"34","Wirtschaftswoche","Klimawandel","Maybrit Illner Der Albtraum Energiewende",2013-03-22,3,2013,"https://www.wiwo.de/politik/deutschland/maybrit-illner-der-albtraum-energiewende/7969878.html"
"35","Wirtschaftswoche","Klimawandel","Dauerfrost zu Ostern Hat der Klimawandel eine Pause eingelegt?",2013-03-31,3,2013,"https://www.wiwo.de/technologie/forschung/dauerfrost-zu-ostern-hat-der-klimawandel-eine-pause-eingelegt/8000262.html"
"36","Wirtschaftswoche","Klimawandel","Greenpeace-Studie Tausende Tote durch deutsche Kohlekraftwerke",2013-04-03,4,2013,"https://www.wiwo.de/technologie/umwelt/greenpeace-studie-tausende-tote-durch-deutsche-kohlekraftwerke/8015694.html"
