"","outlet","category","title","date","month","year","url"
"1","ZeitOnline","Klimawandel","Amerikas oberste Umweltschützerin kapituliert",2013-01-02,1,2013,"https://www.zeit.de/wirtschaft/2013-01/epa-ruecktritt-jackson"
"2","ZeitOnline","Klimawandel","Ja ist denn schon Klimawandel?",2013-01-03,1,2013,"https://www.zeit.de/2013/02/Wetter-Winter-Klimawandel"
"3","ZeitOnline","Klimawandel","Naturkatastrophen trafen 2012 vor allem die USA",2013-01-03,1,2013,"https://www.zeit.de/wirtschaft/2013-01/munich-re-naturkatastrophen-usa"
"4","ZeitOnline","Klimawandel","Rekordhitze und Buschfeuer beherrschen Australien",2013-01-07,1,2013,"https://www.zeit.de/wissen/umwelt/2013-01/australien-hitzewelle-duerre-buschfeuer-klimawandel"
"5","ZeitOnline","Klimawandel","Einkommensunterschiede gefährden die Weltwirtschaft",2013-01-08,1,2013,"https://www.zeit.de/wirtschaft/2013-01/weltwirtschaftsforum-einkommen"
"6","ZeitOnline","Klimawandel","USA verzeichnen heißestes Jahr seit Beginn der Wetteraufzeichnungen",2013-01-09,1,2013,"https://www.zeit.de/wissen/umwelt/2013-01/usa-temperatur-2012"
"7","ZeitOnline","Klimawandel","Wir Weltgärtner",2013-01-10,1,2013,"https://www.zeit.de/2013/03/Anthropozaen-Projekt-Berlin-HKW-Leinfelder"
"8","ZeitOnline","Klimawandel","Über Hamburg",2013-01-10,1,2013,"https://www.zeit.de/2013/03/Gesellschaftskritik-Van-der-Vaart-Trennung-Hamburg"
"9","ZeitOnline","Klimawandel","US-Regierungsstudie drängt Obama zu mehr Klimapolitik",2013-01-13,1,2013,"https://www.zeit.de/wissen/umwelt/2013-01/klimabericht-usa-erwaermung"
"10","ZeitOnline","Klimawandel","China könnte bei Altmaiers Energiewende-Klub mitmachen",2013-01-15,1,2013,"https://www.zeit.de/wirtschaft/2013-01/altmaier-energiewende-club-china"
"11","ZeitOnline","Klimawandel","Ruß fördert den Klimawandel stärker als gedacht",2013-01-16,1,2013,"https://www.zeit.de/wissen/umwelt/2013-01/Russ-Partikel-beschleunigen-Klimawandel"
"12","ZeitOnline","Klimawandel","Amerika feiert die zweite Amtszeit Obamas",2013-01-21,1,2013,"https://www.zeit.de/politik/ausland/2013-01/usa-obama-amtseinfuehrung"
"13","ZeitOnline","Klimawandel","Schwab sieht Weltwirtschaft noch immer bedroht",2013-01-22,1,2013,"https://www.zeit.de/wirtschaft/2013-01/davos-weltwirtschaftsforum-klaus-schwab"
"14","ZeitOnline","Klimawandel","NRW will Treibhausgase per Gesetz verringern",2013-01-23,1,2013,"https://www.zeit.de/politik/deutschland/2013-01/klimaschutzgesetz-nrw-treibhausgas"
"15","ZeitOnline","Klimawandel","Sollen sie doch wieder zocken",2013-01-24,1,2013,"https://www.zeit.de/2013/05/Deutsche-Bank-Nahrungsmittelspekulation"
"16","ZeitOnline","Klimawandel","Streit auf hohem Plateau",2013-01-24,1,2013,"https://www.zeit.de/2013/05/Erderwaermung-Klimakurve-Temperaturplateau"
"17","ZeitOnline","Klimawandel","Obama holt Sicherheitsexperten als Stabschef",2013-01-25,1,2013,"https://www.zeit.de/politik/ausland/2013-01/obama-stabschef-usa-mcdonough"
"18","ZeitOnline","Klimawandel","Königin Beatrix überzeugte auch Anti-Monarchisten",2013-01-29,1,2013,"https://www.zeit.de/gesellschaft/zeitgeschehen/2013-01/Koenigin-Beatrix-Niederlande-Regentschaft"
"19","ZeitOnline","Klimawandel","Australier leiden wieder unter Wetterextremen",2013-01-29,1,2013,"https://www.zeit.de/wissen/umwelt/2013-01/australien-regen-ueberschwemmung"
"20","ZeitOnline","Klimawandel","Senat bestätigt John Kerry als Außenminister",2013-01-30,1,2013,"https://www.zeit.de/politik/ausland/2013-01/john-kerry-usa-aussenminister-senat"
"21","ZeitOnline","Klimawandel","Wir brauchen keine Ökodiktatur",2013-01-31,1,2013,"https://www.zeit.de/2013/06/Klimaschutz-Demokratie-Oekodiktatur"
"22","ZeitOnline","Klimawandel","Gas ist kein Allheilmittel",2013-02-07,2,2013,"https://www.zeit.de/2013/07/Energie-IEA-Maria-van-der-Hoeven"
"23","ZeitOnline","Klimawandel","Weniger Arbeiten hilft dem Klima",2013-02-07,2,2013,"https://www.zeit.de/wirtschaft/2013-02/klimawandel-arbeit-wachstumskritik"
"24","ZeitOnline","Klimawandel","Nemo verschont New York",2013-02-10,2,2013,"https://www.zeit.de/gesellschaft/zeitgeschehen/2013-02/schneesturm-nemo-newyork"
"25","ZeitOnline","Klimawandel","""Kampf gegen die Krise ist """"Aufgabe unserer Generation""""""",2013-02-13,2,2013,"https://www.zeit.de/politik/ausland/2013-02/obama-rede-nation-konjunktur-republikaner"
"26","ZeitOnline","Klimawandel","Dann geht eine Welt unter",2013-02-14,2,2013,"https://www.zeit.de/2013/08/Ski-WM-Oesterreich"
"27","ZeitOnline","Klimawandel","New York baut Häuser nun auf Pfählen",2013-02-18,2,2013,"https://www.zeit.de/wissen/umwelt/2013-02/new-york-sandy-stadtplanung"
"28","ZeitOnline","Klimawandel","Und er triumphiert doch!",2013-02-21,2,2013,"https://www.zeit.de/2013/09/Kritik-am-Kapitalismus"
"29","ZeitOnline","Klimawandel","Die Gerechtigkeit hat gelitten",2013-02-25,2,2013,"https://www.zeit.de/wirtschaft/2013-02/asmussen-interview"
"30","ZeitOnline","Klimawandel","Der Moloch und das Meer",2013-02-25,2,2013,"https://www.zeit.de/gesellschaft/zeitgeschehen/2013-02/mauretanien-sahara-steigender-meeresspiegel-ueberflutung"
"31","ZeitOnline","Klimawandel","Autofahren sollte teurer werden",2013-02-25,2,2013,"https://www.zeit.de/auto/2013-02/autofahren-kosten-studie"
"32","ZeitOnline","Klimawandel","Raus aus der Moralecke!",2013-02-28,2,2013,"https://www.zeit.de/2013/10/Aussenpolitik-Diskussion-Moral"
"33","ZeitOnline","Klimawandel","Die Eisbären bleiben Gejagte",2013-03-06,3,2013,"https://www.zeit.de/wissen/umwelt/2013-02/eisbaeren-cites-monitoring"
"34","ZeitOnline","Klimawandel","Der Handel mit Eisbärfellen wird nicht eingeschränkt",2013-03-07,3,2013,"https://www.zeit.de/wissen/umwelt/2013-03/eisbaren-cites-artenschutzkonferenz"
"35","ZeitOnline","Klimawandel","Afrikas mobiles Wirtschaftswunder",2013-03-08,3,2013,"https://www.zeit.de/digital/internet/2013-03/afrika-mobilfunk-wirtschaft"
"36","ZeitOnline","Klimawandel","Die Litanei vom Schicksal",2013-03-12,3,2013,"https://www.zeit.de/kultur/literatur/2013-03/kapitalismuskritik-essay"
"37","ZeitOnline","Klimawandel","Wir tun nur, was beherrschbar ist",2013-03-14,3,2013,"https://www.zeit.de/2013/12/Energiewende-Fracking-Matthias-Bichsel"
"38","ZeitOnline","Klimawandel","Widerstand leisten – nur wie?",2013-03-14,3,2013,"https://www.zeit.de/2013/12/Harald-Welzer-Selbst-Denken"
"39","ZeitOnline","Klimawandel","""Die """"German Angst""""""",2013-03-14,3,2013,"https://www.zeit.de/2013/12/Fukushima-Deutschland-Angst"
"40","ZeitOnline","Klimawandel","Raimund Schlenk rettet die Welt",2013-03-20,3,2013,"https://www.zeit.de/wirtschaft/2013-03/Weltretter-Raimund-Schlenk"
"41","ZeitOnline","Klimawandel","Leider gut",2013-03-21,3,2013,"https://www.zeit.de/2013/13/Leben-Welt-Psyche-Medien"
"42","ZeitOnline","Klimawandel","Mit der Kraft des Windes",2013-03-21,3,2013,"https://www.zeit.de/2013/13/Gruene-Energie-USA"
"43","ZeitOnline","Klimawandel","Schaut einfach auf die Fakten!",2013-03-21,3,2013,"https://www.zeit.de/2013/13/Wirtschaftswachstum-Konsum-Kapitalismus"
"44","ZeitOnline","Klimawandel","Ketzer des Netzes",2013-03-21,3,2013,"https://www.zeit.de/2013/13/Internettheoretiker-Evgeny-Morozov"
"45","ZeitOnline","Klimawandel","Wenn Vertrauen schwindet",2013-03-21,3,2013,"https://www.zeit.de/2013/13/Daron-Acemoglu-James-A-Robinson-Warum-Nationen-scheitern"
"46","ZeitOnline","Klimawandel","Alles so sauber",2013-03-21,3,2013,"https://www.zeit.de/2013/13/Ruhrgebiet-Umweltschutz"
"47","ZeitOnline","Klimawandel","Soweit die Pfoten tragen",2013-04-01,4,2013,"https://www.zeit.de/reisen/2013-03/groenland-hundeschlitten"
"48","ZeitOnline","Klimawandel","Willkommen im Chaos",2013-04-04,4,2013,"https://www.zeit.de/2013/15/megacity-dhaka-urbanisierung"
