"","outlet","category","title","date","month","year","url"
"1","Handelsblatt","Migration","Flüchtlinge künftig auch im Gewerbegebiet",2014-11-03,11,2014,"https://www.handelsblatt.com/politik/deutschland/asylbewerber-gesetz-fluechtlinge-kuenftig-auch-im-gewerbegebiet/10923358.html"
"2","Handelsblatt","Migration","Herzlich willkommen – aber nicht bei uns",2014-09-25,9,2014,"https://www.handelsblatt.com/politik/international/fluechtlinge-herzlich-willkommen-aber-nicht-bei-uns/10749422.html"
"3","Handelsblatt","Migration","Die falsche Angst vor „Sozialtourismus“",2013-10-08,10,2013,"https://www.handelsblatt.com/politik/deutschland/armutszuwanderung-die-falsche-angst-vor-sozialtourismus/8902544.html"
"4","Handelsblatt","Migration","AfD-Unterstützer beraten Wirtschaftsminister Rösler",2013-09-13,9,2013,"https://www.handelsblatt.com/politik/deutschland/bundestagswahl-2013/wissenschaftlicher-beirat-afd-unterstuetzer-beraten-wirtschaftsminister-roesler/8780820.html"
"5","Handelsblatt","Migration","Brennende Autos in den Stockholmer Vorstädten",2013-05-23,5,2013,"https://www.handelsblatt.com/politik/international/proteste-in-schweden-brennende-autos-in-den-stockholmer-vorstaedten/8245704.html"
"6","Handelsblatt","Migration","Wohnort Flüchtlingslager",2015-08-06,8,2015,"https://www.handelsblatt.com/arts_und_style/aus-aller-welt/ortsbesuch-wohnort-fluechtlingslager/12149884.html"
"7","Handelsblatt","Migration","Task Force für Flüchtlinge gefordert",2015-08-01,8,2015,"https://www.handelsblatt.com/politik/deutschland/asylpolitik-in-deutschland-task-force-fuer-fluechtlinge-gefordert/12133380.html"
"8","Handelsblatt","Migration","Cameron baut an der Festung Großbritannien",2015-07-31,7,2015,"https://www.handelsblatt.com/politik/international/fluechtlingspolitik-cameron-baut-an-der-festung-grossbritannien/12125266.html"
"9","Handelsblatt","Migration","Kubaner riskieren alles für Leben in den USA",2015-06-14,6,2015,"https://www.handelsblatt.com/politik/international/migration-in-die-usa-kubaner-riskieren-alles-fuer-leben-in-den-usa/11915948.html"
"10","Handelsblatt","Migration","Export-Hits aus Deutschland",2015-05-16,5,2015,"https://www.handelsblatt.com/arts_und_style/aus-aller-welt/erfolgreiche-auswanderer-export-hits-aus-deutschland/11781076.html"
"11","Handelsblatt","Migration","Wutbürgerlich",2015-05-07,5,2015,"https://www.handelsblatt.com/politik/deutschland/asylbewerber-wutbuergerlich/11740984.html"
"12","Handelsblatt","Migration","Deutschland verliert massenhaft Erwerbstätige",2015-04-28,4,2015,"https://www.handelsblatt.com/politik/deutschland/statistisches-bundesamt-deutschland-verliert-massenhaft-erwerbstaetige/11700192.html"
"13","Handelsblatt","Migration","Die Abschottung bleibt",2015-04-23,4,2015,"https://www.handelsblatt.com/politik/international/kommentar-zur-eu-fluechtlingspolitik-die-abschottung-bleibt/11681838.html"
"14","Handelsblatt","Migration","Eine Million Flüchtlinge warten in Libyen",2015-04-20,4,2015,"https://www.handelsblatt.com/arts_und_style/aus-aller-welt/schiffsungluecke-im-mittelmeer-eine-million-fluechtlinge-warten-in-libyen/11661308.html"
"15","Handelsblatt","Migration","Teure Technik aus der Vergangenheit",2014-12-15,12,2014,"https://www.handelsblatt.com/unternehmen/it-medien/windows-xp-im-bundestag-teure-technik-aus-der-vergangenheit/11120296.html"
"16","Handelsblatt","Migration","Söder bringt die CSU auf AfD-Kurs",2015-09-10,9,2015,"https://www.handelsblatt.com/politik/deutschland/asylrecht-soeder-bringt-die-csu-auf-afd-kurs/12302564.html"
"17","Handelsblatt","Migration","AfD-„Hetze“ gegen Flüchtlinge schreckt Koalition auf",2015-09-09,9,2015,"https://www.handelsblatt.com/politik/deutschland/alternative-fuer-deutschland-afd-hetze-gegen-fluechtlinge-schreckt-koalition-auf/12297504.html"
"18","Handelsblatt","Migration","4000 Flüchtlinge in München eingetroffen",2015-09-10,9,2015,"https://www.handelsblatt.com/politik/deutschland/liveblog-zur-fluechtlingskrise-4000-fluechtlinge-in-muenchen-eingetroffen/12295534.html"
"19","Handelsblatt","Migration","Hauptstadt-AfD will nicht gegen Flüchtlinge demonstrieren",2015-08-28,8,2015,"https://www.handelsblatt.com/politik/deutschland/alternative-fuer-deutschland-hauptstadt-afd-will-nicht-gegen-fluechtlinge-demonstrieren/12246292.html"
"20","Handelsblatt","Migration","De Maizière sucht unkonventionell Mitarbeiter für Flüchtlingsbehörde",2015-08-27,8,2015,"https://www.handelsblatt.com/politik/deutschland/pensionaere-zoll-bundeswehr-de-maiziere-sucht-unkonventionell-mitarbeiter-fuer-fluechtlingsbehoerde/12245680.html"
"21","Handelsblatt","Migration","„Es ist ein Lastwagen voller Leichen“",2015-08-27,8,2015,"https://www.handelsblatt.com/politik/international/fluechtlings-drama-in-oesterreich-es-ist-ein-lastwagen-voller-leichen/12242322.html"
"22","Handelsblatt","Migration","„Die Mutti kommt zu Multi-Kulti“",2015-08-25,8,2015,"https://www.handelsblatt.com/politik/deutschland/angela-merkel-in-duisburg-marxloh-die-mutti-kommt-zu-multi-kulti/12231716.html"
"23","Handelsblatt","Migration","„Montenegro ist ein sicheres Herkunftsland“",2015-08-23,8,2015,"https://www.handelsblatt.com/politik/international/premierminister-milo-dukanovic-montenegro-ist-ein-sicheres-herkunftsland/12224060.html"
"24","Handelsblatt","Migration","Christen willkommen, Muslime nicht?",2015-08-20,8,2015,"https://www.handelsblatt.com/politik/international/fluechtlinge-in-europa-christen-willkommen-muslime-nicht/12207622.html"
"25","Handelsblatt","Migration","So läuft es in den anderen Ländern",2015-08-07,8,2015,"https://www.handelsblatt.com/politik/international/fluechtlinge-in-europa-so-laeuft-es-in-den-anderen-laendern/12159548.html"
"26","Handelsblatt","Migration","Asselborn sieht die EU als Ganzes in Gefahr",2015-11-09,11,2015,"https://www.handelsblatt.com/politik/international/fluechtlingskrise-asselborn-sieht-die-eu-als-ganzes-in-gefahr/12559610.html"
"27","Handelsblatt","Migration","Westeuropa? Dort lang!",2015-10-20,10,2015,"https://www.handelsblatt.com/politik/international/neue-fluechtlingsrouten-westeuropa-dort-lang/12473228.html"
"28","Handelsblatt","Migration","AfD verschärft Asylkurs",2015-10-08,10,2015,"https://www.handelsblatt.com/politik/deutschland/fluechtlinge-in-deutschland-afd-verschaerft-asylkurs/12427986.html"
"29","Handelsblatt","Migration","Altmaier soll die Flüchtlingskrise bewältigen",2015-10-06,10,2015,"https://www.handelsblatt.com/politik/deutschland/merkel-entmachtet-de-maiziere-altmaier-soll-die-fluechtlingskrise-bewaeltigen/12416272.html"
