"","outlet","category","title","date","month","year","url"
"1","SZ","Migration","Männer, die vorm Baumarkt warten",2013-01-23,1,2013,"https://www.sueddeutsche.de/politik/balkan-fellowship-2012-maenner-die-vorm-baumarkt-warten-1.1581229"
"2","SZ","Migration","Ein Gefühl von Nähe",2013-01-15,1,2013,"https://www.sueddeutsche.de/bayern/joachim-gauck-und-daniela-schadt-in-nuernberg-ein-gefuehl-von-naehe-1.1573944"
"3","SZ","Migration","Zahl der Asylbewerber steigt stark an",2013-01-15,1,2013,"https://www.sueddeutsche.de/politik/statistik-des-innenministeriums-zahl-der-asylbewerber-steigt-stark-an-1.1573551"
"4","SZ","Migration","Gauck besucht die Bundesagentur für Arbeit",2013-01-15,1,2013,"https://www.sueddeutsche.de/bayern/bundespraesident-in-nuernberg-gauck-besucht-die-bundesagentur-fuer-arbeit-1.1573195"
"5","SZ","Migration","Inhaltlich begründet",2013-01-10,1,2013,"https://www.sueddeutsche.de/bayern/vertrag-als-professor-nicht-verlaengert-inhaltlich-begruendet-1.1570229"
"6","SZ","Migration","Handel und Hass",2013-01-07,1,2013,"https://www.sueddeutsche.de/kultur/geschichtsbuch-weltmaerkte-und-weltkriege-handel-und-hass-1.1566519"
"7","SZ","Migration","Absetzen und abhauen",2013-07-22,7,2013,"https://www.sueddeutsche.de/wirtschaft/steuergerechtigkeit-absetzen-und-abhauen-1.1727243"
"8","SZ","Migration","Zahl der Asylsuchenden steigt stark an",2013-07-15,7,2013,"https://www.sueddeutsche.de/politik/fluechtlinge-nach-deutschland-zahl-der-asylsuchenden-steigt-stark-an-1.1722441"
"9","SZ","Migration","Asylprotest mit strengen Auflagen",2013-07-10,7,2013,"https://www.sueddeutsche.de/muenchen/nach-hungerstreik-asylprotest-mit-strengen-auflagen-1.1718562"
"10","SZ","Migration","Aussichtslose Fälle zuerst",2013-07-04,7,2013,"https://www.sueddeutsche.de/bayern/asylverfahren-in-deutschland-aussichtslose-faelle-zuerst-1.1712281"
"11","SZ","Migration","Staatsregierung will Flüchtlinge besser behandeln",2013-07-02,7,2013,"https://www.sueddeutsche.de/bayern/asylpolitik-in-bayern-staatsregierung-will-verbesserungen-pruefen-1.1710724"
"12","SZ","Migration","Auf der Spur der Ballonauten",2013-07-02,7,2013,"https://www.sueddeutsche.de/bayern/bizarres-sportgeraet-auf-der-spur-der-ballonauten-1.1710469"
"13","SZ","Migration","Warum Deutschland Snowden ausliefern würde",2013-07-02,7,2013,"https://www.sueddeutsche.de/politik/antrag-auf-asyl-warum-deutschland-snowden-ausliefern-wuerde-1.1710466"
"14","SZ","Migration","Krisenstab ordnet Zutritt von Ärzten an",2013-06-28,6,2013,"https://www.sueddeutsche.de/muenchen/fluechtlinge-im-hungerstreik-stadt-ordnet-zutritt-von-aerzten-an-1.1707977"
"15","SZ","Migration","Juristisch schlichtweg nicht möglich",2013-06-28,6,2013,"https://www.sueddeutsche.de/muenchen/hungerstreik-fuer-asyl-juristisch-schlichtweg-nicht-moeglich-1.1707665"
"16","SZ","Migration","Haderthauer fordert Abbruch des Hungerstreiks",2013-06-26,6,2013,"https://www.sueddeutsche.de/muenchen/fluechtlinge-demonstrieren-in-muenchen-haderthauer-fordert-abbruch-des-hungerstreiks-1.1706405"
