"","outlet","category","title","date","month","year","url"
"1","Spiegel","Migration","SPIEGEL Migration Debate: 'One of the Most Serious Dramas of Our Times'",2015-05-12,5,2015,"http://www.spiegel.de/international/europe/two-european-migration-experts-debate-influx-over-mediterranean-a-1033385.html#ref=rss"
"2","Spiegel","Migration","Reaching the Limit: 'The Number of Immigrants Has To Fall'",2015-10-09,10,2015,"http://www.spiegel.de/international/germany/german-cabinet-members-argue-against-unlimited-immigration-a-1057099.html#ref=rss"
"3","Spiegel","Migration","Germany's Refugee Challenge: 'It's Mostly the Politicians Who Have Been Overwhelmed'",2015-10-14,10,2015,"http://www.spiegel.de/international/germany/refugee-crisis-in-germany-interview-with-naika-foroutan-a-1057649.html#ref=rss"
"4","Spiegel","Migration","Forderung nach Landeslimit: Sachsen-Anhalt will maximal 12.000 Flüchtlinge aufnehmen",2015-11-24,11,2015,"http://www.spiegel.de/politik/deutschland/fluechtlinge-haseloff-will-obergrenze-fuer-bundeslaender-a-1064227.html#ref=rss"
"5","Spiegel","Migration","FDP-Comeback: Im Aufstiegskampf",2015-11-25,11,2015,"http://www.spiegel.de/politik/deutschland/fdp-und-christian-lindner-im-aufstiegskampf-a-1062445.html#ref=rss"
"6","Spiegel","Migration","Flüchtlingsblockade auf der Balkanroute: Die Kettenreaktion",2015-11-26,11,2015,"http://www.spiegel.de/politik/ausland/blockierte-fluechtlinge-auf-der-balkan-route-die-kettenreaktion-a-1064261.html#ref=rss"
"7","Spiegel","Migration","Blockade auf der Balkanroute: Flüchtlinge reißen Grenzzaun zu Mazedonien nieder",2015-11-26,11,2015,"http://www.spiegel.de/politik/ausland/fluechtlinge-reissen-zaun-zwischen-griechenland-und-mazedonien-nieder-a-1064774.html#ref=rss"
"8","Spiegel","Migration","Klimagipfel in Paris: Es geht ums Ganze",2015-11-27,11,2015,"http://www.spiegel.de/wissenschaft/natur/klimakonferenz-in-paris-es-geht-ums-ganze-kommentar-a-1061859.html#ref=rss"
"9","Spiegel","Migration","Versorgung der Flüchtlinge: Die CSU jammert, Bayern hilft",2015-11-28,11,2015,"http://www.spiegel.de/politik/deutschland/bayern-umgang-mit-fluechtlingen-ist-eine-meisterleistung-a-1064279.html#ref=rss"
"10","Spiegel","Migration","AfD-Parteitag: Petry träumt ihre AfD ganz groß",2015-11-28,11,2015,"http://www.spiegel.de/politik/deutschland/afd-frauke-petry-sieht-potential-fuer-20-prozent-a-1065061.html#ref=rss"
