"","outlet","category","title","date","month","year","url"
"1","Welt","Migration","„Das werden Anstrengungen auf Jahre“",2015-09-10,9,2015,"https://www.welt.de/videos/video146235123/Das-werden-Anstrengungen-auf-Jahre.html"
"2","Welt","Migration","Ungarn droht bei illegalen Einreisen mit Gefängnis",2015-09-10,9,2015,"https://www.welt.de/videos/video146235329/Ungarn-droht-bei-illegalen-Einreisen-mit-Gefaengnis.html"
"3","Welt","Migration","Syrischer Flüchtling rät zu sorgfältigen Personenkontrollen",2015-09-10,9,2015,"https://www.welt.de/videos/video146235354/Syrischer-Fluechtling-raet-zu-sorgfaeltigen-Personenkontrollen.html"
"4","Welt","Migration","Wie Salafisten verdeckt Flüchtlinge rekrutieren wollen",2015-09-10,9,2015,"https://www.welt.de/videos/video146235389/Wie-Salafisten-verdeckt-Fluechtlinge-rekrutieren-wollen.html"
"5","Welt","Migration","Regeln des Dublin-Abkommens so gut wie außer Kraft",2015-09-10,9,2015,"https://www.welt.de/videos/video146236262/Regeln-des-Dublin-Abkommens-so-gut-wie-ausser-Kraft.html"
"6","Welt","Migration","Von Flüchtlingen profitieren - geht das wirklich?",2015-09-10,9,2015,"https://www.welt.de/politik/deutschland/article146214712/Von-Fluechtlingen-profitieren-geht-das-wirklich.html"
"7","Welt","Migration","„800.000 Flüchtlinge überfordern Sozialstaat nicht“",2015-09-10,9,2015,"https://www.welt.de/politik/deutschland/article146235978/800-000-Fluechtlinge-ueberfordern-Sozialstaat-nicht.html"
"8","Welt","Migration","Warum ziehen Flüchtlinge nicht in den Plattenbau?",2015-09-10,9,2015,"https://www.welt.de/kultur/kunst-und-architektur/article146220516/Warum-ziehen-Fluechtlinge-nicht-in-den-Plattenbau.html"
"9","Welt","Migration","Beschleunigte Verfahren für Westbalkan-Flüchtlinge",2015-09-10,9,2015,"https://www.welt.de/regionales/nrw/article146239252/Beschleunigte-Verfahren-fuer-Westbalkan-Fluechtlinge.html"
"10","Welt","Migration","Hier könnten Flüchtlinge bald gratis studieren",2015-09-10,9,2015,"https://www.welt.de/wirtschaft/karriere/bildung/article146239389/Hier-koennten-Fluechtlinge-bald-gratis-studieren.html"
"11","Welt","Migration","Merkel will Flüchtlingen im Eiltempo Jobs verschaffen",2015-09-10,9,2015,"https://www.welt.de/politik/ausland/article146241212/Merkel-will-Fluechtlingen-im-Eiltempo-Jobs-verschaffen.html"
"12","Welt","Migration","Merkel fordert schnelle Jobvermittlung für Flüchtlinge",2015-09-10,9,2015,"https://www.welt.de/videos/video146246321/Merkel-fordert-schnelle-Jobvermittlung-fuer-Fluechtlinge.html"
"13","Welt","Migration","Österreich kapituliert vor Flüchtlingsandrang aus Ungarn",2015-09-10,9,2015,"https://www.welt.de/politik/ausland/article146255064/Oesterreich-kapituliert-vor-Fluechtlingsandrang-aus-Ungarn.html"
"14","Welt","Migration","So unterschiedlich geht Europa mit Flüchtlingen um",2015-09-10,9,2015,"https://www.welt.de/videos/video146255718/So-unterschiedlich-geht-Europa-mit-Fluechtlingen-um.html"
"15","Welt","Migration","„Guten Tag, ich gucke mir alles an!“ - Merkel und die Flüchtlinge",2015-09-10,9,2015,"https://www.welt.de/videos/video146255001/Guten-Tag-ich-gucke-mir-alles-an-Merkel-und-die-Fluechtlinge.html"
"16","Welt","Migration","Aus Syrien geflüchtet, um Deutschland zu bereichern",2015-09-10,9,2015,"https://www.welt.de/vermischtes/article145424038/Aus-Syrien-gefluechtet-um-Deutschland-zu-bereichern.html"
"17","Welt","Migration","Länder wollen Asylunterkünfte in Wohngebieten",2015-09-10,9,2015,"https://www.welt.de/politik/deutschland/article146259893/Laender-wollen-Asylunterkuenfte-in-Wohngebieten.html"
"18","Welt","Migration","Ein Iraker fragt nach dem Weg zurück nach Hause",2015-09-10,9,2015,"https://www.welt.de/politik/ausland/article146265388/Ein-Iraker-fragt-nach-dem-Weg-zurueck-nach-Hause.html"
"19","Welt","Migration","Wie Juncker Flüchtlingselend zum Machtausbau nutzt",2015-09-10,9,2015,"https://www.welt.de/debatte/kommentare/article146273259/Wie-Juncker-Fluechtlingselend-zum-Machtausbau-nutzt.html"
"20","Welt","Migration","Staatsanwaltschaft ermittelt gegen Prügel-Reporterin",2015-09-10,9,2015,"https://www.welt.de/politik/ausland/article146277612/Staatsanwaltschaft-ermittelt-gegen-Pruegel-Reporterin.html"
"21","Welt","Migration","„Jetzt hat Deutschland die Welt erobert“",2015-09-10,9,2015,"https://www.welt.de/politik/deutschland/article146281737/Jetzt-hat-Deutschland-die-Welt-erobert.html"
"22","Welt","Migration","Wie die Flucht gen Norden ins deutsch-dänische Chaos führte",2015-09-10,9,2015,"https://www.welt.de/politik/deutschland/article146279964/Wie-die-Flucht-gen-Norden-ins-deutsch-daenische-Chaos-fuehrte.html"
"23","Welt","Migration","Nobelviertel bekommt doch ein Flüchtlingsheim",2015-09-10,9,2015,"https://www.welt.de/politik/deutschland/article146282668/Nobelviertel-bekommt-doch-ein-Fluechtlingsheim.html"
"24","Welt","Migration","Das sind die neuen Syrer in Deutschland",2015-09-10,9,2015,"https://www.welt.de/politik/ausland/article146277482/Das-sind-die-neuen-Syrer-in-Deutschland.html"
"25","Welt","Migration","Traumatisierten Kindern wird nicht genügend geholfen",2015-09-10,9,2015,"https://www.welt.de/videos/video146281792/Traumatisierten-Kindern-wird-nicht-genuegend-geholfen.html"
"26","Welt","Migration","EU-Banker verspricht Milliarden gegen Flüchtlingsnot",2015-09-11,9,2015,"https://www.welt.de/wirtschaft/article146281416/EU-Banker-verspricht-Milliarden-gegen-Fluechtlingsnot.html"
