"","outlet","category","title","date","month","year","url"
"1","ZeitOnline","Migration","Zahl der Asylbewerber deutlich gestiegen",2013-01-15,1,2013,"https://www.zeit.de/politik/deutschland/2013-01/asyl-deutschland-erstantraege"
"2","ZeitOnline","Migration","Mit den Wölfen heulen",2013-01-17,1,2013,"https://www.zeit.de/2013/04/Asylpolitik-Schweiz-Daenemark"
"3","ZeitOnline","Migration","Die kleine Hexenjagd",2013-01-17,1,2013,"https://www.zeit.de/2013/04/Kinderbuch-Sprache-Politisch-Korrekt"
"4","ZeitOnline","Migration","""Wir sind keine Opfer, wir sind Kämpfer!""",2013-01-18,1,2013,"https://www.zeit.de/gesellschaft/zeitgeschehen/2013-01/asyl-protest-berlin"
"5","ZeitOnline","Migration","Zankapfel Doppelpass",2013-02-05,2,2013,"https://www.zeit.de/politik/deutschland/2013-02/doppelte-staatsbuergerschaft-wahlkampf"
"6","ZeitOnline","Migration","""Zuwanderung tut uns gut""",2013-02-07,2,2013,"https://www.zeit.de/2013/07/Schweiz-Zuwanderung-Interview-Leimgruber"
"7","ZeitOnline","Migration","Zeitbombe Windows XP",2013-02-11,2,2013,"https://www.zeit.de/digital/internet/2013-02/windows-xp-sicherheitsrisiko"
"8","ZeitOnline","Migration","Gaucks Europa-Rede im Wortlaut",2013-02-22,2,2013,"https://www.zeit.de/politik/deutschland/2013-02/gauck-rede-wortlaut"
"9","ZeitOnline","Migration","Der Streit um den Doppelpass",2013-03-04,3,2013,"https://www.zeit.de/politik/deutschland/2013-03/staatsbuergerschaft-wahlkampf-spd-cdu"
"10","ZeitOnline","Migration","Der bessere Populist?",2013-03-07,3,2013,"https://www.zeit.de/2013/11/Frank-Stronach-Landtagswahlen-Oesterreich"
"11","ZeitOnline","Migration","Darf die EU Fingerabdrücke fordern?",2013-03-13,3,2013,"https://www.zeit.de/digital/datenschutz/2013-03/fingerabdruck-klage-eugh"
"12","ZeitOnline","Migration","Ihr gehört zu uns!",2013-03-21,3,2013,"https://www.zeit.de/2013/13/Buergerrecht-Schweiz"
"13","ZeitOnline","Migration","China geht shoppen",2013-03-21,3,2013,"https://www.zeit.de/2013/13/China-Real-Estate-Immobilien"
"14","ZeitOnline","Migration","Tabu: Ausländerhass",2013-03-21,3,2013,"https://www.zeit.de/2013/13/Semiya-Simsek-Schmerzliche-Heimat"
"15","ZeitOnline","Migration","Musik-Dateien dürfen nicht weiterverkauft werden",2013-04-02,4,2013,"https://www.zeit.de/digital/internet/2013-04/urteil-gebrauchte-mp3s-weiterverkauf-verboten"
"16","ZeitOnline","Migration","Menschen passen nicht in Schubladen",2013-04-03,4,2013,"https://www.zeit.de/gesellschaft/2013-04/leserartikel-migration-deutsch-tuerke"
"17","ZeitOnline","Migration","Käsekuchen für Prinzessin Margaret",2013-04-04,4,2013,"https://www.zeit.de/2013/15/schweizer-auswanderer-grossbritannien"
"18","ZeitOnline","Migration","Die neuen Flüchtlinge",2013-04-10,4,2013,"https://www.zeit.de/politik/ausland/2013-04/Migration-Umwelt-Klima-Nansen"
"19","ZeitOnline","Migration","Welcome dahoam",2013-04-11,4,2013,"https://www.zeit.de/2013/16/expatriates-zurueckholen-deutschland"
"20","ZeitOnline","Migration","Merkel fordert Respekt für türkische Migranten",2013-04-10,4,2013,"https://www.zeit.de/politik/deutschland/2013-04/merkel-migranten-integration"
"21","ZeitOnline","Migration","Keine Lizenz zum Abkotzen",2013-04-17,4,2013,"https://www.zeit.de/gesellschaft/2013-04/meinungsfreiheit-zensur-journalismus"
"22","ZeitOnline","Migration","Auf nach Afrika!",2013-04-18,4,2013,"https://www.zeit.de/2013/17/portugiesen-arbeit-afrika-angola"
"23","ZeitOnline","Migration","Kennen Sie Matisse?",2013-04-18,4,2013,"https://www.zeit.de/2013/17/marokko-tanger-henri-matisse"
"24","ZeitOnline","Migration","Sie wollen die Alternative für Deutschland sein",2013-04-18,4,2013,"https://www.zeit.de/politik/deutschland/2013-04/afd-mitglieder-portrait"
"25","ZeitOnline","Migration","Es gibt  keine Ghettos!",2013-04-25,4,2013,"https://www.zeit.de/2013/18/essay-segregation-migranten-integration"
"26","ZeitOnline","Migration","Mehrheit der Deutschen sieht Islam als Bedrohung",2013-04-27,4,2013,"https://www.zeit.de/gesellschaft/2013-04/islam-bedrohung-studie"
"27","ZeitOnline","Migration","Mutter Myfest sorgt für Frieden in Berlin",2013-04-30,4,2013,"https://www.zeit.de/gesellschaft/2013-04/mutter-myfest-kreuzberg-traditionsrandale"
"28","ZeitOnline","Migration","Arme, junge, kluge  Einwanderer",2013-05-02,5,2013,"https://www.zeit.de/2013/19/einwanderung-armutsmigranten"
"29","ZeitOnline","Migration","Friedrich will Islamkonferenz regionalisieren",2013-05-07,5,2013,"https://www.zeit.de/gesellschaft/zeitgeschehen/2013-05/islamkonferenz-friedrich-kritik"
"30","ZeitOnline","Migration","Paradies Deutschland?",2013-05-07,5,2013,"https://www.zeit.de/gesellschaft/zeitgeschehen/2013-05/zuwanderung-deutschland-euro-zone"
"31","ZeitOnline","Migration","Wie gut, dass es so viele Zuwanderer gibt",2013-05-08,5,2013,"https://www.zeit.de/politik/deutschland/2013-05/zuwanderung-deutschland-vorteile"
"32","ZeitOnline","Migration","Westerwelle wirbt für EU-Beitrittsverhandlungen mit der Türkei",2013-05-11,5,2013,"https://www.zeit.de/politik/ausland/2013-05/westerwelle-eu-beitritt-tuerkei"
"33","ZeitOnline","Migration","Europa wandert wie noch nie",2013-05-13,5,2013,"https://www.zeit.de/wirtschaft/2013-05/zuwanderung-europaeische-migrationsstroeme"
"34","ZeitOnline","Migration","""Warum trinkt Steinbrück Eierlikör?""",2013-05-16,5,2013,"https://www.zeit.de/2013/21/spd-migranten-einwanderer-kritik"
"35","ZeitOnline","Migration","Gehen wir zu Mustafa!",2013-05-23,5,2013,"https://www.zeit.de/2013/22/hamburg-wilhelmsburg-igs"
"36","ZeitOnline","Migration","Neue Einwanderer sind besser gebildet als Alteingesessene",2013-05-24,5,2013,"https://www.zeit.de/gesellschaft/2013-05/migration-bildung-qualifikation"
"37","ZeitOnline","Migration","Steinbrück holt Florian Pronold in sein Wahlkampfteam",2013-05-25,5,2013,"https://www.zeit.de/politik/deutschland/2013-05/pronold-kompetenzteam-spd"
"38","ZeitOnline","Migration","Soldaten töten Attentäter nach Anschlag auf UN-Gebäude",2013-05-25,5,2013,"https://www.zeit.de/politik/ausland/2013-05/kabul-taliban-gefecht"
"39","ZeitOnline","Migration","500 Euro für ein Leben auf der Straße",2013-05-30,5,2013,"https://www.zeit.de/politik/ausland/2013-05/fluechtlinge-asyl-italien-notlage"
"40","ZeitOnline","Migration","Grenzen der Barmherzigkeit",2013-06-06,6,2013,"https://www.zeit.de/2013/24/asyl-gesetze-abschiebung"
