"","outlet","category","title","date","month","year","url"
"1","bild.de","Rassismus","Mo Asumang - Mein Treffen mit dem Ku-Klux-Klan",2014-04-23,4,2014,"http://www.bild.de/unterhaltung/leute/rassismus/mo-asumang-recherchierte-in-der-szene-35663134.bild.html"
"2","bild.de","Rassismus","*** BILDplus Inhalt *** Marie-Helene Boyd - BILD trifft das ’Tatort’- Flüchtlings-Mädchen",2015-07-05,7,2015,"http://www.bild.de/bild-plus/unterhaltung/tv/tatort/tv-premiere-fuer-marie-helene-boyd-41651176.bild.html"
"3","bild.de","Rassismus","Ukraine-Krise - Pro-Russen verlangen Rücktritt der Regierung",2014-04-18,4,2014,"http://www.bild.de/politik/ausland/ukraine/pro-russische-maskenmaenner-fordern-ruecktritt-der-regierung-35615352.bild.html"
"4","bild.de","Rassismus","Rassismus-Skandal - Nordkoreaner beschimpfen Obama als ’Affen’",2014-05-09,5,2014,"http://www.bild.de/politik/ausland/barack-obama/nordkorea-beleidigt-obama-35888860.bild.html"
"5","bild.de","Rassismus","Nach Chelsea-Schande - Rassismus-Opfer fordert Bestrafung der Täter",2015-02-19,2,2015,"http://www.bild.de/sport/fussball/fc-chelsea/jetzt-spricht-das-pariser-rassismus-opfer-39833360.bild.html"
"6","bild.de","Rassismus","BILDlive@night - Die News der Nacht",2014-04-26,4,2014,"http://www.bild.de/bildlive/bild-aus-l-a/los-angeles/bild-live-aus-la-mobil-35715544.bild.html"
"7","bild.de","Rassismus","Fremdenfeindlich? - Amazon stuft ’Tom & Jerry’ als rassistisch ein",2014-10-04,10,2014,"http://www.bild.de/unterhaltung/tv/amazon/stuft-tom-and-jerry-als-rassistisch-ein-38007526.bild.html"
"8","bild.de","Rassismus","Unruhen in Ferguson - Polizist: Habe meinen Job richtig gemacht!",2014-11-26,11,2014,"http://www.bild.de/news/ausland/polizist/ferguson-polizist-wilson-im-interview-hab-meinen-job-richtig-gemacht-38722792.bild.html"
"9","bild.de","Rassismus","Verbot in Dresden - Bundesweit Tausende bei Anti-Pegida-Demos",2015-01-19,1,2015,"http://www.bild.de/politik/inland/pegida/demo-in-dresden-verboten-im-ganzen-land-tausende-auf-der-strasse-39410084.bild.html"
"10","bild.de","Rassismus","Polizisten angeschossen - Dieser Mann (20) soll der Ferguson-Schütze sein!",2015-03-15,3,2015,"http://www.bild.de/news/ausland/ferguson/schuesse-bei-demonstration-polizisten-verletzt-mutmasslicher-schuetze-festnahme-40170034.bild.html"
"11","bild.de","Rassismus","Ertugrul Özkök - Worüber Erdogan und der Papst sich streiten",2015-04-14,4,2015,"http://www.bild.de/politik/kolumnen/oezkoek-ertugrul/worueber-erdogan-und-der-papst-sich-streiten-40547124.bild.html"
"12","bild.de","Rassismus","Balkan-Länder - Asylbewerbern droht Wiedereinreise-Sperre",2015-08-08,8,2015,"http://www.bild.de/politik/inland/balkan/asylbewerber-und-die-flucht-gruende-42110660.bild.html"
"13","bild.de","Rassismus","Massaker in den USA - Kirchen-Killer träumte von Herrschaft der Weißen",2015-06-19,6,2015,"http://www.bild.de/news/ausland/massaker/plante-die-tat-seit-sechs-monaten-41421236.bild.html"
"14","bild.de","Rassismus","Nach AIDS-Tweet  -    PR-Frau entschuldigt  sich: ’Ich schäme mich’",2013-12-23,12,2013,"http://www.bild.de/news/ausland/twitter/justine-sacco-entschuldigt-sich-33969604.bild.html"
"15","bild.de","Rassismus","Heinz Buschkowsky - So kommt der Judenhass an unsere Schulen",2015-05-19,5,2015,"http://www.bild.de/politik/inland/antisemitismus/so-kommt-der-judenhass-an-unsere-schulen-41017172.bild.html"
"16","bild.de","Rassismus","Rassismus-Ausrutscher? - Skandal um deutschen Papst-Vertrauten",2014-10-17,10,2014,"http://www.bild.de/politik/ausland/vatikan/ex-kardinal-walter-kasper-skandal-interivew-im-vatikan-38195656.bild.html"
"17","bild.de","Rassismus","Zur nächsten Demo - Kölner Dom knipst Pegida das Licht aus",2014-12-30,12,2014,"http://www.bild.de/politik/inland/pegida/koelner-dom-knipste-demonstranten-licht-aus-39147720.bild.html"
"18","bild.de","Rassismus","Bundespräsident Gauck - ’Wir lassen uns durch Hass nicht spalten’",2015-01-09,1,2015,"http://www.bild.de/politik/inland/charlie-hebdo/buendnis-gegen-terror-39259286.bild.html"
"19","bild.de","Rassismus","*** BILDplus Inhalt *** Nie wieder Südafrika! - Carpendale rechnet mit seiner Heimat ab",2015-04-14,4,2015,"http://www.bild.de/bild-plus/regional/frankfurt/howard-carpendale/nie-wieder-suedafrika-40541666.bild.html"
"20","bild.de","Rassismus","Nach Pegida-Protesten - Israels Botschafter warnt vor Antisemitismus",2014-12-26,12,2014,"http://www.bild.de/politik/inland/antisemitismus/israels-botschafter-warnt-vor-fremdenhass-39106410.bild.html"
"21","bild.de","Rassismus","Riesenehre - BOATENG »Ich möchte DFB-Kapitän werden",2014-12-03,12,2014,"http://www.bild.de/sport/fussball/jerome-boateng/will-erster-farbiger-nationalmannschaftskapitaen-werden-38818076.bild.html"
"22","bild.de","Rassismus","Rassismus-Skandal in Mexiko - Politiker beleidigt Ronaldinho als Affen",2014-09-15,9,2014,"http://www.bild.de/sport/fussball/ronaldinho/politiker-beleidigt-fussball-star-als-affen-37673164.bild.html"
"23","bild.de","Rassismus","*** BILDplus Inhalt *** Freispruch! - Über diese Urteile wundert sich die Welt",2015-08-07,8,2015,"http://www.bild.de/bild-plus/news/ausland/freispruch/urteile-ueber-die-sich-die-welt-wundert-42088922.bild.html"
"24","bild.de","Rassismus","Nach dm-Boykottaufruf - Kurden-Chef warnt vor ’Türken-Pegida’",2015-10-13,10,2015,"http://www.bild.de/politik/inland/kurden/warnung-vor-tuerken-pegida-43005202.bild.html"
"25","bild.de","Rassismus","JosÃ© Mourinho - »Wir schämen uns für die U-Bahn-Rassisten",2015-02-21,2,2015,"http://www.bild.de/sport/fussball/jose-mourinho/schaemt-sich-fuer-u-bahn-rassisten-39862662.bild.html"
"26","bild.de","Rassismus","Ex-Microsoft-Boss kauft NBA-Team - Größter Basketball- Deal aller Zeiten",2014-05-30,5,2014,"http://www.bild.de/geld/wirtschaft/ballmer-steve/ex-microsoft-chef-kauft-la-clippers-fuer-2-milliarden-36190972.bild.html"
"27","bild.de","Rassismus","Mitschüler erstochen - Hier wird der Killer- Schüler abgeführt",2015-04-14,4,2015,"http://www.bild.de/news/inland/straftaten/hier-wird-der-killer-schueler-abgefuehrt-40546634.bild.html"
"28","bild.de","Rassismus","Nach Brandanschlägen - Schwedische Moschee mit ’Liebe bombardiert’",2015-01-04,1,2015,"http://www.bild.de/politik/ausland/islamfeindlichkeit/schweden-mit-liebe-gegen-islamfeindlichkeit-39192272.bild.html"
"29","bild.de","Rassismus","*** BILDplus Inhalt *** Das Beste aus dem Buch - Die Beichte von Goldräuber Xatar",2015-10-07,10,2015,"http://www.bild.de/bild-plus/news/inland/xatar/die-beichte-des-goldraeubers-42931194.bild.html"
"30","bild.de","Rassismus","Texas - Schwarze stirbt in Polizeigewahrsam",2015-07-21,7,2015,"http://www.bild.de/news/ausland/texas/schwarze-stirbt-in-knast-sie-sass-weil-sie-nicht-geblinkt-hatte-41886834.bild.html"
"31","bild.de","Rassismus","Ayaan Hirsi Ali - ’Der Islam ist keine Religion des Friedens’",2015-04-22,4,2015,"http://www.bild.de/politik/ausland/islam/interview-mit-ayaan-hirsi-ali-40636876.bild.html"
"32","bild.de","Rassismus","Rachel DoleÅ¾al - Jetzt spricht ihr schwarzer Bruder",2015-06-21,6,2015,"http://www.bild.de/news/ausland/luegen/rachel-dolezal-sorgt-immer-noch-fuer-streit-41441326.bild.html"
"33","bild.de","Rassismus","Rassismus-Vorwurf - Marine Le Pen muss vor Gericht!",2015-09-22,9,2015,"http://www.bild.de/politik/ausland/nationale-front-frankreich/parteichefin-muss-vor-gericht-42678196.bild.html"
"34","bild.de","Rassismus","Im Internet - Alves-Banane löst Boom aus",2014-04-29,4,2014,"http://www.bild.de/sport/fussball/fc-barcelona/alves-banane-loest-boom-im-internet-aus-35755132.bild.html"
