"","outlet","category","title","date","month","year","url"
"1","FAZ","Rassismus","RTL schneidet den Wendler aus der DSDS-Show",2021-01-06,1,2021,"https://fazarchiv.faz.net/faz-portal/faz-archiv?q=Rassismus&source=&max=30&sort=&offset=3630&_ts=1685368185713&DT_from=01.01.2021&DT_to=30.04.2023&timeFilterType=0#"
"2","FAZ","Rassismus",",Tu nichts Böses' gilt kaum noch",2021-01-06,1,2021,"https://fazarchiv.faz.net/faz-portal/faz-archiv?q=Rassismus&source=&max=30&sort=&offset=3630&_ts=1685368185713&DT_from=01.01.2021&DT_to=30.04.2023&timeFilterType=0#"
"3","FAZ","Rassismus","Schüsse auf Afroamerikaner Jacob Blake ohne Folgen für Beamte",2021-01-05,1,2021,"https://fazarchiv.faz.net/faz-portal/faz-archiv?q=Rassismus&source=&max=30&sort=&offset=3630&_ts=1685368185713&DT_from=01.01.2021&DT_to=30.04.2023&timeFilterType=0#"
"4","FAZ","Rassismus",",Tu nichts Böses' gilt kaum noch",2021-01-05,1,2021,"https://fazarchiv.faz.net/faz-portal/faz-archiv?q=Rassismus&source=&max=30&sort=&offset=3630&_ts=1685368185713&DT_from=01.01.2021&DT_to=30.04.2023&timeFilterType=0#"
"5","FAZ","Rassismus",",Tu nichts Böses' gilt kaum noch",2021-01-05,1,2021,"https://fazarchiv.faz.net/faz-portal/faz-archiv?q=Rassismus&source=&max=30&sort=&offset=3630&_ts=1685368185713&DT_from=01.01.2021&DT_to=30.04.2023&timeFilterType=0#"
"6","FAZ","Rassismus","Was wir uns für die Hochschulen im neuen Jahr wünschen",2021-01-05,1,2021,"https://fazarchiv.faz.net/faz-portal/faz-archiv?q=Rassismus&source=&max=30&sort=&offset=3630&_ts=1685368185713&DT_from=01.01.2021&DT_to=30.04.2023&timeFilterType=0#"
"7","FAZ","Rassismus","Aller guten Dinge sind sieben",2021-01-05,1,2021,"https://fazarchiv.faz.net/faz-portal/faz-archiv?q=Rassismus&source=&max=30&sort=&offset=3630&_ts=1685368185713&DT_from=01.01.2021&DT_to=30.04.2023&timeFilterType=0#"
"8","FAZ","Rassismus","Was wir uns für die Hochschulen im neuen Jahr wünschen",2021-01-05,1,2021,"https://fazarchiv.faz.net/faz-portal/faz-archiv?q=Rassismus&source=&max=30&sort=&offset=3630&_ts=1685368185713&DT_from=01.01.2021&DT_to=30.04.2023&timeFilterType=0#"
"9","FAZ","Rassismus","Ausgezeichnet integriert",2021-01-02,1,2021,"https://fazarchiv.faz.net/faz-portal/faz-archiv?q=Rassismus&source=&max=30&sort=&offset=3630&_ts=1685368185713&DT_from=01.01.2021&DT_to=30.04.2023&timeFilterType=0#"
"10","FAZ","Rassismus","Macht den Mund auf!",2021-01-02,1,2021,"https://fazarchiv.faz.net/faz-portal/faz-archiv?q=Rassismus&source=&max=30&sort=&offset=3630&_ts=1685368185713&DT_from=01.01.2021&DT_to=30.04.2023&timeFilterType=0#"
"11","FAZ","Rassismus","Money Matters",2021-01-02,1,2021,"https://fazarchiv.faz.net/faz-portal/faz-archiv?q=Rassismus&source=&max=30&sort=&offset=3630&_ts=1685368185713&DT_from=01.01.2021&DT_to=30.04.2023&timeFilterType=0#"
"12","FAZ","Rassismus","Es ist frustrierend und ätzend",2021-01-01,1,2021,"https://fazarchiv.faz.net/faz-portal/faz-archiv?q=Rassismus&source=&max=30&sort=&offset=3630&_ts=1685368185713&DT_from=01.01.2021&DT_to=30.04.2023&timeFilterType=0#"
"13","FAZ","Rassismus","Ausgezeichnet integriert",2021-01-01,1,2021,"https://fazarchiv.faz.net/faz-portal/faz-archiv?q=Rassismus&source=&max=30&sort=&offset=3630&_ts=1685368185713&DT_from=01.01.2021&DT_to=30.04.2023&timeFilterType=0#"
"14","FAZ","Rassismus","Sir Lewis von Monaco",2021-01-01,1,2021,"https://fazarchiv.faz.net/faz-portal/faz-archiv?q=Rassismus&source=&max=30&sort=&offset=3630&_ts=1685368185713&DT_from=01.01.2021&DT_to=30.04.2023&timeFilterType=0#"
"15","FAZ","Rassismus","Nico Semsrott verlässt Die Partei",2021-01-13,1,2021,"https://fazarchiv.faz.net/faz-portal/faz-archiv?q=Rassismus&source=&max=30&sort=&offset=3600&_ts=1685368185713&DT_from=01.01.2021&DT_to=30.04.2023&timeFilterType=0#"
"16","FAZ","Rassismus","Caritas beklagt soziale Kluft durch Corona",2021-01-13,1,2021,"https://fazarchiv.faz.net/faz-portal/faz-archiv?q=Rassismus&source=&max=30&sort=&offset=3600&_ts=1685368185713&DT_from=01.01.2021&DT_to=30.04.2023&timeFilterType=0#"
"17","FAZ","Rassismus","Islamismus im Internet",2021-01-12,1,2021,"https://fazarchiv.faz.net/faz-portal/faz-archiv?q=Rassismus&source=&max=30&sort=&offset=3600&_ts=1685368185713&DT_from=01.01.2021&DT_to=30.04.2023&timeFilterType=0#"
"18","FAZ","Rassismus","Harris ist unzufrieden",2021-01-12,1,2021,"https://fazarchiv.faz.net/faz-portal/faz-archiv?q=Rassismus&source=&max=30&sort=&offset=3600&_ts=1685368185713&DT_from=01.01.2021&DT_to=30.04.2023&timeFilterType=0#"
"19","FAZ","Rassismus","Islamisten im Internet",2021-01-12,1,2021,"https://fazarchiv.faz.net/faz-portal/faz-archiv?q=Rassismus&source=&max=30&sort=&offset=3600&_ts=1685368185713&DT_from=01.01.2021&DT_to=30.04.2023&timeFilterType=0#"
"20","FAZ","Rassismus","Caritas beklagt soziale Kluft durch Corona",2021-01-12,1,2021,"https://fazarchiv.faz.net/faz-portal/faz-archiv?q=Rassismus&source=&max=30&sort=&offset=3600&_ts=1685368185713&DT_from=01.01.2021&DT_to=30.04.2023&timeFilterType=0#"
"21","FAZ","Rassismus","Das ist nur die Spitze des Eisbergs",2021-01-12,1,2021,"https://fazarchiv.faz.net/faz-portal/faz-archiv?q=Rassismus&source=&max=30&sort=&offset=3600&_ts=1685368185713&DT_from=01.01.2021&DT_to=30.04.2023&timeFilterType=0#"
"22","FAZ","Rassismus","Das ist nur die Spitze des Eisbergs",2021-01-12,1,2021,"https://fazarchiv.faz.net/faz-portal/faz-archiv?q=Rassismus&source=&max=30&sort=&offset=3600&_ts=1685368185713&DT_from=01.01.2021&DT_to=30.04.2023&timeFilterType=0#"
"23","FAZ","Rassismus","Kamala Harris soll unzufrieden mit Vogue-Cover sein",2021-01-11,1,2021,"https://fazarchiv.faz.net/faz-portal/faz-archiv?q=Rassismus&source=&max=30&sort=&offset=3600&_ts=1685368185713&DT_from=01.01.2021&DT_to=30.04.2023&timeFilterType=0#"
"24","FAZ","Rassismus","ANDERE STÄDTE - GLEICHE NÖTE",2021-01-11,1,2021,"https://fazarchiv.faz.net/faz-portal/faz-archiv?q=Rassismus&source=&max=30&sort=&offset=3600&_ts=1685368185713&DT_from=01.01.2021&DT_to=30.04.2023&timeFilterType=0#"
"25","FAZ","Rassismus","Den Scholzomaten auf Angriff programmiert",2021-01-11,1,2021,"https://fazarchiv.faz.net/faz-portal/faz-archiv?q=Rassismus&source=&max=30&sort=&offset=3600&_ts=1685368185713&DT_from=01.01.2021&DT_to=30.04.2023&timeFilterType=0#"
"26","FAZ","Rassismus","Sänger Michael Wendler jetzt digital verpixelt und stumm",2021-01-10,1,2021,"https://fazarchiv.faz.net/faz-portal/faz-archiv?q=Rassismus&source=&max=30&sort=&offset=3600&_ts=1685368185713&DT_from=01.01.2021&DT_to=30.04.2023&timeFilterType=0#"
"27","FAZ","Rassismus","Die fast perfekte Janet Yellen",2021-01-10,1,2021,"https://fazarchiv.faz.net/faz-portal/faz-archiv?q=Rassismus&source=&max=30&sort=&offset=3600&_ts=1685368185713&DT_from=01.01.2021&DT_to=30.04.2023&timeFilterType=0#"
"28","FAZ","Rassismus","Fast perfekt",2021-01-10,1,2021,"https://fazarchiv.faz.net/faz-portal/faz-archiv?q=Rassismus&source=&max=30&sort=&offset=3600&_ts=1685368185713&DT_from=01.01.2021&DT_to=30.04.2023&timeFilterType=0#"
"29","FAZ","Rassismus","Nicht auf dem Lehrplan",2021-01-10,1,2021,"https://fazarchiv.faz.net/faz-portal/faz-archiv?q=Rassismus&source=&max=30&sort=&offset=3600&_ts=1685368185713&DT_from=01.01.2021&DT_to=30.04.2023&timeFilterType=0#"
"30","FAZ","Rassismus","Die Union in die Opposition schicken",2021-01-10,1,2021,"https://fazarchiv.faz.net/faz-portal/faz-archiv?q=Rassismus&source=&max=30&sort=&offset=3600&_ts=1685368185713&DT_from=01.01.2021&DT_to=30.04.2023&timeFilterType=0#"
"31","FAZ","Rassismus","Thomas Hitzlsperger - mutig oder übermütig?",2021-01-09,1,2021,"https://fazarchiv.faz.net/faz-portal/faz-archiv?q=Rassismus&source=&max=30&sort=&offset=3600&_ts=1685368185713&DT_from=01.01.2021&DT_to=30.04.2023&timeFilterType=0#"
"32","FAZ","Rassismus","Die letzten Tage als Oberbefehlshaber",2021-01-09,1,2021,"https://fazarchiv.faz.net/faz-portal/faz-archiv?q=Rassismus&source=&max=30&sort=&offset=3600&_ts=1685368185713&DT_from=01.01.2021&DT_to=30.04.2023&timeFilterType=0#"
"33","FAZ","Rassismus","Dieser Comic gehört auf den Lehrplan",2021-01-09,1,2021,"https://fazarchiv.faz.net/faz-portal/faz-archiv?q=Rassismus&source=&max=30&sort=&offset=3600&_ts=1685368185713&DT_from=01.01.2021&DT_to=30.04.2023&timeFilterType=0#"
"34","FAZ","Rassismus","Mamma Tirol",2021-01-08,1,2021,"https://fazarchiv.faz.net/faz-portal/faz-archiv?q=Rassismus&source=&max=30&sort=&offset=3600&_ts=1685368185713&DT_from=01.01.2021&DT_to=30.04.2023&timeFilterType=0#"
"35","FAZ","Rassismus","Einheit um jeden Preis",2021-01-08,1,2021,"https://fazarchiv.faz.net/faz-portal/faz-archiv?q=Rassismus&source=&max=30&sort=&offset=3600&_ts=1685368185713&DT_from=01.01.2021&DT_to=30.04.2023&timeFilterType=0#"
