"","outlet","category","title","date","month","year","url"
"1","Handelsblatt","Rassismus","Haribo nimmt Lakritz-Mix aus dem Handel",2014-01-18,1,2014,"https://www.handelsblatt.com/unternehmen/handel-konsumgueter/rassismus-vorwuerfe-haribo-nimmt-lakritz-mix-aus-dem-handel/9351822.html"
"2","Handelsblatt","Rassismus","How I Met Your Racism",2014-01-15,1,2014,"https://www.handelsblatt.com/arts_und_style/aus-aller-welt/rassismus-bei-how-i-met-your-mother-how-i-met-your-racism/9334694.html"
"3","Handelsblatt","Rassismus","„Der ist nichts, ist ein Neger“",2013-11-27,11,2013,"https://www.handelsblatt.com/arts_und_style/aus-aller-welt/diskriminierung-bei-bewerbung-der-ist-nichts-ist-ein-neger/9138118.html"
"4","Handelsblatt","Rassismus","Angola verbietet Islam",2013-11-26,11,2013,"https://www.handelsblatt.com/politik/international/islamische-welt-empoert-angola-verbietet-islam/9131902.html"
"5","Handelsblatt","Rassismus","Manifest fordert „Hände weg von meiner Nutte“",2013-10-31,10,2013,"https://www.handelsblatt.com/politik/international/prostitution-in-frankreich-manifest-fordert-haende-weg-von-meiner-nutte/9015610.html"
"6","Handelsblatt","Rassismus","Die Generation von morgen",2013-07-23,7,2013,"https://www.handelsblatt.com/politik/international/jugendliche-aus-aller-welt-berichten-die-generation-von-morgen/8536808.html"
"7","Handelsblatt","Rassismus","Wie Pizza und Döner unser Land bereichern",2013-02-17,2,2013,"https://www.handelsblatt.com/arts_und_style/aus-aller-welt/fremdes-essen-wie-pizza-und-doener-unser-land-bereichern/7722922.html"
"8","Handelsblatt","Rassismus","„Die rechtsextreme Prominenz ist kein Geheimnis“",2015-01-31,1,2015,"https://www.handelsblatt.com/politik/international/wiener-akademikerball-die-rechtsextreme-prominenz-ist-kein-geheimnis/11306206.html"
"9","Handelsblatt","Rassismus","Türkei erbost über angeblichen Schulbuch-Rassismus",2014-11-04,11,2014,"https://www.handelsblatt.com/politik/deutschland/erdogan-karikatur-tuerkei-erbost-ueber-angeblichen-schulbuch-rassismus/10932564.html"
"10","Handelsblatt","Rassismus","Australien – der Folterstaat",2014-10-17,10,2014,"https://www.handelsblatt.com/politik/international/fluechtlinge-australien-der-folterstaat/10849852.html"
"11","Handelsblatt","Rassismus","AfD verlost „taz“-Abonnements",2014-05-22,5,2014,"https://www.handelsblatt.com/politik/deutschland/nach-aerger-um-wahlwerbung-afd-verlost-taz-abonnements/9936344.html"
"12","Handelsblatt","Rassismus","Der ewige Präsident",2014-05-08,5,2014,"https://www.handelsblatt.com/politik/international/anc-liegt-vorne-der-ewige-praesident/9851320.html"
"13","Handelsblatt","Rassismus","Rubin „Hurricane“ Carter verlor seinen letzten Kampf",2014-04-21,4,2014,"https://www.handelsblatt.com/arts_und_style/aus-aller-welt/nachruf-rubin-hurricane-carter-verlor-seinen-letzten-kampf/9784826.html"
"14","Handelsblatt","Rassismus","AfD erringt nach Eklat juristischen Sieg gegen N24",2014-04-01,4,2014,"https://www.handelsblatt.com/politik/deutschland/studio-friedman-afd-erringt-nach-eklat-juristischen-sieg-gegen-n24/9697278.html"
"15","Handelsblatt","Rassismus","Die wichtigsten Fragen zur Krim-Krise",2014-03-14,3,2014,"https://www.handelsblatt.com/politik/international/wenn-sie-es-genau-wissen-wollen-die-wichtigsten-fragen-zur-krim-krise/9618688.html"
"16","Handelsblatt","Rassismus","„Merkel gab ukrainischen Neofaschisten ihren Segen“",2014-03-12,3,2014,"https://www.handelsblatt.com/politik/deutschland/sahra-wagenknecht-merkel-gab-ukrainischen-neofaschisten-ihren-segen/9606952.html"
"17","Handelsblatt","Rassismus","Besorgnis über Antisemitismus in der Ukraine",2014-03-12,3,2014,"https://www.handelsblatt.com/politik/international/zentralrat-der-juden-besorgnis-ueber-antisemitismus-in-der-ukraine/9603864.html"
"18","Handelsblatt","Rassismus","„Sind sie zu bunt, bist du zu braun“",2015-08-27,8,2015,"https://www.handelsblatt.com/unternehmen/handel-konsumgueter/fishermans-friend-sind-sie-zu-bunt-bist-du-zu-braun/12244134.html"
"19","Handelsblatt","Rassismus","So läuft es in den anderen Ländern",2015-08-07,8,2015,"https://www.handelsblatt.com/politik/international/fluechtlinge-in-europa-so-laeuft-es-in-den-anderen-laendern/12159548.html"
"20","Handelsblatt","Rassismus","„Brauchen keine ewig Gestrigen mit dumpfen Parolen“",2015-08-04,8,2015,"https://www.handelsblatt.com/politik/deutschland/promis-gegen-rechts-brauchen-keine-ewig-gestrigen-mit-dumpfen-parolen/12143116.html"
"21","Handelsblatt","Rassismus","Der Henkeltrick",2015-06-30,6,2015,"https://www.handelsblatt.com/politik/deutschland/ein-jahr-afd-im-eu-parlament-der-henkeltrick/11990068.html"
"22","Handelsblatt","Rassismus","Deutsche Händler gehen von der Fahne",2015-06-24,6,2015,"https://www.handelsblatt.com/unternehmen/handel-konsumgueter/flagge-der-us-konfoederierten-deutsche-haendler-gehen-von-der-fahne/11961324.html"
"23","Handelsblatt","Rassismus","Das N-Wort, der Bürgerkrieg und ein Stück Stoff",2015-06-23,6,2015,"https://www.handelsblatt.com/politik/international/nach-charleston-massaker-das-n-wort-der-buergerkrieg-und-ein-stueck-stoff/11958558.html"
"24","Handelsblatt","Rassismus","Tod einer Kölschen Legende",2015-05-31,5,2015,"https://www.handelsblatt.com/unternehmen/it-medien/alfred-neven-dumont-gestorben-tod-einer-koelschen-legende/11848920.html"
"25","Handelsblatt","Rassismus","Kap der Angst",2015-04-18,4,2015,"https://www.handelsblatt.com/politik/international/suedafrika-kap-der-angst/11652478.html"
"26","Handelsblatt","Rassismus","Kann ein Logo rassistisch sein?",2015-03-31,3,2015,"https://www.handelsblatt.com/unternehmen/industrie/firma-neger-in-mainz-kann-ein-logo-rassistisch-sein/11579180.html"
"27","Handelsblatt","Rassismus","„Ich will meinen Kaffee, keine Debatte“",2015-03-19,3,2015,"https://www.handelsblatt.com/unternehmen/handel-konsumgueter/starbucks-werbekampagne-ich-will-meinen-kaffee-keine-debatte/11526962.html"
"28","Handelsblatt","Rassismus","„Frauen sollten zum Boykott der Marken aufrufen“",2016-04-02,4,2016,"https://www.handelsblatt.com/unternehmen/handel-konsumgueter/islamische-mode-im-westen-frauen-sollten-zum-boykott-der-marken-aufrufen/13394322.html"
"29","Handelsblatt","Rassismus","Parteien warnen vor „Staatspropagandasender“ à la AfD",2016-03-18,3,2016,"https://www.handelsblatt.com/politik/deutschland/ard-und-zdf-im-visier-der-afd-parteien-warnen-vor-staatspropagandasender-a-la-afd/13340080.html"
"30","Handelsblatt","Rassismus","Eko Fresh rappt gegen die AfD",2016-03-17,3,2016,"https://www.handelsblatt.com/politik/deutschland/nach-den-landtagswahl-eko-fresh-rappt-gegen-die-afd/13335456.html"
