"","outlet","category","title","date","month","year","url"
"1","SZ","Rassismus","UCI führt deutlich weniger Kontrollen durch",2013-02-02,2,2013,"https://www.sueddeutsche.de/sport/doping-im-radsport-uci-fuehrt-deutlich-weniger-kontrollen-durch-1.1589789"
"2","SZ","Rassismus","Zwischen Menschenwürde und Petitesse",2013-02-01,2,2013,"https://www.sueddeutsche.de/medien/sexismus-debatte-bei-maybrit-illner-zwischen-menschenwuerde-und-petitesse-1.1588438"
"3","SZ","Rassismus","Düsteres Spiel",2013-01-31,1,2013,"https://www.sueddeutsche.de/kultur/play-im-kino-duesteres-spiel-1.1587641"
"4","SZ","Rassismus","Von Breslau nach Burdapest",2013-01-30,1,2013,"https://www.sueddeutsche.de/muenchen/starnberg/gauting-von-breslau-nach-burdapest-1.1587678"
"5","SZ","Rassismus","Empörung über Denis Scheck im Netz",2013-01-30,1,2013,"https://www.sueddeutsche.de/medien/schwarz-geschminkter-literaturkritiker-empoerung-ueber-denis-scheck-im-netz-1.1587499"
"6","SZ","Rassismus","Auf der Suche nach dem inneren Jamaika",2013-01-30,1,2013,"https://www.sueddeutsche.de/wirtschaft/rassismus-vorwurf-gegen-volkswagen-auf-der-suche-nach-dem-inneren-jamaika-1.1587033"
"7","SZ","Rassismus","Israel verbietet Zwangsverhütung",2013-01-29,1,2013,"https://www.sueddeutsche.de/politik/kontroverse-um-aethiopische-juden-israel-verbietet-zwangsverhuetung-1.1585924"
"8","SZ","Rassismus","Pionier der Konfliktforschung tritt ab",2013-01-28,1,2013,"https://www.sueddeutsche.de/wissen/wilhelm-heitmeyer-pionier-der-konfliktforschung-tritt-ab-1.1584950"
"9","SZ","Rassismus","Blatter fordert Zwangsabstieg für Vereine",2013-01-24,1,2013,"https://www.sueddeutsche.de/sport/real-madrid-reicht-ein-unentschieden-oezil-und-khedira-erreichen-pokal-halbfinale-1.1582246"
"10","SZ","Rassismus","Spanien fordert deutsche Handballer",2013-01-21,1,2013,"https://www.sueddeutsche.de/sport/handball-wm-spanien-fordert-deutsche-handballer-1.1579539"
"11","SZ","Rassismus","Marussia trennt sich von Timo Glock",2013-01-21,1,2013,"https://www.sueddeutsche.de/sport/motorsport-marussia-trennt-sich-von-timo-glock-1.1578524"
"12","SZ","Rassismus","Wenn der Rassismus lebt",2013-01-20,1,2013,"https://www.sueddeutsche.de/politik/zweite-amtszeit-fuer-obama-wenn-der-rassismus-lebt-1.1577602"
"13","SZ","Rassismus","Wichtige Siege für Real und Inter",2013-01-16,1,2013,"https://www.sueddeutsche.de/sport/fussball-in-europa-wichtige-siege-fuer-real-und-inter-1.1574195"
"14","SZ","Rassismus","Höfl-Riesch fädelt ein, Shiffrin siegt",2013-01-15,1,2013,"https://www.sueddeutsche.de/sport/frauen-slalom-in-flachau-hoefl-riesch-faedelt-ein-shiffrin-siegt-1.1574154"
"15","SZ","Rassismus","Spanische Handballer werfen 51 Tore",2013-01-15,1,2013,"https://www.sueddeutsche.de/sport/handball-wm-spanische-handballer-werfen-51-tore-1.1574148"
"16","SZ","Rassismus","Gerüchte um Manipulation in der Primera Division",2013-01-15,1,2013,"https://www.sueddeutsche.de/sport/fussball-in-spanien-geruechte-um-manipulation-in-der-primera-division-1.1573862"
"17","SZ","Rassismus","Zwölfjähriger Sohn wegen Mordes verurteilt",2013-01-15,1,2013,"https://www.sueddeutsche.de/panorama/tod-von-us-neonazi-zwoelfjaehriger-sohn-wegen-mordes-verurteilt-1.1573182"
"18","SZ","Rassismus","Ultras kapitulieren vor rechten Schlägern",2013-01-14,1,2013,"https://www.sueddeutsche.de/sport/alemannia-aachen-ultras-kapitulieren-vor-rechten-schlaegern-1.1572718"
"19","SZ","Rassismus","Der Entdecker Europas",2013-01-13,1,2013,"https://www.sueddeutsche.de/wissen/geschichte-der-entdecker-europas-1.1571196"
"20","SZ","Rassismus","Miroslav Klose lobt Kevin-Prince Boateng",2013-01-12,1,2013,"https://www.sueddeutsche.de/sport/rassismus-debatte-in-italien-miroslav-klose-lobt-kevin-prince-boateng-1.1571401"
"21","SZ","Rassismus","Der Rassismus des 21. Jahrhunderts",2013-01-12,1,2013,"https://www.sueddeutsche.de/politik/verfolgung-von-minderheiten-der-rassismus-des-21-jahrhunderts-1.1567927"
"22","SZ","Rassismus","Warum Tarantino Sklaverei und Holocaust vergleicht",2013-01-10,1,2013,"https://www.sueddeutsche.de/kultur/rassismus-debatte-um-django-unchained-warum-tarantino-sklaverei-und-holocaust-vergleicht-1.1569235"
"23","SZ","Rassismus","Sklavenhaltung fürs Regal",2013-01-09,1,2013,"https://www.sueddeutsche.de/panorama/rassismus-debatte-um-tarantinos-django-unchained-sklavenhaltung-fuers-regal-1.1568672"
"24","SZ","Rassismus","Fans zu fünf Jahren Stadionverbot verurteilt",2013-01-08,1,2013,"https://www.sueddeutsche.de/sport/rassismus-im-fussball-fans-zu-fuenf-jahre-stadionverbot-verurteilt-1.1567390"
"25","SZ","Rassismus","Bamberg dominiert das Franken-Derby",2013-01-07,1,2013,"https://www.sueddeutsche.de/sport/basketball-bundesliga-bamberg-dominiert-das-franken-derby-1.1567376"
"26","SZ","Rassismus","Uefa eröffnet Verfahren gegen Lazio und Tottenham",2013-01-07,1,2013,"https://www.sueddeutsche.de/sport/rassismus-im-fussball-uefa-eroeffnet-verfahren-gegen-lazio-und-tottenham-1.1567297"
"27","SZ","Rassismus","Blatter kritisiert Boateng",2013-01-07,1,2013,"https://www.sueddeutsche.de/sport/rassismus-fall-in-italien-blatter-kritisiert-boateng-1.1566486"
"28","SZ","Rassismus","Hungern für das Bleiberecht",2013-01-06,1,2013,"https://www.sueddeutsche.de/politik/asylpolitik-in-oesterreich-hungern-fuer-das-bleiberecht-1.1565508"
