"","outlet","category","title","date","month","year","url"
"1","Welt","Rassismus","Rassistische Sprechchöre! Boateng bricht Spiel ab",2013-01-03,1,2013,"https://www.welt.de/sport/article112388855/Rassistische-Sprechchoere-Boateng-bricht-Spiel-ab.html"
"2","Welt","Rassismus","Großer Beifall für Boatengs Spielabbruch",2013-01-04,1,2013,"https://www.welt.de/sport/article112399223/Grosser-Beifall-fuer-Boatengs-Spielabbruch.html"
"3","Welt","Rassismus","Taugt Kevin-Prince Boateng wirklich zum Helden?",2013-01-05,1,2013,"https://www.welt.de/sport/fussball/internationale-ligen/article112419575/Taugt-Kevin-Prince-Boateng-wirklich-zum-Helden.html"
"4","Welt","Rassismus","Rassismus – Spielabbrüche auch in der Bundesliga?",2013-01-06,1,2013,"https://www.welt.de/sport/fussball/internationale-ligen/article112420568/Rassismus-Spielabbrueche-auch-in-der-Bundesliga.html"
"5","Welt","Rassismus","""Derartige Signale von Spielern sind wichtig""",2013-01-07,1,2013,"https://www.welt.de/sport/fussball/article112420680/Derartige-Signale-von-Spielern-sind-wichtig.html"
"6","Welt","Rassismus","Saftige Strafe für Fans nach Pöbelei gegen Boateng",2013-01-08,1,2013,"https://www.welt.de/sport/fussball/article112533318/Saftige-Strafe-fuer-Fans-nach-Poebelei-gegen-Boateng.html"
"7","Welt","Rassismus","Blatter fordert Zwangsabstieg bei Rassismusfällen",2013-01-24,1,2013,"https://www.welt.de/sport/article113117100/Blatter-fordert-Zwangsabstieg-bei-Rassismusfaellen.html"
"8","Welt","Rassismus","Literaturkritiker irritiert mit schwarzem Gesicht",2013-01-30,1,2013,"https://www.welt.de/vermischtes/prominente/article113248983/Literaturkritiker-irritiert-mit-schwarzem-Gesicht.html"
"9","Welt","Rassismus","„Neger“ ohne Worte – zum Fremdschämen!",2013-01-30,1,2013,"https://www.welt.de/kultur/literarischewelt/article113251160/Neger-ohne-Worte-zum-Fremdschaemen.html"
"10","Welt","Rassismus","Der Ku-Klux-Klan existiert auch in NRW",2013-02-01,2,2013,"https://www.welt.de/regionales/duesseldorf/article113297033/Der-Ku-Klux-Klan-existiert-auch-in-NRW.html"
"11","Welt","Rassismus","FDP reif für „asiatisch aussehenden Vize-Kanzler“?",2013-02-07,2,2013,"https://www.welt.de/politik/deutschland/article113465497/FDP-reif-fuer-asiatisch-aussehenden-Vize-Kanzler.html"
"12","Welt","Rassismus","Rassismus gegen Rösler ist im Wahlkampf Alltag",2013-02-08,2,2013,"https://www.welt.de/politik/deutschland/article113469306/Rassismus-gegen-Roesler-ist-im-Wahlkampf-Alltag.html"
"13","Welt","Rassismus","FDP-Chef Rösler wirft sich für Hahn in die Bresche",2013-02-08,2,2013,"https://www.welt.de/politik/deutschland/article113475991/FDP-Chef-Roesler-wirft-sich-fuer-Hahn-in-die-Bresche.html"
"14","Welt","Rassismus","Nach Derby – Geldstrafen für Inter und Balotelli",2013-02-26,2,2013,"https://www.welt.de/sport/fussball/internationale-ligen/article113944833/Nach-Derby-Geldstrafen-fuer-Inter-und-Balotelli.html"
"15","Welt","Rassismus","New York gedenkt des erschossenen Trayvon Martin",2013-02-27,2,2013,"https://www.welt.de/vermischtes/weltgeschehen/article113947085/New-York-gedenkt-des-erschossenen-Trayvon-Martin.html"
"16","Welt","Rassismus","""Der Neger verpasst dir gleich eine!""",2013-03-21,3,2013,"https://www.welt.de/sport/fussball/internationale-ligen/article114618349/Der-Neger-verpasst-dir-gleich-eine.html"
"17","Welt","Rassismus","Botschafter Boateng – „Rassismus ist wie Malaria“",2013-03-21,3,2013,"https://www.welt.de/sport/fussball/article114655459/Botschafter-Boateng-Rassismus-ist-wie-Malaria.html"
"18","Welt","Rassismus","Wohlfeile Kostümparty ohne jedes Risiko",2013-03-27,3,2013,"https://www.welt.de/debatte/henryk-m-broder/article114815613/Wohlfeile-Kostuemparty-ohne-jedes-Risiko.html"
"19","Welt","Rassismus","Herr Wickert, es kommt einiges auf Sie zu!",2013-03-29,3,2013,"https://www.welt.de/debatte/henryk-m-broder/article114875479/Herr-Wickert-es-kommt-einiges-auf-Sie-zu.html"
"20","Welt","Rassismus","Lego lässt „Jabbas Palast“ verschwinden",2013-04-01,4,2013,"https://www.welt.de/kultur/article114916435/Lego-laesst-Jabbas-Palast-verschwinden.html"
"21","Welt","Rassismus","Fans entsetzt – Faschist soll Sunderland retten",2013-04-01,4,2013,"https://www.welt.de/sport/fussball/internationale-ligen/article114919030/Fans-entsetzt-Faschist-soll-Sunderland-retten.html"
"22","Welt","Rassismus","Kolat wirft Behörden „Verniedlichung“ der Brände vor",2013-04-03,4,2013,"https://www.welt.de/politik/deutschland/article114954675/Kolat-wirft-Behoerden-Verniedlichung-der-Braende-vor.html"
"23","Welt","Rassismus","Unumstrittener Nationalheld mit irdischen Lastern",2013-04-04,4,2013,"https://www.welt.de/debatte/kommentare/article114924353/Unumstrittener-Nationalheld-mit-irdischen-Lastern.html"
"24","Welt","Rassismus","UN finden Sarrazins Äußerungen rassistisch",2013-04-19,4,2013,"https://www.welt.de/politik/deutschland/article115421898/UN-finden-Sarrazins-Aeusserungen-rassistisch.html"
"25","Welt","Rassismus","Aus „Fehlpaarungen“ werden Erfolgsmodelle",2013-04-25,4,2013,"https://www.welt.de/debatte/kolumnen/Maxeiner-und-Miersch/article115607597/Aus-Fehlpaarungen-werden-Erfolgsmodelle.html"
"26","Welt","Rassismus","„Man darf mich nicht Nigger nennen“",2013-04-25,4,2013,"https://www.welt.de/vermischtes/article115614999/Man-darf-mich-nicht-Nigger-nennen.html"
"27","Welt","Rassismus","Mann soll Mola Adebisi rassistisch beleidigt haben",2013-04-26,4,2013,"https://www.welt.de/regionales/duesseldorf/article115636151/Mann-soll-Mola-Adebisi-rassistisch-beleidigt-haben.html"
"28","Welt","Rassismus","„Rassismus“ gegen Rassisten – Haftstrafen für Roma",2013-05-09,5,2013,"https://www.welt.de/politik/ausland/article116040706/Rassismus-gegen-Rassisten-Haftstrafen-fuer-Roma.html"
"29","Welt","Rassismus","""Der Rassismus gegen Balotelli ist eine Schande""",2013-05-13,5,2013,"https://www.welt.de/sport/fussball/internationale-ligen/article116124076/Der-Rassismus-gegen-Balotelli-ist-eine-Schande.html"
"30","Welt","Rassismus","„Wenn ich Angst hätte, müssten alle Angst haben“",2013-06-21,6,2013,"https://www.welt.de/politik/ausland/article117354079/Wenn-ich-Angst-haette-muessten-alle-Angst-haben.html"
"31","Welt","Rassismus","Gewalttat war wohl rassistisch motiviert",2013-07-10,7,2013,"https://www.welt.de/regionales/berlin/article117911576/Gewalttat-war-wohl-rassistisch-motiviert.html"
"32","Welt","Rassismus","Wenn Totschlag schlimmer ist als Mord",2013-07-11,7,2013,"https://www.welt.de/vermischtes/weltgeschehen/article117971332/Wenn-Totschlag-schlimmer-ist-als-Mord.html"
"33","Welt","Rassismus","Freispruch im Todesfall Trayvon Martin",2013-07-14,7,2013,"https://www.welt.de/vermischtes/weltgeschehen/article118022980/Freispruch-im-Todesfall-Trayvon-Martin.html"
"34","Welt","Rassismus","Freispruch – „Zimmerman muss jetzt vorsichtig sein“",2013-07-14,7,2013,"https://www.welt.de/vermischtes/article118027607/Freispruch-Zimmerman-muss-jetzt-vorsichtig-sein.html"
"35","Welt","Rassismus","Politiker vergleicht Ministerin mit Orang-Utan",2013-07-14,7,2013,"https://www.welt.de/politik/ausland/article118036913/Politiker-vergleicht-Ministerin-mit-Orang-Utan.html"
"36","Welt","Rassismus","Bürgerrechtsverfahren gegen Zimmerman gefordert",2013-07-14,7,2013,"https://www.welt.de/politik/ausland/article118037006/Buergerrechtsverfahren-gegen-Zimmerman-gefordert.html"
"37","Welt","Rassismus","Zimmerman droht doch noch ein Schuldspruch",2013-07-15,7,2013,"https://www.welt.de/vermischtes/article118067733/Zimmerman-droht-doch-noch-ein-Schuldspruch.html"
"38","Welt","Rassismus","Nach Zimmerman-Urteil packt Geschworene aus",2013-07-16,7,2013,"https://www.welt.de/vermischtes/weltgeschehen/article118114336/Nach-Zimmerman-Urteil-packt-Geschworene-aus.html"
"39","Welt","Rassismus","Das schwarze Amerika begehrt auf",2013-07-17,7,2013,"https://www.welt.de/vermischtes/weltgeschehen/article118120646/Das-schwarze-Amerika-begehrt-auf.html"
"40","Welt","Rassismus","Eltern schockiert und entsetzt über Freispruch",2013-07-19,7,2013,"https://www.welt.de/vermischtes/weltgeschehen/article118194191/Eltern-schockiert-und-entsetzt-ueber-Freispruch.html"
"41","Welt","Rassismus","Obama bricht sein Schweigen im Fall Trayvon Martin",2013-07-19,7,2013,"https://www.welt.de/politik/ausland/article118223179/Obama-bricht-sein-Schweigen-im-Fall-Trayvon-Martin.html"
"42","Welt","Rassismus","""An einem gewissen Punkt bricht der Vulkan aus“",2013-07-20,7,2013,"https://www.welt.de/politik/ausland/article118231115/An-einem-gewissen-Punkt-bricht-der-Vulkan-aus.html"
"43","Welt","Rassismus","Demonstranten fordern “Gerechtigkeit für Trayvon“",2013-07-21,7,2013,"https://www.welt.de/politik/ausland/article118241021/Demonstranten-fordern-Gerechtigkeit-fuer-Trayvon.html"
"44","Welt","Rassismus","Die wichtigste Viertelstunde des Barack Obama",2013-07-21,7,2013,"https://www.welt.de/politik/ausland/article118250086/Die-wichtigste-Viertelstunde-des-Barack-Obama.html"
"45","Welt","Rassismus","Wie ein Attentat ein Land verändert",2013-07-22,7,2013,"https://www.welt.de/politik/ausland/article160307935/Wie-ein-Attentat-ein-Land-veraendert.html"
"46","Welt","Rassismus","Amerika hat nicht nur einen Trayvon Martin",2013-07-23,7,2013,"https://www.welt.de/kultur/kino/article118289122/Amerika-hat-nicht-nur-einen-Trayvon-Martin.html"
"47","Welt","Rassismus","Rassistische Gesänge – Milan-Profi verlässt Platz",2013-07-24,7,2013,"https://www.welt.de/sport/fussball/internationale-ligen/article118341891/Rassistische-Gesaenge-Milan-Profi-verlaesst-Platz.html"
"48","Welt","Rassismus","Dunkelhäutige Ministerin mit Bananen beworfen",2013-07-27,7,2013,"https://www.welt.de/politik/ausland/article118444684/Dunkelhaeutige-Ministerin-mit-Bananen-beworfen.html"
"49","Welt","Rassismus","Rassistischer Antirassismus für den Unterricht",2013-07-31,7,2013,"https://www.welt.de/kultur/article118537332/Rassistischer-Antirassismus-fuer-den-Unterricht.html"
"50","Welt","Rassismus","Stadtverwaltung sperrt Wasserversorgung für Roma",2013-08-05,8,2013,"https://www.welt.de/politik/ausland/article118706848/Stadtverwaltung-sperrt-Wasserversorgung-fuer-Roma.html"
"51","Welt","Rassismus","Wer „Spast“ oder „Homo“ sagt, muss aus dem Stadion",2013-08-07,8,2013,"https://www.welt.de/sport/fussball/internationale-ligen/article118770576/Wer-Spast-oder-Homo-sagt-muss-aus-dem-Stadion.html"
"52","Welt","Rassismus","Obama spricht 50 Jahre nach Kings „Dream“-Rede",2013-08-08,8,2013,"https://www.welt.de/politik/ausland/article118824367/Obama-spricht-50-Jahre-nach-Kings-Dream-Rede.html"
"53","Welt","Rassismus","Oprah Winfreys Lust auf den Pretty-Woman-Moment",2013-08-09,8,2013,"https://www.welt.de/vermischtes/article118858015/Oprah-Winfreys-Lust-auf-den-Pretty-Woman-Moment.html"
"54","Welt","Rassismus","Rassismus gegen Oprah? Verkäuferin wehrt sich",2013-08-11,8,2013,"https://www.welt.de/vermischtes/prominente/article118912243/Rassismus-gegen-Oprah-Verkaeuferin-wehrt-sich.html"
"55","Welt","Rassismus","Oprah Winfrey sagt „Sorry, liebe Schweiz!“",2013-08-13,8,2013,"https://www.welt.de/vermischtes/article118987154/Oprah-Winfrey-sagt-Sorry-liebe-Schweiz.html"
"56","Welt","Rassismus","Opfer erhebt Vorwürfe gegen S-Bahn-Mitarbeiter",2013-08-13,8,2013,"https://www.welt.de/regionales/berlin/article118978673/Opfer-erhebt-Vorwuerfe-gegen-S-Bahn-Mitarbeiter.html"
"57","Welt","Rassismus","Einige Gründe, seine Greencard zu zerreißen",2013-08-15,8,2013,"https://www.welt.de/kultur/literarischewelt/article119045952/Einige-Gruende-seine-Greencard-zu-zerreissen.html"
"58","Welt","Rassismus","1860-Fans beschimpfen Ingolstadts Profi rassistisch",2013-08-19,8,2013,"https://www.welt.de/sport/fussball/2-bundesliga/article119158854/1860-Fans-beschimpfen-Ingolstadts-Profi-rassistisch.html"
"59","Welt","Rassismus","Rassismus beim Fußball – „Das sind Schwachmaten“",2013-08-19,8,2013,"https://www.welt.de/sport/article119181156/Rassismus-beim-Fussball-Das-sind-Schwachmaten.html"
"60","Welt","Rassismus","Schwarzen traute Nixon noch weniger als Juden",2013-08-24,8,2013,"https://www.welt.de/politik/deutschland/article119344265/Schwarzen-traute-Nixon-noch-weniger-als-Juden.html"
"61","Welt","Rassismus","Bank zahlt 160 Millionen Dollar wegen Diskriminierung",2013-08-29,8,2013,"https://www.welt.de/wirtschaft/article119495638/Bank-zahlt-160-Millionen-Dollar-wegen-Diskriminierung.html"
"62","Welt","Rassismus","... und mit kleinem Penis regiert man schlechter?",2013-09-10,9,2013,"https://www.welt.de/kultur/medien/article119882036/und-mit-kleinem-Penis-regiert-man-schlechter.html"
"63","Welt","Rassismus","Rassismus-Streit zwischen Rösler und der „Taz“",2013-09-10,9,2013,"https://www.welt.de/politik/deutschland/article119881384/Rassismus-Streit-zwischen-Roesler-und-der-Taz.html"
"64","Welt","Rassismus","Indischstämmige Miss America rassistisch beleidigt",2013-09-16,9,2013,"https://www.welt.de/vermischtes/article120050835/Indischstaemmige-Miss-America-rassistisch-beleidigt.html"
