"","outlet","category","title","date","month","year","url"
"1","Wirtschaftswoche","Rassismus","Frankreich Twitters braunes Gezwitscher sorgt für Ärger",2013-01-09,1,2013,"https://www.wiwo.de/politik/ausland/frankreich-twitters-braunes-gezwitscher-sorgt-fuer-aerger/7609052.html"
"2","Wirtschaftswoche","Rassismus","Gerichtsurteil  Twitter muss Identität rassistischer Nutzer offenlegen",2013-01-25,1,2013,"https://www.wiwo.de/politik/ausland/gerichtsurteil-twitter-muss-identitaet-rassistischer-nutzer-offenlegen/7686890.html"
"3","Wirtschaftswoche","Rassismus","Holocaust-Gedenktag „Dieser Horror darf nie wieder geschehen“",2013-01-27,1,2013,"https://www.wiwo.de/politik/deutschland/holocaust-gedenktag-dieser-horror-darf-nie-wieder-geschehen/7695282.html"
"4","Wirtschaftswoche","Rassismus","FDP in der Krise Eine Partei schießt sich ins Abseits",2013-02-08,2,2013,"https://www.wiwo.de/politik/deutschland/fdp-in-der-krise-eine-partei-schiesst-sich-ins-abseits/7756024.html"
"5","Wirtschaftswoche","Rassismus","Türkische Gemeinde „Das kann man nicht so hinnehmen“",2013-02-18,2,2013,"https://www.wiwo.de/politik/ausland/tuerkische-gemeinde-das-kann-man-nicht-so-hinnehmen/7800284.html"
"6","Wirtschaftswoche","Rassismus","Misstrauensvotum Australischer Regierungschefin droht das Aus",2013-03-20,3,2013,"https://www.wiwo.de/politik/ausland/misstrauensvotum-australischer-regierungschefin-droht-das-aus/7956436.html"
"7","Wirtschaftswoche","Rassismus","Überraschung in Australien Unbeliebte Gillard bleibt an der Spitze",2013-03-21,3,2013,"https://www.wiwo.de/politik/ausland/ueberraschung-in-australien-unbeliebte-gillard-bleibt-an-der-spitze/7963916.html"
"8","Wirtschaftswoche","Rassismus","NSU-Mordserie Bundesregierung räumt Ermittlungsfehler ein",2013-04-25,4,2013,"https://www.wiwo.de/politik/deutschland/nsu-mordserie-bundesregierung-raeumt-ermittlungsfehler-ein/8121576.html"
"9","Wirtschaftswoche","Rassismus","NSU-Prozess beginnt Juristische Aufarbeitung des Neonazi-Terrors",2013-05-05,5,2013,"https://www.wiwo.de/politik/deutschland/nsu-prozess-beginnt-juristische-aufarbeitung-des-neonazi-terrors/8165860.html"
"10","Wirtschaftswoche","Rassismus","Überraschend deutlich Regierungskoalition setzt sich in Malaysia durch",2013-05-06,5,2013,"https://www.wiwo.de/politik/ausland/ueberraschend-deutlich-regierungskoalition-setzt-sich-in-malaysia-durch/8166038.html"
"11","Wirtschaftswoche","Rassismus","Rassismus Vertrauen der türkischen Gemeinde in deutsche Behörden erschüttert",2013-05-25,5,2013,"https://www.wiwo.de/politik/deutschland/rassismus-vertrauen-der-tuerkischen-gemeinde-in-deutsche-behoerden-erschuettert/8253732.html"
"12","Wirtschaftswoche","Rassismus","Wirtschaftslage Wie Südafrika sich selbst demontiert",2013-06-09,6,2013,"https://www.wiwo.de/politik/ausland/wirtschaftslage-wie-suedafrika-sich-selbst-demontiert/8323290.html"
"13","Wirtschaftswoche","Rassismus","Nach Rassismus-Vorwürfen wegen FDP-Bashing Steinbrück-Sprecher löscht Facebook-Profil",2013-06-11,6,2013,"https://www.wiwo.de/politik/deutschland/nach-rassismus-vorwuerfen-wegen-fdp-bashing-steinbrueck-sprecher-loescht-facebook-profil/8333456.html"
"14","Wirtschaftswoche","Rassismus","Pannenwahlkampf der SPD Schmidts Steilvorlage für die Steinbrück-Gegner",2013-06-17,6,2013,"https://www.wiwo.de/pannenwahlkampf-der-spd-schmidts-steilvorlage-fuer-die-steinbrueck-gegner/8363522.html"
"15","Wirtschaftswoche","Rassismus","Spionage der USA Deutschland sitzt nur in der dritten Klasse",2013-07-02,7,2013,"https://www.wiwo.de/politik/ausland/spionage-der-usa-deutschland-sitzt-nur-in-der-dritten-klasse-/8434724.html"
"16","Wirtschaftswoche","Rassismus","Rassismus in den USA Der große Graben",2013-07-15,7,2013,"https://www.wiwo.de/politik/ausland/rassismus-in-den-usa-der-grosse-graben/8500828.html"
"17","Wirtschaftswoche","Rassismus","Bundestagswahl SPD verspricht bei Wahlsieg Masterplan gegen Rechtsextremismus",2013-08-02,8,2013,"https://www.wiwo.de/bundestagswahl-spd-verspricht-bei-wahlsieg-masterplan-gegen-rechtsextremismus/8587684.html"
"18","Wirtschaftswoche","Rassismus","Urteil „Winkeladvokat“ muss keine Schmähung sein",2013-08-09,8,2013,"https://www.wiwo.de/finanzen/steuern-recht/urteil-winkeladvokat-muss-keine-schmaehung-sein-/8619310.html"
"19","Wirtschaftswoche","Rassismus","NSU-Ausschuss In 47 Reformen zum besseren Ermittler",2013-08-22,8,2013,"https://www.wiwo.de/politik/deutschland/nsu-ausschuss-in-47-reformen-zum-besseren-ermittler/8679538.html"
