"","outlet","category","title","date","month","year","url"
"1","bild.de","Ukraine","Frankreich weint um die Opfer: Wir trauern mit Euch! - Bombendrohung war Fehlalarm",2015-01-11,1,2015,"http://www.bild.de/news/ausland/terroranschlag/trauermarsch-fuer-die-opfer-des-attentats-39291996.bild.html"
"2","bild.de","Ukraine","CDU-Wirtschaftstag in Berlin: Übt Bush hier schon für den US-Wahlkampf?",2016-05-08,5,2016,"http://www.bild.de/politik/ausland/john-ellis-bush/besucht-cdu-wirtschaftsrat-in-berlin-41290128.bild.html"
"3","bild.de","Ukraine","Jeb Bush in Berlin: BILD trifft den (vielleicht bald) mächtigsten Mann der Welt",2016-06-10,6,2016,"http://www.bild.de/politik/ausland/jeb-bush/bild-trifft-vielleicht-bald-maechtigsten-mann-der-welt-41301156.bild.html"
"4","bild.de","Ukraine","’Alle vermissen Putin’: So funktioniert die Putin-Lobby zum G7-Gipfel",2015-06-06,6,2015,"http://www.bild.de/politik/inland/g7-gipfel/so-funktioniert-die-putin-lobby-im-netz-41220488.bild.html"
"5","bild.de","Ukraine","Makabres Manöver in Russland! Luftwaffe trainiert mit ’Nach Berlin!’-Bomben",2016-08-11,8,2016,"http://www.bild.de/politik/ausland/russland/nach-berlin-bomben-42141372.bild.html"
"6","bild.de","Ukraine","Breitseite gegen Trump - Lammert sorgt für Furore",2013-02-12,2,2013,"http://www.bild.de/politik/inland/prof-dr-norbert-lammert/lammert-rede-50307346.bild.html?utm_source=dlvr.it&utm_medium=twitter"
"7","bild.de","Ukraine","Nato schlägt Alarm - Wie gefährlich sind Putins Bomber über Europa?",2014-10-29,10,2014,"http://www.bild.de/politik/ausland/kampfjets/nato-bericht-ueber-russen-jets-ueber-ost-und-nordsee-38352630.bild.html"
"8","bild.de","Ukraine","Reporter ohne Grenzen - Geheimer Workshop für Online-Dissidenten",2015-11-29,11,2015,"http://www.bild.de/politik/ausland/menschenrechtskolumne/workshop-fuer-bedrohte-online-dissidenten-43394866.bild.html"
"9","bild.de","Ukraine","Der traut sich was - Janukowitsch verklagt die EU",2014-07-13,7,2014,"http://www.bild.de/politik/ausland/viktor-janukowitsch/verklagt-die-eu-36798418.bild.html"
"10","bild.de","Ukraine","Klitschko-Besuch - Demonstrant: ’Sie haben mich gekreuzigt’",2014-01-31,1,2014,"http://www.bild.de/politik/ausland/ukraine/vitali-klitschko-bei-pruegel-opfer-im-krankenhaus-34479430.bild.html"
"11","bild.de","Ukraine","RENZI WEG, HOLLANDE WEG - Jetzt muss Merkel den Euro alleine retten!",2016-12-05,12,2016,"http://www.bild.de/politik/ausland/italien/was-bedeutet-renzi-ruecktritt-fuer-merkel-49076736.bild.html"
"12","bild.de","Ukraine","Mit Handy auf der Bank - Was Mats Du denn da?",2016-06-04,6,2016,"http://www.bild.de/sport/fussball/mats-hummels/mit-dem-handy-auf-der-bank-46136546.bild.html"
"13","bild.de","Ukraine","Exklusiv bei BILD - Rüdiger stellt die Italien-Stars vor",2016-07-02,7,2016,"http://www.bild.de/bild-plus/sport/fussball/em-2016/antonio-ruediger-stellt-die-italienische-elf-vor-46599808.bild.html"
"14","bild.de","Ukraine","Gerüchte um Kreml-Chef - Leidet Putin an Krebs?",2014-10-27,10,2014,"http://www.bild.de/politik/ausland/wladimir-putin/leidet-putin-an-krebs-neue-geruechte-um-kreml-chef-38320550.bild.html"
"15","bild.de","Ukraine","Gefechte - Ukrainer sprengen ihre eigenen Brücken",2014-07-29,7,2014,"http://www.bild.de/politik/ausland/donezk/bruecke-in-der-ostukraine-gesprengt-37021054.bild.html"
"16","bild.de","Ukraine","Tote bei Baustellen-Drama - Retter suchen Vermisste per WhatsApp",2016-09-06,9,2016,"http://www.bild.de/news/ausland/unfaelle/tel-aviv-verschuettet-47681068.bild.html"
