"","outlet","category","title","date","month","year","url"
"1","Handelsblatt","Ukraine","Die Piratin mit der Utopie",2013-03-12,3,2013,"https://www.handelsblatt.com/politik/deutschland/marina-weisband-die-piratin-mit-der-utopie/7914420.html"
"2","Handelsblatt","Ukraine","Spendable Gäste aus dem Osten",2013-02-14,2,2013,"https://www.handelsblatt.com/arts_und_style/lifestyle/lech-am-arlberg-spendable-gaeste-aus-dem-osten/7787338.html"
"3","Handelsblatt","Ukraine","Moskau ermittelt gegen Bloodhound Gang",2013-09-09,9,2013,"https://www.handelsblatt.com/arts_und_style/aus-aller-welt/nach-skandal-konzert-moskau-ermittelt-gegen-bloodhound-gang/8761888.html"
"4","Handelsblatt","Ukraine","Henkel verärgert Ukraine mit WC-Reiniger",2013-08-14,8,2013,"https://www.handelsblatt.com/unternehmen/handel-konsumgueter/flagge-in-der-toilette-henkel-veraergert-ukraine-mit-wc-reiniger/8639046.html"
"5","Handelsblatt","Ukraine","Busunfall in Südfrankreich fordert zwei Todesopfer",2013-08-11,8,2013,"https://www.handelsblatt.com/arts_und_style/aus-aller-welt/unglueck-nahe-narbonne-busunfall-in-suedfrankreich-fordert-zwei-todesopfer/8624170.html"
"6","Handelsblatt","Ukraine","Russland verbietet US-Band Bloodhound Gang Einreise",2013-08-09,8,2013,"https://www.handelsblatt.com/arts_und_style/aus-aller-welt/fahnen-skandal-russland-verbietet-us-band-bloodhound-gang-einreise-/8619210.html"
"7","Handelsblatt","Ukraine","Wütender Protest gegen Tierfutter-Produzenten",2013-07-24,7,2013,"https://www.handelsblatt.com/unternehmen/handel-konsumgueter/royal-canin-sponserte-baerenkaempfe-wuetender-protest-gegen-tierfutter-produzenten/8541148.html"
"8","Handelsblatt","Ukraine","Kosovo führt für 87 Staaten ein Visum ein",2013-07-01,7,2013,"https://www.handelsblatt.com/politik/international/neue-regelung-kosovo-fuehrt-fuer-87-staaten-ein-visum-ein/8433916.html"
"9","Handelsblatt","Ukraine","Ein russischer Flieger sucht Freunde",2013-06-18,6,2013,"https://www.handelsblatt.com/unternehmen/industrie/suchoi-superjet-100-ein-russischer-flieger-sucht-freunde/8368706.html"
"10","Handelsblatt","Ukraine","Banker Stepic stolpert über Offshore-Leaks-Skandal",2013-05-24,5,2013,"https://www.handelsblatt.com/unternehmen/management/raiffeisen-oesterreich-banker-stepic-stolpert-ueber-offshore-leaks-skandal/8248838.html"
"11","Handelsblatt","Ukraine","RWE verkauft Nabucco-Anteil",2013-04-14,4,2013,"https://www.handelsblatt.com/unternehmen/energie/gaspipeline-rwe-verkauft-nabucco-anteil/8063942.html"
"12","Handelsblatt","Ukraine","Das Geld ist schon woanders",2013-03-27,3,2013,"https://www.handelsblatt.com/politik/international/kapitalflucht-aus-zypern-das-geld-ist-schon-woanders/7990444.html"
"13","Handelsblatt","Ukraine","Über diese Frau streitet Europa",2013-11-19,11,2013,"https://www.handelsblatt.com/politik/international/julia-timoschenko-ueber-diese-frau-streitet-europa/9095522.html"
"14","Handelsblatt","Ukraine","„Mein Bauch sagte: Ich darf nicht kaufen“",2013-11-19,11,2013,"https://www.handelsblatt.com/unternehmen/mittelstand/familienunternehmen-sanders-mein-bauch-sagte-ich-darf-nicht-kaufen/9076914.html"
"15","Handelsblatt","Ukraine","Chevron macht Ukraine unabhängiger von Russland",2013-11-05,11,2013,"https://www.handelsblatt.com/unternehmen/energie/milliarden-deal-chevron-macht-ukraine-unabhaengiger-von-russland/9033496.html"
"16","Handelsblatt","Ukraine","Schlammschlacht in Zeitlupe",2013-11-02,11,2013,"https://www.handelsblatt.com/mobilitaet/motor/mit-dem-eigenen-suv-ins-gelaende-fahren-schlammschlacht-in-zeitlupe/9016544.html"
"17","Handelsblatt","Ukraine","Ukraine will Timoschenko ausreisen lassen",2013-10-17,10,2013,"https://www.handelsblatt.com/politik/international/oppositionsfuehrerin-ukraine-will-timoschenko-ausreisen-lassen/8949930.html"
"18","Handelsblatt","Ukraine","Westerwelle wirbt in Kiew für baldige Lösung",2013-10-11,10,2013,"https://www.handelsblatt.com/politik/international/fall-timoschenko-westerwelle-wirbt-in-kiew-fuer-baldige-loesung/8922994.html"
"19","Handelsblatt","Ukraine","China kauft Ackerland in der Ukraine auf",2013-09-22,9,2013,"https://www.handelsblatt.com/politik/international/riesige-flaechen-china-kauft-ackerland-in-der-ukraine-auf/8826952.html"
"20","Handelsblatt","Ukraine","Papst ernennt neuen Botschafter für Deutschland",2013-09-21,9,2013,"https://www.handelsblatt.com/politik/deutschland/nikola-eterovic-papst-ernennt-neuen-botschafter-fuer-deutschland/8825588.html"
"21","Handelsblatt","Ukraine","Amerikas Online-Kinder-Börsen",2013-09-18,9,2013,"https://www.handelsblatt.com/politik/international/adoptivkind-abzugeben-amerikas-online-kinder-boersen/8811032.html"
"22","Handelsblatt","Ukraine","Blutige Beeren",2013-09-18,9,2013,"https://www.handelsblatt.com/politik/international/wanderarbeiter-in-schweden-blutige-beeren/8803284.html"
"23","Handelsblatt","Ukraine","Billiges Gas für die Ukraine",2013-12-17,12,2013,"https://www.handelsblatt.com/politik/international/russland-hilft-billiges-gas-fuer-die-ukraine/9230852.html"
