"","outlet","category","title","date","month","year","url"
"1","Spiegel","Ukraine","Greeks in the Crisis: 'We Need To Explain Ourselves'",2015-03-02,3,2015,"http://www.spiegel.de/international/europe/spiegel-roundtable-discussion-on-the-greece-crisis-a-1020985.html#ref=rss"
"2","Spiegel","Ukraine","Punishing Putin: EU Leaders Snub Moscow World War II Commemorations",2015-04-10,4,2015,"http://www.spiegel.de/international/europe/eu-leaders-plan-boycott-of-wwii-commemorations-in-moscow-a-1028011.html#ref=rss"
"3","Spiegel","Ukraine","Donetsk Separatist Leader: 'We Are Not Citizens of Ukraine'",2015-04-29,4,2015,"http://www.spiegel.de/international/europe/interview-with-donetsk-separatist-leader-on-hopes-for-annexation-a-1031270.html#ref=rss"
"4","Spiegel","Ukraine","Skeletons of the Past: Helping Europe's War Dead Find a Final Resting Place",2015-05-07,5,2015,"http://www.spiegel.de/international/germany/bones-of-world-war-soldiers-still-being-excavated-across-europe-a-1029530.html#ref=rss"
"5","Spiegel","Ukraine","Breaking the Resistance: How Brussels Is Integrating Its Euro-Skeptics",2015-06-01,6,2015,"http://www.spiegel.de/international/europe/how-brussels-is-integrating-euroskeptic-parties-in-parliament-a-1036218.html#ref=rss"
"6","Spiegel","Ukraine","Trans-Atlantic Ties: It's Time To Rebuild Trust",2015-06-04,6,2015,"http://www.spiegel.de/international/business/editorial-on-need-for-new-transatlantic-dialogue-a-1037191.html#ref=rss"
"7","Spiegel","Ukraine","Cold War Resurgent: US Nukes Could Soon Return to Europe",2015-06-19,6,2015,"http://www.spiegel.de/international/world/the-danger-of-a-new-arms-race-in-europe-versus-russia-a-1039724.html#ref=rss"
"8","Spiegel","Ukraine","America's Greece: Fixing Puerto Rico Could Provide Answers for Europe",2015-07-08,7,2015,"http://www.spiegel.de/international/world/greece-essay-by-barry-eichengreen-a-1042609.html#ref=rss"
"9","Spiegel","Ukraine","A Continent Adrift: Juncker Proposes Fixes to EU's Broken Asylum Policies",2015-09-09,9,2015,"http://www.spiegel.de/international/europe/refugee-crisis-in-europe-exposes-asylum-policy-shortcomings-a-1051481.html#ref=rss"
"10","Spiegel","Ukraine","Delayed Justice: Trial Against Ex-Chad Dictator a Legal Milestone",2015-10-02,10,2015,"http://www.spiegel.de/international/world/chad-dictator-hissene-habre-continues-in-dakar-a-1055069.html#ref=rss"
"11","Spiegel","Ukraine","East-West Story: The Parallel Lives of Two World-Class Dancers",2015-10-28,10,2015,"http://www.spiegel.de/international/zeitgeist/the-story-of-ballet-dancers-sergei-polunin-and-joy-womack-a-1059837.html#ref=rss"
"12","Spiegel","Ukraine","Gazprom: Russland stoppt Gasversorgung der Ukraine",2015-11-25,11,2015,"http://www.spiegel.de/wirtschaft/soziales/russland-stoppt-gasversorgung-der-ukraine-a-1064444.html#ref=rss"
"13","Spiegel","Ukraine","Krimkrise: Ukraine schließt Luftraum für russische Flugzeuge",2015-11-25,11,2015,"http://www.spiegel.de/politik/ausland/krimkrise-ukraine-schliesst-luftraum-fuer-russische-flugzeuge-a-1064526.html#ref=rss"
"14","Spiegel","Ukraine","EU Parliament President Schulz: 'The Situation in Europe Is Extremely Concerning'",2015-12-01,12,2015,"http://www.spiegel.de/international/europe/european-union-in-trouble-says-parliament-president-schulz-a-1065306.html#ref=rss"
"15","Spiegel","Ukraine","Politische Eiszeit: Russland-Geschäft der deutschen Unternehmen deutlich geschrumpft",2015-12-02,12,2015,"http://www.spiegel.de/wirtschaft/soziales/russland-deutsche-unternehmen-machen-deutlich-weniger-umsatz-a-1065588.html#ref=rss"
"16","Spiegel","Ukraine","Champions League: Die Torjäger sind zurück",2015-12-10,12,2015,"http://www.spiegel.de/sport/fussball/champions-league-achtelfinale-die-torjaeger-sind-zurueck-a-1067027.html#ref=rss"
"17","Spiegel","Ukraine","""Star Wars""-Homestory: Daheim bei Darth Vader",2015-12-11,12,2015,"http://www.spiegel.de/panorama/stars-wars-mann-aus-odessa-verkleidet-sich-als-darth-vader-a-1067371.html#ref=rss"
"18","Spiegel","Ukraine","Gruppenauslosung in Paris: Das wird bei der EM anders",2015-12-12,12,2015,"http://www.spiegel.de/sport/fussball/em-auslosung-in-paris-nichts-ist-mehr-normal-a-1067128.html#ref=rss"
"19","Spiegel","Ukraine","EM-Auslosung: Deutschland trifft auf Ukraine, Polen und Nordirland",2015-12-12,12,2015,"http://www.spiegel.de/sport/fussball/em-auslosung-deutschland-trifft-auf-ukraine-polen-und-nordirland-a-1067510.html#ref=rss"
"20","Spiegel","Ukraine","Reaktionen auf EM-Auslosung: ""Lewy, halt dich zurück gegen uns!""",2015-12-12,12,2015,"http://www.spiegel.de/sport/fussball/joachim-loew-thomas-mueller-und-oliver-bierhoff-reagieren-auf-em-los-a-1067527.html#ref=rss"
"21","Spiegel","Ukraine","Fußball-EM: Diese 23 sollen Löws Europameister werden",2015-12-13,12,2015,"http://www.spiegel.de/sport/fussball/fussball-em-2016-in-frankreich-nationalspieler-mit-kaderchancen-a-1067273.html#ref=rss"
"22","Spiegel","Ukraine","EM-Prognose: Deutschland gewinnt das Finale gegen Spanien",2015-12-13,12,2015,"http://www.spiegel.de/sport/fussball/fussball-em-2016-deutschlands-weg-ins-endspiel-a-1067555.html#ref=rss"
"23","Spiegel","Ukraine","Karikatur-Ausstellung: Putins dicke Kullertränen",2015-12-14,12,2015,"http://www.spiegel.de/kultur/gesellschaft/ausstellung-karikaturisten-geben-einblick-in-ihren-arbeitsalltag-a-1067646.html#ref=rss"
"24","Spiegel","Ukraine","EU-Experte zur Krise: ""Streit ist für Europa besser als Friede-Freude-Eierkuchen""",2015-12-16,12,2015,"http://www.spiegel.de/politik/ausland/europaeische-union-streit-ist-besser-als-friede-freude-eierkuchen-a-1067198.html#ref=rss"
"25","Spiegel","Ukraine","Presse-Show im Kreml: Putin wütet, Putin behütet",2015-12-17,12,2015,"http://www.spiegel.de/politik/ausland/pressekonferenz-putin-gibt-sich-volksnah-und-derb-a-1068352.html#ref=rss"
"26","Spiegel","Ukraine","Revanche für Sanktionen: Kreml will sich für die USA ""etwas Besonderes"" ausdenken",2015-12-24,12,2015,"http://www.spiegel.de/politik/ausland/russland-droht-usa-wegen-sanktionen-wir-denken-uns-etwas-besonderes-aus-a-1069469.html#ref=rss"
"27","Spiegel","Ukraine","Zehn gute Nachrichten: Die frohe Botschaft",2015-12-24,12,2015,"http://www.spiegel.de/wirtschaft/soziales/heiligabend-10-gute-nachrichten-zu-weihnachten-a-1067887.html#ref=rss"
"28","Spiegel","Ukraine","Nationalmannschaft 2015: Es wird ernst",2015-12-25,12,2015,"http://www.spiegel.de/sport/fussball/nationalmannschaft-hofft-unter-joachim-loew-auf-titel-bei-em-a-1068091.html#ref=rss"
"29","Spiegel","Ukraine","Krise der EU: Ach, Europa",2015-12-25,12,2015,"http://www.spiegel.de/politik/ausland/europaeische-union-in-der-krise-ist-die-eu-noch-zu-retten-a-1066744.html#ref=rss"
"30","Spiegel","Ukraine","Zuwanderung: Das zweite deutsche Wirtschaftswunder",2015-12-27,12,2015,"http://www.spiegel.de/wirtschaft/zuwanderung-fluechtlinge-koennen-fuer-wirtschaftswunder-sorgen-a-1069395.html#ref=rss"
"31","Spiegel","Ukraine","""Awacs""-Einsatz im Syrienkonflikt: Die Bundeswehr fliegt mit, die Opposition nölt",2015-12-28,12,2015,"http://www.spiegel.de/politik/deutschland/bundeswehr-awacs-fragen-und-antworten-zum-tuerkei-einsatz-a-1069684.html#ref=rss"
"32","Spiegel","Ukraine","Antisemitismus in Frankreich: Zahl jüdischer Auswanderer auf Rekordhoch",2015-12-29,12,2015,"http://www.spiegel.de/politik/ausland/antisemitismus-in-frankreich-zahl-juedischer-auswanderer-auf-rekordhoch-a-1069928.html#ref=rss"
"33","Spiegel","Ukraine","Aufrüstung in Asien: China baut zweiten Flugzeugträger",2015-12-31,12,2015,"http://www.spiegel.de/politik/ausland/china-baut-zweiten-flugzeugtraeger-a-1070096.html#ref=rss"
"34","Spiegel","Ukraine","The Sympathy Problem: Is Germany a Country of Russia Apologists?",2014-03-31,3,2014,"http://www.spiegel.de/international/germany/prominent-germans-have-understanding-for-russian-annexation-of-crimea-a-961711.html#ref=rss"
"35","Spiegel","Ukraine","Putin's Difficult Decision: Ukraine Remains a Danger for Russia",2014-02-25,2,2014,"http://www.spiegel.de/international/world/situation-in-ukraine-puts-putin-in-a-difficult-spot-a-955604.html#ref=rss"
"36","Spiegel","Ukraine","Ukraine Conflict: Putin Strengthens His True Enemies",2014-03-03,3,2014,"http://www.spiegel.de/international/world/russian-invasion-of-crimea-will-create-nationalist-problem-in-ukraine-a-956614.html#ref=rss"
"37","Spiegel","Ukraine","Tight on the Right: Germany's NPD Maintains Close Ties to Svoboda",2014-03-17,3,2014,"http://www.spiegel.de/international/europe/indirect-berlin-support-for-ukrainian-right-wing-extremists-svoboda-a-959073.html#ref=rss"
"38","Spiegel","Ukraine","Deadly Protests in Kiev: Europen Leaders Call for Ukraine Sanctions",2014-02-19,2,2014,"http://www.spiegel.de/international/europe/at-least-25-dead-in-violent-anti-government-clashes-in-ukraine-a-954374.html#ref=rss"
"39","Spiegel","Ukraine","'Dear to Our Hearts': The Crimean Crisis from the Kremlin's Perspective",2014-03-25,3,2014,"http://www.spiegel.de/international/world/a-look-at-the-crimea-crisis-from-the-perspective-of-the-kremlin-a-960446.html#ref=rss"
"40","Spiegel","Ukraine","Dancing with the Bear: Merkel Seeks a Hardline on Putin",2014-03-24,3,2014,"http://www.spiegel.de/international/germany/merkel-and-europe-search-for-an-adequate-response-to-putin-a-960378.html#ref=rss"
"41","Spiegel","Ukraine","The 'White Angel': Maidan Heroine Considers Future in Politics",2014-04-04,4,2014,"http://www.spiegel.de/international/zeitgeist/maidan-hero-olga-bogomolets-considers-future-in-ukrainian-politics-a-962369.html#ref=rss"
"42","Spiegel","Ukraine","US Experts on the Crimean Crisis: 'We Shouldn't Threaten Putin'",2014-03-15,3,2014,"http://www.spiegel.de/international/world/experts-argue-west-should-be-cautious-in-approach-to-putin-a-958952.html#ref=rss"
"43","Spiegel","Ukraine","NSA Scandal: Kerry To Visit Berlin To Rebuild Trust",2014-01-29,1,2014,"http://www.spiegel.de/international/germany/john-kerry-to-visit-german-chancellor-and-foreign-minister-a-946264.html#ref=rss"
"44","Spiegel","Ukraine","Overseas Role: Germany Must Back Words With Deeds",2014-02-03,2,2014,"http://www.spiegel.de/international/germany/commentary-on-german-promise-of-stronger-foreign-policy-role-a-950814.html#ref=rss"
"45","Spiegel","Ukraine","Chess in a Minefield: The Global Implications of the Ukraine Conflict",2014-02-20,2,2014,"http://www.spiegel.de/international/world/the-geopolitical-implications-of-conflict-in-ukraine-a-954724.html#ref=rss"
"46","Spiegel","Ukraine","Crimean Crisis: All Eyes on Merkel",2014-03-04,3,2014,"http://www.spiegel.de/international/world/angela-merkel-plays-central-role-in-russia-diplomacy-over-crimea-a-956834.html#ref=rss"
"47","Spiegel","Ukraine","Interview with Afghan President Ghani: 'I Have To Hold Our Country Together'",2015-12-02,12,2015,"http://www.spiegel.de/international/world/spiegel-interview-with-afghan-president-ashraf-ghani-a-1064978.html#ref=rss"
"48","Spiegel","Ukraine","Klitschko Interview: 'I'd Also Shake Hands with Devil To Save Lives'",2014-03-11,3,2014,"http://www.spiegel.de/international/europe/vitali-klitschko-interview-about-crimea-and-russia-conflict-a-957830.html#ref=rss"
"49","Spiegel","Ukraine","Dossier of Dubiousness: Did Putin's Man in Crimea Have Mafia Ties?",2014-03-25,3,2014,"http://www.spiegel.de/international/world/dossier-suggests-crimea-prime-minister-aksyonov-had-crime-ties-a-960644.html#ref=rss"
"50","Spiegel","Ukraine","Picture This: Putin's People",2014-04-07,4,2014,"http://www.spiegel.de/international/a-963085.html#ref=rss"
"51","Spiegel","Ukraine","'No Reason for Concern': Energy Exec Says Ukraine Crisis Not Bad for Business",2014-03-17,3,2014,"http://www.spiegel.de/international/business/eon-ceo-teyssen-crimea-crisis-no-danger-to-economic-ties-with-russia-a-959037.html#ref=rss"
"52","Spiegel","Ukraine","Zum Tode Eduard Schewardnadses: Sargträger der Sowjetunion - SPIEGEL ONLINE - Politik",2014-07-07,7,2014,"http://www.spiegel.de/politik/ausland/eduard-schewardnadse-ist-tot-nachruf-auf-georgiens-ex-praesident-a-979632.html"
"53","Spiegel","Ukraine","Farbenlehre - DER SPIEGEL 37/2013",2013-09-09,9,2013,"http://www.spiegel.de/spiegel/print/d-111320252.html"
"54","Spiegel","Ukraine","US-Studie: Mehrheit der Deutschen würde Nato-Partner nicht verteidigen - SPIEGEL ONLINE - Politik",2015-06-10,6,2015,"http://www.spiegel.de/politik/ausland/nato-mehrheit-der-deutschen-wuerde-partner-nicht-verteidigen-a-1038017.html"
"55","Spiegel","Ukraine","Neues Gesetz: Ukraine verbietet Filme mit positivem Russlandbild - SPIEGEL ONLINE - Politik",2015-04-02,4,2015,"http://www.spiegel.de/politik/ausland/ukraine-verbietet-filme-mit-positivem-russlandbild-a-1026924.html"
"56","Spiegel","Ukraine","Sir Bob Geldof gegen Ebola: Müssen also wieder die Popstars ran - SPIEGEL ONLINE - Kultur",2014-11-13,11,2014,"http://www.spiegel.de/kultur/musik/sir-bob-geldof-band-aid-projekt-gegen-ebola-in-berlin-vorgestellt-a-1002846.html"
