"","outlet","category","title","date","month","year","url"
"1","Welt","Ukraine","Eine versunkene Welt – der Mythos von Czernowitz",2013-01-12,1,2013,"https://www.welt.de/reise/staedtereisen/article112703923/Eine-versunkene-Welt-der-Mythos-von-Czernowitz.html"
"2","Welt","Ukraine","Ukraine am Scheideweg – Erdgas oder Freiheit?",2013-01-15,1,2013,"https://www.welt.de/politik/ausland/article112782418/Ukraine-am-Scheideweg-Erdgas-oder-Freiheit.html"
"3","Welt","Ukraine","Die aberwitzigen Gehälter im wilden Osten",2013-02-13,2,2013,"https://www.welt.de/sport/fussball/article113514064/Die-aberwitzigen-Gehaelter-im-wilden-Osten.html"
"4","Welt","Ukraine","Aufarbeitung der Schadensrechnungen Osteuropas",2013-02-17,2,2013,"https://www.welt.de/debatte/kommentare/article113695549/Aufarbeitung-der-Schadensrechnungen-Osteuropas.html"
"5","Welt","Ukraine","Putins neoimperialistischer Traum von Großrussland",2013-03-04,3,2013,"https://www.welt.de/debatte/kommentare/article114090995/Putins-neoimperialistischer-Traum-von-Grossrussland.html"
"6","Welt","Ukraine","Klitschko ist klarer Favorit im Kampf um Kiew",2013-04-05,4,2013,"https://www.welt.de/politik/ausland/article115056577/Klitschko-ist-klarer-Favorit-im-Kampf-um-Kiew.html"
"7","Welt","Ukraine","""Die Aggression in der Bevölkerung nimmt zu""",2013-04-11,4,2013,"https://www.welt.de/politik/ausland/article115187919/Die-Aggression-in-der-Bevoelkerung-nimmt-zu.html"
"8","Welt","Ukraine","Gericht verurteilt Ukraine wegen Timoschenko",2013-04-30,4,2013,"https://www.welt.de/politik/ausland/article115736352/Gericht-verurteilt-Ukraine-wegen-Timoschenko.html"
"9","Welt","Ukraine","Waren die Tataren Kollaborateure Hitlers?",2013-05-29,5,2013,"https://www.welt.de/geschichte/zweiter-weltkrieg/article116622377/Waren-die-Tataren-Kollaborateure-Hitlers.html"
"10","Welt","Ukraine","Die Ukraine mit einem Bein in Putins Zollunion",2013-05-29,5,2013,"https://www.welt.de/politik/ausland/article116634069/Die-Ukraine-mit-einem-Bein-in-Putins-Zollunion.html"
"11","Welt","Ukraine","Vitali Klitschko ist beliebter als der Präsident",2013-06-18,6,2013,"https://www.welt.de/politik/ausland/article117245493/Vitali-Klitschko-ist-beliebter-als-der-Praesident.html"
"12","Welt","Ukraine","Westerwelle macht sich für Timoschenko stark",2013-06-21,6,2013,"https://www.welt.de/politik/ausland/article117329290/Westerwelle-macht-sich-fuer-Timoschenko-stark.html"
"13","Welt","Ukraine","“Männer und Frauen, grausam mit Äxten zerhackt“",2013-06-26,6,2013,"https://www.welt.de/geschichte/zweiter-weltkrieg/article117455158/Maenner-und-Frauen-grausam-mit-Aexten-zerhackt.html"
"14","Welt","Ukraine","27-jähriger Erdgas-Oligarch lässt Ukraine staunen",2013-07-10,7,2013,"https://www.welt.de/politik/ausland/article117884276/27-jaehriger-Erdgas-Oligarch-laesst-Ukraine-staunen.html"
"15","Welt","Ukraine","Putin-Berater droht Ukraine mit „Katastrophe“",2013-07-20,7,2013,"https://www.welt.de/politik/ausland/article118221866/Putin-Berater-droht-Ukraine-mit-Katastrophe.html"
"16","Welt","Ukraine","Femen-Aktivist in der Ukraine schwer verprügelt",2013-07-25,7,2013,"https://www.welt.de/politik/ausland/article118384953/Femen-Aktivist-in-der-Ukraine-schwer-verpruegelt.html"
"17","Welt","Ukraine","Schalkes Gegner darf eigentlich nicht mitspielen",2013-08-09,8,2013,"https://www.welt.de/sport/fussball/bundesliga/fc-schalke-04/article118857247/Schalkes-Gegner-darf-eigentlich-nicht-mitspielen.html"
"18","Welt","Ukraine","„Die New Yorker Bronx ist gefährlicher als Kabul“",2013-08-13,8,2013,"https://www.welt.de/reise/Fern/article118978798/Die-New-Yorker-Bronx-ist-gefaehrlicher-als-Kabul.html"
"19","Welt","Ukraine","Femen schließt Büro in Kiew nach Polizeirazzia",2013-08-28,8,2013,"https://www.welt.de/politik/deutschland/article119476461/Femen-schliesst-Buero-in-Kiew-nach-Polizeirazzia.html"
"20","Welt","Ukraine","Razzia – Femen-Gründerinnen fürchten um ihr Leben",2013-08-31,8,2013,"https://www.welt.de/politik/ausland/article119582169/Razzia-Femen-Gruenderinnen-fuerchten-um-ihr-Leben.html"
"21","Welt","Ukraine","Deutschland finanziert Bau einer Mega-Entenfarm",2013-09-04,9,2013,"https://www.welt.de/politik/deutschland/article119693229/Deutschland-finanziert-Bau-einer-Mega-Entenfarm.html"
"22","Welt","Ukraine","Deutschland droht nach nächster Pleite frühes Aus",2013-09-06,9,2013,"https://www.welt.de/sport/basketball/article119778418/Deutschland-droht-nach-naechster-Pleite-fruehes-Aus.html"
"23","Welt","Ukraine","Die mühsame Befreiung des Rebell postsovieticus",2013-10-01,10,2013,"https://www.welt.de/debatte/kommentare/article120562187/Die-muehsame-Befreiung-des-Rebell-postsovieticus.html"
"24","Welt","Ukraine","Timoschenko offenbar kurz vor der Entlassung",2013-10-04,10,2013,"https://www.welt.de/politik/ausland/article120643015/Timoschenko-offenbar-kurz-vor-der-Entlassung.html"
"25","Welt","Ukraine","Berlin erneuert Behandlungsangebot für Timoschenko",2013-10-07,10,2013,"https://www.welt.de/politik/ausland/article120698670/Berlin-erneuert-Behandlungsangebot-fuer-Timoschenko.html"
"26","Welt","Ukraine","Auf den Spuren des „Homo sovieticus“",2013-10-13,10,2013,"https://www.welt.de/debatte/kommentare/article120876336/Auf-den-Spuren-des-Homo-sovieticus.html"
"27","Welt","Ukraine","Janukowitsch will Ausreise Timoschenkos erlauben",2013-10-17,10,2013,"https://www.welt.de/politik/ausland/article120992702/Janukowitsch-will-Ausreise-Timoschenkos-erlauben.html"
"28","Welt","Ukraine","Janukowitsch schwört Ukraine auf die EU ein",2013-10-18,10,2013,"https://www.welt.de/politik/ausland/article121024503/Janukowitsch-schwoert-Ukraine-auf-die-EU-ein.html"
"29","Welt","Ukraine","Moskau muss seine Außenpolitik hinterfragen",2013-10-18,10,2013,"https://www.welt.de/debatte/kommentare/article121030425/Moskau-muss-seine-Aussenpolitik-hinterfragen.html"
