"","outlet","category","title","date","month","year","url"
"1","Wirtschaftswoche","Ukraine","Erneuerbare Energien Mehr Ozon durch Biosprit",2013-01-07,1,2013,"https://www.wiwo.de/technologie/umwelt/erneuerbare-energien-mehr-ozon-durch-biosprit/7595044.html"
"2","Wirtschaftswoche","Ukraine","Versicherungskonzern Generali kauft für Milliarden in Osteuropa zu",2013-01-08,1,2013,"https://www.wiwo.de/unternehmen/versicherer/versicherungskonzern-generali-kauft-fuer-milliarden-in-osteuropa-zu/7601378.html"
"3","Wirtschaftswoche","Ukraine","Handelskonzern Metro kleckert vor sich hin",2013-01-16,1,2013,"https://www.wiwo.de/unternehmen/handel/handelskonzern-metro-kleckert-vor-sich-hin/7640388.html"
"4","Wirtschaftswoche","Ukraine","Mittelstand Mittelstand: Mit exotischen Produkten zum Erfolg",2013-01-30,1,2013,"https://www.wiwo.de/unternehmen/mittelstand/mittelstand-mittelstand-mit-exotischen-produkten-zum-erfolg/7686126.html"
"5","Wirtschaftswoche","Ukraine","Energiesicherheit „Im Extremfall mit Gewalt eingreifen“",2013-01-30,1,2013,"https://www.wiwo.de/unternehmen/industrie/energiesicherheit-im-extremfall-mit-gewalt-eingreifen/7707264.html"
"6","Wirtschaftswoche","Ukraine","Commerzbank Schrumpfen bis zum Schwund",2013-02-04,2,2013,"https://www.wiwo.de/unternehmen/banken/commerzbank-schrumpfen-bis-zum-schwund-/7733442.html"
"7","Wirtschaftswoche","Ukraine","Fußball Europas Clubs werden zum Spielball der Milliardäre",2013-02-12,2,2013,"https://www.wiwo.de/unternehmen/dienstleister/fussball-europas-clubs-werden-zum-spielball-der-milliardaere/7750876.html"
"8","Wirtschaftswoche","Ukraine","Suchmaschine Yandex Der russische Geheimdienst sucht mit",2013-02-14,2,2013,"https://www.wiwo.de/technologie/digitale-welt/suchmaschine-yandex-der-russische-geheimdienst-sucht-mit/7733720.html"
"9","Wirtschaftswoche","Ukraine","Bilanz 2012 Commerzbank-Chef Blessing verzichtet auf Bonus",2013-02-15,2,2013,"https://www.wiwo.de/unternehmen/banken/bilanz-2012-commerzbank-chef-blessing-verzichtet-auf-bonus/7789666.html"
"10","Wirtschaftswoche","Ukraine","Datenschutz Hacker greifen Apple und weitere US-Konzerne an",2013-02-20,2,2013,"https://www.wiwo.de/technologie/digitale-welt/datenschutz-hacker-greifen-apple-und-weitere-us-konzerne-an/7813176.html"
"11","Wirtschaftswoche","Ukraine","Club ""The Giving Pledge"" Verwirrung um Spenden von SAP-Gründer Plattner",2013-02-20,2,2013,"https://www.wiwo.de/unternehmen/it/club-the-giving-pledge-verwirrung-um-spenden-von-sap-gruender-plattner/7815340.html"
"12","Wirtschaftswoche","Ukraine","Probleme des Gasriesen Was Gazprom den Geburtstag verdirbt",2013-02-21,2,2013,"https://www.wiwo.de/unternehmen/industrie/probleme-des-gasriesen-was-gazprom-den-geburtstag-verdirbt/7821290.html"
"13","Wirtschaftswoche","Ukraine","Miniduke Neue Spionage-Software entdeckt",2013-02-28,2,2013,"https://www.wiwo.de/technologie/miniduke-neue-spionage-software-entdeckt/7853674.html"
"14","Wirtschaftswoche","Ukraine","Fußball-WM 2014  Ein Stadion für jeden",2013-03-05,3,2013,"https://www.wiwo.de/politik/ausland/fussball-wm-2014-ein-stadion-fuer-jeden/7879096.html"
"15","Wirtschaftswoche","Ukraine","Firmen tricksen für bessere Reputation Der große Pfusch bei Kundenbewertungen",2013-03-12,3,2013,"https://www.wiwo.de/technologie/digitale-welt/firmen-tricksen-fuer-bessere-reputation-der-grosse-pfusch-bei-kundenbewertungen/7896956.html"
"16","Wirtschaftswoche","Ukraine","Marina Weisband Die Piratin mit der Utopie",2013-03-12,3,2013,"https://www.wiwo.de/politik/deutschland/marina-weisband-die-piratin-mit-der-utopie/7914654.html"
