"","outlet","category","title","date","month","year","url"
"1","ZeitOnline","Ukraine","Es darf nur einen geben",2020-08-10,8,2020,"https://www.zeit.de/politik/ausland/2020-08/belarus-alexander-lukaschenko-wahl-widerstand"
"2","ZeitOnline","Ukraine","Außenminister plädiert vor Moskau-Besuch für Dialog mit Russland",2020-08-11,8,2020,"https://www.zeit.de/politik/deutschland/2020-08/heiko-maas-russland-ukraine-konflikt-libyen-sergej-lawrow"
"3","ZeitOnline","Ukraine","Ted Cruz' tiefere Motivation versteht niemand",2020-08-11,8,2020,"https://www.zeit.de/wirtschaft/2020-08/nord-stream-2-us-sanktionen-unternehmen"
"4","ZeitOnline","Ukraine","Wenn's um was geht, schaut Deutschland zu",2020-08-11,8,2020,"https://www.zeit.de/sport/2020-08/europa-league-leverkusen-inter-mailand-bundesliga-europapokal-deutschland"
"5","ZeitOnline","Ukraine","Zahl der Ausweisungen deutlich gestiegen",2020-08-12,8,2020,"https://www.zeit.de/politik/deutschland/2020-08/ausweisung-auslaender-migration-deutschland-gestiegen-neue-osnabruecker-zeitung-linksfraktion"
"6","ZeitOnline","Ukraine","Auf dem Boden, an den Wänden, an der Decke, das Blut war überall",2020-08-14,8,2020,"https://www.zeit.de/politik/ausland/2020-08/folter-belarus-claudio-locatelli-minsk-journalismus-aktivismus-proteste-praesidentschaftswahl"
"7","ZeitOnline","Ukraine","USA vertiefen militärische Zusammenarbeit mit Polen",2020-08-15,8,2020,"https://www.zeit.de/politik/ausland/2020-08/mike-pompeo-usa-polen-militaerische-zusammenarbeit"
"8","ZeitOnline","Ukraine","Alexander Lukaschenko sucht Kontakt zu Wladimir Putin",2020-08-15,8,2020,"https://www.zeit.de/politik/ausland/2020-08/alexander-lukaschenko-belarus-wladimir-putin-proteste"
"9","ZeitOnline","Ukraine","Nord Stream 2 wird für Gazprom zum Koffer ohne Griff",2020-08-15,8,2020,"https://www.zeit.de/wirtschaft/2020-08/nord-stream-2-gazprom-pipeline-ostsee-russland-usa-probleme"
"10","ZeitOnline","Ukraine","Zehntausende demonstrieren erneut gegen Alexander Lukaschenko",2020-08-15,8,2020,"https://www.zeit.de/gesellschaft/2020-08/proteste-belarus-polizei-demonstranten-alexander-lukaschenko"
"11","ZeitOnline","Ukraine","Wladimir Putin sichert Belarus Unterstützung zu",2020-08-16,8,2020,"https://www.zeit.de/politik/ausland/2020-08/proteste-belarus-alexander-lukaschenko-grodno-fallschirmjaeger-kgb"
