web-scraper-order;web-scraper-start-url;Title;Date;URL;URL-href;
1685200355-1;https://www.sueddeutsche.de/news/page/95?search=Arbeitsmarkt&sort=date&all%5B%5D=dep&typ%5B%5D=article&sys%5B%5D=sz&catsz%5B%5D=alles&time=2013-01-01T00%3A00%2F2013-06-19T23%3A59&startDate=01.01.2013&endDate=31.12.2019;Mit Papyrologie Karriere machen;09.01.2013;;https://www.sueddeutsche.de/bildung/seltene-studiengaenge-mit-papyrologie-karriere-machen-1.1567706;
1685200355-2;https://www.sueddeutsche.de/news/page/95?search=Arbeitsmarkt&sort=date&all%5B%5D=dep&typ%5B%5D=article&sys%5B%5D=sz&catsz%5B%5D=alles&time=2013-01-01T00%3A00%2F2013-06-19T23%3A59&startDate=01.01.2013&endDate=31.12.2019;Zahl der Arbeitslosen in der Euro-Zone auf Rekordhoch;08.01.2013;;https://www.sueddeutsche.de/wirtschaft/eu-arbeitsmarkt-zahl-der-arbeitslosen-in-der-euro-zone-auf-rekordhoch-1.1567650;
1685200355-3;https://www.sueddeutsche.de/news/page/95?search=Arbeitsmarkt&sort=date&all%5B%5D=dep&typ%5B%5D=article&sys%5B%5D=sz&catsz%5B%5D=alles&time=2013-01-01T00%3A00%2F2013-06-19T23%3A59&startDate=01.01.2013&endDate=31.12.2019;Ein Instrument, das greift;04.01.2013;;https://www.sueddeutsche.de/muenchen/freising/das-baugewerbe-im-winter-ein-instrument-das-greift-1.1564750;
1685200355-4;https://www.sueddeutsche.de/news/page/95?search=Arbeitsmarkt&sort=date&all%5B%5D=dep&typ%5B%5D=article&sys%5B%5D=sz&catsz%5B%5D=alles&time=2013-01-01T00%3A00%2F2013-06-19T23%3A59&startDate=01.01.2013&endDate=31.12.2019;Weniger Arbeitslose, mehr Zuwanderer;03.01.2013;;https://www.sueddeutsche.de/wirtschaft/arbeitsmarkt-2012-weniger-arbeitslose-mehr-zuwanderer-1.1563825;
1685200355-5;https://www.sueddeutsche.de/news/page/95?search=Arbeitsmarkt&sort=date&all%5B%5D=dep&typ%5B%5D=article&sys%5B%5D=sz&catsz%5B%5D=alles&time=2013-01-01T00%3A00%2F2013-06-19T23%3A59&startDate=01.01.2013&endDate=31.12.2019;Vollbeschäftigung für alle;03.01.2013;;https://www.sueddeutsche.de/wirtschaft/cdu-im-wahlkampf-vollbeschaeftigung-fuer-alle-1.1563481;
1685200355-6;https://www.sueddeutsche.de/news/page/95?search=Arbeitsmarkt&sort=date&all%5B%5D=dep&typ%5B%5D=article&sys%5B%5D=sz&catsz%5B%5D=alles&time=2013-01-01T00%3A00%2F2013-06-19T23%3A59&startDate=01.01.2013&endDate=31.12.2019;Verführbare Soldaten;03.01.2013;;https://www.sueddeutsche.de/politik/rechtsextremismus-in-der-bundeswehr-verfuehrbare-soldaten-1.1563756;
1685200355-7;https://www.sueddeutsche.de/news/page/95?search=Arbeitsmarkt&sort=date&all%5B%5D=dep&typ%5B%5D=article&sys%5B%5D=sz&catsz%5B%5D=alles&time=2013-01-01T00%3A00%2F2013-06-19T23%3A59&startDate=01.01.2013&endDate=31.12.2019;Arbeitslosigkeit im Dezember gestiegen;03.01.2013;;https://www.sueddeutsche.de/wirtschaft/beschaeftigung-in-deutschland-arbeitslosigkeit-im-dezember-gestiegen-1.1563784;
1685200355-8;https://www.sueddeutsche.de/news/page/95?search=Arbeitsmarkt&sort=date&all%5B%5D=dep&typ%5B%5D=article&sys%5B%5D=sz&catsz%5B%5D=alles&time=2013-01-01T00%3A00%2F2013-06-19T23%3A59&startDate=01.01.2013&endDate=31.12.2019;Bilanz paradox;03.01.2013;;https://www.sueddeutsche.de/politik/gute-arbeitsmarktzahlen-mein-aufschwung-dein-aufschwung-1.1563704;
1685200355-9;https://www.sueddeutsche.de/news/page/95?search=Arbeitsmarkt&sort=date&all%5B%5D=dep&typ%5B%5D=article&sys%5B%5D=sz&catsz%5B%5D=alles&time=2013-01-01T00%3A00%2F2013-06-19T23%3A59&startDate=01.01.2013&endDate=31.12.2019;Es war noch nie so leicht, Vollbeschäftigung zu versprechen;02.01.2013;;https://www.sueddeutsche.de/wirtschaft/cdu-wahlkampf-es-war-noch-nie-so-leicht-vollbeschaeftigung-zu-versprechen-1.1563232;
1685200355-10;https://www.sueddeutsche.de/news/page/95?search=Arbeitsmarkt&sort=date&all%5B%5D=dep&typ%5B%5D=article&sys%5B%5D=sz&catsz%5B%5D=alles&time=2013-01-01T00%3A00%2F2013-06-19T23%3A59&startDate=01.01.2013&endDate=31.12.2019;So viele Deutsche wie nie sind erwerbstätig;02.01.2013;;https://www.sueddeutsche.de/wirtschaft/erwerbstaetigenzahlen-auf-rekordhoch-so-viele-deutsche-wie-nie-arbeiten-1.1562993;
1685200355-11;https://www.sueddeutsche.de/news/page/95?search=Arbeitsmarkt&sort=date&all%5B%5D=dep&typ%5B%5D=article&sys%5B%5D=sz&catsz%5B%5D=alles&time=2013-01-01T00%3A00%2F2013-06-19T23%3A59&startDate=01.01.2013&endDate=31.12.2019;Das ändert sich 2013;01.01.2013;;https://www.sueddeutsche.de/geld/neuerungen-zum-jahreswechsel-das-aendert-sich-2013-1.1562276;
1685200361-34;https://www.sueddeutsche.de/news/page/94?search=Arbeitsmarkt&sort=date&all%5B%5D=dep&typ%5B%5D=article&sys%5B%5D=sz&catsz%5B%5D=alles&time=2013-01-01T00%3A00%2F2013-06-19T23%3A59&startDate=01.01.2013&endDate=31.12.2019;Ich mach' mir die Welt, wie sie mir gefällt;06.03.2013;;https://www.sueddeutsche.de/wirtschaft/geschoenter-armutsbericht-der-regierung-ich-mach-mir-die-welt-wie-sie-mir-gefaellt-1.1616721;
1685200361-35;https://www.sueddeutsche.de/news/page/94?search=Arbeitsmarkt&sort=date&all%5B%5D=dep&typ%5B%5D=article&sys%5B%5D=sz&catsz%5B%5D=alles&time=2013-01-01T00%3A00%2F2013-06-19T23%3A59&startDate=01.01.2013&endDate=31.12.2019;FDP setzt sich mit Beschönigungen durch;06.03.2013;;https://www.sueddeutsche.de/wirtschaft/armutsbericht-der-regierung-fdp-setzt-sich-mit-beschoenigungen-durch-1.1616717;
1685200361-36;https://www.sueddeutsche.de/news/page/94?search=Arbeitsmarkt&sort=date&all%5B%5D=dep&typ%5B%5D=article&sys%5B%5D=sz&catsz%5B%5D=alles&time=2013-01-01T00%3A00%2F2013-06-19T23%3A59&startDate=01.01.2013&endDate=31.12.2019;"Escort-Service" sucht Prostituierte über Bundesagentur;05.03.2013;;https://www.sueddeutsche.de/bayern/internet-jobboerse-escort-service-sucht-prostituierte-ueber-bundesagentur-1.1616144;
1685200361-37;https://www.sueddeutsche.de/news/page/94?search=Arbeitsmarkt&sort=date&all%5B%5D=dep&typ%5B%5D=article&sys%5B%5D=sz&catsz%5B%5D=alles&time=2013-01-01T00%3A00%2F2013-06-19T23%3A59&startDate=01.01.2013&endDate=31.12.2019;Die FDP will wärmer werden;05.03.2013;;https://www.sueddeutsche.de/politik/neue-wahlkampfstrategie-die-fdp-will-waermer-werden-1.1615756;
1685200361-38;https://www.sueddeutsche.de/news/page/94?search=Arbeitsmarkt&sort=date&all%5B%5D=dep&typ%5B%5D=article&sys%5B%5D=sz&catsz%5B%5D=alles&time=2013-01-01T00%3A00%2F2013-06-19T23%3A59&startDate=01.01.2013&endDate=31.12.2019;Das Mindeste;04.03.2013;;https://www.sueddeutsche.de/politik/debatte-um-niedrigloehne-das-mindeste-1.1615373;
1685200361-39;https://www.sueddeutsche.de/news/page/94?search=Arbeitsmarkt&sort=date&all%5B%5D=dep&typ%5B%5D=article&sys%5B%5D=sz&catsz%5B%5D=alles&time=2013-01-01T00%3A00%2F2013-06-19T23%3A59&startDate=01.01.2013&endDate=31.12.2019;Ex-Banker schulen um;02.03.2013;;https://www.sueddeutsche.de/wirtschaft/von-der-boerse-in-den-weinberg-ex-banker-schulen-um-1.1613713;
1685200361-40;https://www.sueddeutsche.de/news/page/94?search=Arbeitsmarkt&sort=date&all%5B%5D=dep&typ%5B%5D=article&sys%5B%5D=sz&catsz%5B%5D=alles&time=2013-01-01T00%3A00%2F2013-06-19T23%3A59&startDate=01.01.2013&endDate=31.12.2019;Hartz IV kostete bislang 356 Milliarden Euro;01.03.2013;;https://www.sueddeutsche.de/politik/arbeitslosenhilfe-hartz-iv-schon-356-milliarden-euro-teuer-1.1612898;
1685200361-41;https://www.sueddeutsche.de/news/page/94?search=Arbeitsmarkt&sort=date&all%5B%5D=dep&typ%5B%5D=article&sys%5B%5D=sz&catsz%5B%5D=alles&time=2013-01-01T00%3A00%2F2013-06-19T23%3A59&startDate=01.01.2013&endDate=31.12.2019;Angst und Arbeit;28.02.2013;;https://www.sueddeutsche.de/wirtschaft/bulgaren-und-rumaenen-in-deutschland-angst-und-arbeit-1.1608908;
1685200361-42;https://www.sueddeutsche.de/news/page/94?search=Arbeitsmarkt&sort=date&all%5B%5D=dep&typ%5B%5D=article&sys%5B%5D=sz&catsz%5B%5D=alles&time=2013-01-01T00%3A00%2F2013-06-19T23%3A59&startDate=01.01.2013&endDate=31.12.2019;Harmloser Winter auf dem Arbeitsmarkt;28.02.2013;;https://www.sueddeutsche.de/wirtschaft/februar-zahlen-der-bundesagentur-harmloser-winter-auf-dem-arbeitsmarkt-1.1612005;
1685200361-43;https://www.sueddeutsche.de/news/page/94?search=Arbeitsmarkt&sort=date&all%5B%5D=dep&typ%5B%5D=article&sys%5B%5D=sz&catsz%5B%5D=alles&time=2013-01-01T00%3A00%2F2013-06-19T23%3A59&startDate=01.01.2013&endDate=31.12.2019;Gelähmte Nation;28.02.2013;;https://www.sueddeutsche.de/wirtschaft/frankreichs-wirtschaft-in-der-krise-gelaehmte-nation-1.1611810;
