web-scraper-order;web-scraper-start-url;Title;Date;URL;URL-href;
1685234114-1;https://www.sueddeutsche.de/news/page/5?search=B%C3%BCrgergeld&sort=date&all%5B%5D=dep&typ%5B%5D=article&sys%5B%5D=sz&catsz%5B%5D=alles&time=2013-01-01T00%3A00%2F2013-06-19T23%3A59&startDate=01.08.2022&endDate=31.01.2023;Koalitionsausschuss berät am Samstag über Entlastungspaket;02.09.2022;;https://www.sueddeutsche.de/politik/entlastungspaket-energiepreise-koalition-milliarden-1.5649946;
1685234114-2;https://www.sueddeutsche.de/news/page/5?search=B%C3%BCrgergeld&sort=date&all%5B%5D=dep&typ%5B%5D=article&sys%5B%5D=sz&catsz%5B%5D=alles&time=2013-01-01T00%3A00%2F2013-06-19T23%3A59&startDate=01.08.2022&endDate=31.01.2023;Wenn sich Energiesparen nicht lohnt;02.09.2022;;https://www.sueddeutsche.de/muenchen/hilfe-zum-lebensunterhalt-hartz-iv-sozialhilfe-energiekosten-muenchen-1.5649332;
1685234114-3;https://www.sueddeutsche.de/news/page/5?search=B%C3%BCrgergeld&sort=date&all%5B%5D=dep&typ%5B%5D=article&sys%5B%5D=sz&catsz%5B%5D=alles&time=2013-01-01T00%3A00%2F2013-06-19T23%3A59&startDate=01.08.2022&endDate=31.01.2023;Sozialstaat auf Sparflamme;02.09.2022;;https://www.sueddeutsche.de/muenchen/muenchen-hartz-iv-buergergeld-sozialhilfe-energiekrise-1.5649443;
1685234114-4;https://www.sueddeutsche.de/news/page/5?search=B%C3%BCrgergeld&sort=date&all%5B%5D=dep&typ%5B%5D=article&sys%5B%5D=sz&catsz%5B%5D=alles&time=2013-01-01T00%3A00%2F2013-06-19T23%3A59&startDate=01.08.2022&endDate=31.01.2023;Die Regierung ist gleichzeitig tot und lebendig;31.08.2022;;https://www.sueddeutsche.de/meinung/bundesregierung-schloss-meseberg-bundeskanzler-olaf-scholz-robert-habeck-christian-lindner-gasumlage-ukraine-energiekrise-1.5648742;
1685234114-5;https://www.sueddeutsche.de/news/page/5?search=B%C3%BCrgergeld&sort=date&all%5B%5D=dep&typ%5B%5D=article&sys%5B%5D=sz&catsz%5B%5D=alles&time=2013-01-01T00%3A00%2F2013-06-19T23%3A59&startDate=01.08.2022&endDate=31.01.2023;Lindner kündigt "wuchtiges Entlastungspaket" an;31.08.2022;;https://www.sueddeutsche.de/politik/meseberg-scholz-habeck-lindner-1.5648275;
1685234114-6;https://www.sueddeutsche.de/news/page/5?search=B%C3%BCrgergeld&sort=date&all%5B%5D=dep&typ%5B%5D=article&sys%5B%5D=sz&catsz%5B%5D=alles&time=2013-01-01T00%3A00%2F2013-06-19T23%3A59&startDate=01.08.2022&endDate=31.01.2023;Vom 49-Euro-Ticket bis zur Gasumlage;30.08.2022;;https://www.sueddeutsche.de/politik/ampelkoalition-entlastungen-meseburg-1.5647448;
1685234114-7;https://www.sueddeutsche.de/news/page/5?search=B%C3%BCrgergeld&sort=date&all%5B%5D=dep&typ%5B%5D=article&sys%5B%5D=sz&catsz%5B%5D=alles&time=2013-01-01T00%3A00%2F2013-06-19T23%3A59&startDate=01.08.2022&endDate=31.01.2023;Vom sozialdemokratischen Jahrzehnt ist so gut wie nichts zu spüren;29.08.2022;;https://www.sueddeutsche.de/meinung/entlastungspakete-ampel-koalition-olaf-scholz-spd-mindestlohn-energie-ukraine-1.5646558;
1685234114-10;https://www.sueddeutsche.de/news/page/5?search=B%C3%BCrgergeld&sort=date&all%5B%5D=dep&typ%5B%5D=article&sys%5B%5D=sz&catsz%5B%5D=alles&time=2013-01-01T00%3A00%2F2013-06-19T23%3A59&startDate=01.08.2022&endDate=31.01.2023;Ausflüge in die Wirklichkeit;27.08.2022;;https://www.sueddeutsche.de/politik/sommerreisen-heil-lemke-1.5646012;
1685234114-11;https://www.sueddeutsche.de/news/page/5?search=B%C3%BCrgergeld&sort=date&all%5B%5D=dep&typ%5B%5D=article&sys%5B%5D=sz&catsz%5B%5D=alles&time=2013-01-01T00%3A00%2F2013-06-19T23%3A59&startDate=01.08.2022&endDate=31.01.2023;Und keiner will es gewesen sein;15.08.2022;;https://www.sueddeutsche.de/politik/gasumlage-entlastungspaket-ampelkoalition-1.5639620;
1685234114-12;https://www.sueddeutsche.de/news/page/5?search=B%C3%BCrgergeld&sort=date&all%5B%5D=dep&typ%5B%5D=article&sys%5B%5D=sz&catsz%5B%5D=alles&time=2013-01-01T00%3A00%2F2013-06-19T23%3A59&startDate=01.08.2022&endDate=31.01.2023;Das plant die Ampelkoalition für den Herbst;11.08.2022;;https://www.sueddeutsche.de/politik/olaf-scholz-sommerpressekonferenz-ampel-koalition-1.5638062;
1685234114-13;https://www.sueddeutsche.de/news/page/5?search=B%C3%BCrgergeld&sort=date&all%5B%5D=dep&typ%5B%5D=article&sys%5B%5D=sz&catsz%5B%5D=alles&time=2013-01-01T00%3A00%2F2013-06-19T23%3A59&startDate=01.08.2022&endDate=31.01.2023;VdK warnt vor sozialen Verwerfungen;11.08.2022;;https://www.sueddeutsche.de/bayern/sozialverband-vdk-verena-bentele-energiekosten-1.5638066;
1685234114-14;https://www.sueddeutsche.de/news/page/5?search=B%C3%BCrgergeld&sort=date&all%5B%5D=dep&typ%5B%5D=article&sys%5B%5D=sz&catsz%5B%5D=alles&time=2013-01-01T00%3A00%2F2013-06-19T23%3A59&startDate=01.08.2022&endDate=31.01.2023;Inflation trifft vor allem Geringverdiener;10.08.2022;;https://www.sueddeutsche.de/politik/inflation-preise-geringverdiener-1.5637411;
1685234114-15;https://www.sueddeutsche.de/news/page/5?search=B%C3%BCrgergeld&sort=date&all%5B%5D=dep&typ%5B%5D=article&sys%5B%5D=sz&catsz%5B%5D=alles&time=2013-01-01T00%3A00%2F2013-06-19T23%3A59&startDate=01.08.2022&endDate=31.01.2023;Aus mehr mach weniger;04.08.2022;;https://www.sueddeutsche.de/meinung/bundesregierung-ampelkoalition-olaf-scholz-christian-lindner-kalte-progression-steuern-1.5633291;
1685234114-16;https://www.sueddeutsche.de/news/page/5?search=B%C3%BCrgergeld&sort=date&all%5B%5D=dep&typ%5B%5D=article&sys%5B%5D=sz&catsz%5B%5D=alles&time=2013-01-01T00%3A00%2F2013-06-19T23%3A59&startDate=01.08.2022&endDate=31.01.2023;Nachrichten des Tages - die Übersicht für Eilige;02.08.2022;;https://www.sueddeutsche.de/politik/news-ukraine-corona-usa-al-qaida-taiwan-hartz-iv-1.5632040;
1685234114-17;https://www.sueddeutsche.de/news/page/5?search=B%C3%BCrgergeld&sort=date&all%5B%5D=dep&typ%5B%5D=article&sys%5B%5D=sz&catsz%5B%5D=alles&time=2013-01-01T00%3A00%2F2013-06-19T23%3A59&startDate=01.08.2022&endDate=31.01.2023;Was sich Langzeitarbeitslose vom Bürgergeld erhoffen;02.08.2022;;https://www.sueddeutsche.de/politik/hartz-iv-buergergeld-arbeitslosengeld-studie-1.5631388;
