web-scraper-order;web-scraper-start-url;Title;Date;URL;URL-href;
1685230531-1;https://www.sueddeutsche.de/news/page/25?search=Digitalisierung&sort=date&all%5B%5D=dep&typ%5B%5D=article&sys%5B%5D=sz&catsz%5B%5D=alles&time=2013-01-01T00%3A00%2F2013-06-19T23%3A59&startDate=01.01.2022&endDate=30.04.2023;Nach den Ferien ist vor der Welle;16.01.2022;;https://www.sueddeutsche.de/muenchen/dachau/schule-coronavirus-landkreis-dachau-1.5508352;
1685230531-2;https://www.sueddeutsche.de/news/page/25?search=Digitalisierung&sort=date&all%5B%5D=dep&typ%5B%5D=article&sys%5B%5D=sz&catsz%5B%5D=alles&time=2013-01-01T00%3A00%2F2013-06-19T23%3A59&startDate=01.01.2022&endDate=30.04.2023;Die Woche von Dietmar Lupfer;16.01.2022;;https://www.sueddeutsche.de/muenchen/muenchen-freizeit-kultur-tipps-dietmar-lupfer-muffatwerk-1.5505867;
1685230531-3;https://www.sueddeutsche.de/news/page/25?search=Digitalisierung&sort=date&all%5B%5D=dep&typ%5B%5D=article&sys%5B%5D=sz&catsz%5B%5D=alles&time=2013-01-01T00%3A00%2F2013-06-19T23%3A59&startDate=01.01.2022&endDate=30.04.2023;"Corona-Spaziergänge sind inakzeptabel";16.01.2022;;https://www.sueddeutsche.de/muenchen/wolfratshausen/bad-toelz-wolfratshausen-corona-spaziergaenge-sind-inakzeptabel-1.5508304;
1685230531-4;https://www.sueddeutsche.de/news/page/25?search=Digitalisierung&sort=date&all%5B%5D=dep&typ%5B%5D=article&sys%5B%5D=sz&catsz%5B%5D=alles&time=2013-01-01T00%3A00%2F2013-06-19T23%3A59&startDate=01.01.2022&endDate=30.04.2023;"Natürlich ist Berlin regierbar";15.01.2022;;https://www.sueddeutsche.de/politik/franziska-giffey-berlin-interview-mieten-1.5507507;
1685230531-5;https://www.sueddeutsche.de/news/page/25?search=Digitalisierung&sort=date&all%5B%5D=dep&typ%5B%5D=article&sys%5B%5D=sz&catsz%5B%5D=alles&time=2013-01-01T00%3A00%2F2013-06-19T23%3A59&startDate=01.01.2022&endDate=30.04.2023;Wie klimafreundlich darf es sein?;14.01.2022;;https://www.sueddeutsche.de/wirtschaft/wohnungsbau-sozialwohnungen-klimaschutz-kostenexplosion-1.5507512;
1685230531-6;https://www.sueddeutsche.de/news/page/25?search=Digitalisierung&sort=date&all%5B%5D=dep&typ%5B%5D=article&sys%5B%5D=sz&catsz%5B%5D=alles&time=2013-01-01T00%3A00%2F2013-06-19T23%3A59&startDate=01.01.2022&endDate=30.04.2023;Deutsche Wirtschaft wächst 2021 um 2,7 Prozent;14.01.2022;;https://www.sueddeutsche.de/wirtschaft/konjunktur-deutschland-coronakrise-inflation-wirtschaftswachstum-1.5507353;
1685230531-7;https://www.sueddeutsche.de/news/page/25?search=Digitalisierung&sort=date&all%5B%5D=dep&typ%5B%5D=article&sys%5B%5D=sz&catsz%5B%5D=alles&time=2013-01-01T00%3A00%2F2013-06-19T23%3A59&startDate=01.01.2022&endDate=30.04.2023;Tür auf, Tür zu;14.01.2022;;https://www.sueddeutsche.de/medien/maybrit-illner-manuela-schwesig-klaus-holetschek-omikron-1.5506162;
1685230531-8;https://www.sueddeutsche.de/news/page/25?search=Digitalisierung&sort=date&all%5B%5D=dep&typ%5B%5D=article&sys%5B%5D=sz&catsz%5B%5D=alles&time=2013-01-01T00%3A00%2F2013-06-19T23%3A59&startDate=01.01.2022&endDate=30.04.2023;Und es hat Buh gemacht;13.01.2022;;https://www.sueddeutsche.de/kultur/scream-film-kritik-2022-1.5506723;
1685230531-9;https://www.sueddeutsche.de/news/page/25?search=Digitalisierung&sort=date&all%5B%5D=dep&typ%5B%5D=article&sys%5B%5D=sz&catsz%5B%5D=alles&time=2013-01-01T00%3A00%2F2013-06-19T23%3A59&startDate=01.01.2022&endDate=30.04.2023;"Ich bin nicht allein damit, allein zu sein";12.01.2022;;https://www.sueddeutsche.de/kultur/stromae-fernsehnachrichten-1.5506198;
1685230531-10;https://www.sueddeutsche.de/news/page/25?search=Digitalisierung&sort=date&all%5B%5D=dep&typ%5B%5D=article&sys%5B%5D=sz&catsz%5B%5D=alles&time=2013-01-01T00%3A00%2F2013-06-19T23%3A59&startDate=01.01.2022&endDate=30.04.2023;Murksus maximus fürs römische Museum;12.01.2022;;https://www.sueddeutsche.de/kolumne/augsburg-murksus-maximus-fuers-roemische-museum-1.5506176;
