web-scraper-order;web-scraper-start-url;Title;Date;URL;URL-href;
1685234326-1;https://www.sueddeutsche.de/news/page/13?search=Homo+Ehe&sort=date&all%5B%5D=dep&typ%5B%5D=article&sys%5B%5D=sz&catsz%5B%5D=alles&time=2013-01-01T00%3A00%2F2013-06-19T23%3A59&startDate=01.06.2017&endDate=31.07.2017;Wenn ein Todesstern im Cocktail schwimmt;01.06.2017;;https://www.sueddeutsche.de/muenchen/bars-in-muenchen-warum-neuerdings-der-todesstern-im-cocktail-schwimmt-1.3529298;
1685234326-2;https://www.sueddeutsche.de/news/page/13?search=Homo+Ehe&sort=date&all%5B%5D=dep&typ%5B%5D=article&sys%5B%5D=sz&catsz%5B%5D=alles&time=2013-01-01T00%3A00%2F2013-06-19T23%3A59&startDate=01.06.2017&endDate=31.07.2017;Rhein-Neckar Löwen sind Deutscher Meister;01.06.2017;;https://www.sueddeutsche.de/sport/handball-rhein-neckar-loewen-sind-deutscher-meister-1.3530380;
1685234329-7;https://www.sueddeutsche.de/news/page/12?search=Homo+Ehe&sort=date&all%5B%5D=dep&typ%5B%5D=article&sys%5B%5D=sz&catsz%5B%5D=alles&time=2013-01-01T00%3A00%2F2013-06-19T23%3A59&startDate=01.06.2017&endDate=31.07.2017;Kann man Liebe zerreden?;07.06.2017;;https://www.sueddeutsche.de/leben/paartherapeuten-gespraech-kann-man-liebe-zerreden-1.3536784;
1685234329-8;https://www.sueddeutsche.de/news/page/12?search=Homo+Ehe&sort=date&all%5B%5D=dep&typ%5B%5D=article&sys%5B%5D=sz&catsz%5B%5D=alles&time=2013-01-01T00%3A00%2F2013-06-19T23%3A59&startDate=01.06.2017&endDate=31.07.2017;Rückkehr der Rassisten;07.06.2017;;https://www.sueddeutsche.de/politik/politik-und-pseudowissenschaft-rueckkehr-der-rassisten-1.3468300;
1685234329-9;https://www.sueddeutsche.de/news/page/12?search=Homo+Ehe&sort=date&all%5B%5D=dep&typ%5B%5D=article&sys%5B%5D=sz&catsz%5B%5D=alles&time=2013-01-01T00%3A00%2F2013-06-19T23%3A59&startDate=01.06.2017&endDate=31.07.2017;"Es ist notwendig, sich zu engagieren";07.06.2017;;https://www.sueddeutsche.de/bildung/gespraech-ueber-die-68er-bewegung-es-ist-notwendig-sich-zu-engagieren-1.3525429;
1685234329-10;https://www.sueddeutsche.de/news/page/12?search=Homo+Ehe&sort=date&all%5B%5D=dep&typ%5B%5D=article&sys%5B%5D=sz&catsz%5B%5D=alles&time=2013-01-01T00%3A00%2F2013-06-19T23%3A59&startDate=01.06.2017&endDate=31.07.2017;Szenen einer Ehe;06.06.2017;;https://www.sueddeutsche.de/muenchen/dachau/premiere-in-bergkirchen-szenen-einer-ehe-1.3536280;
1685234329-11;https://www.sueddeutsche.de/news/page/12?search=Homo+Ehe&sort=date&all%5B%5D=dep&typ%5B%5D=article&sys%5B%5D=sz&catsz%5B%5D=alles&time=2013-01-01T00%3A00%2F2013-06-19T23%3A59&startDate=01.06.2017&endDate=31.07.2017;Tierisches Konzert;06.06.2017;;https://www.sueddeutsche.de/muenchen/erding/mitten-in-fraunberg-tierisches-konzert-1.3535577;
1685234329-12;https://www.sueddeutsche.de/news/page/12?search=Homo+Ehe&sort=date&all%5B%5D=dep&typ%5B%5D=article&sys%5B%5D=sz&catsz%5B%5D=alles&time=2013-01-01T00%3A00%2F2013-06-19T23%3A59&startDate=01.06.2017&endDate=31.07.2017;Heikle Mission in der Urlaubszeit;06.06.2017;;https://www.sueddeutsche.de/sport/u17-junioren-heikle-mission-in-der-urlaubszeit-1.3536034;
1685234329-13;https://www.sueddeutsche.de/news/page/12?search=Homo+Ehe&sort=date&all%5B%5D=dep&typ%5B%5D=article&sys%5B%5D=sz&catsz%5B%5D=alles&time=2013-01-01T00%3A00%2F2013-06-19T23%3A59&startDate=01.06.2017&endDate=31.07.2017;Ganz schön voll hier;06.06.2017;;https://www.sueddeutsche.de/wissen/bevoelkerungswachstum-ganz-schoen-voll-hier-1.3536414;
1685234329-14;https://www.sueddeutsche.de/news/page/12?search=Homo+Ehe&sort=date&all%5B%5D=dep&typ%5B%5D=article&sys%5B%5D=sz&catsz%5B%5D=alles&time=2013-01-01T00%3A00%2F2013-06-19T23%3A59&startDate=01.06.2017&endDate=31.07.2017;Großer Stinker;06.06.2017;;https://www.sueddeutsche.de/muenchen/selten-bluehende-pflanze-grosser-stinker-1.3535883;
1685234329-15;https://www.sueddeutsche.de/news/page/12?search=Homo+Ehe&sort=date&all%5B%5D=dep&typ%5B%5D=article&sys%5B%5D=sz&catsz%5B%5D=alles&time=2013-01-01T00%3A00%2F2013-06-19T23%3A59&startDate=01.06.2017&endDate=31.07.2017;Blutige Hochzeit, gute Hochzeit;06.06.2017;;https://www.sueddeutsche.de/muenchen/sz-serie-die-isartuerkin-folge-4-blutige-hochzeit-gute-hochzeit-1.3535947;
1685234329-16;https://www.sueddeutsche.de/news/page/12?search=Homo+Ehe&sort=date&all%5B%5D=dep&typ%5B%5D=article&sys%5B%5D=sz&catsz%5B%5D=alles&time=2013-01-01T00%3A00%2F2013-06-19T23%3A59&startDate=01.06.2017&endDate=31.07.2017;Beltz bleibt;06.06.2017;;https://www.sueddeutsche.de/sport/tennis-beltz-bleibt-1.3535996;
1685234329-17;https://www.sueddeutsche.de/news/page/12?search=Homo+Ehe&sort=date&all%5B%5D=dep&typ%5B%5D=article&sys%5B%5D=sz&catsz%5B%5D=alles&time=2013-01-01T00%3A00%2F2013-06-19T23%3A59&startDate=01.06.2017&endDate=31.07.2017;Mit wem schläft Papa?;06.06.2017;;https://www.sueddeutsche.de/medien/ard-zweiteiler-mit-wem-schlaeft-papa-1.3535938;
1685234329-18;https://www.sueddeutsche.de/news/page/12?search=Homo+Ehe&sort=date&all%5B%5D=dep&typ%5B%5D=article&sys%5B%5D=sz&catsz%5B%5D=alles&time=2013-01-01T00%3A00%2F2013-06-19T23%3A59&startDate=01.06.2017&endDate=31.07.2017;Landsberg wird die Motorengeräusche vermissen;06.06.2017;;https://www.sueddeutsche.de/bayern/landsberg-am-lech-landsberg-wird-die-motorengeraeusche-vermissen-1.3534579;
1685234329-19;https://www.sueddeutsche.de/news/page/12?search=Homo+Ehe&sort=date&all%5B%5D=dep&typ%5B%5D=article&sys%5B%5D=sz&catsz%5B%5D=alles&time=2013-01-01T00%3A00%2F2013-06-19T23%3A59&startDate=01.06.2017&endDate=31.07.2017;Der Auer Mühlbach ist die Lebensader des Tierparks;06.06.2017;;https://www.sueddeutsche.de/muenchen/tierpark-der-auer-muehlbach-ist-die-lebensader-des-tierparks-1.3534699;
