web-scraper-order;web-scraper-start-url;Title;Date;URL;URL-href;
1685188043-1;https://www.sueddeutsche.de/news/page/91?search=Migration&sort=date&all%5B%5D=dep&typ%5B%5D=article&sys%5B%5D=sz&catsz%5B%5D=alles&time=2013-01-01T00%3A00%2F2013-06-19T23%3A59&startDate=01.01.2013&endDate=31.12.2018;Männer, die vorm Baumarkt warten;23.01.2013;;https://www.sueddeutsche.de/politik/balkan-fellowship-2012-maenner-die-vorm-baumarkt-warten-1.1581229;
1685188043-2;https://www.sueddeutsche.de/news/page/91?search=Migration&sort=date&all%5B%5D=dep&typ%5B%5D=article&sys%5B%5D=sz&catsz%5B%5D=alles&time=2013-01-01T00%3A00%2F2013-06-19T23%3A59&startDate=01.01.2013&endDate=31.12.2018;Ein Gefühl von Nähe;15.01.2013;;https://www.sueddeutsche.de/bayern/joachim-gauck-und-daniela-schadt-in-nuernberg-ein-gefuehl-von-naehe-1.1573944;
1685188043-3;https://www.sueddeutsche.de/news/page/91?search=Migration&sort=date&all%5B%5D=dep&typ%5B%5D=article&sys%5B%5D=sz&catsz%5B%5D=alles&time=2013-01-01T00%3A00%2F2013-06-19T23%3A59&startDate=01.01.2013&endDate=31.12.2018;Zahl der Asylbewerber steigt stark an;15.01.2013;;https://www.sueddeutsche.de/politik/statistik-des-innenministeriums-zahl-der-asylbewerber-steigt-stark-an-1.1573551;
1685188043-4;https://www.sueddeutsche.de/news/page/91?search=Migration&sort=date&all%5B%5D=dep&typ%5B%5D=article&sys%5B%5D=sz&catsz%5B%5D=alles&time=2013-01-01T00%3A00%2F2013-06-19T23%3A59&startDate=01.01.2013&endDate=31.12.2018;Gauck besucht die Bundesagentur für Arbeit;15.01.2013;;https://www.sueddeutsche.de/bayern/bundespraesident-in-nuernberg-gauck-besucht-die-bundesagentur-fuer-arbeit-1.1573195;
1685188043-5;https://www.sueddeutsche.de/news/page/91?search=Migration&sort=date&all%5B%5D=dep&typ%5B%5D=article&sys%5B%5D=sz&catsz%5B%5D=alles&time=2013-01-01T00%3A00%2F2013-06-19T23%3A59&startDate=01.01.2013&endDate=31.12.2018;"Inhaltlich begründet";10.01.2013;;https://www.sueddeutsche.de/bayern/vertrag-als-professor-nicht-verlaengert-inhaltlich-begruendet-1.1570229;
1685188043-6;https://www.sueddeutsche.de/news/page/91?search=Migration&sort=date&all%5B%5D=dep&typ%5B%5D=article&sys%5B%5D=sz&catsz%5B%5D=alles&time=2013-01-01T00%3A00%2F2013-06-19T23%3A59&startDate=01.01.2013&endDate=31.12.2018;Handel und Hass;07.01.2013;;https://www.sueddeutsche.de/kultur/geschichtsbuch-weltmaerkte-und-weltkriege-handel-und-hass-1.1566519;
1685188047-19;https://www.sueddeutsche.de/news/page/90?search=Migration&sort=date&all%5B%5D=dep&typ%5B%5D=article&sys%5B%5D=sz&catsz%5B%5D=alles&time=2013-01-01T00%3A00%2F2013-06-19T23%3A59&startDate=01.01.2013&endDate=31.12.2018;Absetzen und abhauen;22.07.2013;;https://www.sueddeutsche.de/wirtschaft/steuergerechtigkeit-absetzen-und-abhauen-1.1727243;
1685188047-20;https://www.sueddeutsche.de/news/page/90?search=Migration&sort=date&all%5B%5D=dep&typ%5B%5D=article&sys%5B%5D=sz&catsz%5B%5D=alles&time=2013-01-01T00%3A00%2F2013-06-19T23%3A59&startDate=01.01.2013&endDate=31.12.2018;Zahl der Asylsuchenden steigt stark an;15.07.2013;;https://www.sueddeutsche.de/politik/fluechtlinge-nach-deutschland-zahl-der-asylsuchenden-steigt-stark-an-1.1722441;
1685188047-21;https://www.sueddeutsche.de/news/page/90?search=Migration&sort=date&all%5B%5D=dep&typ%5B%5D=article&sys%5B%5D=sz&catsz%5B%5D=alles&time=2013-01-01T00%3A00%2F2013-06-19T23%3A59&startDate=01.01.2013&endDate=31.12.2018;Asylprotest mit strengen Auflagen;10.07.2013;;https://www.sueddeutsche.de/muenchen/nach-hungerstreik-asylprotest-mit-strengen-auflagen-1.1718562;
1685188047-22;https://www.sueddeutsche.de/news/page/90?search=Migration&sort=date&all%5B%5D=dep&typ%5B%5D=article&sys%5B%5D=sz&catsz%5B%5D=alles&time=2013-01-01T00%3A00%2F2013-06-19T23%3A59&startDate=01.01.2013&endDate=31.12.2018;Aussichtslose Fälle zuerst;04.07.2013;;https://www.sueddeutsche.de/bayern/asylverfahren-in-deutschland-aussichtslose-faelle-zuerst-1.1712281;
1685188047-23;https://www.sueddeutsche.de/news/page/90?search=Migration&sort=date&all%5B%5D=dep&typ%5B%5D=article&sys%5B%5D=sz&catsz%5B%5D=alles&time=2013-01-01T00%3A00%2F2013-06-19T23%3A59&startDate=01.01.2013&endDate=31.12.2018;Staatsregierung will Flüchtlinge besser behandeln;02.07.2013;;https://www.sueddeutsche.de/bayern/asylpolitik-in-bayern-staatsregierung-will-verbesserungen-pruefen-1.1710724;
1685188047-24;https://www.sueddeutsche.de/news/page/90?search=Migration&sort=date&all%5B%5D=dep&typ%5B%5D=article&sys%5B%5D=sz&catsz%5B%5D=alles&time=2013-01-01T00%3A00%2F2013-06-19T23%3A59&startDate=01.01.2013&endDate=31.12.2018;Auf der Spur der Ballonauten;02.07.2013;;https://www.sueddeutsche.de/bayern/bizarres-sportgeraet-auf-der-spur-der-ballonauten-1.1710469;
1685188047-25;https://www.sueddeutsche.de/news/page/90?search=Migration&sort=date&all%5B%5D=dep&typ%5B%5D=article&sys%5B%5D=sz&catsz%5B%5D=alles&time=2013-01-01T00%3A00%2F2013-06-19T23%3A59&startDate=01.01.2013&endDate=31.12.2018;Warum Deutschland Snowden ausliefern würde;02.07.2013;;https://www.sueddeutsche.de/politik/antrag-auf-asyl-warum-deutschland-snowden-ausliefern-wuerde-1.1710466;
1685188047-26;https://www.sueddeutsche.de/news/page/90?search=Migration&sort=date&all%5B%5D=dep&typ%5B%5D=article&sys%5B%5D=sz&catsz%5B%5D=alles&time=2013-01-01T00%3A00%2F2013-06-19T23%3A59&startDate=01.01.2013&endDate=31.12.2018;Krisenstab ordnet Zutritt von Ärzten an;28.06.2013;;https://www.sueddeutsche.de/muenchen/fluechtlinge-im-hungerstreik-stadt-ordnet-zutritt-von-aerzten-an-1.1707977;
1685188047-27;https://www.sueddeutsche.de/news/page/90?search=Migration&sort=date&all%5B%5D=dep&typ%5B%5D=article&sys%5B%5D=sz&catsz%5B%5D=alles&time=2013-01-01T00%3A00%2F2013-06-19T23%3A59&startDate=01.01.2013&endDate=31.12.2018;"Juristisch schlichtweg nicht möglich";28.06.2013;;https://www.sueddeutsche.de/muenchen/hungerstreik-fuer-asyl-juristisch-schlichtweg-nicht-moeglich-1.1707665;
1685188047-29;https://www.sueddeutsche.de/news/page/90?search=Migration&sort=date&all%5B%5D=dep&typ%5B%5D=article&sys%5B%5D=sz&catsz%5B%5D=alles&time=2013-01-01T00%3A00%2F2013-06-19T23%3A59&startDate=01.01.2013&endDate=31.12.2018;Haderthauer fordert Abbruch des Hungerstreiks;26.06.2013;;https://www.sueddeutsche.de/muenchen/fluechtlinge-demonstrieren-in-muenchen-haderthauer-fordert-abbruch-des-hungerstreiks-1.1706405;
1685188047-30;https://www.sueddeutsche.de/news/page/90?search=Migration&sort=date&all%5B%5D=dep&typ%5B%5D=article&sys%5B%5D=sz&catsz%5B%5D=alles&time=2013-01-01T00%3A00%2F2013-06-19T23%3A59&startDate=01.01.2013&endDate=31.12.2018;Sie stimmen ab - wir recherchieren;17.06.2013;;https://www.sueddeutsche.de/kolumne/projekt-die-recherche-sie-stimmen-ab-wir-recherchieren-1.1687183;
