web-scraper-order;web-scraper-start-url;Title;Date;URL;URL-href;
1685198623-1;https://www.sueddeutsche.de/news/page/94?search=Rassismus&sort=date&all%5B%5D=dep&typ%5B%5D=article&sys%5B%5D=sz&catsz%5B%5D=alles&time=2013-01-01T00%3A00%2F2013-06-19T23%3A59&startDate=01.01.2013&endDate=31.12.2019;UCI führt deutlich weniger Kontrollen durch;02.02.2013;;https://www.sueddeutsche.de/sport/doping-im-radsport-uci-fuehrt-deutlich-weniger-kontrollen-durch-1.1589789;
1685198623-2;https://www.sueddeutsche.de/news/page/94?search=Rassismus&sort=date&all%5B%5D=dep&typ%5B%5D=article&sys%5B%5D=sz&catsz%5B%5D=alles&time=2013-01-01T00%3A00%2F2013-06-19T23%3A59&startDate=01.01.2013&endDate=31.12.2019;Zwischen Menschenwürde und Petitesse;01.02.2013;;https://www.sueddeutsche.de/medien/sexismus-debatte-bei-maybrit-illner-zwischen-menschenwuerde-und-petitesse-1.1588438;
1685198623-3;https://www.sueddeutsche.de/news/page/94?search=Rassismus&sort=date&all%5B%5D=dep&typ%5B%5D=article&sys%5B%5D=sz&catsz%5B%5D=alles&time=2013-01-01T00%3A00%2F2013-06-19T23%3A59&startDate=01.01.2013&endDate=31.12.2019;Düsteres Spiel;31.01.2013;;https://www.sueddeutsche.de/kultur/play-im-kino-duesteres-spiel-1.1587641;
1685198623-4;https://www.sueddeutsche.de/news/page/94?search=Rassismus&sort=date&all%5B%5D=dep&typ%5B%5D=article&sys%5B%5D=sz&catsz%5B%5D=alles&time=2013-01-01T00%3A00%2F2013-06-19T23%3A59&startDate=01.01.2013&endDate=31.12.2019;Von Breslau nach Burdapest;30.01.2013;;https://www.sueddeutsche.de/muenchen/starnberg/gauting-von-breslau-nach-burdapest-1.1587678;
1685198623-5;https://www.sueddeutsche.de/news/page/94?search=Rassismus&sort=date&all%5B%5D=dep&typ%5B%5D=article&sys%5B%5D=sz&catsz%5B%5D=alles&time=2013-01-01T00%3A00%2F2013-06-19T23%3A59&startDate=01.01.2013&endDate=31.12.2019;Empörung über Denis Scheck im Netz;30.01.2013;;https://www.sueddeutsche.de/medien/schwarz-geschminkter-literaturkritiker-empoerung-ueber-denis-scheck-im-netz-1.1587499;
1685198623-6;https://www.sueddeutsche.de/news/page/94?search=Rassismus&sort=date&all%5B%5D=dep&typ%5B%5D=article&sys%5B%5D=sz&catsz%5B%5D=alles&time=2013-01-01T00%3A00%2F2013-06-19T23%3A59&startDate=01.01.2013&endDate=31.12.2019;Auf der Suche nach dem inneren Jamaika;30.01.2013;;https://www.sueddeutsche.de/wirtschaft/rassismus-vorwurf-gegen-volkswagen-auf-der-suche-nach-dem-inneren-jamaika-1.1587033;
1685198623-7;https://www.sueddeutsche.de/news/page/94?search=Rassismus&sort=date&all%5B%5D=dep&typ%5B%5D=article&sys%5B%5D=sz&catsz%5B%5D=alles&time=2013-01-01T00%3A00%2F2013-06-19T23%3A59&startDate=01.01.2013&endDate=31.12.2019;Israel verbietet Zwangsverhütung;29.01.2013;;https://www.sueddeutsche.de/politik/kontroverse-um-aethiopische-juden-israel-verbietet-zwangsverhuetung-1.1585924;
1685198623-8;https://www.sueddeutsche.de/news/page/94?search=Rassismus&sort=date&all%5B%5D=dep&typ%5B%5D=article&sys%5B%5D=sz&catsz%5B%5D=alles&time=2013-01-01T00%3A00%2F2013-06-19T23%3A59&startDate=01.01.2013&endDate=31.12.2019;Pionier der Konfliktforschung tritt ab;28.01.2013;;https://www.sueddeutsche.de/wissen/wilhelm-heitmeyer-pionier-der-konfliktforschung-tritt-ab-1.1584950;
1685198623-10;https://www.sueddeutsche.de/news/page/94?search=Rassismus&sort=date&all%5B%5D=dep&typ%5B%5D=article&sys%5B%5D=sz&catsz%5B%5D=alles&time=2013-01-01T00%3A00%2F2013-06-19T23%3A59&startDate=01.01.2013&endDate=31.12.2019;Blatter fordert Zwangsabstieg für Vereine;24.01.2013;;https://www.sueddeutsche.de/sport/real-madrid-reicht-ein-unentschieden-oezil-und-khedira-erreichen-pokal-halbfinale-1.1582246;
1685198623-11;https://www.sueddeutsche.de/news/page/94?search=Rassismus&sort=date&all%5B%5D=dep&typ%5B%5D=article&sys%5B%5D=sz&catsz%5B%5D=alles&time=2013-01-01T00%3A00%2F2013-06-19T23%3A59&startDate=01.01.2013&endDate=31.12.2019;Spanien fordert deutsche Handballer;21.01.2013;;https://www.sueddeutsche.de/sport/handball-wm-spanien-fordert-deutsche-handballer-1.1579539;
