web-scraper-order;web-scraper-start-url;Link;Link-href;Title;Date;
1685182200-1;https://www.wiwo.de/suche/?p19868864=651&sw=Digitalisierung&search-period=&article=article;Schwache Zahlen            Buchhandel hofft aufs Weihnachtsgeschäft;https://www.wiwo.de/unternehmen/it/schwache-zahlen-buchhandel-hofft-aufs-weihnachtsgeschaeft/7233412.html;Schwache Zahlen Buchhandel hofft aufs Weihnachtsgeschäft;09.10.2012
1685182204-2;https://www.wiwo.de/suche/?p19868864=651&sw=Digitalisierung&search-period=&article=article;Gespräche beendet            Bertelsmann scheitert mit Gruner + Jahr-Übernahme;https://www.wiwo.de/unternehmen/dienstleister/gespraeche-beendet-bertelsmann-scheitert-mit-gruner-jahr-uebernahme/7274628.html;Gespräche beendet Bertelsmann scheitert mit Gruner + Jahr-Übernahme;19.10.2012
1685182207-3;https://www.wiwo.de/suche/?p19868864=651&sw=Digitalisierung&search-period=&article=article;Zeitschriftenverlag            Bertelsmann bläst Komplettkauf von Gruner + Jahr ab;https://www.wiwo.de/unternehmen/it/zeitschriftenverlag-bertelsmann-blaest-komplettkauf-von-gruner-jahr-ab/7275048.html;Zeitschriftenverlag Bertelsmann bläst Komplettkauf von Gruner + Jahr ab;19.10.2012
1685182212-4;https://www.wiwo.de/suche/?p19868864=651&sw=Digitalisierung&search-period=&article=article;Nach gescheitetem Anteilstausch            Jahr-Familie will in Gruner+Jahr investieren;https://www.wiwo.de/unternehmen/it/nach-gescheitetem-anteilstausch-jahr-familie-will-in-grunerjahr-investieren/7281464.html;Nach gescheitetem Anteilstausch Jahr-Familie will in Gruner+Jahr investieren;21.10.2012
1685182218-5;https://www.wiwo.de/suche/?p19868864=651&sw=Digitalisierung&search-period=&article=article;Streit um Musikrechte            Die digitale Mission der Künstler gegen die Gema;https://www.wiwo.de/technologie/digitale-welt/streit-um-musikrechte-die-digitale-mission-der-kuenstler-gegen-die-gema/7351236.html;Streit um Musikrechte Die digitale Mission der Künstler gegen die Gema;06.11.2012
1685182222-6;https://www.wiwo.de/suche/?p19868864=651&sw=Digitalisierung&search-period=&article=article;Inhalt            WirtschaftsWoche Ausgabe 46/2012;https://www.wiwo.de/archiv/inhalt-wirtschaftswoche-ausgabe-46-2012/7367272.html;Inhalt WirtschaftsWoche Ausgabe 46/2012;09.11.2012
1685182226-7;https://www.wiwo.de/suche/?p19868864=651&sw=Digitalisierung&search-period=&article=article;Digitale Welt            "Der Chef ist selten der beste Experte im Team";https://www.wiwo.de/technologie/digitale-welt/digitale-welt-der-chef-ist-selten-der-beste-experte-im-team/7367610.html;Digitale Welt "Der Chef ist selten der beste Experte im Team";13.11.2012
1685182230-8;https://www.wiwo.de/suche/?p19868864=651&sw=Digitalisierung&search-period=&article=article;Spitzentreffen in Essen            Deutschland tritt im IT-Vergleich auf der Stelle;https://www.wiwo.de/technologie/digitale-welt/spitzentreffen-in-essen-deutschland-tritt-im-it-vergleich-auf-der-stelle/7381538.html;Spitzentreffen in Essen  Deutschland tritt im IT-Vergleich auf der Stelle;13.11.2012
1685182234-9;https://www.wiwo.de/suche/?p19868864=651&sw=Digitalisierung&search-period=&article=article;Medizin            Operieren wie am Fließband;https://www.wiwo.de/unternehmen/dienstleister/hightech-op-saele-operieren-wie-am-fliessband/7429492.html;Hightech-OP-Säle Operieren wie am Fließband;23.11.2012
1685182249-10;https://www.wiwo.de/suche/?p19868864=650&sw=Digitalisierung&search-period=&article=article;Internet und digitale Gesellschaft            Politiker wollen Bürger unerreichbar machen;https://www.wiwo.de/erfolg/beruf/internet-und-digitale-gesellschaft-politiker-wollen-buerger-unerreichbar-machen-/7449804.html;Internet und digitale Gesellschaft Politiker wollen Bürger unerreichbar machen;28.11.2012
1685182254-11;https://www.wiwo.de/suche/?p19868864=650&sw=Digitalisierung&search-period=&article=article;Digitaler Wandel            Angriff auf die Schulbuchverlage;https://www.wiwo.de/unternehmen/handel/digitaler-wandel-angriff-auf-die-schulbuchverlage/7468340.html;Digitaler Wandel Angriff auf die Schulbuchverlage;02.12.2012
1685182257-12;https://www.wiwo.de/suche/?p19868864=650&sw=Digitalisierung&search-period=&article=article;Kinos auf Erfolgskurs            Filmwirtschaft könnte Umsatzrekord knacken;https://www.wiwo.de/unternehmen/it/kinos-auf-erfolgskurs-filmwirtschaft-koennte-umsatzrekord-knacken/7557332.html;Kinos auf Erfolgskurs Filmwirtschaft könnte Umsatzrekord knacken;22.12.2012
1685182261-13;https://www.wiwo.de/suche/?p19868864=650&sw=Digitalisierung&search-period=&article=article;Zukunftsforscher Opaschowski            "Krisen werden 2013 zum Alltag gehören";https://www.wiwo.de/erfolg/trends/zukunftsforscher-opaschowski-krisen-werden-2013-zum-alltag-gehoeren/7533452.html;Zukunftsforscher Opaschowski "Krisen werden 2013 zum Alltag gehören";30.12.2012
1685182267-14;https://www.wiwo.de/suche/?p19868864=650&sw=Digitalisierung&search-period=&article=article;Entscheidungsjahr            Für diese Unternehmen heißt es 2014 Top oder Flop;https://www.wiwo.de/unternehmen/industrie/entscheidungsjahr-fuer-diese-unternehmen-heisst-es-2014-top-oder-flop/9239886.html;Entscheidungsjahr Für diese Unternehmen heißt es 2014 Top oder Flop;02.01.2013
