web-scraper-order;web-scraper-start-url;Link;Link-href;Title;Date;
1685189443-242;https://www.wiwo.de/suche/?p19868864=3&sw=Homo%20Ehe&search-period=&article=article;Unionsfraktion            Merkel gibt Abstimmung Ã¼ber Ehe fÃ¼r alle frei;https://www.wiwo.de/politik/deutschland/unionsfraktion-merkel-gibt-abstimmung-ueber-ehe-fuer-alle-frei/19987134.html;Unionsfraktion Merkel gibt Abstimmung Ã¼ber Ehe fÃ¼r alle frei;27.06.2017;
1685189447-243;https://www.wiwo.de/suche/?p19868864=3&sw=Homo%20Ehe&search-period=&article=article;Ehe fÃ¼r alle            Unions-Abgeordnete dÃ¼rfen ihrem Gewissen folgen;https://www.wiwo.de/politik/deutschland/ehe-fuer-alle-unions-abgeordnete-duerfen-ihrem-gewissen-folgen/19987484.html;Ehe fÃ¼r alle Unions-Abgeordnete dÃ¼rfen ihrem Gewissen folgen;27.06.2017;
1685189467-244;https://www.wiwo.de/suche/?p19868864=2&sw=Homo%20Ehe&search-period=&article=article;Nach Bundestagsbeschluss            Der Ehe fÃ¼r alle droht noch Ã„rger in Karlsruhe;https://www.wiwo.de/politik/deutschland/nach-bundestagsbeschluss-der-ehe-fuer-alle-droht-noch-aerger-in-karlsruhe/20008082.html;Nach Bundestagsbeschluss Der Ehe fÃ¼r alle droht noch Ã„rger in Karlsruhe;02.07.2017;
1685798789-10;https://www.wiwo.de/suche/?p19868864=4&sw=gleichgeschlechtliche%20ehe&search-period=&article=article;"Ehe für alle?
      
    Merkel rückt vom Nein der CDU ab";https://www.wiwo.de/politik/deutschland/ehe-fuer-alle-merkel-rueckt-vom-nein-der-cdu-ab-/19983864.html;Ehe für alle? Merkel rückt vom Nein der CDU ab;26.06.2017;
1685798792-11;https://www.wiwo.de/suche/?p19868864=4&sw=gleichgeschlechtliche%20ehe&search-period=&article=article;"Gleichgeschlechtliche Partnerschaften
      
    Merkel rückt vom Nein zur Ehe für alle ab";https://www.wiwo.de/politik/deutschland/gleichgeschlechtliche-partnerschaften-merkel-rueckt-vom-nein-zur-ehe-fuer-alle-ab/19984368.html;Gleichgeschlechtliche Partnerschaften Merkel rückt vom Nein zur Ehe für alle ab;27.06.2017;
1685798805-12;https://www.wiwo.de/suche/?p19868864=3&sw=gleichgeschlechtliche%20ehe&search-period=&article=article;"SPD zur „Ehe für alle“
      
    „Wir werden es auf jeden Fall tun“";https://www.wiwo.de/politik/deutschland/spd-zur-ehe-fuer-alle-wir-werden-es-auf-jeden-fall-tun/19985678.html;SPD zur „Ehe für alle“ „Wir werden es auf jeden Fall tun“;27.06.2017;
1685798808-13;https://www.wiwo.de/suche/?p19868864=3&sw=gleichgeschlechtliche%20ehe&search-period=&article=article;"Ehe für Alle
      
    SPD droht Merkel mit Alleingang bei Home-Ehe";https://www.wiwo.de/politik/deutschland/ehe-fuer-alle-spd-droht-merkel-mit-alleingang-bei-home-ehe/19986332.html;Ehe für Alle SPD droht Merkel mit Alleingang bei Home-Ehe;27.06.2017;
1685798811-14;https://www.wiwo.de/suche/?p19868864=3&sw=gleichgeschlechtliche%20ehe&search-period=&article=article;"Kanzlerin Merkel
      
    Streit um Ehe für alle „traurig“ und „völlig unnötig“";https://www.wiwo.de/politik/deutschland/kanzlerin-merkel-streit-um-ehe-fuer-alle-traurig-und-voellig-unnoetig/19992530.html;Kanzlerin Merkel Streit um Ehe für alle „traurig“ und „völlig unnötig“;28.06.2017;
1685798814-15;https://www.wiwo.de/suche/?p19868864=3&sw=gleichgeschlechtliche%20ehe&search-period=&article=article;"Gleichberechtigung
      
    Merkel hält Zank um Ehe für alle „völlig unnötig“";https://www.wiwo.de/politik/deutschland/gleichberechtigung-merkel-haelt-zank-um-ehe-fuer-alle-voellig-unnoetig/19992778.html;Gleichberechtigung Merkel hält Zank um Ehe für alle „völlig unnötig“;28.06.2017;
1685798817-16;https://www.wiwo.de/suche/?p19868864=3&sw=gleichgeschlechtliche%20ehe&search-period=&article=article;"Für die „Ehe für alle“
      
    Koalition streitet über Grundgesetzänderung";https://www.wiwo.de/politik/deutschland/fuer-die-ehe-fuer-alle-koalition-streitet-ueber-grundgesetzaenderung/19998118.html;Für die „Ehe für alle“ Koalition streitet über Grundgesetzänderung;29.06.2017;
1685798820-17;https://www.wiwo.de/suche/?p19868864=3&sw=gleichgeschlechtliche%20ehe&search-period=&article=article;"Ehe für alle
      
    Merkel Kursschwenk schreckt Kirchen auf";https://www.wiwo.de/politik/deutschland/ehe-fuer-alle-merkel-kursschwenk-schreckt-kirchen-auf/19999754.html;Ehe für alle Merkel Kursschwenk schreckt Kirchen auf;29.06.2017;
1685798823-18;https://www.wiwo.de/suche/?p19868864=3&sw=gleichgeschlechtliche%20ehe&search-period=&article=article;"+++ Live Blog +++
      
    Bundestag entscheidet über Ehe für alle";https://www.wiwo.de/politik/deutschland/-live-blog-bundestag-entscheidet-ueber-ehe-fuer-alle/20001726.html;+++ Live Blog +++ Bundestag entscheidet über Ehe für alle;30.06.2017;
1685798826-19;https://www.wiwo.de/suche/?p19868864=3&sw=gleichgeschlechtliche%20ehe&search-period=&article=article;"Kommentar zur Ehe für alle
      
    Ein überfälliges Ja";https://www.wiwo.de/politik/deutschland/kommentar-zur-ehe-fuer-alle-ein-ueberfaelliges-ja/20002828.html;Kommentar zur Ehe für alle Ein überfälliges Ja;30.06.2017;
1685798829-20;https://www.wiwo.de/suche/?p19868864=3&sw=gleichgeschlechtliche%20ehe&search-period=&article=article;"Ehe für alle
      
    Kinder sollen sich lohnen, nicht Ehe";https://www.wiwo.de/politik/deutschland/ehe-fuer-alle-kinder-sollen-sich-lohnen-nicht-ehe-/19994750.html;Ehe für alle Kinder sollen sich lohnen, nicht Ehe;30.06.2017;
1685798832-21;https://www.wiwo.de/suche/?p19868864=3&sw=gleichgeschlechtliche%20ehe&search-period=&article=article;"Verfassungsklagen
      
    Kritikern der „Ehe für alle“ droht juristische Schlappe";https://www.wiwo.de/politik/deutschland/verfassungsklagen-kritikern-der-ehe-fuer-alle-droht-juristische-schlappe/20006756.html;Verfassungsklagen Kritikern der „Ehe für alle“ droht juristische Schlappe;01.07.2017;
1685798841-23;https://www.wiwo.de/suche/?p19868864=2&sw=gleichgeschlechtliche%20ehe&search-period=&article=article;"Bayern
      
    Horst Seehofer lässt Klage gegen Ehe für alle offen";https://www.wiwo.de/politik/deutschland/bayern-horst-seehofer-laesst-klage-gegen-ehe-fuer-alle-offen/20010908.html;Bayern Horst Seehofer lässt Klage gegen Ehe für alle offen;03.03.2017;
1685798847-25;https://www.wiwo.de/suche/?p19868864=2&sw=gleichgeschlechtliche%20ehe&search-period=&article=article;"Ehe für alle
      
    Bundesrat stimmt für Gesetzesänderung";https://www.wiwo.de/politik/deutschland/ehe-fuer-alle-bundesrat-stimmt-fuer-gesetzesaenderung/20032804.html;Ehe für alle Bundesrat stimmt für Gesetzesänderung;07.07.2017;
1685798850-26;https://www.wiwo.de/suche/?p19868864=2&sw=gleichgeschlechtliche%20ehe&search-period=&article=article;"Länderkammer
      
    Bundesrat gibt „Ehe für alle“ seinen Segen";https://www.wiwo.de/politik/deutschland/laenderkammer-bundesrat-gibt-ehe-fuer-alle-seinen-segen/20032898.html;Länderkammer Bundesrat gibt „Ehe für alle“ seinen Segen;07.07.2017;
