web-scraper-order;web-scraper-start-url;Link;Link-href;Title;Date;
1685178775-1;https://www.wiwo.de/suche/?p19868864=280&sw=Klimawandel&search-period=&article=article;Achim Steiner            Die klimafreundliche Wirtschaft wird unweigerlich kommen;https://www.wiwo.de/politik/ausland/achim-steiner-die-klimafreundliche-wirtschaft-wird-unweigerlich-kommen/7492286.html;Achim Steiner Die klimafreundliche Wirtschaft wird unweigerlich kommen;07.12.2012
1685178779-2;https://www.wiwo.de/suche/?p19868864=280&sw=Klimawandel&search-period=&article=article;Klimagipfel            Scheitern in Doha nicht ausgeschlossen;https://www.wiwo.de/politik/ausland/klimagipfel-scheitern-in-doha-nicht-ausgeschlossen/7495482.html;Klimagipfel Scheitern in Doha nicht ausgeschlossen;08.12.2012
1685178782-3;https://www.wiwo.de/suche/?p19868864=280&sw=Klimawandel&search-period=&article=article;Klimakonferenz 2012            Kyoto-Protokoll nach zähem Ringen verlängert;https://www.wiwo.de/politik/ausland/klimakonferenz-2012-kyoto-protokoll-nach-zaehem-ringen-verlaengert/7496480.html;Klimakonferenz 2012 Kyoto-Protokoll nach zähem Ringen verlängert;08.12.2012
1685178787-4;https://www.wiwo.de/suche/?p19868864=280&sw=Klimawandel&search-period=&article=article;Aktuelle Studie            Mehr Eisverlust durch Schneefall in der Antarktis;https://www.wiwo.de/technologie/umwelt/aktuelle-studie-mehr-eisverlust-durch-schneefall-in-der-antarktis/7512016.html;Aktuelle Studie Mehr Eisverlust durch Schneefall in der Antarktis;12.12.2012
1685178790-5;https://www.wiwo.de/suche/?p19868864=280&sw=Klimawandel&search-period=&article=article;Klimawandel            Schneefall verstärkt antarktischen Eisverlust;https://www.wiwo.de/technologie/umwelt/klimawandel-schneefall-verstaerkt-antarktischen-eisverlust/7516002.html;Klimawandel Schneefall verstärkt antarktischen Eisverlust;13.12.2012
1685178797-6;https://www.wiwo.de/suche/?p19868864=279&sw=Klimawandel&search-period=&article=article;Paradoxe Zuversicht            Mit Deutschland gehts bergab, aber mir gehts gut;https://www.wiwo.de/politik/konjunktur/paradoxe-zuversicht-mit-deutschland-gehts-bergab-aber-mir-gehts-gut/7532330.html;Paradoxe Zuversicht Mit Deutschland geht's bergab, aber mir geht's gut;17.12.2012
1685178802-7;https://www.wiwo.de/suche/?p19868864=279&sw=Klimawandel&search-period=&article=article;Klimawandel            Von Weizsäcker will Club of Rome neu ausrichten;https://www.wiwo.de/technologie/umwelt/klimawandel-von-weizsaecker-will-club-of-rome-neu-ausrichten/7548586.html;Klimawandel Von Weizsäcker will Club of Rome neu ausrichten;20.12.2012
1685178807-8;https://www.wiwo.de/suche/?p19868864=279&sw=Klimawandel&search-period=&article=article;Technologie der Zukunft            Welche Technik bis 2025 entwickelt wird;https://www.wiwo.de/technologie/forschung/technologie-der-zukunft-welche-technik-bis-2025-entwickelt-wird/7546760.html;Technologie der Zukunft Welche Technik bis 2025 entwickelt wird;02.01.2013
1685178814-9;https://www.wiwo.de/suche/?p19868864=278&sw=Klimawandel&search-period=&article=article;Weltwirtschaftsforum            Experten warnen vor wachsenden globalen Risiken;https://www.wiwo.de/politik/ausland/weltwirtschaftsforum-experten-warnen-vor-armut-und-ueberschuldung/7601308.html;Weltwirtschaftsforum Experten warnen vor Armut und Überschuldung;08.01.2013
1685178818-10;https://www.wiwo.de/suche/?p19868864=278&sw=Klimawandel&search-period=&article=article;Weltwirtschaftsforum            „Finanzkrise lenkt vom Klimawandel ab“;https://www.wiwo.de/politik/ausland/weltwirtschaftsforum-finanzkrise-lenkt-oeffentlichkeit-vom-klimawandel-ab/7601540.html;Weltwirtschaftsforum „Finanzkrise lenkt Öffentlichkeit vom Klimawandel ab“;08.01.2013
