web-scraper-order;web-scraper-start-url;Link;Link-href;Title;Date;
1685179148-1;https://www.wiwo.de/suche/?p19868864=233&sw=Migration&search-period=&article=article;Präsidentschaftswahlen            Ägypten droht der wirtschaftliche Kollaps;https://www.wiwo.de/politik/ausland/praesidentschaftswahlen-aegypten-droht-der-wirtschaftliche-kollaps/6643152.html;Präsidentschaftswahlen Ägypten droht der wirtschaftliche Kollaps;23.05.2012
1685179153-2;https://www.wiwo.de/suche/?p19868864=233&sw=Migration&search-period=&article=article;Wissenswert            Ausländische Studenten sind häufig die Besten;https://www.wiwo.de/politik/wissenswert-auslaendische-studenten-sind-haeufig-die-besten/6870090.html;Wissenswert Ausländische Studenten sind häufig die Besten;12.07.2012
1685179157-3;https://www.wiwo.de/suche/?p19868864=233&sw=Migration&search-period=&article=article;IZA-Direktor Zimmermann            „Angst-Kampagnen wären Gift für Krisenländer“;https://www.wiwo.de/politik/ausland/iza-direktor-zimmermann-angst-kampagnen-waeren-gift-fuer-krisenlaender/6874918.html;IZA-Direktor Zimmermann „Angst-Kampagnen wären Gift für Krisenländer“;13.07.2012
1685179160-4;https://www.wiwo.de/suche/?p19868864=233&sw=Migration&search-period=&article=article;Urteil            Besser nicht arbeiten!;https://www.wiwo.de/politik/deutschland/urteil-verfassungsgericht-mehr-geld-fuer-fluechtlinge/6891122.html;Urteil Verfassungsgericht: Mehr Geld für Flüchtlinge;18.07.2012
1685179178-5;https://www.wiwo.de/suche/?p19868864=233&sw=Migration&search-period=&article=article;Migration            Spanien verliert seine Kinder;https://www.wiwo.de/politik/europa/migration-spanien-verliert-seine-kinder/6919084.html;Migration Spanien verliert seine Kinder;26.07.2012
1685179182-6;https://www.wiwo.de/suche/?p19868864=233&sw=Migration&search-period=&article=article;Studie            Zuwanderer fühlen sich oft benachteiligt;https://www.wiwo.de/politik/deutschland/studie-zuwanderer-fuehlen-sich-oft-benachteiligt/6949226.html;Studie Zuwanderer fühlen sich oft benachteiligt;01.08.2012
1685179186-7;https://www.wiwo.de/suche/?p19868864=233&sw=Migration&search-period=&article=article;Rassismus in Griechenland            Totschlag auf offener Straße;https://www.wiwo.de/politik/ausland/rassismus-in-griechenland-totschlag-auf-offener-strasse/6999016.html;Rassismus in Griechenland Totschlag auf offener Straße;14.08.2012
1685179190-8;https://www.wiwo.de/suche/?p19868864=233&sw=Migration&search-period=&article=article;„Du musst hierbleiben!“            Asylgefängnis am Hauptstadtflughafen fertig;https://www.wiwo.de/politik/deutschland/du-musst-hierbleiben-asylgefaengnis-am-hauptstadtflughafen-fertig/7040820.html;„Du musst hierbleiben!“ Asylgefängnis am Hauptstadtflughafen fertig;22.08.2012
1685179193-9;https://www.wiwo.de/suche/?p19868864=233&sw=Migration&search-period=&article=article;Europäische Union            Baustelle Europa;https://www.wiwo.de/politik/europa/europaeische-union-baustelle-europa/7133082.html;Europäische Union Baustelle Europa;19.09.2012
1685179200-10;https://www.wiwo.de/suche/?p19868864=232&sw=Migration&search-period=&article=article;Serben und Mazedonier            Friedrich will Asylmissbrauch stoppen;https://www.wiwo.de/politik/deutschland/serben-und-mazedonier-friedrich-will-asylmissbrauch-stoppen/7247462.html;Serben und Mazedonier Friedrich will Asylmissbrauch stoppen;12.10.2012
1685179203-11;https://www.wiwo.de/suche/?p19868864=232&sw=Migration&search-period=&article=article;„Sichere Staaten“            Friedrich kürzt Asylbewerbern Gelder;https://www.wiwo.de/politik/deutschland/sichere-staaten-friedrich-kuerzt-asylbewerbern-gelder/7251888.html;„Sichere Staaten“ Friedrich kürzt Asylbewerbern Gelder;13.10.2012
1685179206-12;https://www.wiwo.de/suche/?p19868864=232&sw=Migration&search-period=&article=article;Mehr Flüchtlinge            Migrationsamt beschleunigt Asylverfahren;https://www.wiwo.de/politik/deutschland/mehr-fluechtlinge-migrationsamt-will-asylverfahren-beschleunigen/7279046.html;Mehr Flüchtlinge Migrationsamt will Asylverfahren beschleunigen;20.10.2012
1685179210-13;https://www.wiwo.de/suche/?p19868864=232&sw=Migration&search-period=&article=article;Extremismus            Sechs Länder lehnen Terrorabwehrzentrum ab;https://www.wiwo.de/politik/deutschland/extremismus-sechs-laender-lehnen-terrorabwehrzentrum-ab/7392660.html;Extremismus Sechs Länder lehnen Terrorabwehrzentrum ab;15.11.2012
1685179213-14;https://www.wiwo.de/suche/?p19868864=232&sw=Migration&search-period=&article=article;Blue Card            Fachkräfte kommen nicht nach Deutschland;https://www.wiwo.de/politik/deutschland/blue-card-fachkraefte-kommen-nicht-nach-deutschland/7409068.html;Blue Card Fachkräfte kommen nicht nach Deutschland;19.11.2012
1685179217-15;https://www.wiwo.de/suche/?p19868864=232&sw=Migration&search-period=&article=article;Russland-Affäre            EnBW hat offenbar wichtige Schriftstücke vernichtet;https://www.wiwo.de/unternehmen/energie/russland-affaere-enbw-hat-offenbar-wichtige-schriftstuecke-vernichtet/7414368.html;Russland-Affäre EnBW hat offenbar wichtige Schriftstücke vernichtet;20.11.2012
1685179220-16;https://www.wiwo.de/suche/?p19868864=232&sw=Migration&search-period=&article=article;Migration            Mehr Akademiker kommen nach Deutschland;https://www.wiwo.de/erfolg/trends/migration-mehr-akademiker-kommen-nach-deutschland/7437902.html;Migration Mehr Akademiker kommen nach Deutschland;26.11.2012
1685179224-17;https://www.wiwo.de/suche/?p19868864=232&sw=Migration&search-period=&article=article;Bundesamt für Migration            Zahl der Asylbewerber steigt um 50 Prozent;https://www.wiwo.de/politik/deutschland/bundesamt-fuer-migration-zahl-der-asylbewerber-steigt-um-50-prozent/7563530.html;Bundesamt für Migration Zahl der Asylbewerber steigt um 50 Prozent;27.12.2012
1685179228-18;https://www.wiwo.de/suche/?p19868864=232&sw=Migration&search-period=&article=article;Arbeitsmarkt            Deutsche Firmen suchen kaum Fachkräfte im Ausland;https://www.wiwo.de/politik/konjunktur/arbeitsmarkt-deutsche-firmen-suchen-kaum-fachkraefte-im-ausland/7733206.html;Arbeitsmarkt Deutsche Firmen suchen kaum Fachkräfte im Ausland;04.02.2013
1685179232-19;https://www.wiwo.de/suche/?p19868864=232&sw=Migration&search-period=&article=article;Sicherheitsrisiko            Zeitbombe Windows XP;https://www.wiwo.de/unternehmen/it/sicherheitsrisiko-zeitbombe-windows-xp/7763720.html;Sicherheitsrisiko Zeitbombe Windows XP;11.02.2013
1685179235-20;https://www.wiwo.de/suche/?p19868864=232&sw=Migration&search-period=&article=article;Arbeitskräfte aus EU-Ausland            Politik soll „Wohlfahrtsmigration“ verhindern;https://www.wiwo.de/politik/deutschland/arbeitskraefte-aus-eu-ausland-politik-soll-wohlfahrtsmigration-verhindern/7840124.html;Arbeitskräfte aus EU-Ausland Politik soll „Wohlfahrtsmigration“ verhindern;26.02.2013
1685179242-21;https://www.wiwo.de/suche/?p19868864=231&sw=Migration&search-period=&article=article;Zuwanderung            Sinn: Zuwanderer sollen Sozialhilfe aus Heimatländern beziehen;https://www.wiwo.de/politik/europa/zuwanderung-sinn-keine-sozialhilfe-mehr-fuer-arbeitslose-eu-zuwanderer/7861344.html;Zuwanderung Sinn: Keine Sozialhilfe mehr für arbeitslose EU-Zuwanderer;02.03.2013
1685179246-22;https://www.wiwo.de/suche/?p19868864=231&sw=Migration&search-period=&article=article;Hans-Werner Sinn            "Armutsmigration führt zur Erosion unseres Sozialstaates";https://www.wiwo.de/politik/europa/hans-werner-sinn-armutsmigration-fuehrt-zur-erosion-unseres-sozialstaates/7860296.html;Hans-Werner Sinn "Armutsmigration führt zur Erosion unseres Sozialstaates";04.03.2013
