web-scraper-order;web-scraper-start-url;Link;Link-href;Title;Date;
1685179601-1;https://www.wiwo.de/suche/?p19868864=960&sw=Ukraine&search-period=&article=article;Belgisches AKW            Atomaufseher beraten über Zwischenfall;https://www.wiwo.de/politik/ausland/belgisches-akw-atomaufseher-beraten-ueber-zwischenfall/7010888.html;Belgisches AKW Atomaufseher beraten über Zwischenfall;16.08.2012
1685179605-2;https://www.wiwo.de/suche/?p19868864=960&sw=Ukraine&search-period=&article=article;Warten auf den Regen            Deutsche Versicherer leiden unter der Dürre;https://www.wiwo.de/unternehmen/versicherer/warten-auf-den-regen-deutsche-versicherer-leiden-unter-der-duerre/7030470.html;Warten auf den Regen Deutsche Versicherer leiden unter der Dürre;21.08.2012
1685179610-3;https://www.wiwo.de/suche/?p19868864=960&sw=Ukraine&search-period=&article=article;Aktien            Die Wahrheit über Agrar-Investments;https://www.wiwo.de/finanzen/geldanlage/aktien-die-wahrheit-ueber-agrar-investments/7011550.html;Aktien Die Wahrheit über Agrar-Investments;22.08.2012
1685179613-4;https://www.wiwo.de/suche/?p19868864=960&sw=Ukraine&search-period=&article=article;Spannung in Straßburg            Gerichtshof verhandelt über Fall Timoschenko;https://www.wiwo.de/politik/ausland/spannung-in-strassburg-gerichtshof-verhandelt-ueber-fall-timoschenko/7059326.html;Spannung in Straßburg Gerichtshof verhandelt über Fall Timoschenko;27.08.2012
1685179616-5;https://www.wiwo.de/suche/?p19868864=960&sw=Ukraine&search-period=&article=article;Außenpolitik            Seitenhiebe im Weltsaal;https://www.wiwo.de/politik/deutschland/aussenpolitik-seitenhiebe-im-weltsaal/7067262.html;Außenpolitik Seitenhiebe im Weltsaal;29.08.2012
1685179620-6;https://www.wiwo.de/suche/?p19868864=960&sw=Ukraine&search-period=&article=article;Oberstes Gericht            Richter bestätigt Hafturteil für Timoschenko;https://www.wiwo.de/politik/ausland/oberstes-gericht-richter-bestaetigt-hafturteil-fuer-timoschenko/7068414.html;Oberstes Gericht Richter bestätigt Hafturteil für Timoschenko;29.08.2012
1685179623-7;https://www.wiwo.de/suche/?p19868864=960&sw=Ukraine&search-period=&article=article;Merkels China-Reise            Menschenrechte contra Wirtschaft?;https://www.wiwo.de/politik/deutschland/merkels-china-reise-passen-menschenrechte-zur-wirtschaftspolitik/7068266.html;Merkels China-Reise Passen Menschenrechte zur Wirtschaftspolitik?;29.08.2012
1685179626-8;https://www.wiwo.de/suche/?p19868864=960&sw=Ukraine&search-period=&article=article;Weltbank schlägt Alarm            Nahrungsmittelpreise bedrohen Millionen;https://www.wiwo.de/finanzen/boerse/weltbank-schlaegt-alarm-nahrungsmittelpreise-bedrohen-millionen/7080734.html;Weltbank schlägt Alarm Nahrungsmittelpreise bedrohen Millionen;31.08.2012
1685179629-9;https://www.wiwo.de/suche/?p19868864=960&sw=Ukraine&search-period=&article=article;Schwellenländer            Diese Staaten sollten Anleger im Blick haben;https://www.wiwo.de/finanzen/geldanlage/schwellenlaender-diese-staaten-sollten-anleger-im-blick-haben/7087024.html;Schwellenländer Diese Staaten sollten Anleger im Blick haben;03.09.2012
1685179633-10;https://www.wiwo.de/suche/?p19868864=960&sw=Ukraine&search-period=&article=article;Android-Apps            Das Viren-Risikobei Apps variiert nach Region;https://www.wiwo.de/technologie/digitale-welt/android-apps-viren-risiko-bei-apps-variiert-nach-region/7110944.html;Android-Apps Viren-Risiko bei Apps variiert nach Region;08.09.2012
1685179636-11;https://www.wiwo.de/suche/?p19868864=960&sw=Ukraine&search-period=&article=article;Streit um Inselgruppe            Japan und Taiwan liefern sich Wasserschlacht;https://www.wiwo.de/politik/ausland/streit-um-inselgruppe-japan-und-taiwan-liefern-sich-wasserschlacht/7178752.html;Streit um Inselgruppe Japan und Taiwan liefern sich Wasserschlacht;25.09.2012
1685179644-12;https://www.wiwo.de/suche/?p19868864=959&sw=Ukraine&search-period=&article=article;ADAC-Test            Viele Winterreifen sind ihren Namen nicht wert;https://www.wiwo.de/technologie/mobilitaet/adac-test-viele-winterreifen-sind-ihren-namen-nicht-wert/7187084.html;ADAC-Test Viele Winterreifen sind ihren Namen nicht wert;27.09.2012
1685179647-13;https://www.wiwo.de/suche/?p19868864=959&sw=Ukraine&search-period=&article=article;Emissionshandel            EU bleibt hart gegenüber Airlines;https://www.wiwo.de/politik/ausland/emissionshandel-eu-bleibt-hart-gegenueber-airlines/7189830.html;Emissionshandel EU bleibt hart gegenüber Airlines;27.09.2012
1685179651-14;https://www.wiwo.de/suche/?p19868864=959&sw=Ukraine&search-period=&article=article;Automobilbranche            Renault rechnet mit langer EU-Krise;https://www.wiwo.de/unternehmen/industrie/automobilbranche-renault-rechnet-mit-langer-eu-krise/7190388.html;Automobilbranche Renault rechnet mit langer EU-Krise;27.09.2012
1685179654-15;https://www.wiwo.de/suche/?p19868864=959&sw=Ukraine&search-period=&article=article;Windkraftpionier            Vertane Schöpfung;https://www.wiwo.de/unternehmen/energie/windkraftpionier-warum-der-windradbauer-fuhrlaender-so-tief-abstuerzte/7190996.html;Windkraftpionier Warum der Windradbauer Fuhrländer so tief abstürzte;04.10.2012
1685179657-16;https://www.wiwo.de/suche/?p19868864=959&sw=Ukraine&search-period=&article=article;Handysicherheit            Die Abzocke per App;https://www.wiwo.de/technologie/gadgets/handysicherheit-die-abzocke-per-app/7228094.html;Handysicherheit Die Abzocke per App;08.10.2012
1685179660-17;https://www.wiwo.de/suche/?p19868864=959&sw=Ukraine&search-period=&article=article;Zweiter Strang            Ostseepipeline Nord Stream fertiggestellt;https://www.wiwo.de/unternehmen/industrie/zweiter-strang-ostseepipeline-nord-stream-fertiggestellt/7229240.html;Zweiter Strang Ostseepipeline Nord Stream fertiggestellt;08.10.2012
1685179664-18;https://www.wiwo.de/suche/?p19868864=959&sw=Ukraine&search-period=&article=article;Defizitär            Erste Group will Ukraine-Tochter verkaufen;https://www.wiwo.de/unternehmen/banken/defizitaer-erste-group-will-ukraine-tochter-verkaufen/7229952.html;Defizitär Erste Group will Ukraine-Tochter verkaufen;08.10.2012
